chr	pos	cM	marker_id	pident	aln_len	bitscore
A6	2351933	19.376738	brpb-658027	100.00	545	1007.0
A6	2834598	29.462376	brpb-838675	97.72	307	529.0
A6	2939331	31.317	brpb-840757	97.86	280	484.0
A6	3200166	30.916275	brpb-660024	96.03	126	209.0
A6	3200240	30.916275	brpb-671060	98.91	274	490.0
A6	3200320	30.916275	brpb-662153	95.85	434	691.0
A6	3200334	30.916275	brpb-660405	95.32	406	636.0
A6	3260872	36.818	brpb-662103	99.06	212	385.0
A6	3260925	36.409	brpb-670236	100.00	106	196.0
A6	3705994	40.318	brpb-809259	99.50	399	730.0
A6	3760209	36.386694	brpb-660578	99.79	484	889.0
A6	3842679	39.966386	brpb-840102	97.86	654	1131.0
A6	4391450	41.827037	brpb-662605	99.61	510	931.0
A6	5390854	47.761957	brpb-839838	98.06	671	1168.0
A6	5391068	47.761957	brpb-659920	99.59	242	444.0
A6	6645685	50.074803	brpb-659596	99.64	275	503.0
A6	6895954	56.773725	brpb-841402	98.24	227	398.0
A6	7016655	47.204402	brpb-670835	100.00	185	342.0
A6	7396767	60.652348	brpb-662129	94.96	516	804.0
A6	9445627	62.316436	brpb-661301	94.36	532	809.0
A6	10263769	67.267	brpb-658391	99.14	348	632.0
A6	11540204	65.497917	brpb-670690	99.22	511	929.0
A6	11540327	65.497917	brpb-658662	98.85	348	627.0
A6	11613193	65.851	brpb-658144	92.20	564	867.0
A6	11613297	66.235	brpb-661542	98.31	355	632.0
A6	12815081	66.565	brpb-809169	97.66	427	736.0
A6	12815132	66.565	brpb-658956	98.87	530	942.0
A6	16486716	66.851	brpb-658980	100.00	324	599.0
A6	16658408	65.471	brpb-658929	99.39	493	900.0
A6	17278570	65.036	brpb-657884	100.00	298	551.0
A6	19457007	69.272	brpb-840085	92.16	536	737.0
A6	19801103	69.275	brpb-663074	97.73	572	992.0
A6	20017705	64.605486	brpb-839202	98.50	333	586.0
A6	20953970	72.929357	brpb-659220	94.07	658	987.0
A6	22400459	82.241553	brpb-670232	98.77	81	145.0
A6	22836139	77.42847	brpb-657796	99.15	472	854.0
A6	22844653	78.095	brpb-660854	91.69	638	869.0
A6	23710727	84.590967	brpb-662992	98.66	599	1064.0
A6	24215029	90.154393	brpb-659006	99.65	578	1055.0
A6	24365879	87.832	brpb-809115	100.00	349	645.0
A6	25256365	103.675686	brpb-658875	97.40	538	935.0
A6	25482521	107.652537	brpb-660640	99.32	590	1072.0
A6	25482543	107.652537	brpb-661030	98.91	641	1151.0
A7	565941	17.766971	brpb-842247	99.18	366	658.0
A7	565990	17.804971	brpb-658332	99.78	465	852.0
A7	3008018	23.296971	brpb-670852	95.94	345	558.0
A7	7339246	24.595971	brpb-660982	90.19	673	867.0
A7	12764640	28.824765	brpb-658808	96.52	316	525.0
A7	12927936	12.053549	brpb-841234	97.15	421	708.0
A7	13412716	32.308628	brpb-841697	98.39	124	219.0
A7	13412807	32.617971	brpb-839889	100.00	305	564.0
A7	14710687	40.923971	brpb-659368	99.67	308	564.0
A7	15994953	44.811971	brpb-658673	97.67	514	902.0
A7	17270186	53.148971	brpb-658283	98.67	451	797.0
A7	22304370	77.239225	brpb-659670	100.00	102	189.0
A8	9720198	53.272948	brpb-662459	99.14	467	839.0
A8	16990553	38.900948	brpb-841039	100.00	169	313.0
A8	19563149	17.710948	brpb-660078	98.73	158	279.0
A8	19563237	17.448948	brpb-670985	99.70	334	612.0
A8	19563358	17.696948	brpb-660221	95.78	355	571.0
A8	22120372	0	brpb-657962	97.44	587	1007.0
A9	3726107	118.308	brpb-839472	100.00	344	636.0
A9	5373659	120.063129	brpb-671346	98.00	400	693.0
A9	5730982	98.624	brpb-809095	100.00	393	726.0
A9	6433981	110.139531	brpb-808671	96.98	430	743.0
A9	6845323	108.581483	brpb-657774	100.00	434	802.0
A9	11660971	82.548	brpb-841802	96.98	397	664.0
A9	11661007	82.629	brpb-840499	99.14	468	843.0
A9	12209647	88.54244	brpb-659184	98.76	402	713.0
A9	12346576	87.080353	brpb-840188	100.00	329	608.0
A9	12807510	83.435	brpb-658317	100.00	372	688.0
A9	12951203	80.802313	brpb-658973	98.81	587	1053.0
A9	18084968	79.340765	brpb-661310	100.00	385	712.0
A9	19204259	73.51	brpb-840687	99.08	655	1181.0
A9	19891694	74.274	brpb-658542	99.15	471	850.0
A9	20386550	74.348	brpb-658684	97.45	431	741.0
A9	25368743	73.323	brpb-658181	92.39	631	870.0
A9	30294917	69.249	brpb-661587	98.17	274	479.0
A9	33342369	57.431521	brpb-671072	99.02	510	924.0
A9	33351249	57.678	brpb-808323	97.76	446	780.0
A9	33351297	57.583	brpb-658111	99.44	541	983.0
A9	33351328	57.598	brpb-838593	98.95	478	865.0
A9	33798074	55.882	brpb-839673	94.42	394	645.0
A9	35659864	51.686	brpb-660373	97.75	712	1236.0
A9	36936437	40.633763	brpb-670978	99.47	568	1037.0
A9	36936497	40.633763	brpb-661382	99.86	688	1267.0
A9	36936729	40.633763	brpb-670189	98.66	224	401.0
A9	37886683	31.14797	brpb-839095	95.33	385	603.0
A9	37886692	31.14797	brpb-658120	99.75	402	737.0
A9	38208997	31.14797	brpb-658752	97.43	661	1134.0
A9	38209001	26.651837	brpb-658497	98.31	652	1147.0
A9	38211847	40.664819	brpb-663196	99.10	553	1000.0
A9	40829497	21.339612	brpb-658850	99.04	625	1125.0
A9	43819054	3.798947	brpb-808247	97.09	344	579.0
A9	44081194	5.367	brpb-657939	94.84	485	743.0
A10	1270420	9.821015	brpb-661606	99.23	651	1179.0
A10	1796519	11.117015	brpb-657934	99.40	334	606.0
A10	8000542	19.155091	brpb-663458	99.13	691	1247.0
A10	11570491	20.543015	brpb-658290	96.67	600	1000.0
A10	14283935	45.617624	brpb-661838	96.15	623	1003.0
A10	14395169	32.892015	brpb-809526	92.12	444	623.0
A10	14458577	33.638015	brpb-658429	95.44	417	671.0
A10	15290658	46.103205	brpb-840529	95.53	559	881.0
A10	15321207	41.374357	brpb-658163	98.82	424	754.0
A10	15463721	31.353389	brpb-660213	100.00	76	141.0
A10	15470173	31.353389	brpb-660251	94.39	410	625.0
A10	15584827	42.315015	brpb-658199	99.74	760	1395.0
A10	15818213	42.681222	brpb-658656	98.58	424	754.0
A10	17026401	53.727015	brpb-663307	99.37	477	869.0
A10	17634726	60.254286	brpb-670588	98.60	429	769.0
A10	18672107	74.035015	brpb-659745	99.46	371	676.0
A10	18724932	101.09118	brpb-658921	99.84	624	1147.0
A10	18967029	75.854916	brpb-809539	90.05	221	285.0
A10	18967042	79.123015	brpb-658793	92.78	194	279.0
A10	19088992	78.046015	brpb-809307	99.37	316	577.0
A10	19089019	78.890767	brpb-659925	99.73	369	676.0
A10	19089057	77.629015	brpb-660910	100.00	445	822.0
A10	19089116	77.630015	brpb-660070	98.78	327	590.0
C1	17840837	38.788	brpb-840742	99.51	203	370.0
C1	17840870	38.719	brpb-838583	97.04	270	464.0
C1	17840875	38.738	brpb-839122	99.29	280	510.0
C1	17840915	38.753	brpb-839014	98.34	361	640.0
C1	17840992	38.713	brpb-838928	99.13	231	420.0
C1	18048641	37.473	brpb-659121	98.73	158	285.0
C1	23346069	36.471	brpb-663378	98.64	368	656.0
C1	24956386	36.337	brpb-671172	100.00	274	507.0
C1	26416630	35.793	brpb-842276	99.80	494	907.0
C1	44456917	47.267	brpb-663093	99.64	282	516.0
C2	15048	7.294	brpb-838772	95.37	518	826.0
C2	33234	5.951	brpb-839621	93.81	388	579.0
C2	3096546	16.165	brpb-659062	99.59	247	451.0
C2	3096547	16.111	brpb-841091	98.77	244	435.0
C2	8178410	33.479	brpb-659813	99.01	304	549.0
C2	10896293	33.702	brpb-660919	100.00	452	835.0
C2	27601525	56.434149	brpb-660803	98.45	581	1029.0
C2	27747387	56.434149	brpb-838773	100.00	492	909.0
C2	34471515	56.434149	brpb-839858	99.75	402	737.0
C2	35457428	56.434149	brpb-842056	99.73	370	678.0
C2	43760334	56.134578	brpb-661401	100.00	315	582.0
C2	43760346	57.316503	brpb-840127	98.28	291	520.0
C2	50576939	51.184762	brpb-840516	99.54	218	398.0
C3	355334	9.037	brpb-659222	99.82	555	1020.0
C3	833502	8.974	brpb-809756	92.47	783	1098.0
C3	1507106	9.065	brpb-662956	91.45	351	481.0
C3	1507122	7.568	brpb-659545	99.46	368	669.0
C3	1983102	8.984	brpb-659400	99.62	264	484.0
C3	1983413	9.0245	brpb-838807	100.00	355	656.0
C3	5133961	20.292	brpb-662446	95.17	228	357.0
C3	5133969	20.292	brpb-808216	94.67	244	374.0
C3	9918731	44.65	brpb-838972	98.39	124	219.0
C3	20425851	64.868	brpb-838679	100.00	468	865.0
C3	20977412	66.529	brpb-660368	100.00	323	597.0
C3	40018345	110.241	brpb-659179	92.62	366	521.0
C3	56041640	120.112852	brpb-839761	98.58	564	1013.0
C3	56053269	120.783	brpb-661328	100.00	444	821.0
C3	56053292	120.77	brpb-840398	99.25	399	723.0
C4	7436352	38.97	brpb-663380	99.26	403	728.0
C4	8503190	43.956	brpb-661242	99.70	666	1221.0
C4	9399657	46.277	brpb-670381	96.83	63	106.0
C4	13217024	51.709	brpb-660096	94.44	72	115.0
C4	28678095	60.917762	brpb-660360	100.00	326	603.0
C4	29393491	58.198	brpb-659557	97.49	319	555.0
C4	36912645	67.89443	brpb-659923	99.67	299	547.0
C4	49152671	83.981	brpb-661414	100.00	702	1297.0
C4	50425195	85.463	brpb-670011	99.55	220	399.0
C4	59640756	105.741	brpb-839769	99.59	494	905.0
C4	61948022	132.911	brpb-659659	96.99	133	222.0
C4	62308039	130	brpb-659694	99.50	201	366.0
C5	4417641	36.656	brpb-808426	95.00	60	95.3
C5	4705788	34.976	brpb-663421	97.35	302	507.0
C5	13877185	17.169	brpb-839592	93.61	266	399.0
C6	8853604	86.383	brpb-840778	99.69	326	599.0
C6	39142491	40.134	brpb-840991	99.72	357	654.0
C6	40783997	41.027	brpb-660868	99.85	661	1218.0
C7	41218399	6.341	brpb-670555	96.24	346	566.0
C7	50729843	44.760387	brpb-663509	90.00	580	752.0
C7	50729894	45.231	brpb-660955	93.96	480	715.0
C7	52574753	54.422	brpb-671142	98.52	474	845.0
C7	52863418	59.45	brpb-659327	98.62	654	1168.0
C7	52863501	58.992559	brpb-839254	98.97	585	1055.0
C8	36640294	23.26	brpb-660994	99.28	557	1014.0
C8	40372277	33.119	brpb-839662	99.85	662	1216.0
C8	45348540	59.86	brpb-659274	98.98	591	1055.0
C8	45665587	62.741	brpb-670302	98.20	499	876.0
C9	42182830	75.168064	brpb-659992	99.44	178	324.0
C9	42183174	75.168064	brpb-839212	97.75	666	1171.0
C9	52886355	86.031	brpb-670917	99.35	612	1116.0
