MaizeGDB: Details of Map Genetic 7
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
alt7	1.30		GRMZM2G120563	Chr7	1309331	1321760	Zm00001d018639	Chr7	1414460	1422894	Zm00001eb298440	chr7	1415033	1419490																	
hsp3	1.37		GRMZM6G199466	scaffold_369	81	586	Zm00001d018641	Chr7	1462744	1464165	Zm00001eb298480	chr7	1463365	1465356																	
cl24641_1	1.40		GRMZM2G022120	Chr7	1365222	1370513	Zm00001d018642	Chr7	1465054	1470400	Zm00001eb298490	chr7	1465655	1471077																	
jmj19	1.80		GRMZM2G108589	Chr7	1519824	1523155	Zm00001d018647	Chr7	1619886	1623205	Zm00001eb298510	chr7	1620475	1623971																	
IDP3776	1.82		GRMZM2G108637	Chr7	1560747	1562661	Zm00001d018648	Chr7	1661087	1662933	Zm00001eb298520	chr7	1661654	1663856																	
Zm00001d018652	1.88		GRMZM2G106588	Chr7	1791268	1792601	Zm00001d018652	Chr7	1879820	1881411	Zm00001eb298560	chr7	1880455	1882476																	
pap11	1.90		GRMZM2G106600	Chr7	1792933	1797916	Zm00001d018653	Chr7	1881749	1886781	Zm00001eb298570	chr7	1882476	1887459																	
wrky85	2.00		GRMZM2G018721	Chr7	1923485	1924841	Zm00001d018656	Chr7	2050308	2051829	Zm00001eb298580	chr7	2015056	2016859																	
cl3247_1b	2.08		GRMZM2G018926	Chr7	1929391	1947868	Zm00001d018657	Chr7	2056215	2074801	Zm00001eb298600	chr7	2021011	2039840																	
drlo1	2.10		GRMZM2G019200	Chr7	1949666	1957643	Zm00001d018659	Chr7	2076531	2084430	Zm00001eb298610	chr7	2041366	2049356																	
ccl22	2.12		GRMZM2G019746	Chr7	1958055	1960555	Zm00001d018660	Chr7	2084866	2087283	Zm00001eb298620	chr7	2049567	2052270																	
GRMZM2G019879	2.50		GRMZM2G019879	Chr7	1975016	1982933	Zm00001d018664	Chr7	2101851	2109738	Zm00001eb298660	chr7	2066658	2074731																	
mads3	3.40		GRMZM2G072582	Chr7	2065444	2076981	Zm00001d018667	Chr7	2191954	2203098	Zm00001eb298680	chr7	2156721	2168013																	
cl5391_1	3.41										Zm00001eb298690	chr7	2214013	2215134																	
IDP1688	3.42		AC205122.4_FG003	Chr7	2136347	2138600	Zm00001d018668	Chr7	2249179	2251587																					
cka3	3.45		GRMZM5G845755	Chr7	2138862	2144213	Zm00001d018669	Chr7	2251936	2257510	Zm00001eb298700	chr7	2216683	2222148																	
hagtf31	3.48		GRMZM2G458082	Chr7	2295884	2296892	Zm00001d018677	Chr7	2375647	2377309	Zm00001eb298780	chr7	2340935	2342234																	
IDP4466	3.49		GRMZM2G337881	Chr7	2320875	2322495	Zm00001d018680	Chr7	2404739	2406359	Zm00001eb298790	chr7	2369632	2371252																	
LOC103631895	3.50		GRMZM2G045031	Chr7	2440352	2441094	Zm00001d018683	Chr7	2539231	2539662	Zm00001eb298820	chr7	2491656	2492486																	
LOC103631894	3.50		GRMZM2G071436	Chr7	2428965	2429693	Zm00001d018682	Chr7	2526621	2527052	Zm00001eb298810	chr7	2478931	2479806																	
ppr2	3.51		GRMZM2G341621	Chr7	2584810	2587604	Zm00001d018693	Chr7	2686485	2689002	Zm00001eb298940	chr7	2638816	2641839																	
LOC109939247	3.51		GRMZM5G827455	Chr7	2582504	2583985	Zm00001d018692	Chr7	2684020	2685501	Zm00001eb298930	chr7	2636738	2637131																	
LOC100272988	3.53		GRMZM2G043383	Chr7	2588235	2593977	Zm00001d018694	Chr7	2689700	2695487	Zm00001eb298950	chr7	2642329	2648187																	
skus13	3.90		GRMZM2G043301	Chr7	2597362	2599901	Zm00001d018696	Chr7	2698898	2701382	Zm00001eb298980	chr7	2651596	2654135																	
glk28	4.00		GRMZM2G100176	Chr7	2630972	2634436	Zm00001d018698	Chr7	2706028	2708111	Zm00001eb298990	chr7	2658782	2660967																	
Zm00001d018700	4.04		GRMZM2G015654	Chr7	2617891	2619780	Zm00001d018700	Chr7	2731147	2732959	Zm00001eb299010	chr7	2683865	2685677																	
nactf28	5.00		GRMZM2G033014	Chr7	2720485	2721893	Zm00001d018702	Chr7	2762860	2763807	Zm00001eb299030	chr7	2715578	2716525																	
Zm00001d018703	5.02		GRMZM2G033027	Chr7	2722161	2724325	Zm00001d018703	Chr7	2764160	2766307	Zm00001eb299040	chr7	2716790	2719122																	
umc1378	6.00		GRMZM2G333337	Chr7	2725218	2733370	Zm00001d018704	Chr7	2767046	2847029	Zm00001eb299050	chr7	2719786	2720319																	
npi567	6.02		GRMZM2G040170	Chr7	2666734	2667051					Zm00001eb299060	chr7	2800043	2800828																	
si606061d08b	6.08		GRMZM5G810231	Chr7	2741322	2742521	Zm00001d018705	Chr7	2858634	2859833	Zm00001eb299080	chr7	2811314	2813424																	
GRMZM2G117281	8.00		GRMZM2G117281	Chr7	2744692	2746114																									
IDP1462	9.58		GRMZM2G369284	Chr7	2894079	2894784	Zm00001d018714	Chr7	3007554	3008070	Zm00001eb299160	chr7	2960393	2961094																	
LOC100216877	9.64		GRMZM2G145633	Chr7	2960526	2964318	Zm00001d018718	Chr7	3073742	3077525	Zm00001eb299190	chr7	3026575	3030373																	
umc1672	10.95		GRMZM2G044060	Chr7	3000577	3011032	Zm00001d018724	Chr7	3127808	3138251	Zm00001eb299230	chr7	3080640	3091135																	
Zm00001d018725	10.97		GRMZM2G044174	Chr7	3011685	3012644	Zm00001d018725	Chr7	3139241	3139651	Zm00001eb299240	chr7	3091751	3092701																	
psk1	11.25		GRMZM2G044194	Chr7	3025543	3026306	Zm00001d018727	Chr7	3152513	3153505	Zm00001eb299250	chr7	3105600	3106352																	
bzip51	11.40		GRMZM2G438652	Chr7	3077372	3078435	Zm00001d018729	Chr7	3195528	3196172	Zm00001eb299280	chr7	3148276	3149181																	
umc1426	11.95		GRMZM2G006071	Chr7	3166109	3170702	Zm00001d018730	Chr7	3302379	3306900	Zm00001eb299290	chr7	3255077	3259790																	
ereb114	12.00		GRMZM2G008234	Chr7	3186862	3189788	Zm00001d018731	Chr7	3330940	3335717	Zm00001eb299300	chr7	3283453	3288207																	
dnaJ68	12.01		GRMZM2G008061	Chr7	3193146	3198061	Zm00001d018732	Chr7	3338958	3343406	Zm00001eb299310	chr7	3291688	3296332																	
IDP9129	12.03		GRMZM2G007936	Chr7	3203083	3208008	Zm00001d018733	Chr7	3348456	3353488	Zm00001eb299320	chr7	3301856	3303609																	
prp8	12.07		GRMZM2G456997	Chr7	3252463	3253275	Zm00001d018734	Chr7	3398466	3398921	Zm00001eb299340	chr7	3351233	3352027																	
prp13	13.24		GRMZM2G437187	Chr7	3368123	3368808	Zm00001d018737	Chr7	3534342	3534851	Zm00001eb299360	chr7	3487223	3487732																	
prp4	13.26		GRMZM2G465226	Chr7	3487009	3488071	Zm00001d018738	Chr7	3653618	3654109	Zm00001eb299370	chr7	3606418	3607174																	
LOC103631920	13.28		GRMZM2G165101	Chr7	3495048	3495791	Zm00001d018740	Chr7	3661450	3661824	Zm00001eb299390	chr7	3614343	3615356																	
bnlg2132	13.33																														
rs1	13.40		GRMZM2G028041	Chr7	3667975	3674168	Zm00001d018742	Chr7	3845026	3851209	Zm00001eb299420	chr7	3781684	3787877																	
umi11	13.70						Zm00001d018744	Chr7	3974297	3974569	Zm00001eb299450	chr7	3910937	3911516																	
GRMZM2G450866	13.72		GRMZM2G450866	Chr7	3889069	3891403	Zm00001d018748	Chr7	4078618	4082285	Zm00001eb299460	chr7	4015053	4015896																	
mads102	13.74		GRMZM2G450822	Chr7	3908345	3909562	Zm00001d018750	Chr7	4097991	4099115	Zm00001eb299490	chr7	4034495	4035985																	
aaap52	13.75		GRMZM2G108023	Chr7	4032969	4035577	Zm00001d018751	Chr7	4195129	4197386	Zm00001eb299500	chr7	4131802	4134061																	
LOC100383797	13.76		GRMZM2G141517	Chr7	4082077	4086056	Zm00001d018752	Chr7	4246631	4250540	Zm00001eb299510	chr7	4183333	4187242																	
rpl5c	13.81		GRMZM5G831780	Chr7	4120822	4123467	Zm00001d018755	Chr7	4285350	4288066	Zm00001eb299530	chr7	4222008	4224768																	
mterf23	13.83		GRMZM2G426154	Chr7	4125505	4128341	Zm00001d018756	Chr7	4290052	4307739	Zm00001eb299540	chr7	4226689	4244458																	
mterf24	13.83		GRMZM2G175930	Chr7	4166250	4167474	Zm00001d018756	Chr7	4290052	4307739	Zm00001eb299540	chr7	4226689	4244458																	
sudh1	14.50		GRMZM2G064799	Chr7	4239369	4244199	Zm00001d018758	Chr7	4402578	4407434	Zm00001eb299550	chr7	4339271	4344053																	
mads81	14.70						Zm00001d018767	Chr7	4697688	4699777	Zm00001eb299640	chr7	4634345	4635973																	
cl222_1e	14.72						Zm00001d018768	Chr7	4700198	4701172	Zm00001eb299650	chr7	4636911	4638052																	
Zm00001eb299670	14.76		GRMZM2G480002	Chr7	4543316	4550902	Zm00001d018770	Chr7	4766434	4774321	Zm00001eb299670	chr7	4703164	4710921																	
Zm00001eb299690	14.78		GRMZM2G180004	Chr7	4553781	4555633	Zm00001d018772	Chr7	4777083	4778887	Zm00001eb299690	chr7	4713744	4714851																	
cpd1	14.94																														
nactf73	15.00		GRMZM2G479980	Chr7	4587851	4589019	Zm00001d018773	Chr7	4825498	4826987	Zm00001eb299720	chr7	4747825	4748972																	
AB512482	15.30		GRMZM2G142721	Chr7	4685362	4686349	Zm00001d018775	Chr7	4929975	4930745	Zm00001eb299740	chr7	4851726	4852746																	
myb45	15.33		GRMZM2G051793	Chr7	4708398	4726962	Zm00001d018776	Chr7	4961661	4980931	Zm00001eb299750	chr7	4883690	4903013																	
cl1882_28f	16.00		GRMZM2G051721	Chr7	4729016	4731445	Zm00001d001080	Chr7	4982919	4985314																					
pspb2	16.86		GRMZM2G047954	Chr7	4799319	4801203	Zm00001d018779	Chr7	5051813	5053391	Zm00001eb299760	chr7	4959484	4961247																	
gpm680	17.10										Zm00001eb299820	chr7	5026781	5027668																	
nbs49	17.11		GRMZM2G078170	Chr7	4869254	4871986	Zm00001d018786	Chr7	5194780	5201465	Zm00001eb299830	chr7	5102705	5110265																	
IDP5058	17.11						Zm00001d018786	Chr7	5194780	5201465	Zm00001eb299840	chr7	5104500	5105934																	
GRMZM2G080512	17.13		GRMZM2G103066	Chr7	4909447	4910568	Zm00001d018787	Chr7	5210807	5216700	Zm00001eb299860	chr7	5118657	5124775																	
flr15	17.17		GRMZM2G039922	Chr7	4963005	4966575	Zm00001d018789	Chr7	5224217	5226970	Zm00001eb299910	chr7	5132012	5135554																	
IDP497	17.20		GRMZM2G060866	Chr7	5042139	5044297	Zm00001d018791	Chr7	5299802	5301758	Zm00001eb299930	chr7	5207304	5209869																	
IDP4334	17.22		GRMZM2G093705	Chr7	5073994	5076375	Zm00001d018793	Chr7	5330868	5333252	Zm00001eb299940	chr7	5238765	5241280																	
fnr2	17.26		GRMZM2G011858	Chr7	5100138	5105705	Zm00001d018794	Chr7	5353809	5359209	Zm00001eb299960	chr7	5261658	5267208																	
AY104465	17.29		GRMZM2G012031	Chr7	5113135	5132924	Zm00001d018795	Chr7	5365547	5386515	Zm00001eb299970	chr7	5273284	5294651																	
IDP80	17.29		GRMZM2G012324	Chr7	5132960	5135053	Zm00001d018796	Chr7	5386556	5387686	Zm00001eb299980	chr7	5294544	5295568																	
psa6	17.30		GRMZM2G012397	Chr7	5134217	5135120	Zm00001d018797	Chr7	5387875	5388613	Zm00001eb299990	chr7	5295774	5296552																	
cipk23	17.40		GRMZM2G013236	Chr7	5150208	5154827	Zm00001d018799	Chr7	5403982	5408414	Zm00001eb300010	chr7	5311902	5316381																	
ms22	17.50		GRMZM2G442791	Chr7	5333364	5334245	Zm00001d018802	Chr7	5664064	5664543	Zm00001eb300050	chr7	5566869	5567780																	
abph2	17.50																														
Zm00001eb300060	17.52		GRMZM2G142063	Chr7	5340328	5342773	Zm00001d018803	Chr7	5670928	5673511	Zm00001eb300060	chr7	5573805	5576538																	
php20581a(tb)	18.55						Zm00001d018806	Chr7	5742596	5743909	Zm00001eb300090	chr7	5645096	5652501																	
IDP9092	18.57						Zm00001d018807	Chr7	5750534	5754873	Zm00001eb300100	chr7	5653558	5658222																	
gst6	18.78		GRMZM2G129357	Chr7	5520895	5524522	Zm00001d018809	Chr7	5834880	5838491	Zm00001eb300120	chr7	5737807	5741511																	
go1	18.80		GRMZM2G129246	Chr7	5528435	5532236	Zm00001d018810	Chr7	5842587	5845546	Zm00001eb300130	chr7	5745388	5748619																	
zim50	18.81		AC187560.5_FG003	Chr7	5531911	5532240	Zm00001d018811	Chr7	5845609	5848238	Zm00001eb300140	chr7	5748672	5751361																	
LOC107275234	18.83		GRMZM2G090104	Chr7	5568049	5570142	Zm00001d018813	Chr7	5921819	5923051	Zm00001eb300170	chr7	5824233	5826762																	
tin1	18.87		GRMZM2G059088	Chr7	5789158	5790020	Zm00001d018816	Chr7	6104753	6105325	Zm00001eb300220	chr7	6007514	6008541																	
Zm00001d018818	18.88		GRMZM2G357543	Chr7	5891144	5893491	Zm00001d018818	Chr7	6250690	6252131	Zm00001eb300230	chr7	6154615	6155093																	
nced5	18.90		GRMZM2G417954	Chr7	5981141	5983425	Zm00001d018819	Chr7	6342456	6344361	Zm00001eb300240	chr7	6245553	6247755																	
pco075778b	18.95		GRMZM2G025977	Chr7	6069180	6073315	Zm00001d018820	Chr7	6432127	6438573	Zm00001eb300250	chr7	6335155	6339354																	
Zm00001d018821	18.96		GRMZM2G026614	Chr7	6072503	6074570	Zm00001d018821	Chr7	6432129	6438573	Zm00001eb300260	chr7	6337730	6340658																	
gtf29	18.98		GRMZM2G029587	Chr7	6131126	6133283	Zm00001d018822	Chr7	6494306	6495361	Zm00001eb300280	chr7	6397015	6399383																	
xer4	19.00		GRMZM2G029623	Chr7	6143977	6144590	Zm00001d018823	Chr7	6507031	6507534	Zm00001eb300290	chr7	6409955	6410893																	
Zm00001d018824	19.02		GRMZM2G029692	Chr7	6146706	6151909	Zm00001d018824	Chr7	6510464	6511271																					
LOC100193299	19.06		GRMZM2G093761	Chr7	6222097	6224439	Zm00001d018826	Chr7	6584341	6586677	Zm00001eb300320	chr7	6487458	6489788																	
Zm00001d018827	19.46		GRMZM2G395535	Chr7	6224658	6226029	Zm00001d018827	Chr7	6587108	6587917	Zm00001eb300340	chr7	6490044	6491894																	
ubp34	19.48		GRMZM2G106222	Chr7	6302164	6308565	Zm00001d018828	Chr7	6673483	6680117	Zm00001eb300350	chr7	6576746	6583324																	
yab3	19.50		GRMZM2G106204	Chr7	6315293	6328611	Zm00001d018829	Chr7	6686761	6700152	Zm00001eb300360	chr7	6589885	6603363																	
w17	20.00																														
burp9	20.00		GRMZM2G406170	Chr7	6361037	6362223	Zm00001d018830	Chr7	6731455	6733751	Zm00001eb300370	chr7	6634990	6637044																	
Zm00001d018831	20.68		GRMZM2G002910	Chr7	6422635	6438989	Zm00001d018831	Chr7	6794486	6806370	Zm00001eb300410	chr7	6697795	6698463																	
lbd34	20.70		GRMZM2G704330	Chr7	6439450	6441294	Zm00001d018832	Chr7	6806891	6808735	Zm00001eb300420	chr7	6710101	6711969																	
burp3	21.40		GRMZM2G032145	Chr7	6575550	6579920	Zm00001d018837	Chr7	6925327	6929344	Zm00001eb300470	chr7	6828545	6832563																	
cyp19	21.57		GRMZM2G102079	Chr7	6540482	6542475	Zm00001d018839	Chr7	6964999	6966594	Zm00001eb300490	chr7	6867785	6869846																	
AW308691	21.58		GRMZM5G878044	Chr7	6544823	6545749	Zm00001d018842	Chr7	6969124	6973970	Zm00001eb300510	chr7	6872292	6877133																	
vq38	22.00		GRMZM2G355499	Chr7	6743944	6747943	Zm00001d018845	Chr7	7112752	7113408	Zm00001eb300540	chr7	7016050	7016631																	
kr1	22.30		GRMZM2G394968	Chr7	6859805	6861047	Zm00001d018846	Chr7	7227195	7227956	Zm00001eb300560	chr7	7130219	7131436																	
kr2	22.40		GRMZM2G073929	Chr7	6918062	6919209	Zm00001d018847	Chr7	7293099	7294421	Zm00001eb300570	chr7	7196866	7197457																	
Zm00001eb300620	22.46		GRMZM2G006716	Chr7	6991142	6992292	Zm00001d018853	Chr7	7372278	7373315	Zm00001eb300620	chr7	7275456	7276783																	
Zm00001d018854	22.48		GRMZM2G164454	Chr7	7012087	7013388	Zm00001d018854	Chr7	7395278	7396333	Zm00001eb300630	chr7	7298309	7299921																	
GRMZM2G398996	22.50		GRMZM2G398996	Chr7	7070209	7071628	Zm00001d018855	Chr7	7453023	7454129	Zm00001eb300640	chr7	7355975	7358184																	
grf9	22.52		GRMZM2G097856	Chr7	7075230	7088360	Zm00001d018856	Chr7	7459409	7471090	Zm00001eb300650	chr7	7372780	7374332																	
Zm00001d018857	22.58		GRMZM2G320298	Chr7	7123031	7124333	Zm00001d018857	Chr7	7501793	7502779	Zm00001eb300670	chr7	7404934	7406210																	
ubp35	22.60		GRMZM2G018508	Chr7	7153306	7174594	Zm00001d018859	Chr7	7531978	7554865	Zm00001eb300680	chr7	7435206	7458284																	
ppr373	22.63		GRMZM2G408379	Chr7	7261309	7264721	Zm00001d018862	Chr7	7665335	7667248	Zm00001eb300690	chr7	7541997	7549583																	
hen1	22.65		GRMZM2G107457	Chr7	7266068	7271089	Zm00001d018863	Chr7	7668475	7673706	Zm00001eb300700	chr7	7550771	7555957																	
hda110	22.75		GRMZM2G107309	Chr7	7273053	7285361	Zm00001d018864	Chr7	7675154	7687966	Zm00001eb300710	chr7	7557797	7570171																	
Zm00001d018868	22.79		GRMZM2G044498	Chr7	7419148	7421173	Zm00001d018868	Chr7	7846621	7849128	Zm00001eb300730	chr7	7729169	7731358																	
ao5	22.80		GRMZM2G406830	Chr7	7451202	7456538	Zm00001d018869	Chr7	7849925	7861720	Zm00001eb300740	chr7	7731972	7744293																	
pco142257	22.81		GRMZM2G107089	Chr7	7458916	7464267	Zm00001d018870	Chr7	7864146	7869448	Zm00001eb300750	chr7	7746366	7751707																	
mctp12	22.82		AC200753.3_FG003	Chr7	7464593	7467805	Zm00001d018871	Chr7	7869775	7872987	Zm00001eb300760	chr7	7751726	7755424																	
cl11185_1d	22.85		GRMZM2G143330	Chr7	7511949	7515744	Zm00001d018873	Chr7	7917158	7920964	Zm00001eb300780	chr7	7799494	7803287																	
rcc23	22.85		GRMZM2G443668	Chr7	7500378	7507301	Zm00001d018872	Chr7	7905108	7912883	Zm00001eb300770	chr7	7787706	7795145																	
umc2364	22.86		GRMZM5G860810	Chr7	8051536	8056829	Zm00001d018883	Chr7	8339737	8344221	Zm00001eb300880	chr7	8221658	8227343																	
IDP4082	22.86		AC208985.3_FG006	Chr7	7916937	7918036	Zm00001d018880	Chr7	8204950	8205545	Zm00001eb300850	chr7	8087232	8087827																	
fad18	22.86		GRMZM2G174766	Chr7	7922257	7923554	Zm00001d018881	Chr7	8210341	8211558	Zm00001eb300860	chr7	8092428	8093880																	
uce14	22.87		GRMZM2G074479	Chr7	8056369	8065662	Zm00001d018884	Chr7	8344609	8353437	Zm00001eb300890	chr7	8227093	8235576																	
GRMZM2G021149	22.87		GRMZM2G021149	Chr7	7959124	7960072	Zm00001d018882	Chr7	8247290	8248081	Zm00001eb300870	chr7	8129408	8133984																	
mab19	22.90		GRMZM2G074323	Chr7	8066461	8071872	Zm00001d018887	Chr7	8354405	8360116	Zm00001eb300900	chr7	8236644	8242512																	
cl22436_1b	22.92		GRMZM2G076630	Chr7	8177462	8184164	Zm00001d018890	Chr7	8471827	8478339	Zm00001eb300910	chr7	8354179	8361277																	
crp4	22.94		GRMZM2G377761	Chr7	8183160	8199889	Zm00001d018891	Chr7	8478320	8494304	Zm00001eb300920	chr7	8359676	8376751																	
cchh7	22.98		GRMZM2G144645	Chr7	8262461	8270332	Zm00001d018894	Chr7	8554885	8562634	Zm00001eb300940	chr7	8437240	8445079																	
ect7	23.00		GRMZM2G144726	Chr7	8310841	8315240	Zm00001d018896	Chr7	8603180	8607570	Zm00001eb300970	chr7	8485647	8490066																	
isu84c	23.33																														
TIDP2919	24.81		GRMZM2G312839	Chr7	8472497	8477372	Zm00001d018902	Chr7	8758340	8762850	Zm00001eb301000	chr7	8640733	8645410																	
