MaizeGDB: Details of Map Genetic 9
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Sequence
Zm00001eb372390	5.25		AC209664.3_FG002	Chr9	4651776	4654753	Zm00001d044828	Chr9	4249799	4253170	Zm00001eb372390	chr9	5952938	5956407									
cxe2	5.27		GRMZM2G003167	Chr9	4777177	4778055	Zm00001d044829	Chr9	4331182	4332060	Zm00001eb372400	chr9	6034417	6035295									
pco127498b	5.29		GRMZM2G124288	Chr9	4832871	4841388	Zm00001d044831	Chr9	4432965	4441480	Zm00001eb372410	chr9	6136134	6144721									
bnlg2122	5.33		GRMZM2G124276	Chr9	4843347	4845707	Zm00001d044833	Chr9	4443557	4445778	Zm00001eb372420	chr9	6146770	6149018									
LOC103637842	5.86		GRMZM2G413201	Chr9	4993653	5000876	Zm00001d044835	Chr9	4597903	4605486	Zm00001eb372470	chr9	6305959	6308066									
Zm00001eb372480	5.88		GRMZM2G113886	Chr9	5001975	5002534					Zm00001eb372480	chr9	6309865	6310289									
tcptf9	5.90		GRMZM2G113888	Chr9	5004014	5006205	Zm00001d044836	Chr9	4608923	4609996	Zm00001eb372490	chr9	6311753	6313844									
GRMZM5G862101	5.98		GRMZM5G862101	Chr9	5072079	5077777	Zm00001d044838	Chr9	4681922	4687585	Zm00001eb372500	chr9	6385078	6390861									
bhlh182	6.00		GRMZM5G878346	Chr9	5080203	5080969	Zm00001d044839	Chr9	4689770	4691044	Zm00001eb372510	chr9	6393477	6394057									
ppr459	6.40		GRMZM2G071986	Chr9	5319666	5328954	Zm00001d044843	Chr9	4935211	4937001	Zm00001eb372540	chr9	6638526	6640975									
arm34	6.70		GRMZM5G801423	Chr9	5414834	5419634	Zm00001d044845	Chr9	5023325	5034624	Zm00001eb372570	chr9	6725099	6738060									
flz33	6.90		GRMZM2G171752	Chr9	5454112	5455892	Zm00001d044849	Chr9	5070674	5072375	Zm00001eb372600	chr9	6774132	6775855									
mads60	7.00		GRMZM2G152415	Chr9	5512084	5517672	Zm00001d044850	Chr9	5086712	5091020	Zm00001eb372610	chr9	6789512	6794659									
trpp11	7.20		GRMZM2G080354	Chr9	5654774	5657748	Zm00001d044854	Chr9	5277549	5280537	Zm00001eb372640	chr9	6981107	6984085									
ereb31	7.50		GRMZM5G852704	Chr9	5877307	5878356	Zm00001d044857	Chr9	5518177	5519226	Zm00001eb372660	chr9	7221387	7223671									
Zm00001d044864	7.88		GRMZM2G090226	Chr9	6225588	6227109	Zm00001d044864	Chr9	5827581	5828567	Zm00001eb372750	chr9	7531111	7532403									
csu95a	7.96		GRMZM2G082198	Chr9	6307757	6313260	Zm00001d044869	Chr9	5913634	5919100	Zm00001eb372790	chr9	7617214	7622681									
fut4	8.00		GRMZM2G387087	Chr9	6366521	6369306	Zm00001d044872	Chr9	5980642	5983323	Zm00001eb372810	chr9	7686336	7686827									
pip1f	8.40		GRMZM2G136032	Chr9	6467685	6469385	Zm00001d020383	Chr7	110507409	110508756	Zm00001eb372820	chr9	7776028	7777373									
hsp31	8.42		GRMZM2G135960	Chr9	6491475	6492651	Zm00001d044874	Chr9	6096248	6097444	Zm00001eb372830	chr9	7799475	7800671									
LOC100274133	8.48		GRMZM2G051330	Chr9	6671222	6675883	Zm00001d044877	Chr9	6281845	6286526	Zm00001eb372860	chr9	7984988	7990149									
dnaJ83	8.50		GRMZM2G097620	Chr9	6826533	6839995	Zm00001d044878	Chr9	6328420	6370299	Zm00001eb372870	chr9	8037783	8038477									
mrpa26	8.98		GRMZM5G874756	Chr9	6998808	7001244	Zm00001d044895	Chr9	6587251	6589339	Zm00001eb372940	chr9	8273980	8276384									
pco101548	9.00		GRMZM2G174048	Chr9	7105655	7108037	Zm00001d044898	Chr9	6691109	6692081	Zm00001eb372950	chr9	8354758	8355319									
mads74	9.50		GRMZM5G814279	Chr9	7111132	7121722	Zm00001d044899	Chr9	6706712	6706927	Zm00001eb372960	chr9	8360060	8370652									
Zm00001eb372970	9.52		GRMZM2G017537	Chr9	7177685	7182643	Zm00001d044902	Chr9	6763127	6768077	Zm00001eb372970	chr9	8427044	8431576									
pco131850	9.60		GRMZM2G017257	Chr9	7187390	7211060	Zm00001d044903	Chr9	6772790	6796671	Zm00001eb372980	chr9	8436286	8460181									
ppr460	9.62		GRMZM2G017244	Chr9	7266420	7268133	Zm00001d044904	Chr9	6851924	6854957	Zm00001eb372990	chr9	8515422	8517421									
LOC103637874	9.64		GRMZM2G017232	Chr9	7268489	7269671	Zm00001d044904	Chr9	6851924	6854957	Zm00001eb373000	chr9	8517791	8518459									
hak29	10.88		GRMZM2G315137	Chr9	7286729	7289463	Zm00001d044905	Chr9	6872461	6874919	Zm00001eb373020	chr9	8536656	8537260									
opr2	10.90		GRMZM2G000236	Chr9	7308584	7310337	Zm00001d044906	Chr9	6893412	6895013	Zm00001eb373030	chr9	8556872	8558569									
opr1	11.00		GRMZM2G106303	Chr9	7393651	7395331	Zm00001d044908	Chr9	6927730	6929377	Zm00001eb373050	chr9	8591208	8592886									
lim343	11.55																						
T7-9(7074)(9)	12.00																						
aap1	12.00		GRMZM2G120302	Chr9	7579688	7587102	Zm00001d044916	Chr9	7175186	7182490	Zm00001eb373080	chr9	8838661	8846091									
si618008g06	12.10		GRMZM5G898880	Chr9	7616923	7618097	Zm00001d044920	Chr9	7244424	7253605	Zm00001eb373110	chr9	8907888	8917247									
pco090392b	12.11		GRMZM2G079949	Chr9	7615345	7618099	Zm00001d044921	Chr9	7253981	7254973	Zm00001eb373120	chr9	8917288	8918630									
IDP760	12.15		GRMZM2G152177	Chr9	7700559	7703377	Zm00001d044922	Chr9	7295915	7298705	Zm00001eb373130	chr9	8959304	8962465									
IDP111	12.20		GRMZM2G480850	Chr9	7772597	7773364	Zm00001d044925	Chr9	7355249	7355671	Zm00001eb373150	chr9	9018542	9019526									
cki7	12.30		GRMZM2G343769	Chr9	7870479	7871904	Zm00001d044927	Chr9	7467236	7468913	Zm00001eb373160	chr9	9116664	9118318									
fut3	12.50		GRMZM2G080696	Chr9	8015075	8016841	Zm00001d044933	Chr9	7628222	7629988	Zm00001eb373220	chr9	9277671	9279991									
ufg41	12.60		GRMZM2G150656	Chr9	8196419	8198717	Zm00001d044939	Chr9	7775710	7778040	Zm00001eb373290	chr9	9425213	9427560									
bzip100	13.00		GRMZM2G033413	Chr9	8230021	8240287	Zm00001d044940	Chr9	7823935	7834292	Zm00001eb373300	chr9	9473425	9483808									
dogt1	13.14		GRMZM2G403740	Chr9	8356142	8357843	Zm00001d044943	Chr9	7964025	7965551	Zm00001eb373320	chr9	9613394	9615299									
LOC100283466	13.18		GRMZM2G160964	Chr9	8419222	8426816	Zm00001d044945	Chr9	8015980	8024917	Zm00001eb373340	chr9	9665601	9674680									
bnlg1583	15.58																						
ereb217	15.76						Zm00001d044950	Chr9	8102498	8103283	Zm00001eb373370	chr9	9751854	9753372									
gbptf4	15.80		GRMZM2G066373	Chr9	8465318	8474373	Zm00001d044953	Chr9	8154859	8155761	Zm00001eb373390	chr9	9796713	9805897									
Zm00001d044954	15.81		GRMZM2G066358	Chr9	8475072	8476735	Zm00001d044954	Chr9	8156787	8158359	Zm00001eb373400	chr9	9806503	9808281									
duf707	15.83		GRMZM2G038869	Chr9	8650043	8650759	Zm00001d044963	Chr9	8341864	8342448	Zm00001eb373430	chr9	9991747	9992331									
si687060h06b	15.86		GRMZM2G070455	Chr9	8746804	8748283	Zm00001d044967	Chr9	8440157	8441512	Zm00001eb373460	chr9	10089974	10091440									
GRMZM2G070315	15.89		GRMZM2G070315	Chr9	8784027	8788729	Zm00001d044970	Chr9	8477460	8482074	Zm00001eb373490	chr9	10127268	10131968									
gta106b	15.90		GRMZM2G142072	Chr9	8949490	8962539	Zm00001d044971	Chr9	8641891	8655103	Zm00001eb373500	chr9	10291706	10305253									
hb140	15.94		GRMZM2G062318	Chr9	8977327	8981012	Zm00001d044973	Chr9	8669291	8673595	Zm00001eb373520	chr9	10319243	10323513									
T6-9(8536)(9)	16.00																						
cl35695_1	16.02		GRMZM5G808624	Chr9	9390452	9403102	Zm00001d044985	Chr9	9326845	9339769	Zm00001eb373580	chr9	10762024	10774986									
cyc29	16.04		AC213896.2_FG005	Chr9	9403906	9405943	Zm00001d044984	Chr9	9322719	9325785	Zm00001eb373590	chr9	10776229	10781587									
cl30679_1	16.06		GRMZM5G864689	Chr9	9503082	9513252	Zm00001d044982	Chr9	9201109	9211469	Zm00001eb373600	chr9	10890319	10900789									
si687008g04	16.12		GRMZM2G033130	Chr9	9643861	9653807	Zm00001d044979	Chr9	9105286	9115484	Zm00001eb373630	chr9	10986360	10996621									
LOC100274827	16.14		GRMZM2G033935	Chr9	9656230	9658866	Zm00001d044978	Chr9	9100281	9102917	Zm00001eb373640	chr9	10998984	11000960									
msl7	16.16		GRMZM2G005013	Chr9	9725407	9729582	Zm00001d044976	Chr9	9002299	9005803	Zm00001eb373650	chr9	11095767	11099435									
c1	16.18		GRMZM2G005066	Chr9	9746518	9747591	Zm00001d044975	Chr9	8983448	8984721	Zm00001eb373660	chr9	11117066	11118378									
grftf12	16.30		GRMZM2G067743	Chr9	9818084	9819919	Zm00001d000238	B73V4_ctg49	34019	35965	Zm00001eb373670	chr9	11188952	11191001									
Zm00001d045364	16.32		GRMZM2G008923	Chr9	9924853	9927688	Zm00001d045364	Chr9	19780648	19782886	Zm00001eb373680	chr9	11277942	11280906									
e2f10	16.34		GRMZM2G169709	Chr9	9941701	9945712	Zm00001d045365	Chr9	19796961	19801015	Zm00001eb373690	chr9	11295406	11295969									
ftr1	16.36		GRMZM2G122793	Chr9	9969973	9974729	Zm00001d045366	Chr9	19826408	19831154	Zm00001eb373700	chr9	11324428	11329182									
si707052g07	16.38		GRMZM5G882986	Chr9	10013246	10018520	Zm00001d000357	B73V4_ctg48	39499	44961	Zm00001eb373710	chr9	11366260	11371786									
T5-9(6057)(9)	17.00																						
si603004a08c	17.10		GRMZM2G055982	Chr9	10130271	10132941	Zm00001d044995	Chr9	9516903	9519596	Zm00001eb373760	chr9	11459693	11462235									
LOC103637922	17.14		GRMZM2G131888	Chr9	10280501	10282645	Zm00001d044999	Chr9	9673705	9676005	Zm00001eb373780	chr9	11616380	11618639									
LOC100282953	17.16		GRMZM2G086906	Chr9	10324545	10325413	Zm00001d045000	Chr9	9718247	9718675	Zm00001eb373790	chr9	11659425	11661460									
cl61016_1b	17.18		GRMZM2G087196	Chr9	10329784	10335347	Zm00001d045002	Chr9	9723241	9738322	Zm00001eb373800	chr9	11665851	11681219									
npf59	17.26		GRMZM2G447806	Chr9	10600312	10601406	Zm00001d045009	Chr9	10004953	10006135	Zm00001eb373840	chr9	11947508	11948828									
T6-9(5454)(9)	18.00																						
Zm00001d045013	18.16		GRMZM2G061257	Chr9	10808957	10811120	Zm00001d045013	Chr9	10193693	10195834	Zm00001eb373880	chr9	12136265	12138743									
crs4a	18.20		GRMZM2G053196	Chr9	10846021	10852948	Zm00001d045014	Chr9	10221137	10230897	Zm00001eb373900	chr9	12168325	12173646									
umc2335	18.70		GRMZM2G127911	Chr9	11067492	11076438	Zm00001d045021	Chr9	10449711	10457896	Zm00001eb373930	chr9	12392464	12400464									
T3-9(6722)(9)	19.00																						
arftf27	19.00		GRMZM2G160005	Chr9	11128329	11140405	Zm00001d045026	Chr9	10505361	10517524	Zm00001eb373970	chr9	12448248	12460296									
GRMZM2G127609	19.00		GRMZM2G127609	Chr9	11084775	11089919	Zm00001d045025	Chr9	10466380	10471375	Zm00001eb373960	chr9	12409089	12414124									
cl2801_1b	19.10		GRMZM2G012863	Chr9	11221871	11226442	Zm00001d045027	Chr9	10607821	10611813	Zm00001eb373980	chr9	12550548	12554993									
pco114058	19.20		GRMZM2G013318	Chr9	11233737	11237858	Zm00001d045028	Chr9	10620254	10622266	Zm00001eb373990	chr9	12562485	12566684									
IDP1969	19.22		GRMZM2G013607	Chr9	11237966	11242014	Zm00001d045029	Chr9	10624258	10628083	Zm00001eb374000	chr9	12566749	12570759									
dnaJ84	19.26		GRMZM2G070475	Chr9	11401592	11403958	Zm00001d045036	Chr9	10721546	10723719	Zm00001eb374040	chr9	12664188	12666631									
saur71	19.28		GRMZM2G451533	Chr9	11437286	11438177	Zm00001d045039	Chr9	10832838	10834164	Zm00001eb374060	chr9	12763605	12765302									
T4-9(6222)(9)	20.00																						
cl36665_1b	20.06		GRMZM2G167594	Chr9	11454488	11461317	Zm00001d045041	Chr9	10858894	10869057	Zm00001eb374080	chr9	12789775	12799901									
sh1	20.08		GRMZM2G089713	Chr9	11500926	11507687	Zm00001d045042	Chr9	10906934	10912944	Zm00001eb374090	chr9	12838008	12843999									
cad8	20.30		GRMZM2G090980	Chr9	11507902	11511688	Zm00001d045043	Chr9	10913773	10917850	Zm00001eb374100	chr9	12845042	12848726									
ereb160	20.58		GRMZM2G171179	Chr9	11535025	11537985	Zm00001d045044	Chr9	10942420	10945088	Zm00001eb374110	chr9	12873274	12875969									
ptf1	21.00		GRMZM2G024530	Chr9	11565132	11570108	Zm00001d045046	Chr9	10972295	10977439	Zm00001eb374120	chr9	12903174	12908621									
pme2	21.04		GRMZM2G046618	Chr9	11632550	11635276	Zm00001d045048	Chr9	11038810	11041663	Zm00001eb374140	chr9	12969705	12972676									
uce2	21.06		GRMZM2G177276	Chr9	11707996	11712257	Zm00001d045049	Chr9	11145384	11149540	Zm00001eb374150	chr9	13046877	13051190									
znf2	21.08		GRMZM2G478553	Chr9	11736162	11737986	Zm00001d045051	Chr9	11174053	11175048	Zm00001eb374170	chr9	13075250	13076774									
rpl35a	21.80		GRMZM2G177098	Chr9	11745997	11754981	Zm00001d045053	Chr9	11184015	11184376	Zm00001eb374200	chr9	13085252	13086032									
stc1	21.83		GRMZM2G177098	Chr9	11745997	11754981	Zm00001d045054	Chr9	11188093	11192433	Zm00001eb374210	chr9	13089357	13094100									
bz1	22.53		GRMZM2G165390	Chr9	11779648	11781406	Zm00001d045055	Chr9	11218973	11220493	Zm00001eb374230	chr9	13120306	13122164									
stk1	22.55		GRMZM2G165433	Chr9	11782450	11785572	Zm00001d045056	Chr9	11221592	11224808	Zm00001eb374240	chr9	13123197	13126328									
cyp66	22.58		GRMZM5G866027	Chr9	11926290	11939528	Zm00001d045063	Chr9	11346646	11348519	Zm00001eb374260	chr9	13248224	13250450									
mkk1	22.60		GRMZM5G834697	Chr9	11933029	11934767	Zm00001d045064	Chr9	11352507	11353550	Zm00001eb374270	chr9	13252611	13255820									
Zm00001d045069	22.66		GRMZM2G146358	Chr9	12027561	12030163	Zm00001d045069	Chr9	11471629	11474159	Zm00001eb374300	chr9	13373108	13375694									
AY107496	23.00		GRMZM2G467169	Chr9	12108547	12115783	Zm00001d045072	Chr9	11555037	11562320	Zm00001eb374330	chr9	13456618	13463356									
LOC100272372	23.46		GRMZM2G135476	Chr9	12269598	12272984	Zm00001d045074	Chr9	11747083	11750425	Zm00001eb374350	chr9	13648622	13652006									
si946031d03b	23.48		GRMZM2G436583	Chr9	12273487	12274887	Zm00001d045075	Chr9	11750924	11755340	Zm00001eb374360	chr9	13652463	13656907									
RSZ21	23.50		GRMZM2G151923	Chr9	12328207	12332219	Zm00001d045076	Chr9	11780929	11784701	Zm00001eb374380	chr9	13683863	13686227									
ring505	23.60		GRMZM2G151913	Chr9	12335649	12337524	Zm00001d045077	Chr9	11788307	11789563	Zm00001eb374390	chr9	13689338	13691406									
LOC103637966	23.89		GRMZM2G455306	Chr9	12338503	12340327	Zm00001d045078	Chr9	11791329	11792570	Zm00001eb374410	chr9	13692550	13694412									
LOC103637967	23.93		GRMZM2G151887	Chr9	12347589	12349695	Zm00001d045079	Chr9	11800345	11802240	Zm00001eb374430	chr9	13694959	13704034									
orc1	23.95		GRMZM2G455243	Chr9	12350567	12372569	Zm00001d045080	Chr9	11803157	11825109	Zm00001eb374440	chr9	13704574	13726647									
GRMZM2G032214	23.97		GRMZM2G032214	Chr9	12430196	12433750	Zm00001d045082	Chr9	11882604	11886317	Zm00001eb374450	chr9	13784133	13787901									
Zm00001d045088	23.99		GRMZM2G127990	Chr9	12623783	12627068	Zm00001d045088	Chr9	12095561	12098991	Zm00001eb374500	chr9	13992039	13995599									
Zm00001d045086	23.99		GRMZM2G428370	Chr9	12603133	12606224	Zm00001d045086	Chr9	12075059	12078631	Zm00001eb374480	chr9	13971388	13975016									
l6	24.00																						
ppr2263	24.00		AC215198.3_FG002	Chr9	12723540	12725903	Zm00001d045089	Chr9	12194663	12197108	Zm00001eb374510	chr9	14091079	14093999									
hct16	24.94						Zm00001d045091	Chr9	12253405	12254706	Zm00001eb374530	chr9	14149854	14151367									
hct17	24.96						Zm00001d045092	Chr9	12257338	12258660	Zm00001eb374550	chr9	14153592	14155238									
ppr465	24.98		GRMZM2G016866	Chr9	12889644	12891574	Zm00001d045094	Chr9	12376237	12377421	Zm00001eb374560	chr9	14272686	14279315									
pmpm3	25.00		GRMZM2G079306	Chr9	12875822	12883410	Zm00001d045096	Chr9	12384425	12385209	Zm00001eb374570	chr9	14280980	14289185									
Zm00001d045097	25.02		GRMZM2G081573	Chr9	12833154	12882244	Zm00001d045097	Chr9	12385337	12423941	Zm00001eb374580	chr9	14281835	14320596									
LOC100382657	25.20						Zm00001d045101	Chr9	12496055	12498594	Zm00001eb374630	chr9	14392362	14395199									
IDP9006	25.22		GRMZM2G453349	Chr9	13358533	13365171	Zm00001d045102	Chr9	12499967	12506527	Zm00001eb374640	chr9	14396278	14402904									
ubp42	25.28		GRMZM2G016323	Chr9	13169628	13180826	Zm00001d045104	Chr9	12687973	12699001	Zm00001eb374670	chr9	14584490	14595296									
si946044a10	25.48		GRMZM2G038640	Chr9	12996547	12998868	Zm00001d045106	Chr9	12889397	12891677	Zm00001eb374690	chr9	14771726	14774047									
bhlh10	25.50		GRMZM2G067654	Chr9	12986561	12988736	Zm00001d045107	Chr9	12899327	12901462	Zm00001eb374700	chr9	14781485	14784123									
umc1764	25.60		GRMZM2G067646	Chr9	12984099	12985856	Zm00001d045108	Chr9	12902395	12903438	Zm00001eb374710	chr9	14784475	14786224									
chr113	25.97		GRMZM2G409865	Chr9	13441353	13452917	Zm00001d045109	Chr9	13084842	13106200													
arr2	26.40		GRMZM2G409974	Chr9	13465293	13469635	Zm00001d045112	Chr9	13117991	13122682	Zm00001eb374760	chr9	15000341	15005370									
csu471	26.45		GRMZM2G109720	Chr9	13496885	13502062	Zm00001d045113	Chr9	13149723	13154901	Zm00001eb374780	chr9	15032088	15037387									
IDP2364	27.05		GRMZM2G008326	Chr9	13669878	13671463	Zm00001d045118	Chr9	13413330	13414131	Zm00001eb374810	chr9	15294924	15296611									
ereb207	27.10		GRMZM2G156006	Chr9	13761895	13762657	Zm00001d045120	Chr9	13432181	13432923	Zm00001eb374830	chr9	15313892	15314971									
