MaizeGDB: Details of Map Genetic 4
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
mmp192	3.43		GRMZM2G308860	Chr4	1256813	1261230					Zm00001d048621	Chr4	1519872	1524402	Zm00001eb164720	chr4	1824867	1829450																																																																									
LOC100275073	3.44		GRMZM5G843972	Chr4	1263665	1265447					Zm00001d048622	Chr4	1526818	1529212	Zm00001eb164730	chr4	1831789	1834185																																																																									
myb88	3.45		GRMZM2G048136	Chr4	1269236	1270429					Zm00001d048623	Chr4	1532822	1534194	Zm00001eb164740	chr4	1837797	1839174																																																																									
gras59	3.46		AC204621.4_FG006	Chr4	1274853	1275830					Zm00001d048624	Chr4	1538337	1539457																																																																													
gpm747	3.48		GRMZM2G349791	Chr4	1299466	1300872					Zm00001d048625	Chr4	1562955	1564019	Zm00001eb164750	chr4	1866884	1869039																																																																									
Zm00001d048626	3.48		GRMZM2G015232	Chr4	1463948	1466230					Zm00001d048626	Chr4	1714288	1716504	Zm00001eb164760	chr4	2019051	2019994																																																																									
LOC100273868	3.48		GRMZM2G107082	Chr4	1487077	1490437					Zm00001d048627	Chr4	1738291	1741620	Zm00001eb164780	chr4	2043122	2046726																																																																									
gpm833	3.49		GRMZM2G107302	Chr4	1513618	1514185					Zm00001d048630	Chr4	1765064	1765348																																																																													
impb26	3.49		GRMZM5G854334	Chr4	1498055	1499143					Zm00001d048628	Chr4	1742938	1750365	Zm00001eb164790	chr4	2047985	2055185																																																																									
XLOC_041196	3.49										Zm00001d026715	Chr4	1727750	1728312																																																																													
wakl26	3.49		GRMZM2G107308	Chr4	1515702	1516876					Zm00001d048631	Chr4	1766785	1769498	Zm00001eb164810	chr4	2070874	2074343																																																																									
bx6	3.50		GRMZM6G617209	Chr4	1252638	1254044					Zm00001d048634	Chr4	1846585	1848071	Zm00001eb164860	chr4	2151334	2152870																																																																									
nbs7	3.60														Zm00001eb164870	chr4	2168621	2172051																																																																									
LOC100193382	3.62		GRMZM2G455909	Chr4	1553768	1556576					Zm00001d048635	Chr4	1863485	1867128	Zm00001eb164880	chr4	2305693	2307244																																																																									
Zm00001d048636	3.76		GRMZM2G156346	Chr4	1871655	1872998					Zm00001d048636	Chr4	2418845	2419582	Zm00001eb164930	chr4	2723135	2724832																																																																									
nbs66	3.78		GRMZM2G455321	Chr4	1873582	1875342					Zm00001d048637	Chr4	2421429	2434362	Zm00001eb164940	chr4	2725831	2739388																																																																									
Zm00001d048640	3.79		GRMZM2G311664	Chr4	1915881	1922172					Zm00001d048640	Chr4	2483071	2484819																																																																													
IDP8478	3.80		GRMZM2G033544	Chr4	1987656	1991701					Zm00001d048643	Chr4	2534586	2541828	Zm00001eb164950	chr4	2839688	2847036																																																																									
IDP4387	3.84		GRMZM2G457287	Chr4	1996897	1999476					Zm00001d048644	Chr4	2546675	2549655	Zm00001eb164960	chr4	2851659	2854752																																																																									
cyp85	3.86		GRMZM2G131508	Chr4	2032089	2033821					Zm00001d048645	Chr4	2583583	2585267	Zm00001eb164970	chr4	2888776	2890460																																																																									
myb4	3.90		GRMZM2G131442	Chr4	2048276	2051646					Zm00001d048647	Chr4	2600276	2602518	Zm00001eb165000	chr4	2905504	2908201																																																																									
pme43	3.91		GRMZM2G431856	Chr4	2054500	2055868					Zm00001d048648	Chr4	2606137	2607496	Zm00001eb165010	chr4	2911255	2912898																																																																									
csu221	3.92		GRMZM2G131409	Chr4	2060577	2061511					Zm00001d048649	Chr4	2612412	2612975	Zm00001eb165030	chr4	2917312	2918225																																																																									
Zm00001d026716	3.94										Zm00001d026716	Chr4	2630257	2631043																																																																													
msf1	3.95		GRMZM2G057450	Chr4	2116635	2122723					Zm00001d048655	Chr4	2668192	2674113	Zm00001eb165060	chr4	2973281	2979419																																																																									
Zm00001d049551	4.05		GRMZM5G847159	Chr4	32842901	32844552					Zm00001d049551	Chr4	34378460	34380111	Zm00001eb172560	chr4	34759409	34761412																																																																									
lac16	5.00		GRMZM5G870184	Chr4	2266883	2309162					Zm00001d048658	Chr4	2822831	2825638	Zm00001eb165090	chr4	3128777	3131437																																																																									
lac15	5.04														Zm00001eb165130	chr4	3157604	3159376																																																																									
GRMZM5G815098	5.10		GRMZM5G815098	Chr4	2301223	2331397					Zm00001d048660	Chr4	2847383	2847973	Zm00001eb165160	chr4	3183828	3184371																																																																									
Zm00001eb165170	5.12		GRMZM2G171045	Chr4	2383933	2404454					Zm00001d048663	Chr4	2963433	2979198	Zm00001eb165170	chr4	3234793	3255162																																																																									
si605036e03	5.40		GRMZM2G171036	Chr4	2385906	2388151					Zm00001d048662	Chr4	2961499	2962521	Zm00001eb165180	chr4	3236995	3238872																																																																									
mkkk42	5.50		GRMZM2G448213	Chr4	2428415	2439794					Zm00001d048667	Chr4	3003539	3015421	Zm00001eb165210	chr4	3279151	3290546																																																																									
GRMZM2G146192	5.54		GRMZM2G146192	Chr4	2485517	2488901					Zm00001d048669	Chr4	3057594	3060877	Zm00001eb165230	chr4	3333132	3336554																																																																									
umc2279	5.73		GRMZM2G001169	Chr4	2517724	2519683					Zm00001d048671	Chr4	3088195	3089163	Zm00001eb165260	chr4	3363590	3365114																																																																									
umc2148	5.90		GRMZM2G001160	Chr4	2520732	2525511					Zm00001d048672	Chr4	3090493	3095287	Zm00001eb165270	chr4	3366098	3370929																																																																									
pco135234	6.00		GRMZM2G001116	Chr4	2526283	2530669					Zm00001d048673	Chr4	3095970	3100854	Zm00001eb165280	chr4	3371556	3376331																																																																									
umc123	6.15																																																																																										
tcptf35	7.00		GRMZM2G055024	Chr4	2551378	2555043					Zm00001d048674	Chr4	3124349	3125476																																																																													
pco093477	7.20		GRMZM2G020508	Chr4	2625962	2630150					Zm00001d048680	Chr4	3197914	3204309	Zm00001eb165310	chr4	3473528	3475738																																																																									
IDP2408a 	7.20		GRMZM2G020926	Chr4	2630191	2636110					Zm00001d048680	Chr4	3197914	3204309	Zm00001eb165330	chr4	3479467	3480622																																																																									
gras82	7.40		GRMZM2G106356	Chr4	2656855	2659044					Zm00001d048682	Chr4	3226716	3228605	Zm00001eb165340	chr4	3501991	3505203																																																																									
gras84	7.40		GRMZM2G106336	Chr4	2654200	2655918					Zm00001d048681	Chr4	3223779	3225488																																																																													
ring223	7.42		GRMZM2G106377	Chr4	2663958	2666164					Zm00001d048683	Chr4	3233706	3235463	Zm00001eb165360	chr4	3509305	3511313																																																																									
Zm00001d048687	7.48		GRMZM2G106429	Chr4	2685045	2687778					Zm00001d048687	Chr4	3254798	3257381	Zm00001eb165400	chr4	3530483	3533031																																																																									
IDP6828	7.50		GRMZM2G106443	Chr4	2697292	2699180					Zm00001d048688	Chr4	3266870	3268342	Zm00001eb165410	chr4	3542471	3544431																																																																									
fha19	7.52		GRMZM2G126453	Chr4	2758911	2766621					Zm00001d048689	Chr4	3334718	3345872	Zm00001eb165420	chr4	3610401	3621644																																																																									
Zm00001d048691	7.54		GRMZM2G126552	Chr4	2769172	2772923					Zm00001d048691	Chr4	3348342	3351882	Zm00001eb165440	chr4	3624033	3627815																																																																									
pco116765	7.56		GRMZM2G062129	Chr4	2835289	2841246					Zm00001d048693	Chr4	3408213	3414247	Zm00001eb165460	chr4	3683915	3689959																																																																									
flz16	7.60		GRMZM2G062160	Chr4	2843218	2844283					Zm00001d048694	Chr4	3416245	3417544	Zm00001eb165470	chr4	3691950	3693312																																																																									
IDP8194	7.62		GRMZM2G139872	Chr4	2856805	2860358					Zm00001d048695	Chr4	3429846	3433327	Zm00001eb165480	chr4	3705516	3709097																																																																									
pgl19	7.64		GRMZM2G139828	Chr4	2867359	2871213					Zm00001d048696	Chr4	3440984	3444303	Zm00001eb165490	chr4	3715953	3719971																																																																									
mads40	7.80		GRMZM2G441115	Chr4	2892328	2894627					Zm00001d048697	Chr4	3464266	3467995	Zm00001eb165510	chr4	3739766	3743953																																																																									
LOC103652723	7.84		GRMZM5G826579	Chr4	2938446	2943004					Zm00001d048701	Chr4	3509534	3516197	Zm00001eb165530	chr4	3785448	3788223																																																																									
LOC103652721	7.86		GRMZM2G422829	Chr4	2943847	2944793					Zm00001d048701	Chr4	3509534	3516197																																																																													
bx3	9.00		GRMZM2G167549	Chr4	3003162	3005932					Zm00001d048702	Chr4	3574390	3576530	Zm00001eb165550	chr4	3850064	3852826																																																																									
bx4	9.38		GRMZM2G172491	Chr4	3051215	3054036					Zm00001d048703	Chr4	3614699	3616705	Zm00001eb165560	chr4	3890323	3892942																																																																									
Zm00001d048704	9.40										Zm00001d048704	Chr4	3617330	3619610																																																																													
bx5	9.51		GRMZM2G063756	Chr4	3112925	3115501					Zm00001d048705	Chr4	3672327	3674403	Zm00001eb165580	chr4	3947906	3950125																																																																									
bx8	11.00		GRMZM2G085054	Chr4	3214647	3216558					Zm00001d048707	Chr4	3787419	3789065	Zm00001eb165590	chr4	4060833	4062879																																																																									
bx1	11.90		GRMZM2G085381	Chr4	3260762	3263006					Zm00001d048709	Chr4	3833330	3835353	Zm00001eb165610	chr4	4106275	4108968																																																																									
bx2	11.90		GRMZM2G085661	Chr4	3265213	3267368					Zm00001d048710	Chr4	3837797	3839930	Zm00001eb165620	chr4	4111390	4113543																																																																									
GRMZM2G085854	11.92		GRMZM2G085854	Chr4	3270661	3272696					Zm00001d048711	Chr4	3843348	3844823	Zm00001eb165630	chr4	4116762	4118560																																																																									
pex2	12.01		GRMZM2G478929	Chr4	3413177	3413824					Zm00001d048715	Chr4	4114481	4118893	Zm00001eb165660	chr4	4389459	4393855																																																																									
ralf8	12.03		GRMZM2G371159	Chr4	3456655	3457116					Zm00001d048716	Chr4	4145643	4146017	Zm00001eb165690	chr4	4420569	4421201																																																																									
cprf1	12.04		GRMZM2G070723	Chr4	3457667	3464144					Zm00001d048717	Chr4	4146610	4153083	Zm00001eb165700	chr4	4421513	4428072																																																																									
nl4	12.05		GRMZM2G070553	Chr4	3464429	3471840					Zm00001d048718	Chr4	4153365	4160810	Zm00001eb165710	chr4	4428323	4435765																																																																									
grx10	12.08		GRMZM2G371063	Chr4	3478455	3478977					Zm00001d048719	Chr4	4178505	4178837	Zm00001eb165740	chr4	4453325	4453798																																																																									
grx11	12.08		GRMZM5G860607	Chr4	3482021	3482359					Zm00001d048720	Chr4	4181912	4182247	Zm00001eb165750	chr4	4456660	4457308																																																																									
Zm00001d048721	12.10		GRMZM2G070429	Chr4	3484283	3487918					Zm00001d048721	Chr4	4184200	4187807	Zm00001eb165770	chr4	4457747	4463196																																																																									
idd25	12.12		GRMZM2G070374	Chr4	3488089	3489569					Zm00001d048722	Chr4	4187982	4189310																																																																													
Zm00001d048723	12.14		GRMZM2G370988	Chr4	3519148	3520174					Zm00001d048723	Chr4	4219129	4220219	Zm00001eb165790	chr4	4494101	4495409																																																																									
LOC100381524	12.26		GRMZM2G048983	Chr4	3559337	3560330									Zm00001eb165800	chr4	4534456	4535344																																																																									
caspl18	14.30		GRMZM2G398529	Chr4	3598972	3599925					Zm00001d048727	Chr4	4318415	4319363	Zm00001eb165820	chr4	4575096	4576152																																																																									
caspl19	14.32		GRMZM2G098047	Chr4	3600626	3601268					Zm00001d048728	Chr4	4320093	4320698	Zm00001eb165830	chr4	4576739	4577674																																																																									
caspl20	14.34		GRMZM2G398533	Chr4	3605202	3605964					Zm00001d048729	Chr4	4324468	4325654	Zm00001eb165840	chr4	4581216	4582420																																																																									
umc1669	14.38		GRMZM2G037472	Chr4	3748230	3751679					Zm00001d048731	Chr4	4464763	4469275	Zm00001eb165860	chr4	4721575	4726122																																																																									
nhx1	14.40		GRMZM2G037342	Chr4	3752277	3757733					Zm00001d048732	Chr4	4469601	4475393	Zm00001eb165870	chr4	4726401	4732153																																																																									
naat2	14.44		GRMZM2G006480	Chr4	3893115	3896019					Zm00001d048736	Chr4	4607651	4610357	Zm00001eb165890	chr4	4864451	4867210																																																																									
zpl1a	15.00																																																																																										
pd1	16.00																																																																																										
Zm00001eb165930	16.96		GRMZM2G048635	Chr4	4057995	4061542					Zm00001d048739	Chr4	4786054	4789345	Zm00001eb165930	chr4	5030101	5033663																																																																									
IDPCP93901	17.00		GRMZM2G348675	Chr4	4068458	4092940					Zm00001d048741	Chr4	4796507	4825085	Zm00001eb165950	chr4	5040850	5065312																																																																									
Zm00001d048742	17.04		GRMZM2G048866	Chr4	4101279	4105204					Zm00001d048742	Chr4	4829087	4832212	Zm00001eb165970	chr4	5073852	5076304																																																																									
LOC103652742	17.06		GRMZM2G348729	Chr4	4104829	4109006					Zm00001d048743	Chr4	4833676	4836651	Zm00001eb165980	chr4	5079604	5081460																																																																									
IDP6065	17.80										Zm00001d048746	Chr4	4872871	4873749	Zm00001eb166010	chr4	5117079	5118083																																																																									
C0PNZ8	17.90		GRMZM2G398057	Chr4	4177063	4180430									Zm00001eb166050	chr4	5242973	5246123																																																																									
zpl1d	18.00																																																																																										
rp4	19.00																																																																																										
zpl1b	19.00																																																																																										
zpl1c	19.00																																																																																										
dzr1	19.80																																																																																										
tdc4	19.98		GRMZM2G441632	Chr4	4209080	4210728					Zm00001d048758	Chr4	5025702	5027276	Zm00001eb166090	chr4	5270000	5271950																																																																									
lac10	20.00		GRMZM2G140527	Chr4	4216683	4219243					Zm00001d048759	Chr4	5033268	5035828	Zm00001eb166100	chr4	5277667	5280187																																																																									
caspl21	20.01		GRMZM2G399826	Chr4	4275055	4277932					Zm00001d048761	Chr4	5091803	5094512	Zm00001eb166140	chr4	5336037	5337576																																																																									
arm36	20.06		GRMZM2G100118	Chr4	4322941	4330359					Zm00001d048763	Chr4	5139506	5146925	Zm00001eb166150	chr4	5383855	5391453																																																																									
pls2	20.10		GRMZM5G878139	Chr4	4398962	4410023					Zm00001d048766	Chr4	5217092	5228295	Zm00001eb166180	chr4	5461609	5472675																																																																									
GRMZM5G813627	20.11		GRMZM5G813627	Chr4	4621060	4626996					Zm00001d048777	Chr4	5407409	5413841	Zm00001eb166260	chr4	5651921	5658559																																																																									
