MaizeGDB: Details of Map Genetic 6
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Ki11-REFERENCE-NAM-1.0_gene_model	Zm-Ki11-REFERENCE-NAM-1.0_chr	Zm-Ki11-REFERENCE-NAM-1.0_start	Zm-Ki11-REFERENCE-NAM-1.0_end	Sequence
frk2	5.66		GRMZM2G051677	Chr6	3573121	3576235	Zm00001d035038	Chr6	2749869	2752983	Zm00001eb260710	chr6	8868980	8871567													
Zm00001eb260720	5.68		GRMZM2G065532	Chr6	3590457	3598692	Zm00001d035065	Chr6	3644758	3653000	Zm00001eb260720	chr6	8885869	8894322													
pub39	5.70										Zm00001eb260730	chr6	8939174	8943137													
Zm00001eb260760	5.96		GRMZM2G104894	Chr6	3682150	3682999	Zm00001d035070	Chr6	3733815	3735288	Zm00001eb260760	chr6	8975361	8976177													
ppr334	5.98		GRMZM2G143646	Chr6	3775856	3780306	Zm00001d035072	Chr6	3828452	3832726	Zm00001eb260770	chr6	9069478	9075212													
T3-6b(6)	6.00																										
T4-6c(6)	6.00																										
nactf54	6.00		GRMZM2G030325	Chr6	3872449	3875734	Zm00001d035076	Chr6	3928244	3931456	Zm00001eb260790	chr6	9169717	9173081													
hcf26	7.00																										
zar5	7.20		GRMZM2G175995	Chr6	3976733	3977389	Zm00001d035079	Chr6	4023664	4024023	Zm00001eb260800	chr6	9264039	9265657													
cl48777_1e	7.21		GRMZM2G175989	Chr6	3991186	3992505	Zm00001d035081	Chr6	4037971	4039290	Zm00001eb260820	chr6	9279222	9280771													
cel21	7.22		GRMZM2G009025	Chr6	4018241	4020287	Zm00001d035082	Chr6	4052637	4054293	Zm00001eb260830	chr6	9293893	9296185													
GRMZM2G126196	7.24		GRMZM2G126196	Chr6	4145522	4146494	Zm00001d035083	Chr6	4189141	4190124	Zm00001eb260840	chr6	9430607	9431715													
nactf123	7.60		GRMZM2G092465	Chr6	4308720	4311321	Zm00001d035084	Chr6	4344874	4346980	Zm00001eb260850	chr6	9586169	9588927													
pco112680	7.70		GRMZM2G173428	Chr6	4436818	4442828	Zm00001d035086	Chr6	4484147	4489968	Zm00001eb260870	chr6	9725571	9731906													
arpp1a	8.00		GRMZM2G032315	Chr6	4596812	4609378	Zm00001d035087	Chr6	4639411	4640898	Zm00001eb260880	chr6	9881024	9882528													
LOC100384121	8.18		GRMZM2G563732	Chr6	4688669	4691148	Zm00001d035089	Chr6	4680671	4738066	Zm00001eb260910	chr6	9964561	9979711													
pco090908	8.20		GRMZM2G144873	Chr6	4802025	4806540	Zm00001d035090	Chr6	4848921	4853314	Zm00001eb260920	chr6	10090693	10095108													
cl20018_1	8.40		GRMZM5G878823	Chr6	4840291	4847134	Zm00001d035092	Chr6	4891397	4894111	Zm00001eb260940	chr6	10132898	10135754													
umc2698	8.50		GRMZM2G391364	Chr6	4899727	4900501	Zm00001d035095	Chr6	4940987	4941433	Zm00001eb260970	chr6	10182218	10183164													
Zm00001d035098	8.54		GRMZM2G125138	Chr6	5157377	5161585	Zm00001d035098	Chr6	5182910	5186989	Zm00001eb260990	chr6	10424371	10428714													
Zm00001d035104	8.79						Zm00001d035104	Chr6	5479514	5480229	Zm00001eb261060	chr6	10719146	10719948													
PCO069699	8.80																										
T4-6(003-16)(6)	9.00																										
T4-6(5227)(6)	9.00																										
IDP7282	9.13		GRMZM2G573732	Chr6	6001783	6008058	Zm00001d035113	Chr6	5768605	5775689	Zm00001eb261130	chr6	11008029	11015481													
mate1	9.15		GRMZM5G870170	Chr6	5869544	5874565	Zm00001d035115	Chr6	5904499	5909575	Zm00001eb261140	chr6	11144240	11149527													
acr22	9.21		GRMZM2G034404	Chr6	5644282	5646536	Zm00001d035119	Chr6	6131054	6133096	Zm00001eb261170	chr6	11370541	11372718													
si486014c02	10.00		GRMZM2G013152	Chr6	5511084	5513837	Zm00001d035124	Chr6	6263975	6266626	Zm00001eb261190	chr6	11503532	11506279													
AC193598.3_FG002	10.02		AC193598.3_FG002	Chr6	5506218	5510111	Zm00001d035125	Chr6	6267547	6271653	Zm00001eb261200	chr6	11507155	11511452													
rhm1	11.00																										
T6-8(017-14)(6)	11.00																										
T1-6b(6)	11.00																										
T4-6(7328)(6)	11.00																										
T5-6d(6)	11.00																										
er4	11.00		GRMZM2G364977	Chr6	6186659	6190185	Zm00001d035133	Chr6	6531539	6534487	Zm00001eb261230	chr6	11748265	11751527													
LOC100278389	11.00		GRMZM2G364982	Chr6	6190110	6191342	Zm00001d035132	Chr6	6529948	6531022	Zm00001eb261220	chr6	11746682	11747977													
cct36	11.02		GRMZM2G134066	Chr6	6257687	6259066	Zm00001d035134	Chr6	6607237	6608610	Zm00001eb261240	chr6	11824149	11825521													
Zm00001eb261260	11.06		GRMZM2G134130	Chr6	6261448	6262458	Zm00001d035135	Chr6	6610861	6611724	Zm00001eb261260	chr6	11827867	11828916													
sudh7	12.00		GRMZM2G134134	Chr6	6270568	6274593	Zm00001d035136	Chr6	6620118	6623924	Zm00001eb261270	chr6	11837016	11840906													
agrp144	12.25																										
Zm00001d035139	12.50		GRMZM2G412470	Chr6	6320153	6326145	Zm00001d035139	Chr6	6672824	6678678	Zm00001eb261280	chr6	11889654	11895839													
IDP8322	13.00		GRMZM2G471065	Chr6	6620895	6623007	Zm00001d035149	Chr6	7048494	7050657	Zm00001eb261380	chr6	12248212	12251370													
IDP8240	13.40		GRMZM2G449489	Chr6	6809865	6815714	Zm00001d035153	Chr6	7125784	7140658	Zm00001eb261400	chr6	12326486	12333306													
bhlh195	14.16						Zm00001d035154	Chr6	7194856	7195790	Zm00001eb261420	chr6	12393284	12396624													
bhlh45	14.17		GRMZM2G481280	Chr6	6917077	6917523	Zm00001d035155	Chr6	7226400	7226759																	
gpc2	14.18		GRMZM2G180625	Chr6	6901483	6906034	Zm00001d035156	Chr6	7238033	7242155	Zm00001eb261430	chr6	12439019	12443144													
lht2	14.20		GRMZM2G180659	Chr6	6892849	6897889	Zm00001d035157	Chr6	7246875	7250944	Zm00001eb261440	chr6	12447067	12452122													
aaap40	14.38		GRMZM2G127342	Chr6	7038959	7042612	Zm00001d035161	Chr6	7394931	7396934	Zm00001eb261470	chr6	12594118	12599541													
lht1	14.40		GRMZM2G127328	Chr6	7047884	7050404	Zm00001d035162	Chr6	7402215	7405017	Zm00001eb261480	chr6	12602918	12605884													
aaap41	14.42		GRMZM2G127294	Chr6	7054647	7062645	Zm00001d035163	Chr6	7409171	7417031	Zm00001eb261490	chr6	12609928	12617888													
aaap43	14.44		GRMZM2G127338	Chr6	7126991	7129543	Zm00001d035166	Chr6	7479108	7485895	Zm00001eb261500	chr6	12679913	12682491													
aaap44	14.46		GRMZM2G429322	Chr6	7131380	7134328	Zm00001d035166	Chr6	7479108	7485895	Zm00001eb261510	chr6	12684187	12687135													
GRMZM2G127299	14.48		GRMZM2G127299	Chr6	7134993	7140529	Zm00001d035167	Chr6	7486918	7493035	Zm00001eb261520	chr6	12687786	12693903													
LOC100217132	14.53		GRMZM2G057091	Chr6	7152770	7157266	Zm00001d035169	Chr6	7512647	7517103	Zm00001eb261540	chr6	12713512	12717960													
IDP6972	14.55		GRMZM2G057026	Chr6	7157498	7161862	Zm00001d035170	Chr6	7517294	7521650	Zm00001eb261550	chr6	12718164	12722489													
Zm00001d035172	14.59		GRMZM2G306727	Chr6	7232528	7235241	Zm00001d035172	Chr6	7609917	7612666	Zm00001eb261570	chr6	12809903	12814283													
IDP360	14.80		GRMZM2G491719	Chr6	7457344	7458471					Zm00001eb261600	chr6	12980879	12981398													
Zm00001d035178	14.84		GRMZM2G384884	Chr6	7624206	7626565	Zm00001d035178	Chr6	8037161	8039192	Zm00001eb261620	chr6	13238098	13240114													
LOC103630858	14.86						Zm00001d035181	Chr6	8391486	8457697	Zm00001eb261630	chr6	13591758	13592480													
rxo1	15.00		GRMZM2G334584	Chr6	8100151	8105044	Zm00001d035183	Chr6	8514154	8561029	Zm00001eb261660	chr6	13715219	13719719													
IDP749	15.10		GRMZM2G068955	Chr6	8106360	8111813	Zm00001d035184	Chr6	8532240	8535334	Zm00001eb261680	chr6	13733057	13736047													
IDP8115	15.18		GRMZM2G136680	Chr6	8138452	8143978	Zm00001d035185	Chr6	8562525	8568023	Zm00001eb261690	chr6	13763127	13769328													
cl22526_1	15.20		GRMZM2G136700	Chr6	8144596	8148917	Zm00001d035186	Chr6	8568669	8572990	Zm00001eb261700	chr6	13769709	13774031													
umc85a	15.24		GRMZM2G019225	Chr6	8272015	8277539	Zm00001d035191	Chr6	8696067	8700892	Zm00001eb261720	chr6	13897045	13901927													
GRMZM2G700862	15.30		GRMZM2G700862	Chr6	8180774	8181633	Zm00001d035187	Chr6	8604693	8614098																	
lsd2	15.90		GRMZM2G060057	Chr6	8682402	8684083	Zm00001d035195	Chr6	9103154	9104875	Zm00001eb261760	chr6	14304049	14306059													
lug8	16.65		GRMZM2G061186	Chr6	8382834	8403391	Zm00001d035194	Chr6	8811527	8823988	Zm00001eb261740	chr6	14012564	14033318													
lsd2	16.66		GRMZM2G060057	Chr6	8682402	8684083	Zm00001d035195	Chr6	9103154	9104875	Zm00001eb261760	chr6	14304049	14306059													
miR160c	16.68		zma-MIR160c	Chr6	9147415	9147514	zma-MIR160c	Chr6	9551862	9551961																	
tdm1	16.68		GRMZM2G442170	Chr6	9150802	9155328	Zm00001d035197	Chr6	9555507	9559749	Zm00001eb261800	chr6	14747161	14752094													
si605051b05	16.69		GRMZM2G066400	Chr6	9193296	9197320	Zm00001d035199	Chr6	9598517	9602960	Zm00001eb261820	chr6	14790725	14794904													
arpp0	16.70		GRMZM2G066460	Chr6	9206517	9209074	Zm00001d035201	Chr6	9611943	9614439	Zm00001eb261840	chr6	14803943	14806454													
ccl20	16.70		GRMZM2G066426	Chr6	9202975	9206300	Zm00001d035200	Chr6	9608412	9611522	Zm00001eb261830	chr6	14800426	14803514													
isu85a	16.93																										
po1	17.00																										
T6-10f(6)	17.10																										
T3-6(032-3)(6)	17.10																										
T5-6(8696)(6)	17.10																										
T5-6f(6)	17.10																										
T6-7(035-3)(6)	17.20																										
T2-6(5419)(6)	17.20																										
T3-6(030-8)(6)	17.20																										
GRMZM2G301884	17.20		GRMZM2G301884	Chr6	9493133	9497913	Zm00001d035206	Chr6	9899027	9902389	Zm00001eb261870	chr6	15091034	15095241													
mdm1	17.27																										
wsm1	17.27																										
umc2515	17.28		GRMZM2G000945	Chr6	9496433	9499213	Zm00001d035207	Chr6	9902165	9905067	Zm00001eb261880	chr6	15094326	15097446													
T6-10(5519)(6)	17.30																										
T1-6(4986)(6)	17.30																										
T1-6(8415)(6)	17.30																										
T1-6(Li)(6)	17.30																										
T2-6(027-4**)(6)	17.30																										
T2-6(8441)(6)	17.30																										
umc1606	17.30		GRMZM2G301803	Chr6	9499905	9504991	Zm00001d035208	Chr6	9905774	9910868	Zm00001eb261890	chr6	15097956	15103050													
csu70	17.32		GRMZM2G165655	Chr6	9618364	9623068	Zm00001d035212	Chr6	10035680	10040260	Zm00001eb261910	chr6	15227756	15232612													
GRMZM2G055238	17.34		GRMZM2G055238	Chr6	9651143	9652873	Zm00001d035214	Chr6	10070049	10071716	Zm00001eb261920	chr6	15262227	15263941													
Zm00001d035346	17.40		GRMZM2G375015	Chr6	13087696	13088240	Zm00001d035346	Chr6	22716458	22744646	Zm00001eb262580	chr6	18323047	18325944													
rDNA25S	17.50																										
T6-9(4778)(6)	17.50																										
T6-10(5253)(6)	17.50																										
T6-7(4964)(6)	17.50																										
T6-7(5181)(6)	17.50																										
T6-9a(6)	17.50																										
T6-9d(6)	17.50																										
T1-6(6189**)(6)	17.50																										
T2-6(8786)(6)	17.50																										
T4-6(4341)(6)	17.50																										
T4-6(7037)(6)	17.50																										
NOR	17.50																										
TB-6Sa(6)	17.50																										
traf56	17.50		GRMZM2G400647	Chr6	13715943	13716499					Zm00001eb262710	chr6	19109425	19112997													
Zm00001d035374	17.50		GRMZM2G106530	Chr6	13800060	13801038	Zm00001d035374	Chr6	23619172	23619812																	
scmv1	17.51		GRMZM2G014055	Chr6	14195929	14197087	Zm00001d035390	Chr6	24034207	24035363	Zm00001eb262910	chr6	19611658	19613000													
IDP219	17.51		GRMZM2G134020	Chr6	13653677	13655033	Zm00001d035367	Chr6	23489630	23490985	Zm00001eb262690	chr6	19083572	19084155													
IDP4401	17.51		GRMZM2G048791	Chr6	14347183	14348614	Zm00001d035395	Chr6	24184508	24189866	Zm00001eb262970	chr6	19765308	19767457													
IDP4090	17.51		GRMZM2G403828	Chr6	13859139	13869979	Zm00001d035377	Chr6	23680168	23690640	Zm00001eb262750	chr6	19273828	19284283													
tbl32	17.51		GRMZM2G040833	Chr6	14028504	14032844	Zm00001d035385	Chr6	23869436	23871569	Zm00001eb262860	chr6	19446579	19448879													
IDP8646	17.51		GRMZM2G150543	Chr6	13976221	13977442	Zm00001d035381	Chr6	23814150	23826050	Zm00001eb262800	chr6	19398064	19399648													
zim9	17.51		GRMZM2G338829	Chr6	14014557	14015717	Zm00001d035382	Chr6	23840275	23852509	Zm00001eb262840	chr6	19416183	19436869													
osc10	17.51		GRMZM5G821318	Chr6	14137891	14143416	Zm00001d035389	Chr6	23996601	24010418	Zm00001eb262900	chr6	19579637	19584891													
Zm00001d035392	17.51		GRMZM2G369401	Chr6	14216994	14222278	Zm00001d035392	Chr6	24057841	24071799																	
Zm00001eb262830	17.51		GRMZM2G489651	Chr6	13991472	13992101					Zm00001eb262830	chr6	19408818	19412673													
voz7	17.52						Zm00001d035408	Chr6	24597448	24602772	Zm00001eb263050	chr6	20178308	20181177													
IDP4313	17.52		AC204662.3_FG005	Chr6	14780582	14781190					Zm00001eb263070	chr6	20193387	20195755													
IDP4163	17.52		GRMZM2G161761	Chr6	14787926	14790310	Zm00001d035413	Chr6	24624255	24626622	Zm00001eb263100	chr6	20200590	20203053													
IDP4861	17.52		GRMZM2G372684	Chr6	15556686	15580563	Zm00001d035434	Chr6	25350885	25353799	Zm00001eb263200	chr6	20928606	20952495													
IDP7892	17.52		GRMZM2G076943	Chr6	14559246	14562309	Zm00001d035400	Chr6	24389981	24393065	Zm00001eb263000	chr6	19967163	19970668													
aasr10	17.52		GRMZM2G009792	Chr6	14770292	14771363	Zm00001d035409	Chr6	24606673	24607624	Zm00001eb263060	chr6	20184108	20185166													
Zm00001eb263020	17.52		GRMZM2G156578	Chr6	14678060	14679836	Zm00001d035404	Chr6	24510382	24514592	Zm00001eb263020	chr6	20086840	20092427													
Zm00001d035222	17.53		GRMZM5G830269	Chr6	11204283	11205441	Zm00001d035222	Chr6	13560156	13560807	Zm00001eb263810	chr6	22891546	22897045													
cnih1	17.54		GRMZM2G018885	Chr6	18708803	18712804	Zm00001d035235	Chr6	16089925	16093478	Zm00001eb264160	chr6	25412901	25416680													
gbptf1	17.54		GRMZM2G392516	Chr6	19962225	19966288	Zm00001d035224	Chr6	14927596	14930694	Zm00001eb264080	chr6	24244336	24264722													
gbptf15	17.54		GRMZM2G036966	Chr6	18918022	18924439	Zm00001d035234	Chr6	15908223	15911138	Zm00001eb264150	chr6	25231349	25237799													
LOC103629127	17.54		GRMZM2G319402	Chr6	19367440	19373658	Zm00001d035229	Chr6	15530206	15536423	Zm00001eb264110	chr6	24864849	24871302													
gbptf25	17.54		GRMZM2G003679	Chr6	18845196	18846196	Zm00001d035233	Chr6	15856602	15857420	Zm00001eb264140	chr6	25179527	25180650													
aaap45	17.55		AC205362.4_FG002	Chr6	18156614	18158600	Zm00001d035243	Chr6	16653132	16655500	Zm00001eb264210	chr6	25976512	25978877													
si687065d10c	17.56		GRMZM2G410085	Chr6	18041267	18046390	Zm00001d035245	Chr6	16780651	16782019	Zm00001eb264230	chr6	26100804	26106137													
TIDP3648	17.56		GRMZM2G130728	Chr6	17956543	17958948	Zm00001d035246	Chr6	16838371	16840759	Zm00001eb264250	chr6	26161718	26164193													
si707051g12ac	17.59		GRMZM2G100579	Chr6	17424202	17427965	Zm00001d035254	Chr6	17432744	17436513	Zm00001eb264300	chr6	26743889	26748074													
rgd1	17.60		GRMZM2G020187	Chr6	17165517	17171948	Zm00001d035256	Chr6	17759389	17765846	Zm00001eb264310	chr6	27065686	27072113													
prh103	17.61		GRMZM2G000603	Chr6	16792709	16799174	Zm00001d035263	Chr6	18170392	18176924	Zm00001eb264360	chr6	27476632	27483313													
nactf119	17.62		GRMZM2G393433	Chr6	16291317	16293647	Zm00001d035266	Chr6	18673737	18675956	Zm00001eb264380	chr6	27980128	27982420													
LOC103629105	17.62		GRMZM2G092286	Chr6	16144037	16152714	Zm00001d035267	Chr6	18771626	18781091	Zm00001eb264400	chr6	28078821	28087498													
pco124941	17.63		GRMZM2G060856	Chr6	21181245	21184470	Zm00001d035288	Chr6	19435950	19439086	Zm00001eb264480	chr6	28742453	28745275													
aco11	17.63		GRMZM2G311024	Chr6	20733232	20741179	Zm00001d035277	Chr6	18983813	18992571	Zm00001eb264440	chr6	28296882	28298157													
LOC103629136	17.63		AC234183.1_FG002	Chr6	20999883	21008195	Zm00001d035285	Chr6	19340069	19371142	Zm00001eb264470	chr6	28646381	28677797													
TIDP3440	17.64		GRMZM2G002115	Chr6	21527771	21530825	Zm00001d035297	Chr6	19825441	19828506	Zm00001eb264550	chr6	29131840	29135917													
gbptf13	17.64		GRMZM2G155252	Chr6	21463521	21465358	Zm00001d035295	Chr6	19729794	19731113	Zm00001eb264520	chr6	29035907	29037891													
LOC103629142	17.64		GRMZM2G108501	Chr6	21315853	21316623	Zm00001d035294	Chr6	19588220	19593139	Zm00001eb264510	chr6	28894614	28899600													
IDP1988	17.65		GRMZM2G050705	Chr6	21850687	21854543	Zm00001d035298	Chr6	20153344	20157157	Zm00001eb264580	chr6	29459688	29463657													
TIDP3394	17.65		GRMZM2G050561	Chr6	21885971	21901977	Zm00001d035300	Chr6	20188276	20191916	Zm00001eb264600	chr6	29501999	29505922													
idc1	17.66						Zm00001d035308	Chr6	20483349	20484802	Zm00001eb264660	chr6	29769585	29771229													
cl3063_1c	17.66		GRMZM2G005622	Chr6	21940556	21943831	Zm00001d035303	Chr6	20251536	20254777	Zm00001eb264620	chr6	29557734	29561250													
limtf10	17.66		GRMZM2G004959	Chr6	21973369	21975498	Zm00001d035304	Chr6	20284434	20286443	Zm00001eb264630	chr6	29590790	29592865													
