MaizeGDB: Details of Map Genetic 3
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Sequence
LOC107198085	0.50		GRMZM2G087714	Chr3	1477248	1478960	Zm00001d039262	Chr3	763210	765019	Zm00001eb118910	chr3	1600135	1601849									
adcl2	0.51		GRMZM2G087103	Chr3	1481117	1482897	Zm00001d039264	Chr3	767084	768838	Zm00001eb118930	chr3	1604012	1605806									
amyb4	0.51		GRMZM2G175218	Chr3	1535920	1540195	Zm00001d039265	Chr3	822132	826368	Zm00001eb118940	chr3	1659085	1663339									
nlp6	0.70		GRMZM2G475305	Chr3	1540716	1545106	Zm00001d039266	Chr3	826815	835054	Zm00001eb118950	chr3	1663801	1672108									
acm1	0.70		GRMZM2G175065	Chr3	1545604	1548842	Zm00001d039266	Chr3	826815	835054	Zm00001eb118950	chr3	1663801	1672108									
arftf7	1.00		GRMZM2G475263	Chr3	1552179	1556524	Zm00001d039267	Chr3	838392	842742	Zm00001eb118970	chr3	1675067	1679757									
bhlh46	1.06		GRMZM2G148723	Chr3	1600639	1613076	Zm00001d039271	Chr3	888050	889900	Zm00001eb119000	chr3	1723760	1727167									
umc1931	1.10		GRMZM2G013201	Chr3	1609538	1613958	Zm00001d039273	Chr3	900767	901685	Zm00001eb119010	chr3	1733291	1739194									
mlkt1	1.20		GRMZM2G148723	Chr3	1600639	1613076	Zm00001d039272	Chr3	897637	901853	Zm00001eb119020	chr3	1734535	1738770									
acsn3	1.30		GRMZM2G309152	Chr3	1615720	1631369	Zm00001d039274	Chr3	903521	918970	Zm00001eb119050	chr3	1753549	1756127									
LOC100193778	1.43		GRMZM2G309152	Chr3	1615720	1631369	Zm00001d039274	Chr3	903521	918970	Zm00001eb119030	chr3	1740434	1753505									
sina1	1.88		GRMZM2G309063	Chr3	1628884	1633527					Zm00001eb119060	chr3	1756750	1758416									
hin8	2.30		GRMZM2G011553	Chr3	1677628	1678821	Zm00001d039279	Chr3	965601	966515	Zm00001eb119080	chr3	1802347	1803653									
Zm00001d039280	2.34		GRMZM2G010460	Chr3	1683997	1688795	Zm00001d039280	Chr3	971730	975829	Zm00001eb119100	chr3	1808675	1812812									
LOC103649538	2.36		GRMZM2G308619	Chr3	1690512	1693556	Zm00001d039282	Chr3	978306	979808	Zm00001eb119120	chr3	1814836	1817290									
glr1	2.38		GRMZM2G123558	Chr3	1711661	1714037	Zm00001d039283	Chr3	999935	1002234	Zm00001eb119130	chr3	1836764	1839152									
kob1	2.39		GRMZM2G123540	Chr3	1721070	1725872	Zm00001d039284	Chr3	1009359	1014295	Zm00001eb119140	chr3	1846332	1851238									
umc32a	2.40		GRMZM2G123519	Chr3	1726094	1729468	Zm00001d039285	Chr3	1014360	1017859	Zm00001eb119150	chr3	1851325	1854886									
si707082c03b	2.42		GRMZM2G123499	Chr3	1767153	1776009	Zm00001d039287	Chr3	1055429	1064364	Zm00001eb119170	chr3	1892283	1901302									
tip4d	2.48		GRMZM2G093090	Chr3	1847706	1848827	Zm00001d039293	Chr3	1167223	1168320	Zm00001eb119200	chr3	1973550	1974645									
IDP2429	2.50		GRMZM2G093104	Chr3	1851542	1856972	Zm00001d039294	Chr3	1171066	1176375	Zm00001eb119210	chr3	1977382	1982932									
pco142548	2.60		GRMZM2G156035	Chr3	1885469	1901582	Zm00001d039296	Chr3	1205141	1223280	Zm00001eb119240	chr3	2010879	2029778									
Zm00001d039299	2.64		GRMZM2G083497	Chr3	1967135	1969102	Zm00001d039299	Chr3	1290583	1292589	Zm00001eb119260	chr3	2096876	2098919									
Zm00001eb119280	2.78		GRMZM2G099678	Chr3	2001570	2004202	Zm00001d039301	Chr3	1325146	1327618	Zm00001eb119280	chr3	2131488	2133966									
pub52	2.80		GRMZM2G153127	Chr3	2060989	2068244	Zm00001d039302	Chr3	1384839	1391865	Zm00001eb119290	chr3	2191167	2198444									
umc1780	2.80		GRMZM2G153138	Chr3	2070509	2079118	Zm00001d039304	Chr3	1395539	1402948	Zm00001eb119320	chr3	2201861	2209594									
AY106313	2.80						Zm00001d039303	Chr3	1394245	1395354	Zm00001eb119310	chr3	2200892	2201694									
IDP703	3.00		GRMZM2G153181	Chr3	2080250	2084436	Zm00001d039305	Chr3	1404117	1408225	Zm00001eb119330	chr3	2210425	2214595									
A0A1D6MJB1	3.03		GRMZM2G142413	Chr3	9463310	9465481	Zm00001d039598	Chr3	8673429	8679636	Zm00001eb122200	chr3	9385180	9391589									
myb117	3.20		GRMZM2G470307	Chr3	2100964	2106267	Zm00001d039306	Chr3	1424835	1430811	Zm00001eb119340	chr3	2231146	2237222									
IDP4896	3.30		GRMZM2G470302	Chr3	2118169	2119806	Zm00001d039309	Chr3	1442017	1443887	Zm00001eb119380	chr3	2248896	2249994									
cyp38	3.32		GRMZM2G170047	Chr3	2123730	2125518	Zm00001d039310	Chr3	1447428	1449364	Zm00001eb119390	chr3	2253870	2255742									
perk20	3.36		GRMZM2G170035	Chr3	2127629	2132207	Zm00001d039311	Chr3	1451511	1456285	Zm00001eb119400	chr3	2257804	2263035									
nyc1	3.40		GRMZM2G170013	Chr3	2138069	2142526	Zm00001d039312	Chr3	1461989	1466446	Zm00001eb119410	chr3	2268323	2272800									
ofp13	3.50		GRMZM2G169973	Chr3	2145565	2147044	Zm00001d039313	Chr3	1469769	1470902	Zm00001eb119420	chr3	2275825	2277351									
slac4	4.00		GRMZM2G169951	Chr3	2154002	2156459	Zm00001d039314	Chr3	1477923	1480449	Zm00001eb119430	chr3	2283848	2287318									
GRMZM2G159307	4.02		GRMZM2G159307	Chr3	2210076	2218109	Zm00001d039315	Chr3	1533825	1541740	Zm00001eb119440	chr3	2340384	2348100									
umc1394	5.45		GRMZM5G848602	Chr3	2451847	2459477	Zm00001d039319	Chr3	1692001	1706793	Zm00001eb119500	chr3	2504908	2513168									
yuc10	5.83		GRMZM2G013045	Chr3	2591290	2594894	Zm00001d039323	Chr3	1839047	1842858	Zm00001eb119530	chr3	2645358	2649208									
ereb50	5.85		GRMZM2G142179	Chr3	2629088	2630607	Zm00001d039324	Chr3	1876337	1877401	Zm00001eb119540	chr3	2682223	2684039									
Zm00001d039326	5.89		GRMZM2G013010	Chr3	2768839	2770476	Zm00001d039326	Chr3	1951002	1953024	Zm00001eb119580	chr3	2756673	2759403									
LOC103649558	5.90		GRMZM2G318862	Chr3	2771404	2774557	Zm00001d039327	Chr3	1953626	1957132	Zm00001eb119590	chr3	2759882	2764571									
umc1970	7.05		AC194022.3_FG013	Chr3	2782926	2783195	Zm00001d039328	Chr3	1958218	1965694													
pco133385b	7.10		GRMZM2G078839	Chr3	2719691	2728544	Zm00001d039330	Chr3	1992693	2001495	Zm00001eb119630	chr3	2799035	2807870									
Zm00001d039331	7.12		GRMZM2G027007	Chr3	2741369	2744803	Zm00001d039331	Chr3	2013965	2017590	Zm00001eb119640	chr3	2819867	2824265									
miR159c	7.14		zma-MIR159c	Chr3	2748121	2748337	zma-MIR159c	Chr3	2020760	2020976													
asg64	7.40		GRMZM2G412073	Chr3	2801532	2802886	Zm00001d039335	Chr3	2038756	2040110													
ein2	7.40		GRMZM2G068217	Chr3	2874629	2881174	Zm00001d039341	Chr3	2111719	2119789	Zm00001eb119690	chr3	2918094	2926237									
IDP7156	7.40		GRMZM2G114050	Chr3	2816016	2816532	Zm00001d039339	Chr3	2053380	2053649	Zm00001eb119670	chr3	2859553	2860206									
miR319b	7.40		zma-MIR319b	Chr3	2801742	2801954	zma-MIR319b	Chr3	2038966	2039178													
Zm00001d039338	7.40		GRMZM2G114044	Chr3	2813727	2815256	Zm00001d039338	Chr3	2050951	2052284	Zm00001eb119660	chr3	2856946	2858855									
aas4	7.45		GRMZM2G061005	Chr3	2945952	2948461	Zm00001d039345	Chr3	2191276	2193951	Zm00001eb119720	chr3	2997804	3000407									
aas5	7.46		GRMZM2G060991	Chr3	2949794	2952547	Zm00001d039346	Chr3	2195056	2197943	Zm00001eb119750	chr3	3002056	3002478									
sweet3b	7.50		GRMZM2G060974	Chr3	2955821	2957584	Zm00001d039347	Chr3	2201670	2203002	Zm00001eb119760	chr3	3007579	3009415									
cl14916_1a	7.52		GRMZM2G026868	Chr3	3026957	3028120	Zm00001d039348	Chr3	2277773	2281085	Zm00001eb119770	chr3	3075250	3078571									
umc2257	7.63		GRMZM2G062076	Chr3	3107471	3112310	Zm00001d039350	Chr3	2358190	2362977	Zm00001eb119790	chr3	3155683	3160522									
acoz1	7.80		GRMZM2G135481	Chr3	3118094	3120767	Zm00001d039352	Chr3	2368803	2371476	Zm00001eb119810	chr3	3166314	3169008									
atx4	7.95		GRMZM2G085266	Chr3	3200792	3209093	Zm00001d039355	Chr3	2451357	2465548	Zm00001eb119830	chr3	3248587	3257024									
phd56	7.97		GRMZM2G085176	Chr3	3209218	3210859	Zm00001d039355	Chr3	2451357	2465548	Zm00001eb119840	chr3	3257147	3258817									
si945007b10d	8.13		GRMZM2G166612	Chr3	3313274	3318197	Zm00001d039362	Chr3	2569176	2574119	Zm00001eb119890	chr3	3366538	3371904									
bhlh63	8.15		GRMZM2G166642	Chr3	3342194	3344518					Zm00001eb119900	chr3	3395454	3397978									
AY112199	8.20		GRMZM2G102927	Chr3	3375827	3379842	Zm00001d039363	Chr3	2609206	2612957	Zm00001eb119910	chr3	3429293	3433299									
IDP6820	8.50		GRMZM2G102795	Chr3	3399296	3402882	Zm00001d039365	Chr3	2632877	2633794	Zm00001eb119930	chr3	3452541	3456533									
cle9	8.88		GRMZM2G102770	Chr3	3428861	3429262	Zm00001d039367	Chr3	2662224	2662619	Zm00001eb119950	chr3	3482356	3482751									
GRMZM2G400929	8.90		GRMZM2G400929	Chr3	3430969	3432904	Zm00001d039368	Chr3	2664440	2669139	Zm00001eb119960	chr3	3484441	3488040									
cl44621_1b	9.28		GRMZM2G400907	Chr3	3448721	3457295	Zm00001d039369	Chr3	2681579	2690651	Zm00001eb119980	chr3	3505517	3511045									
php20905	9.30		GRMZM2G102572	Chr3	3459135	3463008	Zm00001d039370	Chr3	2692603	2696275	Zm00001eb119990	chr3	3512725	3516408									
tcptf33	9.68		GRMZM2G589470	Chr3	3478844	3479368	Zm00001d039371	Chr3	2709285	2712754	Zm00001eb120010	chr3	3529802	3534569									
grf3	10.18		GRMZM2G386590	Chr3	3515852	3519084	Zm00001d039374	Chr3	2749185	2754443	Zm00001eb120050	chr3	3568902	3570296									
ring169	10.20		GRMZM2G386584	Chr3	3525174	3526140	Zm00001d039375	Chr3	2758522	2759166	Zm00001eb120060	chr3	3578400	3579611									
ring170	10.61		GRMZM2G534288	Chr3	3550734	3551413	Zm00001d039377	Chr3	2784185	2784721	Zm00001eb120080	chr3	3604162	3605053									
mmp38	10.65		GRMZM2G085550	Chr3	3558102	3560593	Zm00001d039378	Chr3	2791183	2793926	Zm00001eb120090	chr3	3611090	3614132									
A0A804MXZ4	10.68		GRMZM2G305048	Chr3	3698440	3698944	Zm00001d039379	Chr3	2932314	2932748	Zm00001eb120100	chr3	3745135	3753056									
si614066a10	10.70		GRMZM2G305060	Chr3	3700719	3722337	Zm00001d039380	Chr3	2938833	2959820	Zm00001eb120110	chr3	3754706	3770718									
e8	11.58																						
bzip117	13.58		AC233853.1_FG002	Chr3	3820878	3822105	Zm00001d039383	Chr3	3077422	3079293	Zm00001eb120150	chr3	3897389	3900103									
asg30c	14.50																						
cyp43	14.84		AC233853.1_FG003	Chr3	3830555	3832105	Zm00001d039384	Chr3	3087368	3088918	Zm00001eb120170	chr3	3907691	3909228									
kch4	14.90		GRMZM2G093313	Chr3	3843599	3847168	Zm00001d039386	Chr3	3100278	3104395	Zm00001eb120190	chr3	3920334	3924785									
csu32a	15.00		GRMZM2G093405	Chr3	3885932	3888723	Zm00001d039387	Chr3	3142741	3145531	Zm00001eb120200	chr3	3962554	3965979									
Zm00001d039391	15.16		GRMZM2G146130	Chr3	3915188	3916690	Zm00001d039391	Chr3	3171322	3172996	Zm00001eb120230	chr3	3991498	3992944									
caat2	15.18		GRMZM2G146161	Chr3	3923186	3925470	Zm00001d039392	Chr3	3179455	3181317	Zm00001eb120240	chr3	3999329	4001824									
caat12	15.18						Zm00001d039393	Chr3	3203581	3205439													
ga2ox13	15.20		GRMZM2G031432	Chr3	3994138	3996082	Zm00001d039394	Chr3	3274307	3276532	Zm00001eb120250	chr3	4070449	4072570									
pco061453	15.25		GRMZM2G005788	Chr3	4062860	4065184	Zm00001d039395	Chr3	3336553	3338859	Zm00001eb120260	chr3	4132175	4134912									
cl19880_1	16.30		GRMZM2G051262	Chr3	4189567	4195493	Zm00001d039403	Chr3	3463017	3468930	Zm00001eb120330	chr3	4259148	4265041									
rlk11	16.31		GRMZM2G346466	Chr3	4333796	4338217	Zm00001d039406	Chr3	3607952	3612391	Zm00001eb120360	chr3	4403937	4408505									
gsk1	16.32		GRMZM2G045330	Chr3	4339924	4345556	Zm00001d039407	Chr3	3614006	3618190	Zm00001eb120370	chr3	4410117	4414302									
IDP8355	16.33		GRMZM2G045259	Chr3	4345679	4356313	Zm00001d039409	Chr3	3620280	3630504	Zm00001eb120390	chr3	4416438	4426667									
Zm00001d039408	16.33		GRMZM2G346457	Chr3	4344536	4345261	Zm00001d039408	Chr3	3618712	3619434	Zm00001eb120380	chr3	4414469	4416079									
pco096800	16.40		AC155622.2_FG004	Chr3	4447449	4448851	Zm00001d039411	Chr3	3708911	3716373	Zm00001eb120410	chr3	4505009	4512403									
cl5587_1d	16.42		GRMZM2G035278	Chr3	4542128	4543288	Zm00001d039414	Chr3	3813038	3813622	Zm00001eb120450	chr3	4609070	4610241									
LOC103649606	16.44		GRMZM2G035256	Chr3	4546941	4548651	Zm00001d039415	Chr3	3817606	3819478	Zm00001eb120460	chr3	4613827	4615649									
IDP7570	16.46		GRMZM2G133121	Chr3	4635490	4641814	Zm00001d039422	Chr3	3904536	3910859	Zm00001eb120570	chr3	4700672	4706896									
ereb103	16.50		GRMZM2G133168	Chr3	4660995	4665940	Zm00001d039424	Chr3	3934183	3934776	Zm00001eb120590	chr3	4730276	4731129									
umc1458	16.80		GRMZM2G055089	Chr3	4674591	4680773	Zm00001d039425	Chr3	3943651	3949813	Zm00001eb120600	chr3	4739782	4745944									
gtf12	16.82		GRMZM2G055313	Chr3	4706846	4710504	Zm00001d039426	Chr3	3976696	3979365	Zm00001eb120610	chr3	4771489	4775778									
mkkk71	16.86		GRMZM2G055334	Chr3	4710841	4715737	Zm00001d039427	Chr3	3979996	3984914	Zm00001eb120630	chr3	4776115	4781299									
vq18	16.90		GRMZM2G055404	Chr3	4722242	4723323	Zm00001d039428	Chr3	3991577	3992224	Zm00001eb120650	chr3	4787581	4788859									
ralf3	16.94		GRMZM2G357124	Chr3	4752697	4753618	Zm00001d039429	Chr3	4033017	4033454	Zm00001eb120660	chr3	4828928	4829988									
LOC100285040	16.96		GRMZM2G055434	Chr3	4757477	4758796	Zm00001d039430	Chr3	4037437	4038767	Zm00001eb120680	chr3	4833616	4835011									
Zm00001d039432	16.99		GRMZM2G033222	Chr3	4843292	4844865	Zm00001d039432	Chr3	4122095	4123749	Zm00001eb120700	chr3	4918339	4919993									
zag4	17.00		GRMZM2G471089	Chr3	4861539	4865965	Zm00001d039434	Chr3	4140509	4150100	Zm00001eb120710	chr3	4936787	4946417									
fun1	17.98		GRMZM2G323353	Chr3	4883139	4888953	Zm00001d039435	Chr3	4161898	4175012	Zm00001eb120730	chr3	4958015	4971330									
Zm00001d044362	17.99		GRMZM2G477073	Chr3	5009161	5011133	Zm00001d044362	Chr3	226115016	226115588													
brn1	18.00																						
dbb3	18.00		GRMZM5G834596	Chr3	5041526	5161029	Zm00001d039437	Chr3	4316527	4318099	Zm00001eb120740	chr3	5112776	5114836									
bzr2	18.20		GRMZM6G287292	Chr3	5296792	5298854	Zm00001d039439	Chr3	4457841	4460509	Zm00001eb120750	chr3	5235717	5238505									
cl5517_1d	18.21						Zm00001d039440	Chr3	4464695	4470418													
pco102374	18.22		GRMZM2G018217	Chr3	5319181	5323460	Zm00001d039441	Chr3	4480927	4485095	Zm00001eb120760	chr3	5258772	5263041									
rta9	18.26		GRMZM2G313867	Chr3	5335808	5337775	Zm00001d039444	Chr3	4497708	4499243	Zm00001eb120780	chr3	5275050	5277531									
dpold3a	18.40		GRMZM2G435338	Chr3	5429348	5438197	Zm00001d039446	Chr3	4590953	4596170	Zm00001eb120820	chr3	5375102	5377434									
cl40794_1	18.50		GRMZM2G133314	Chr3	5438548	5449063	Zm00001d039448	Chr3	4599630	4609909	Zm00001eb120830	chr3	5377568	5388244									
bnlg1144	19.25																						
pebp23	19.25		GRMZM2G056186	Chr3	5287321	5287560																	
pco123324	19.50		GRMZM2G445057	Chr3	5569092	5572894	Zm00001d039451	Chr3	4734400	4737230	Zm00001eb120860	chr3	5512600	5515507									
cl9052_1	19.52		GRMZM2G143246	Chr3	5572962	5578593	Zm00001d039452	Chr3	4737374	4743944	Zm00001eb120880	chr3	5515590	5522571									
cyp45	19.63		GRMZM2G143235	Chr3	5581450	5587971	Zm00001d039453	Chr3	4745784	4752166	Zm00001eb120890	chr3	5524061	5530582									
pco062001	19.66		GRMZM2G143165	Chr3	5596383	5598133	Zm00001d039454	Chr3	4760989	4762395	Zm00001eb120900	chr3	5532063	5540795									
pra1	19.96		GRMZM2G050890	Chr3	5669668	5673393	Zm00001d039455	Chr3	4833807	4837335	Zm00001eb120910	chr3	5612132	5615977									
cr1	20.00																						
csu230	20.00		GRMZM2G050845	Chr3	5674392	5677199	Zm00001d039456	Chr3	4838566	4841548	Zm00001eb120920	chr3	5616861	5620379									
LOC103649621	20.04		GRMZM2G397759	Chr3	5765295	5768070	Zm00001d039458	Chr3	4929664	4931699	Zm00001eb120950	chr3	5709825	5710145									
bhlh70	21.00		GRMZM2G397755	Chr3	5777497	5779734	Zm00001d039459	Chr3	4941036	4943303	Zm00001eb120960	chr3	5718725	5721785									
GRMZM2G470914	21.10		GRMZM2G470914	Chr3	5850533	5854573	Zm00001d039465	Chr3	5020648	5027627	Zm00001eb121000	chr3	5798707	5806366									
idd10	21.12		GRMZM2G143723	Chr3	5885568	5888467	Zm00001d039467	Chr3	5057283	5059997	Zm00001eb121010	chr3	5835469	5838363									
grx12	21.15		GRMZM2G303044	Chr3	5956323	5957602	Zm00001d039468	Chr3	5118949	5119466	Zm00001eb121020	chr3	5897102	5897940									
traf21	21.20		GRMZM2G077197	Chr3	5983469	5988309	Zm00001d039469	Chr3	5145889	5150710	Zm00001eb121040	chr3	5924183	5929040									
epf11	21.20		GRMZM2G077219	Chr3	5989654	5990621	Zm00001d039470	Chr3	5152055	5153022	Zm00001eb121050	chr3	5930396	5931342									
GRMZM2G077227	21.21		GRMZM2G077227	Chr3	5995366	5998366	Zm00001d039471	Chr3	5157787	5160649	Zm00001eb121060	chr3	5935885	5939218									
cl2817_2b	21.22		GRMZM2G167532	Chr3	6097222	6102858	Zm00001d039474	Chr3	5278569	5284172	Zm00001eb121100	chr3	6060868	6062965									
mybr22	21.23		GRMZM2G468479	Chr3	6089921	6097881	Zm00001d039475	Chr3	5284136	5296963	Zm00001eb121110	chr3	6062291	6070005									
cl27616_1	21.30		GRMZM2G115198	Chr3	6162660	6168991	Zm00001d039477	Chr3	5328994	5333477	Zm00001eb121120	chr3	6106036	6111913									
otsl5	21.35		GRMZM2G432931	Chr3	6174682	6180252																	
dof7	21.40		GRMZM2G378490	Chr3	6300724	6302028	Zm00001d039482	Chr3	5495949	5496644	Zm00001eb121160	chr3	6256847	6258211									
acs1	21.50		GRMZM2G163015	Chr3	6433703	6435769	Zm00001d039487	Chr3	5625096	5627096	Zm00001eb121190	chr3	6386461	6388461									
Zm00001eb121200	21.52		GRMZM2G413857	Chr3	6520899	6525073	Zm00001d039488	Chr3	5706491	5709917	Zm00001eb121200	chr3	6467001	6472037									
hggt3	21.60		GRMZM5G848876	Chr3	6590846	6592849	Zm00001d039491	Chr3	5766074	5768360	Zm00001eb121230	chr3	6527570	6529519									
GRMZM2G380319	21.62		GRMZM2G380319	Chr3	6648686	6649855	Zm00001d039492	Chr3	5810144	5811850	Zm00001eb121240	chr3	6571219	6573217									
cl60_1a	21.70		GRMZM2G078594	Chr3	6645174	6647855	Zm00001d039493	Chr3	5812758	5815127	Zm00001eb121260	chr3	6575701	6576682									
Zm00014a015163	21.72		GRMZM5G853245	Chr3	6683000	6684904	Zm00001d039495	Chr3	5849060	5850172	Zm00001eb121270	chr3	6610409	6612316	Zm00014a015163	chr3	6996956	6998068					
myb131	21.80		GRMZM2G001875	Chr3	6740166	6741503	Zm00001d039496	Chr3	5913103	5914797	Zm00001eb121290	chr3	6674549	6676738									
si683010b03c	22.00																						
abk1	22.20		GRMZM2G132116	Chr3	6793085	6797402	Zm00001d039498	Chr3	6001073	6005346	Zm00001eb121300	chr3	6762582	6766854									
pfk6	22.22		GRMZM2G132069	Chr3	6802222	6806161	Zm00001d039499	Chr3	6010215	6014021	Zm00001eb121310	chr3	6771600	6775605									
pza00749	22.58		GRMZM2G166646	Chr3	6927923	6932618	Zm00001d039505	Chr3	6094711	6099557	Zm00001eb121370	chr3	6856515	6861201									
nactf16	22.60		GRMZM2G166721	Chr3	6939608	6945972	Zm00001d039506	Chr3	6101834	6112905	Zm00001eb121380	chr3	6868147	6876680									
iqd7	22.80		GRMZM2G371176	Chr3	6973386	6975292	Zm00001d039510	Chr3	6138823	6141058	Zm00001eb121390	chr3	6900489	6902873									
hex1	23.00		GRMZM2G104081	Chr3	7079526	7083312	Zm00001d039512	Chr3	6248365	6252317	Zm00001eb121400	chr3	7009948	7013890									
iaa7	23.10		GRMZM2G104176	Chr3	7118667	7121305	Zm00001d039513	Chr3	6287613	6290045	Zm00001eb121410	chr3	7048926	7051748									
me3	23.50		GRMZM2G085019	Chr3	7276387	7281737	Zm00001d000316	B73V4_ctg89	18903	24123	Zm00001eb121470	chr3	7184482	7190135									
eif3	23.85		GRMZM2G093050	Chr3	7406093	7414401	Zm00001d039518	Chr3	6553963	6562166	Zm00001eb121480	chr3	7315627	7323437									
LOC100191350	23.87		GRMZM2G015267	Chr3	7416089	7419514	Zm00001d039519	Chr3	6563954	6567416	Zm00001eb121490	chr3	7325634	7329080									
cko1	24.40		GRMZM2G146644	Chr3	7601132	7605870	Zm00001d039520	Chr3	6768568	6770834	Zm00001eb121500	chr3	7530427	7532729									
si486097h05	24.42		GRMZM2G152370	Chr3	7608923	7611774	Zm00001d039521	Chr3	6773232	6777038	Zm00001eb121510	chr3	7535106	7538949									
cl65448_1a	24.44		GRMZM5G820781	Chr3	7672454	7675155	Zm00001d039522	Chr3	6823791	6842767	Zm00001eb121520	chr3	7585850	7604682									
cg1	24.46		zma-MIR156b	Chr3	7775490	7775613	zma-MIR156b	Chr3	6928278	6928401													
LOC100193886	24.48		GRMZM2G008513	Chr3	7970386	7979702	Zm00001d039526	Chr3	7120511	7130258	Zm00001eb121540	chr3	7882460	7892138									
pco143873	25.03		GRMZM2G355572	Chr3	7938775	7940982	Zm00001d039524	Chr3	7085192	7086610													
IDP7380	25.70		GRMZM2G167161	Chr3	8120191	8122899	Zm00001d039528	Chr3	7292722	7301317	Zm00001eb121570	chr3	8054680	8064781									
plpb1	25.80		GRMZM2G176506	Chr3	8197031	8201486	Zm00001d039530	Chr3	7377640	7381732	Zm00001eb121590	chr3	8139365	8144218									
wrky27	25.83		GRMZM2G475984	Chr3	8214258	8215483	Zm00001d039531	Chr3	7394664	7395768	Zm00001eb121600	chr3	8156446	8157934									
wrky56	26.00		GRMZM2G176489	Chr3	8219105	8221465	Zm00001d039532	Chr3	7399394	7401753	Zm00001eb121610	chr3	8161296	8163793									
