MaizeGDB: Details of Map Genetic 1
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
arm30	5.72		GRMZM2G029713	Chr1	3693187	3697975					Zm00001d027365	Chr1	3799515	3801185	Zm00001eb001150	chr1	3787682	3792482																	
pmp1	6.48		GRMZM2G029824	Chr1	3701760	3704275					Zm00001d027366	Chr1	3805137	3807525	Zm00001eb001170	chr1	3796239	3798782																	
pyrd1	6.50		GRMZM2G320099	Chr1	3704159	3706769					Zm00001d027367	Chr1	3807343	3810146	Zm00001eb001180	chr1	3797680	3801321																	
GRMZM2G030299	6.54		GRMZM2G030299	Chr1	3723964	3728081					Zm00001d027369	Chr1	3842248	3847295	Zm00001eb001200	chr1	3833378	3837494																	
ereb214	6.56		GRMZM2G320111	Chr1	3728321	3729045					Zm00001d027369	Chr1	3842248	3847295	Zm00001eb001210	chr1	3837589	3838704																	
Zm00001d027371	7.96		GRMZM2G085909	Chr1	3824197	3828489					Zm00001d027371	Chr1	3912856	3917063	Zm00001eb001240	chr1	3903971	3908178																	
cdc2	8.00		GRMZM2G008327	Chr1	3872113	3877700					Zm00001d027373	Chr1	3960300	3964921	Zm00001eb001260	chr1	3951421	3956063																	
cyc41	8.01		GRMZM2G308570	Chr1	3886166	3899531					Zm00001d027376	Chr1	3974143	3987696	Zm00001eb001290	chr1	3965228	3975390																	
cl16599_1a	8.03										Zm00001d027380	Chr1	3988430	3996967	Zm00001eb001330	chr1	3984280	3984822																	
Zm00001d027383	8.04		GRMZM2G087207	Chr1	4011889	4016576					Zm00001d027383	Chr1	4110011	4114671	Zm00001eb001340	chr1	4078810	4083607																	
si618024d08	8.05		GRMZM2G387837	Chr1	4016858	4019283					Zm00001d027384	Chr1	4115013	4117719	Zm00001eb001350	chr1	4083900	4086535																	
IDP1464	8.06		GRMZM2G013634	Chr1	4031958	4034079					Zm00001d027385	Chr1	4118697	4120755	Zm00001eb001360	chr1	4087436	4089632																	
pld15	8.08		GRMZM2G312438	Chr1	4034105	4039749					Zm00001d027386	Chr1	4121780	4126391	Zm00001eb001370	chr1	4090633	4095211																	
sbt62	8.09		GRMZM2G013986	Chr1	4046390	4049199					Zm00001d027387	Chr1	4133373	4135619	Zm00001eb001390	chr1	4101879	4104744																	
nad5 (homolog)	8.10		GRMZM2G014382	Chr1	4055334	4063464					Zm00001d027389	Chr1	4149732	4149992	Zm00001eb001400	chr1	4111310	4118908																	
cals9	8.20		GRMZM2G453794	Chr1	4173400	4187541					Zm00001d027392	Chr1	4220852	4296236	Zm00001eb001430	chr1	4173806	4249156																	
ppr3	8.22		GRMZM2G167568	Chr1	4204277	4206621					Zm00001d027393	Chr1	4317978	4319270	Zm00001eb001440	chr1	4270812	4273294																	
his406	8.90		GRMZM2G181153	Chr1	4234226	4235315					Zm00001d027394	Chr1	4340135	4340790																					
nactf78	9.00		GRMZM2G406204	Chr1	4241971	4245996					Zm00001d027395	Chr1	4341041	4351530	Zm00001eb001460	chr1	4293004	4304802																	
Zm00001d027399	9.02		GRMZM2G169402	Chr1	4281721	4284083					Zm00001d027399	Chr1	4402312	4404440	Zm00001eb001470	chr1	4355214	4357396																	
tho1	10.08		GRMZM2G473389	Chr1	4284638	4287038					Zm00001d027400	Chr1	4405004	4406685	Zm00001eb001480	chr1	4358163	4359539																	
si707050h06a	10.10		GRMZM2G049031	Chr1	4299822	4307400					Zm00001d027401	Chr1	4417538	4425832	Zm00001eb001490	chr1	4370484	4378831																	
Zm00001d027402	10.12		GRMZM2G049216	Chr1	4299402	4302590					Zm00001d027402	Chr1	4417830	4421059	Zm00001eb001500	chr1	4370689	4373976																	
Zm00001d027403	10.14		GRMZM2G104468	Chr1	4347559	4352147					Zm00001d027403	Chr1	4494975	4499451	Zm00001eb001510	chr1	4447853	4452527																	
mib1	11.00		GRMZM2G136859	Chr1	4439061	4441061					Zm00001d027405	Chr1	4536701	4538190	Zm00001eb001530	chr1	4489656	4491331																	
abi8	11.00		GRMZM2G082227	Chr1	4541352	4542978					Zm00001d027409	Chr1	4661492	4662475	Zm00001eb001550	chr1	4613829	4616572																	
prx15	11.02		GRMZM2G341934	Chr1	4594772	4598264					Zm00001d027411	Chr1	4718946	4722343	Zm00001eb001560	chr1	4672210	4675614																	
dcl101	11.30		GRMZM2G040762	Chr1	4600841	4608248					Zm00001d027412	Chr1	4724456	4736832	Zm00001eb001570	chr1	4678241	4689963																	
atg1a	12.00		GRMZM2G105415	Chr1	4709171	4714557					Zm00001d027415	Chr1	4832874	4838381	Zm00001eb001590	chr1	4786101	4791613																	
bhlh140	12.18		GRMZM2G475289	Chr1	4742268	4744173					Zm00001d027419	Chr1	4891941	4894990	Zm00001eb001630	chr1	4844238	4848250																	
IDP2420	12.20		GRMZM2G176820	Chr1	4751568	4754549					Zm00001d027421	Chr1	4900834	4903371	Zm00001eb001640	chr1	4854128	4856665																	
Zm00001d027422	12.21		GRMZM2G176840	Chr1	4758335	4760646					Zm00001d027422	Chr1	4907157	4909468	Zm00001eb001650	chr1	4860147	4868040																	
fnsi2	12.22		GRMZM2G475380	Chr1	4760983	4765716					Zm00001d027423	Chr1	4909652	4914685																					
Zm00001eb001660	12.24		GRMZM2G026706	Chr1	4826534	4828427					Zm00001d027424	Chr1	4949860	4952016	Zm00001eb001660	chr1	4903163	4904730																	
zag6	13.00		GRMZM2G026223	Chr1	4855703	4871281					Zm00001d027425	Chr1	4979131	4994850	Zm00001eb001670	chr1	4932248	4948340																	
uce3	13.30		GRMZM2G070047	Chr1	4974957	4978299					Zm00001d027427	Chr1	5095291	5098140	Zm00001eb001680	chr1	5048745	5051733																	
IDP658	13.50		GRMZM2G070259	Chr1	4986318	4988531					Zm00001d027429	Chr1	5106818	5108654	Zm00001eb001700	chr1	5060152	5061950																	
cl250_1a	13.57		GRMZM2G159427	Chr1	4990826	4996614					Zm00001d027430	Chr1	5111247	5116316	Zm00001eb001710	chr1	5064533	5070054																	
knox1	14.00		GRMZM2G159431	Chr1	5003070	5007708					Zm00001d027431	Chr1	5123182	5127784	Zm00001eb001720	chr1	5076499	5081101																	
hb30	14.45		GRMZM2G327059	Chr1	5080780	5086704					Zm00001d027435	Chr1	5202748	5208577	Zm00001eb001770	chr1	5156079	5161908																	
flr14	14.47		GRMZM2G165422	Chr1	5238057	5241101					Zm00001d027436	Chr1	5328311	5330875	Zm00001eb001780	chr1	5281432	5285006																	
flr16	14.70		GRMZM2G119736	Chr1	5319578	5321574					Zm00001d027439	Chr1	5412144	5413568	Zm00001eb001810	chr1	5365242	5367385																	
pgl106	14.88		GRMZM2G119494	Chr1	5338770	5342488					Zm00001d027441	Chr1	5431259	5434466	Zm00001eb001830	chr1	5384580	5388305																	
IDP3811	14.88		GRMZM2G119471	Chr1	5341114	5343424					Zm00001d027442	Chr1	5434308	5435871	Zm00001eb001840	chr1	5386927	5389230																	
hyd6	14.89		GRMZM2G090051	Chr1	5373808	5376230					Zm00001d027443	Chr1	5463952	5466250	Zm00001eb001850	chr1	5417359	5420144																	
hyd8	14.89		GRMZM5G826824	Chr1	6347072	6348308																													
IDP755	14.90		GRMZM2G089976	Chr1	5380427	5387724					Zm00001d027444	Chr1	5469651	5477988	Zm00001eb001860	chr1	5423774	5431320																	
umc1292	14.91		GRMZM2G176604	Chr1	5401254	5405109					Zm00001d027446	Chr1	5491481	5495299	Zm00001eb001880	chr1	5444640	5448668																	
umc2523	14.91		GRMZM5G899119	Chr1	6363156	6367315					Zm00001d027447	Chr1	5496540	5500644	Zm00001eb001890	chr1	5449946	5454011																	
LOC100194359	14.91		GRMZM2G089860	Chr1	5390620	5398053					Zm00001d027445	Chr1	5481138	5487574	Zm00001eb001870	chr1	5434423	5440930																	
csu680a	14.92		GRMZM5G841360	Chr1	6387088	6392531					Zm00001d027450	Chr1	5528958	5535135	Zm00001eb001910	chr1	5479359	5493877																	
ofp1	14.92		GRMZM2G055737	Chr1	5511015	5512341					Zm00001d027453	Chr1	5589770	5590513	Zm00001eb001920	chr1	5542959	5544109																	
Zm00001d027449	14.92		GRMZM2G176548	Chr1	5434823	5436653					Zm00001d027449	Chr1	5525424	5526840	Zm00001eb001900	chr1	5471781	5480336																	
LOC100274981	14.92		GRMZM2G176558	Chr1	5428401	5433218					Zm00001d027448	Chr1	5518494	5523341	Zm00001eb001900	chr1	5471781	5480336																	
GRMZM2G055704	14.94		GRMZM2G055704	Chr1	5524395	5526067					Zm00001d027454	Chr1	5603127	5604467	Zm00001eb001930	chr1	5556476	5557793																	
cipk9	14.98		GRMZM2G055575	Chr1	5531757	5536441					Zm00001d027455	Chr1	5610415	5614949	Zm00001eb001940	chr1	5563658	5568308																	
pba1	15.00		GRMZM2G177508	Chr1	5582721	5584189					Zm00001d027456	Chr1	5661737	5663089	Zm00001eb001950	chr1	5615012	5616448																	
KJ682451	15.48		GRMZM2G025552	Chr1	5625359	5627752					Zm00001d027458	Chr1	5701680	5704055	Zm00001eb001980	chr1	5655021	5657414																	
nactf33	15.50		GRMZM2G025642	Chr1	5629470	5636419					Zm00001d027459	Chr1	5706025	5712786	Zm00001eb001990	chr1	5659149	5666171																	
gpm330	15.80		GRMZM2G319022	Chr1	5713200	5734294					Zm00001d027460	Chr1	5799244	5810862	Zm00001eb002000	chr1	5743584	5766324																	
bzip114	16.00		GRMZM2G428184	Chr1	5738361	5741644					Zm00001d027461	Chr1	5816871	5819671	Zm00001eb002010	chr1	5769996	5774406																	
fha1	16.73		GRMZM2G129243	Chr1	5741207	5746550					Zm00001d027462	Chr1	5819752	5825029	Zm00001eb002020	chr1	5772493	5778595																	
Zm00001d027463	16.75		GRMZM2G371137	Chr1	5803454	5808250					Zm00001d027463	Chr1	5883718	5886868	Zm00001eb002030	chr1	5836552	5841719																	
kea5	16.80		GRMZM2G040158	Chr1	5813938	5826524					Zm00001d027466	Chr1	5893819	5906194	Zm00001eb002040	chr1	5847054	5859789																	
gpm280a	16.86		GRMZM2G105571	Chr1	5867062	5870869					Zm00001d027468	Chr1	5943755	5947624	Zm00001eb002060	chr1	5897030	5900917																	
Zm00001d027469	16.88										Zm00001d027469	Chr1	6020779	6023318	Zm00001eb002070	chr1	5974073	5976558																	
fla1	16.90		GRMZM2G065718	Chr1	5946643	5948328					Zm00001d027471	Chr1	6034724	6035902	Zm00001eb002090	chr1	5987621	5991591																	
cals1	16.92		GRMZM2G180951	Chr1	5980938	6001059					Zm00001d027472	Chr1	6068283	6161610	Zm00001eb002100	chr1	6021571	6114922																	
npi415	16.93																																		
umc1041	17.00		GRMZM2G448701	Chr1	6148853	6149887					Zm00001d027477	Chr1	6237666	6238642																					
Zm00001eb002170	17.02		GRMZM2G143588	Chr1	6164241	6168759					Zm00001d027479	Chr1	6246862	6251356	Zm00001eb002170	chr1	6200061	6204667																	
cdpk36	17.03		GRMZM2G032852	Chr1	6187339	6192559					Zm00001d027480	Chr1	6270311	6275109	Zm00001eb002180	chr1	6223600	6228409																	
ring3	17.05		GRMZM2G321041	Chr1	6211041	6212064					Zm00001d027483	Chr1	6293847	6294413	Zm00001eb002200	chr1	6243871	6247902																	
cl2088_1	17.06		GRMZM2G032409	Chr1	6213706	6218397					Zm00001d027484	Chr1	6296235	6300940	Zm00001eb002220	chr1	6249500	6254299																	
cl36375_1a	17.07		GRMZM2G032328	Chr1	6225116	6227798					Zm00001d027485	Chr1	6307711	6310327	Zm00001eb002240	chr1	6260934	6263719																	
mlo1	17.08		GRMZM2G032219	Chr1	6227483	6231125					Zm00001d027486	Chr1	6310322	6313633	Zm00001eb002250	chr1	6263313	6267523																	
cl19897_1	17.30		GRMZM2G031859	Chr1	6236638	6246244					Zm00001d027487	Chr1	6319205	6328780	Zm00001eb002260	chr1	6272463	6282114																	
gpb1	17.50		GRMZM5G845611	Chr1	6404117	6406779					Zm00001d027488	Chr1	6407153	6409815	Zm00001eb002270	chr1	6360197	6362989																	
miR528a	17.51		zma-MIR528a	Chr1	6409248	6409370					zma-MIR528a	Chr1	6412284	6412406																					
mha6	17.52		GRMZM2G008122	Chr1	6423819	6428517					Zm00001d027490	Chr1	6427092	6431383	Zm00001eb002300	chr1	6380105	6384420																	
glk48	17.55		GRMZM5G887276	Chr1	6525346	6530541					Zm00001d027492	Chr1	6524381	6529577	Zm00001eb002310	chr1	6477433	6482618																	
nad4	17.60		GRMZM2G137312	Chr1	6540564	6544389					Zm00001d027493	Chr1	6542791	6543117	Zm00001eb002320	chr1	6492735	6496230																	
iaa1	17.61		GRMZM2G137367	Chr1	6550506	6561486					Zm00001d027495	Chr1	6556059	6558427	Zm00001eb002340	chr1	6511535	6513459																	
bhlh49	17.62		GRMZM2G137374	Chr1	6562587	6564261					Zm00001d027496	Chr1	6561983	6563016	Zm00001eb002350	chr1	6515053	6516195																	
bhlh50	17.65		GRMZM2G137380	Chr1	6567359	6573560					Zm00001d027497	Chr1	6567895	6569220	Zm00001eb002370	chr1	6523278	6526089																	
ccl18	17.67		GRMZM2G092813	Chr1	6776411	6778457					Zm00001d027499	Chr1	6771571	6773307	Zm00001eb002380	chr1	6724575	6726661																	
fsgt1	17.70		GRMZM2G392863	Chr1	6802700	6803523					Zm00001d027500	Chr1	6797799	6798604	Zm00001eb002390	chr1	6750999	6751362																	
