MaizeGDB: Details of Map Genetic 5
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
cl54468_1b	5.75		GRMZM2G083346	Chr5	917251	920224	Zm00001d012831	Chr5	953000	956110	Zm00001eb210600	chr5	1225413	1228587																					
bccip1	5.75		GRMZM2G083410	Chr5	913881	916514	Zm00001d012830	Chr5	949750	951996	Zm00001eb210590	chr5	1222199	1224895																					
IDP3819	5.76		GRMZM2G083081	Chr5	920696	923926	Zm00001d012832	Chr5	956683	958210	Zm00001eb210610	chr5	1229090	1230685																					
der2	5.80		GRMZM2G082976	Chr5	924282	928929	Zm00001d012834	Chr5	958297	964764	Zm00001eb210630	chr5	1232976	1237215																					
umc1416	5.81		GRMZM2G033117	Chr5	943698	946309	Zm00001d012838	Chr5	980443	982656	Zm00001eb210680	chr5	1252823	1255890																					
his2a2	5.81		GRMZM2G028955	Chr5	938132	938988	Zm00001d012837	Chr5	975110	975562	Zm00001eb210660	chr5	1247512	1248495																					
AY110625	5.82		GRMZM2G313678	Chr5	1033436	1038047	Zm00001d012846	Chr5	1071426	1076029	Zm00001eb210740	chr5	1343895	1348544																					
pco111061	5.82		GRMZM2G013750	Chr5	1022941	1027559	Zm00001d012844	Chr5	1060873	1065790	Zm00001eb210720	chr5	1333356	1337950																					
LOC100283859	5.82		GRMZM2G013695	Chr5	1028626	1033531	Zm00001d012845	Chr5	1066531	1071306	Zm00001eb210730	chr5	1339014	1343811																					
umc2291	5.83		GRMZM2G013200	Chr5	1039848	1042104	Zm00001d012847	Chr5	1077775	1079269	Zm00001eb210750	chr5	1350257	1351868																					
cl9439_1	5.84		GRMZM2G146097	Chr5	136339860	136342616	Zm00001d012849	Chr5	1082609	1084730	Zm00001eb210770	chr5	1355138	1357943																					
pza00818	5.85		GRMZM2G313481	Chr5	1045283	1050017	Zm00001d012850	Chr5	1084640	1087652	Zm00001eb210780	chr5	1356821	1360426																					
Zm00001d012852	5.89		GRMZM2G012229	Chr5	1061300	1063894	Zm00001d012852	Chr5	1099259	1101829	Zm00001eb210800	chr5	1371607	1374303																					
cl8986_1	5.95		GRMZM2G118586	Chr5	136335987	136338633	Zm00001d012854	Chr5	1119957	1122587	Zm00001eb210820	chr5	1392383	1395183																					
pco144871	5.97		GRMZM2G034326	Chr5	1123117	1125585	Zm00001d012857	Chr5	1163084	1165592	Zm00001eb210850	chr5	1435624	1438134																					
IDP6015	6.00		GRMZM2G034122	Chr5	1129567	1140180	Zm00001d012858	Chr5	1169589	1180180	Zm00001eb210860	chr5	1442099	1452731																					
cast1	6.07		GRMZM2G099160	Chr5	1252753	1259533	Zm00001d012863	Chr5	1291937	1298884	Zm00001eb210900	chr5	1556296	1571508																					
umc2539	6.10		GRMZM2G069916	Chr5	1315093	1322855	Zm00001d012865	Chr5	1349308	1357093	Zm00001eb210930	chr5	1621975	1630054																					
crti3	6.13		GRMZM2G144273	Chr5	1333687	1341860	Zm00001d012868	Chr5	1369611	1375366	Zm00001eb210950	chr5	1638665	1648141																					
Zm00001eb210970	6.15		GRMZM2G138676	Chr5	1357389	1363381	Zm00001d012869	Chr5	1375911	1397930	Zm00001eb210970	chr5	1648334	1663524																					
gsk11	6.16		GRMZM2G138676	Chr5	1357389	1363381	Zm00001d012869	Chr5	1375911	1397930	Zm00001eb210980	chr5	1664487	1670617																					
LOC103625728	6.24		GRMZM2G025227	Chr5	1457845	1463198	Zm00001d012875	Chr5	1499743	1505321	Zm00001eb211000	chr5	1772434	1777827																					
rps4	6.26		GRMZM2G125271	Chr5	1489127	1491854	Zm00001d012878	Chr5	1531936	1534668	Zm00001eb211010	chr5	1804513	1807358																					
si687007d06	6.28		GRMZM2G447976	Chr5	1523923	1526812	Zm00001d012880	Chr5	1564032	1566921	Zm00001eb211020	chr5	1836394	1843515																					
IDP3834	7.48		GRMZM2G148962	Chr5	1533621	1538973	Zm00001d012882	Chr5	1573806	1578947	Zm00001eb211040	chr5	1845954	1852032																					
bige1	7.50		GRMZM2G148937	Chr5	1543960	1547006	Zm00001d012883	Chr5	1584315	1587019	Zm00001eb211050	chr5	1856705	1859880																					
rps21d	7.70		GRMZM2G125300	Chr5	1565340	1568691	Zm00001d012886	Chr5	1605087	1607673	Zm00001eb211090	chr5	1877928	1880382																					
jih5	7.72		GRMZM2G125552	Chr5	1569818	1573867	Zm00001d012887	Chr5	1609222	1611862	Zm00001eb211100	chr5	1881780	1885667																					
lea26	7.74		AC202974.3_FG004	Chr5	1576862	1577515	Zm00001d012889	Chr5	1615998	1616651	Zm00001eb211120	chr5	1888452	1889419																					
LOC100278608	7.76		GRMZM2G125784	Chr5	1578835	1583048	Zm00001d012890	Chr5	1618038	1622184	Zm00001eb211130	chr5	1890737	1893874																					
Zm00001eb211140	7.78		GRMZM2G125812	Chr5	1585965	1592221	Zm00001d012891	Chr5	1622705	1631341	Zm00001eb211140	chr5	1897722	1904032																					
acb9	8.00		GRMZM2G326195	Chr5	1608896	1612025	Zm00001d012892	Chr5	1642983	1653530	Zm00001eb211150	chr5	1915602	1926244																					
PCO062666	8.20		GRMZM2G326235	Chr5	1617726	1618754					Zm00001eb211160	chr5	1932473	1933421																					
LOC100381654	8.22		GRMZM2G326272	Chr5	1621338	1624924	Zm00001d012893	Chr5	1661518	1666868	Zm00001eb211170	chr5	1933724	1939720																					
pco116249	9.00		GRMZM2G004140	Chr5	1682058	1686853	Zm00001d012896	Chr5	1719447	1724144	Zm00001eb211200	chr5	1991969	1996842																					
cnr9	9.20		GRMZM2G023081	Chr5	1728111	1729390	Zm00001d012899	Chr5	1765131	1766168	Zm00001eb211240	chr5	2037680	2038735																					
cnr10	9.21		GRMZM2G325477	Chr5	1731355	1732479	Zm00001d012900	Chr5	1768374	1778661	Zm00001eb211260	chr5	2041045	2041940																					
IDP8601	9.35		GRMZM2G053324	Chr5	1739278	1741386	Zm00001d012902	Chr5	1776398	1778463	Zm00001eb211270	chr5	2048992	2051136																					
cnr3	9.50		GRMZM2G053387	Chr5	1761261	1762309	Zm00001d012906	Chr5	1836103	1837130	Zm00001eb211280	chr5	2083235	2084041																					
pco095801	10.00		GRMZM2G133407	Chr5	1817501	1820935	Zm00001d012909	Chr5	1879412	1882859	Zm00001eb211300	chr5	2126403	2129842																					
hipp38	10.02		AC186166.3_FG008	Chr5	1818438	1820108	Zm00001d012910	Chr5	1880345	1881006	Zm00001eb211310	chr5	2127357	2127997																					
dnaJ45	10.16		GRMZM2G138511	Chr5	1829948	1838934	Zm00001d012913	Chr5	1891852	1900865	Zm00001eb211330	chr5	2138761	2147879																					
sbp6	10.20		GRMZM2G138421	Chr5	1846096	1853085	Zm00001d012916	Chr5	1908305	1915026	Zm00001eb211350	chr5	2155302	2161936																					
pdcb28	10.22		GRMZM2G100524	Chr5	1872601	1875485	Zm00001d012917	Chr5	1934208	1936982	Zm00001eb211360	chr5	2181146	2183974																					
mmp6	10.60																																		
laz4	10.70		GRMZM2G100419	Chr5	1898216	1902113	Zm00001d012921	Chr5	1959713	1963560	Zm00001eb211390	chr5	2206597	2210612																					
rh3	10.80		GRMZM2G415491	Chr5	1933220	1947556	Zm00001d012922	Chr5	1978763	1993142	Zm00001eb211400	chr5	2225798	2240133																					
plc7	10.84		GRMZM2G116876	Chr5	1959283	1961208	Zm00001d012924	Chr5	2004892	2007704	Zm00001eb211410	chr5	2251845	2254901																					
LOC103625744	10.88		GRMZM2G121663	Chr5	2105653	2109212	Zm00001d012928	Chr5	2162733	2165262	Zm00001eb211430	chr5	2409702	2413167																					
si603009b06	10.90		GRMZM2G121715	Chr5	2109670	2112066	Zm00001d012929	Chr5	2166712	2169144	Zm00001eb211440	chr5	2413603	2416113																					
pco107819	10.92		GRMZM2G121743	Chr5	2112293	2114786	Zm00001d012930	Chr5	2169425	2171887	Zm00001eb211450	chr5	2416405	2418902																					
bsk9	11.00		GRMZM2G121826	Chr5	2116106	2121486	Zm00001d012931	Chr5	2173189	2178440	Zm00001eb211460	chr5	2420150	2425403																					
umc1445	11.20		GRMZM2G121840	Chr5	2126865	2129228	Zm00001d012932	Chr5	2183943	2186302	Zm00001eb211470	chr5	2430914	2433300																					
IDP7849	11.40		GRMZM2G121851	Chr5	2141098	2144903	Zm00001d012934	Chr5	2198176	2201920	Zm00001eb211480	chr5	2441909	2448986																					
LOC103625745	11.40		GRMZM2G121843	Chr5	2137959	2140703	Zm00001d012933	Chr5	2194975	2197929	Zm00001eb211480	chr5	2441909	2448986																					
nbcs15	11.70		GRMZM2G420823	Chr5	2146899	2152100	Zm00001d012935	Chr5	2204320	2225211	Zm00001eb211490	chr5	2451248	2453855																					
IDP3935	11.72		GRMZM2G085336	Chr5	2187107	2188951	Zm00001d012936	Chr5	2225609	2227382	Zm00001eb211500	chr5	2472595	2474172																					
umc1901	12.53																																		
Zm00001eb211510	13.08		GRMZM2G085320	Chr5	2184954	2186729	Zm00001d012937	Chr5	2228453	2229426	Zm00001eb211510	chr5	2475424	2476397																					
IDP4503	13.10		GRMZM2G085301	Chr5	2181763	2184186	Zm00001d012938	Chr5	2230365	2235259	Zm00001eb211520	chr5	2476836	2482958																					
npf33	13.18		GRMZM2G143998	Chr5	2250069	2252861	Zm00001d012953	Chr5	2330281	2333027	Zm00001eb211600	chr5	2564554	2566444																					
ras11B2	13.20		GRMZM2G144008	Chr5	2259767	2263658	Zm00001d012954	Chr5	2343012	2343815	Zm00001eb211610	chr5	2574297	2578103																					
IDP122	13.22		GRMZM2G144020	Chr5	2265501	2268450	Zm00001d012955	Chr5	2345664	2348616	Zm00001eb211620	chr5	2579940	2583229																					
smr2	13.23		GRMZM2G144024	Chr5	2269177	2269949	Zm00001d012956	Chr5	2349740	2350027	Zm00001eb211640	chr5	2583649	2584466																					
GRMZM2G445169	13.30		GRMZM2G445169	Chr5	2275248	2277812	Zm00001d012957	Chr5	2355513	2357943	Zm00001eb211650	chr5	2589727	2592258																					
pk5	13.40		GRMZM2G144042	Chr5	2284054	2290332	Zm00001d012958	Chr5	2364388	2370531	Zm00001eb211660	chr5	2598644	2604850																					
prh24	13.65		GRMZM2G144109	Chr5	2315287	2319068	Zm00001d012962	Chr5	2395497	2399273	Zm00001eb211690	chr5	2629765	2633632																					
dof31	13.80		GRMZM2G144188	Chr5	2344044	2345532	Zm00001d012963	Chr5	2416250	2425046	Zm00001eb211710	chr5	2658559	2659605																					
dof33	13.80		GRMZM2G144172	Chr5	2336487	2338861	Zm00001d012963	Chr5	2416250	2425046	Zm00001eb211700	chr5	2650500	2653141																					
cl2811_2e	13.81		GRMZM2G156476	Chr5	2411027	2416081					Zm00001eb211780	chr5	2717653	2722496																					
adf10	13.81		GRMZM2G002825	Chr5	2362606	2365060	Zm00001d012966	Chr5	2443185	2445279	Zm00001eb211740	chr5	2677695	2679728																					
Zm00001eb211770	13.81		GRMZM2G002765	Chr5	2387257	2400960	Zm00001d012969	Chr5	2467426	2481571	Zm00001eb211770	chr5	2701892	2715839																					
Zm00001eb211760	13.81		GRMZM2G002805	Chr5	2378613	2379912	Zm00001d012968	Chr5	2459657	2460184	Zm00001eb211760	chr5	2693524	2694605																					
LOC100286206	13.81		GRMZM2G002815	Chr5	2366009	2366655	Zm00001d012967	Chr5	2446801	2447181	Zm00001eb211750	chr5	2680924	2681572																					
chi3	13.82		GRMZM2G119186	Chr5	2496042	2497691	Zm00001d012972	Chr5	2582304	2584012	Zm00001eb211840	chr5	2816602	2818442																					
Zm00001d012971	13.82		GRMZM2G359446	Chr5	2480310	2486045	Zm00001d012971	Chr5	2560596	2569361	Zm00001eb211820	chr5	2799123	2799917																					
LOC103625771	13.84		GRMZM2G110952	Chr5	2576260	2595158	Zm00001d012978	Chr5	2663422	2665225	Zm00001eb211900	chr5	2896444	2899652																					
alf17	13.85		GRMZM2G110952	Chr5	2576260	2595158	Zm00001d012979	Chr5	2666357	2681120	Zm00001eb211910	chr5	2900719	2903734																					
ppr267	13.87		GRMZM2G110952	Chr5	2576260	2595158	Zm00001d012979	Chr5	2666357	2681120	Zm00001eb211930	chr5	2906699	2909854																					
cl5224_1	13.88										Zm00001eb211950	chr5	2913875	2914156																					
IDP2557	13.88		GRMZM2G410865	Chr5	2604766	2606348	Zm00001d012980	Chr5	2680365	2689832	Zm00001eb211960	chr5	2914572	2926793																					
gpm111	13.89		GRMZM2G107076	Chr5	2706168	2708619	Zm00001d012982	Chr5	2772181	2774600	Zm00001eb211970	chr5	3006639	3008998																					
tbl27	13.89		GRMZM2G406974	Chr5	2702130	2705971	Zm00001d012983	Chr5	2774829	2777025	Zm00001eb211980	chr5	3009195	3011391																					
miR390b	13.90		zma-MIR390b	Chr5	2764104	2764295	zma-MIR390b	Chr5	2846327	2846518																									
caspl26	13.91		GRMZM2G165255	Chr5	2766959	2768258	Zm00001d012988	Chr5	2849021	2850279	Zm00001eb212010	chr5	3083442	3084680																					
alkbh1	13.93		GRMZM2G165270	Chr5	2775528	2785250	Zm00001d012991	Chr5	2857770	2867371	Zm00001eb212020	chr5	3092122	3101844																					
Zm00001d012992	13.94		GRMZM5G899149	Chr5	2788995	2791473	Zm00001d012992	Chr5	2871120	2873693	Zm00001eb212030	chr5	3105628	3108067																					
iws2	13.95		GRMZM2G108716	Chr5	2792516	2796308	Zm00001d012993	Chr5	2874875	2878453	Zm00001eb212040	chr5	3109239	3113203																					
cl44074_1	15.00		GRMZM2G108677	Chr5	2804104	2808171	Zm00001d012996	Chr5	2886366	2890377	Zm00001eb212060	chr5	3113812	3124817																					
Zm00001d012998	15.96		GRMZM2G108643	Chr5	2811744	2814691	Zm00001d012998	Chr5	2893965	2896910	Zm00001eb212080	chr5	3128339	3131286																					
mthfr2	16.00		GRMZM2G034278	Chr5	2861668	2866402	Zm00001d013002	Chr5	2973947	2975342	Zm00001eb212100	chr5	3163258	3168330																					
nactf6	16.10		GRMZM2G018553	Chr5	2917818	2919494	Zm00001d013003	Chr5	2977575	2979101	Zm00001eb212120	chr5	3200016	3201908																					
nactf60	16.10		GRMZM2G336533	Chr5	2887335	2889124	Zm00001d013003	Chr5	2977575	2979101	Zm00001eb212120	chr5	3200016	3201908																					
GRMZM2G423139	16.12		GRMZM2G423139	Chr5	2923447	2924730	Zm00001d013004	Chr5	2995849	2996508	Zm00001eb212130	chr5	3218290	3219604																					
ring290	16.20		GRMZM2G124441	Chr5	2925353	2928771	Zm00001d013005	Chr5	2997319	3000825	Zm00001eb212150	chr5	3221336	3223573																					
LOC103625778	16.22		GRMZM2G095865	Chr5	3038892	3056339	Zm00001d013006	Chr5	3132563	3148461	Zm00001eb212160	chr5	3329399	3345295																					
arf1	17.03		GRMZM2G395844	Chr5	3055229	3058761	Zm00001d013007	Chr5	3149161	3151741	Zm00001eb212170	chr5	3345961	3348609																					
pco078089	17.05		GRMZM2G358416	Chr5	3068100	3068492	Zm00001d013009	Chr5	3161899	3162291	Zm00001eb212190	chr5	3358185	3359501																					
LOC100282830	17.06		GRMZM2G057329	Chr5	3067412	3072500	Zm00001d013010	Chr5	3162431	3171017	Zm00001eb212200	chr5	3359313	3363151																					
GRMZM5G854045	17.08		GRMZM5G854045	Chr5	3087127	3091710	Zm00001d013012	Chr5	3197352	3202002	Zm00001eb212230	chr5	3394277	3398741																					
chld1	17.10		GRMZM2G043453	Chr5	3095928	3103654	Zm00001d013013	Chr5	3206170	3213965	Zm00001eb212250	chr5	3402981	3410817																					
sca1	17.13		GRMZM2G332976	Chr5	3146074	3147825	Zm00001d013015	Chr5	3231369	3233042	Zm00001eb212270	chr5	3427607	3429962																					
pco143347	17.20		GRMZM2G071071	Chr5	3196192	3207509	Zm00001d013019	Chr5	3281413	3292822	Zm00001eb212300	chr5	3478392	3489852																					
nudx11	17.26		GRMZM2G017532	Chr5	3285964	3290226					Zm00001eb212330	chr5	3566522	3570801																					
ipt5	17.38		AC210013.4_FG005	Chr5	3324796	3325809	Zm00001d013021	Chr5	3407648	3408661	Zm00001eb212350	chr5	3603911	3605426																					
IDP69	17.42		AC210013.4_FG008	Chr5	3335131	3344127	Zm00001d013023	Chr5	3417817	3427573	Zm00001eb212370	chr5	3614501	3624282																					
si603015b10	17.56		GRMZM5G810054	Chr5	3350898	3353229	Zm00001d013026	Chr5	3433739	3437031	Zm00001eb212390	chr5	3629797	3633718																					
cl3655_2b	17.58		AC210013.4_FG011	Chr5	3393733	3397474	Zm00001d013027	Chr5	3457051	3461537	Zm00001eb212400	chr5	3653735	3658262																					
tlc9	17.60		AC210013.4_FG012	Chr5	3400504	3401274	Zm00001d013028	Chr5	3464279	3465049	Zm00001eb212410	chr5	3660315	3661917																					
wtf2	17.66		AC210013.4_FG013	Chr5	3403642	3407902	Zm00001d013029	Chr5	3467417	3471866	Zm00001eb212420	chr5	3664004	3668711																					
cdpk48	17.72		AC210013.4_FG014	Chr5	3408768	3412445	Zm00001d013030	Chr5	3472230	3476498	Zm00001eb212430	chr5	3668907	3673140																					
pgl23	17.80		AC210013.4_FG017	Chr5	3425556	3427716	Zm00001d013032	Chr5	3489366	3491526	Zm00001eb212450	chr5	3686016	3688234																					
umc1679	17.90		AC210013.4_FG018	Chr5	3428187	3429834	Zm00001d013033	Chr5	3492135	3493834	Zm00001eb212460	chr5	3688676	3690412																					
Zm00001d013034	17.92		AC210013.4_FG019	Chr5	3431110	3432691	Zm00001d013034	Chr5	3494823	3496592	Zm00001eb212470	chr5	3691320	3693275																					
Zm00001d013035	17.94		GRMZM5G836683	Chr5	3501432	3505909	Zm00001d013035	Chr5	3537738	3542307	Zm00001eb212480	chr5	3731987	3738957																					
Zm00001d013037	17.98		AC210013.4_FG003	Chr5	3478271	3483100	Zm00001d013037	Chr5	3579930	3583194	Zm00001eb212500	chr5	3776116	3779852																					
psad1	17.99		GRMZM2G024150	Chr5	3530018	3531150	Zm00001d013039	Chr5	3603517	3604227	Zm00001eb212520	chr5	3799388	3801078																					
gpm707	18.01		GRMZM2G024657	Chr5	3535893	3539529	Zm00001d013040	Chr5	3606324	3612670	Zm00001eb212540	chr5	3805738	3809356																					
cybc7	18.01		GRMZM2G318346	Chr5	3540056	3545275	Zm00001d013041	Chr5	3613357	3618413	Zm00001eb212550	chr5	3810043	3815131																					
csu33a	18.02		GRMZM2G025164	Chr5	3547692	3550017	Zm00001d013042	Chr5	3621250	3622125																									
aprl9	18.02		GRMZM2G025248	Chr5	3553168	3555891	Zm00001d013043	Chr5	3626153	3629045	Zm00001eb212580	chr5	3822667	3825752																					
LOC100286114	18.04		GRMZM2G139805	Chr5	3602326	3605782	Zm00001d013045	Chr5	3682866	3686323	Zm00001eb212590	chr5	3879564	3882993																					
LOC100279711	18.26		GRMZM2G115612	Chr5	3639915	3643560	Zm00001d013046	Chr5	3732917	3736177	Zm00001eb212610	chr5	3929725	3932916																					
prh28	18.28		GRMZM2G108355	Chr5	3660470	3664915	Zm00001d013047	Chr5	3751294	3758135	Zm00001eb212620	chr5	3951371	3955026																					
sqs1	18.30		GRMZM2G108225	Chr5	3667095	3677998	Zm00001d013048	Chr5	3760185	3771088	Zm00001eb212630	chr5	3956989	3967961																					
mmp43	18.33		GRMZM2G090573	Chr5	3726202	3732073	Zm00001d013049	Chr5	3819243	3825110	Zm00001eb212640	chr5	4015995	4021969																					
IDP1463	18.35		GRMZM2G350471	Chr5	3734288	3760843	Zm00001d013050	Chr5	3873300	3873981	Zm00001eb212650	chr5	4023966	4051052																					
Zm00001eb212660	18.37		GRMZM2G054350	Chr5	3768362	3772973	Zm00001d013052	Chr5	3881567	3886173	Zm00001eb212660	chr5	4058079	4062958																					
proh6	18.38		GRMZM2G054224	Chr5	3777966	3780408	Zm00001d013053	Chr5	3891202	3893064	Zm00001eb212670	chr5	4067739	4069742																					
cle42	18.40		GRMZM2G350428	Chr5	3782236	3785900	Zm00001d013054	Chr5	3895207	3898568	Zm00001eb212680	chr5	4071832	4072875																					
IDP321	18.42		GRMZM2G054193	Chr5	3786488	3789267	Zm00001d013055	Chr5	3900060	3902473	Zm00001eb212690	chr5	4075456	4079158																					
LOC103627959	18.43		GRMZM2G350403	Chr5	3790227	3791457																													
dek51	18.44		GRMZM5G897976	Chr5	3813512	3818358	Zm00001d013056	Chr5	3926636	3931723	Zm00001eb212700	chr5	4103302	4108433																					
Zm00001d013057	18.45		GRMZM5G883250	Chr5	3833055	3836756	Zm00001d013057	Chr5	3946993	3950428	Zm00001eb212710	chr5	4123692	4127323																					
LOC103625805	18.46		GRMZM5G872217	Chr5	3857030	3861958	Zm00001d013058	Chr5	3952446	3967070	Zm00001eb212720	chr5	4129144	4143763																					
pco085879	18.50		GRMZM5G844195	Chr5	3841759	3850283	Zm00001d013059	Chr5	3972809	3981361	Zm00001eb212740	chr5	4149222	4158067																					
fha11	18.52		GRMZM2G701297	Chr5	3944081	3952303	Zm00001d013060	Chr5	4053398	4061564	Zm00001eb212750	chr5	4229659	4238109																					
IDP532	18.53		GRMZM2G009928	Chr5	3953086	3956621					Zm00001eb212770	chr5	4240451	4242012																					
ms28	18.54		GRMZM2G123063	Chr5	4001278	4009529	Zm00001d013063	Chr5	4109487	4117972	Zm00001eb212800	chr5	4285589	4294337																					
hon106a	18.56		GRMZM2G121221	Chr5	4038837	4040693	Zm00001d013066	Chr5	4147202	4148651	Zm00001eb212820	chr5	4323546	4324968																					
LOC542385	18.58		GRMZM2G003002	Chr5	4101244	4102794	Zm00001d013067	Chr5	4209561	4210878	Zm00001eb212840	chr5	4385997	4387351																					
bnl7.21c	18.60																																		
myb160	18.70		GRMZM2G302549	Chr5	4156159	4161139	Zm00001d013070	Chr5	4264331	4269310	Zm00001eb212880	chr5	4444783	4445878																					
