MaizeGDB: Details of Map Genetic 10
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence
lacs7	0.67		GRMZM2G176546	Chr10	1546077	1562905					Zm00001d023238	Chr10	1102077	1122326	Zm00001eb404990	chr10	1062847	1083260																					
smu2	0.70		GRMZM2G430745	Chr10	1679131	1681892					Zm00001d023239	Chr10	1236959	1248543	Zm00001eb405000	chr10	1197798	1209464																					
Zm00001d023240	0.72		GRMZM2G430780	Chr10	1717389	1719197					Zm00001d023240	Chr10	1284095	1285831	Zm00001eb405010	chr10	1244623	1246761																					
crr9	0.74		GRMZM2G129954	Chr10	1725412	1728063					Zm00001d023242	Chr10	1292263	1294372	Zm00001eb405030	chr10	1253129	1256005																					
GRMZM2G130062	0.76		GRMZM2G130062	Chr10	1728667	1734854					Zm00001d023243	Chr10	1295378	1301629	Zm00001eb405040	chr10	1256234	1262513																					
traf7	0.80		GRMZM2G022606	Chr10	1879259	1882389					Zm00001d023246	Chr10	1445596	1448353	Zm00001eb405060	chr10	1405898	1409262																					
gras86	1.00		GRMZM2G317287	Chr10	1886674	1888997					Zm00001d023247	Chr10	1452722	1454992	Zm00001eb405090	chr10	1414233	1415752																					
gras29	1.50		AC198366.3_FG004	Chr10	1890881	1892401					Zm00001d023248	Chr10	1456929	1458449	Zm00001eb405110	chr10	1417392	1418983																					
GRMZM2G104620	1.52		GRMZM2G104620	Chr10	1905201	1908377					Zm00001d023249	Chr10	1461166	1464360	Zm00001eb405120	chr10	1421926	1425120																					
Zm00001d023253	1.58		GRMZM2G104655	Chr10	1918486	1921003					Zm00001d023253	Chr10	1474578	1476845	Zm00001eb405150	chr10	1435211	1437745																					
Zm00001d023254	1.60		GRMZM2G104710	Chr10	1922341	1923824					Zm00001d023254	Chr10	1478285	1479779	Zm00001eb405160	chr10	1438963	1440591																					
Zm00001d023257	1.98										Zm00001d023257	Chr10	1491777	1493140	Zm00001eb405180	chr10	1452431	1453952																					
umc2399	2.00		GRMZM2G104730	Chr10	1928277	1938173					Zm00001d023258	Chr10	1497523	1503954	Zm00001eb405190	chr10	1458362	1464707																					
LOC103640662	2.02		GRMZM2G043119	Chr10	1948805	1950405					Zm00001d023259	Chr10	1504630	1506354	Zm00001eb405200	chr10	1465375	1467097																					
mmp242	2.10		GRMZM2G043150	Chr10	1950508	1959844					Zm00001d023260	Chr10	1506335	1515689	Zm00001eb405210	chr10	1467092	1476460																					
brk3	2.25		GRMZM5G886363	Chr10	2011814	2017183					Zm00001d023262	Chr10	1565392	1599381	Zm00001eb405230	chr10	1526207	1549712																					
ali1	2.48		GRMZM2G180205	Chr10	2046864	2051605					Zm00001d023264	Chr10	1600459	1605134	Zm00001eb405260	chr10	1561295	1629907																					
nbs42	2.50		GRMZM2G180244	Chr10	2052395	2058076					Zm00001d023265	Chr10	1606001	1612705	Zm00001eb405270	chr10	1566941	1573505																					
ali2	2.54		GRMZM2G180249	Chr10	2116473	2118537					Zm00001d023266	Chr10	1670707	1671857	Zm00001eb405280	chr10	1631596	1637070																					
Zm00001d023267	2.58		GRMZM2G180254	Chr10	2127268	2133476					Zm00001d023267	Chr10	1680751	1687113	Zm00001eb405290	chr10	1641701	1648836																					
mmp48b	2.59																																						
vq58	2.60		GRMZM2G180262	Chr10	2144460	2145471					Zm00001d023269	Chr10	1698336	1698995	Zm00001eb405310	chr10	1658886	1659997																					
lea49	2.98		GRMZM2G099067	Chr10	2230287	2231617					Zm00001d023270	Chr10	1779606	1785051	Zm00001eb405330	chr10	1744675	1746249																					
GRMZM2G099074	4.00		GRMZM2G099074	Chr10	2232051	2235960					Zm00001d023271	Chr10	1785760	1789535	Zm00001eb405340	chr10	1746600	1750382																					
umc1380	4.15		GRMZM2G138659	Chr10	2252057	2259197					Zm00001d023272	Chr10	1803506	1810618	Zm00001eb405350	chr10	1764254	1771453																					
mmp220	4.18		GRMZM2G437314	Chr10	2260118	2263935					Zm00001d023273	Chr10	1811072	1815334	Zm00001eb405370	chr10	1771918	1776181																					
umc1293	4.20		GRMZM2G181546	Chr10	2405084	2406195					Zm00001d023274	Chr10	1972478	1973202	Zm00001eb405380	chr10	1932833	1934044																					
mate48	4.78		GRMZM2G151903	Chr10	2435337	2439141					Zm00001d023277	Chr10	2014035	2017856	Zm00001eb405390	chr10	1974461	1978696																					
LOC100282632	4.98		GRMZM2G151977	Chr10	2449049	2453307					Zm00001d023278	Chr10	2027907	2031976	Zm00001eb405410	chr10	1988827	1992830																					
bub4	5.00		GRMZM2G152007	Chr10	2454333	2457858					Zm00001d023279	Chr10	2032914	2036564	Zm00001eb405420	chr10	1993701	1997455																					
AY110060	5.58		GRMZM5G832378	Chr10	2460936	2466520					Zm00001d023281	Chr10	2039718	2045302	Zm00001eb405440	chr10	2000564	2005747																					
myb69	6.00		AC197146.3_FG002	Chr10	2469595	2470558					Zm00001d023282	Chr10	2048298	2049531	Zm00001eb405450	chr10	2008367	2010928																					
LOC100383027	6.02		AC197146.3_FG001	Chr10	2482962	2484788					Zm00001d023283	Chr10	2061741	2063567	Zm00001eb405460	chr10	2022118	2024622																					
psr119c	7.08																																						
php20725b	7.48																																						
php20753a	7.50																																						
myb123	7.69		GRMZM2G172487	Chr10	2629931	2630888					Zm00001d023284	Chr10	2210289	2211146	Zm00001eb405470	chr10	2171060	2172216																					
zhd10	7.71		GRMZM2G470974	Chr10	2632775	2633842					Zm00001d023286	Chr10	2213583	2213879	Zm00001eb405500	chr10	2174427	2174734																					
myb107	7.73		GRMZM2G172575	Chr10	2635968	2636971					Zm00001d023287	Chr10	2216330	2217229	Zm00001eb405510	chr10	2177185	2178084																					
zhd14	7.75		GRMZM2G172586	Chr10	2639262	2640147					Zm00001d023289	Chr10	2219925	2220221	Zm00001eb405530	chr10	2180780	2181076																					
phi041	8.69														Zm00001eb405540	chr10	2190375	2190907																					
gsl2	8.70		GRMZM2G172596	Chr10	2649738	2651194					Zm00001d023290	Chr10	2230214	2231452	Zm00001eb405550	chr10	2191161	2192305																					
LOC100285531	8.70		GRMZM2G127416	Chr10	2653212	2656552					Zm00001d023291	Chr10	2233456	2236785	Zm00001eb405560	chr10	2194321	2197667																					
bnl3.04	8.71		GRMZM2G427014	Chr10	2659630	2660092					Zm00001d023293	Chr10	2239888	2240337	Zm00001eb405570	chr10	2198273	2207038																					
nactf25	8.71		GRMZM2G127379	Chr10	2682268	2684357					Zm00001d023294	Chr10	2262454	2264529	Zm00001eb405590	chr10	2223317	2225630																					
Zm00001eb405610	8.96		GRMZM2G320305	Chr10	2693389	2697471					Zm00001d023296	Chr10	2276776	2279300	Zm00001eb405610	chr10	2239141	2239622																					
apy12	8.98		GRMZM2G431714	Chr10	2763781	2766292					Zm00001d023298	Chr10	2344261	2346609	Zm00001eb405620	chr10	2305043	2307791																					
IDP103	9.00		GRMZM5G822449	Chr10	2785064	2786391					Zm00001d023299	Chr10	2352030	2356262	Zm00001eb405630	chr10	2312814	2317359																					
gpm759a	10.00		GRMZM2G036918	Chr10	2797529	2803099					Zm00001d023301	Chr10	2367346	2373054	Zm00001eb405650	chr10	2328347	2334069																					
Zm00001d026505	10.07		GRMZM2G428119	Chr10	145960204	145960768					Zm00001d026505	Chr10	147307733	147308281	Zm00001eb432650	chr10	148763363	148764287																					
rp5	11.50																																						
Zm00001d023308	11.98		GRMZM2G068745	Chr10	3064168	3064805					Zm00001d023308	Chr10	2639163	2639637	Zm00001eb405750	chr10	2600155	2600944																					
cyp75	12.00		GRMZM2G068465	Chr10	3065600	3069726					Zm00001d023309	Chr10	2640438	2644386	Zm00001eb405760	chr10	2601467	2605574																					
nbs2	13.00		GRMZM2G356817	Chr10	3163435	3169260					Zm00001d023311	Chr10	2743366	2754357	Zm00001eb405770	chr10	2704293	2715986																					
GRMZM2G060884	13.00		GRMZM2G060884	Chr10	3130061	3133063																																	
AW330564	13.25		GRMZM2G058595	Chr10	3193616	3195834					Zm00001d023314	Chr10	2775081	2777402	Zm00001eb405820	chr10	2735922	2738625																					
lbd44	13.26		GRMZM5G873586	Chr10	3275775	3281566					Zm00001d023316	Chr10	2854293	2860135	Zm00001eb405850	chr10	2815397	2821166																					
rp1	13.27		GRMZM2G069382	Chr10	3571990	3590706					Zm00001d023317	Chr10	2861471	2865816	Zm00001eb405860	chr10	2822308	2827757																					
LOC103640712	13.27		GRMZM2G443939	Chr10	3700999	3705985					Zm00001d023323	Chr10	3287230	3292720	Zm00001eb405910	chr10	3247674	3253625																					
nbs104	13.27		GRMZM2G349565	Chr10	3767328	3769922					Zm00001d023325	Chr10	3356034	3374713	Zm00001eb405930	chr10	3333939	3335714																					
LOC109939211	13.27		AC152495.1_FG003	Chr10	3299975	3307226					Zm00001d023327	Chr10	3460713	3479462	Zm00001eb405870	chr10	2832931	2844283																					
nbs67	13.27		GRMZM2G143769	Chr10	3687121	3688770					Zm00001d023322	Chr10	3273650	3275122	Zm00001eb405900	chr10	3234680	3236152																					
nbs1	13.27		GRMZM5G879178	Chr10	3445065	3449748					Zm00001d023320	Chr10	3020138	3028139	Zm00001eb405880	chr10	2911530	3233043					Zm00032ab423330	chr10	3377567	3382582													
Zm00001d023326	13.29		GRMZM2G003625	Chr10	3849433	3854134					Zm00001d023326	Chr10	3428535	3447268	Zm00001eb405940	chr10	3399579	3404352																					
csu1061b	13.95																																						
dek140	13.98		GRMZM2G304965	Chr10	3990349	3993118					Zm00001d023331	Chr10	3594888	3597482	Zm00001eb405990	chr10	3531780	3536107																					
wrky63	14.00		GRMZM2G005207	Chr10	3995050	3997307					Zm00001d023332	Chr10	3599571	3601619	Zm00001eb406000	chr10	3537595	3539838																					
sdg127	14.20		GRMZM2G473138	Chr10	4018763	4022973					Zm00001d023333	Chr10	3606398	3621010	Zm00001eb406010	chr10	3539381	3559114																					
wrky91	14.26		GRMZM2G441031	Chr10	4035458	4036997					Zm00001d023336	Chr10	3631087	3632656	Zm00001eb406030	chr10	3568884	3570955																					
LOC100383155	14.26		GRMZM2G387731	Chr10	4064252	4065194					Zm00001d023337	Chr10	3651997	3660777	Zm00001eb406040	chr10	3591374	3595951																					
cl24029_1	14.27		GRMZM2G129804	Chr10	4074286	4076892					Zm00001d023340	Chr10	3669883	3672428	Zm00001eb406060	chr10	3607753	3610609																					
IDP7790	14.27		GRMZM2G129775	Chr10	4067806	4073874					Zm00001d023339	Chr10	3664713	3669673	Zm00001eb406050	chr10	3601459	3607574																					
ring559	14.33		GRMZM2G467576	Chr10	4101520	4102167					Zm00001d023341	Chr10	3800820	3801443	Zm00001eb406080	chr10	3735002	3736085																					
GRMZM2G101928	14.35		GRMZM2G101928	Chr10	4161244	4165105					Zm00001d023342	Chr10	3816662	3820885	Zm00001eb406090	chr10	3750832	3755732																					
rpp9	15.00																																						
plt1	15.00		GRMZM2G101958	Chr10	4168397	4169548					Zm00001d023343	Chr10	3824749	3825745	Zm00001eb406100	chr10	3759133	3760129																					
plt10	15.10		GRMZM5G898755	Chr10	4246280	4247510					Zm00001d023344	Chr10	3840240	3855248	Zm00001eb406130	chr10	3788412	3789669																					
Zm00001eb406160	15.16		GRMZM2G361968	Chr10	4290613	4291701					Zm00001d023347	Chr10	3877255	3878343	Zm00001eb406160	chr10	3811655	3812783																					
GRMZM2G387760	15.20		GRMZM2G387760	Chr10	4265843	4266479					Zm00001d023349	Chr10	3908471	3909772	Zm00001eb406180	chr10	3842722	3845138																					
rp6	15.40																																						
Zm00001d023351	15.44										Zm00001d023351	Chr10	3949445	3952239																									
cipk14	15.46		GRMZM2G125001	Chr10	4396464	4399157					Zm00001d023353	Chr10	3995907	3997196	Zm00001eb406220	chr10	3929142	3931856																					
phd18	15.50		GRMZM2G443565	Chr10	4449604	4458482					Zm00001d023356	Chr10	4054205	4057138	Zm00001eb406240	chr10	3990650	3995644																					
cipk41	15.52		GRMZM2G156150	Chr10	4469326	4472165					Zm00001d023360	Chr10	4071443	4072735	Zm00001eb406250	chr10	4004480	4007417																					
LOC109943105	15.57		GRMZM2G044372	Chr10	4513756	4518759					Zm00001d023362	Chr10	4114546	4119548																									
cipk39	15.70		GRMZM2G356128	Chr10	4527743	4529265					Zm00001d023365	Chr10	4125973	4127271	Zm00001eb406290	chr10	4059385	4061917																					
Zm00001d023366	15.72		GRMZM2G054481	Chr10	4529985	4531757					Zm00001d023366	Chr10	4128220	4129971	Zm00001eb406300	chr10	4063077	4063848																					
IDP258	15.90		GRMZM5G803318	Chr10	4595127	4597641					Zm00001d023371	Chr10	4190680	4193349	Zm00001eb406340	chr10	4125218	4127842																					
hipp60	16.00		GRMZM2G022318	Chr10	4614584	4617977					Zm00001d023372	Chr10	4210185	4213497	Zm00001eb406350	chr10	4144715	4148108																					
AW225120	16.03		GRMZM2G003732	Chr10	4641206	4667439					Zm00001d023373	Chr10	4236920	4263190	Zm00001eb406370	chr10	4171329	4197622																					
phm3631	17.00		GRMZM2G003750	Chr10	4667844	4670650					Zm00001d023374	Chr10	4263636	4265759	Zm00001eb406400	chr10	4198042	4200931																					
alp1	18.00		GRMZM2G003762	Chr10	4676400	4679041					Zm00001d023376	Chr10	4272268	4274843	Zm00001eb406410	chr10	4206671	4209221																					
tbl64	19.03		GRMZM2G004445	Chr10	4692725	4696761					Zm00001d023378	Chr10	4288877	4292640	Zm00001eb406440	chr10	4223168	4227058																					
pyk2	19.05		GRMZM2G004534	Chr10	4697235	4702142					Zm00001d023379	Chr10	4293119	4298209	Zm00001eb406450	chr10	4227533	4232681																					
IDP1448	19.70		GRMZM2G031317	Chr10	4740034	4741046					Zm00001d023384	Chr10	4335098	4336256	Zm00001eb406460	chr10	4269805	4270719																					
psk4	20.28		GRMZM2G031261	Chr10	4752399	4753182					Zm00001d023385	Chr10	4347611	4348392	Zm00001eb406480	chr10	4281939	4282830																					
Zm00001eb406490	20.30		GRMZM2G031033	Chr10	4779364	4780100					Zm00001d023387	Chr10	4374702	4375148	Zm00001eb406490	chr10	4309015	4309712																					
ddt6	21.00		GRMZM2G314661	Chr10	4874772	4883107					Zm00001d023391	Chr10	4470647	4479429	Zm00001eb406520	chr10	4405042	4413573																					
Zm00001d023392	22.00		GRMZM2G014282	Chr10	4899052	4914645					Zm00001d023392	Chr10	4495323	4511091	Zm00001eb406530	chr10	4429754	4445729																					
npi285a(cac)	22.75		GRMZM2G350841	Chr10	5006086	5010500					Zm00001d023393	Chr10	4656986	4661017	Zm00001eb406540	chr10	4588640	4593178																					
umc1152	22.85		GRMZM2G050709	Chr10	4996876	4998859					Zm00001d023394	Chr10	4668713	4670263	Zm00001eb406550	chr10	4600524	4602520																					
pop3	22.88		GRMZM2G050730	Chr10	4994123	4995149					Zm00001d023395	Chr10	4672326	4673327	Zm00001eb406570	chr10	4604189	4610207																					
IDP4524	22.90		GRMZM2G159208	Chr10	5109795	5111452					Zm00001d023398	Chr10	4725305	4726846	Zm00001eb406580	chr10	4657051	4658822																					
Zm00001d023399	22.92		GRMZM2G159193	Chr10	5111957	5113411					Zm00001d023399	Chr10	4727487	4728857	Zm00001eb406590	chr10	4658868	4660860																					
LOC103640750	22.98		GRMZM2G159179	Chr10	5116326	5118272					Zm00001d023400	Chr10	4731068	4733727	Zm00001eb406600	chr10	4663775	4665587																					
AC218932.3_FG009	22.99		AC218932.3_FG009	Chr10	5122772	5123809					Zm00001d023401	Chr10	4738282	4739319																									
glk4	23.00		GRMZM2G159119	Chr10	5125137	5127242					Zm00001d023402	Chr10	4740647	4742679	Zm00001eb406610	chr10	4672376	4674582																					
pap29	23.50		GRMZM2G434170	Chr10	5225395	5228033					Zm00001d023404	Chr10	4839680	4842257	Zm00001eb406620	chr10	4771413	4774159																					
cl15172_2e	23.52																																						
GRMZM2G702950	23.54		GRMZM2G702950	Chr10	5291186	5295041					Zm00001d023406	Chr10	4912119	4914790																									
pap32	23.70		GRMZM5G881649	Chr10	5383244	5386122					Zm00001d023410	Chr10	5018177	5021314	Zm00001eb406650	chr10	4950172	4953413																					
glk5	23.80		GRMZM2G016370	Chr10	5388541	5390606					Zm00001d023411	Chr10	5023685	5025660	Zm00001eb406660	chr10	4955622	4957826																					
Zm00004b037904	23.81		AC194104.3_FG007	Chr10	5392133	5393161					Zm00001d023412	Chr10	5027201	5028229																					Zm00004b037904	chr10	4914698	4916232	
Zm00001eb406670	23.82		GRMZM2G016264	Chr10	5402258	5404421					Zm00001d023413	Chr10	5037511	5038986	Zm00001eb406670	chr10	4969388	4971288																					
Zm00001d023417	23.88		GRMZM2G044377	Chr10	5451343	5452960					Zm00001d023417	Chr10	5085688	5087058	Zm00001eb406700	chr10	5017493	5019346																					
Zm00001d023418	23.90		GRMZM2G044394	Chr10	5453371	5457660					Zm00001d023418	Chr10	5087646	5091935	Zm00001eb406710	chr10	5019556	5021284																					
Zm00001d023419	23.98		GRMZM2G044423	Chr10	5462324	5464902					Zm00001d023419	Chr10	5096599	5097027	Zm00001eb406730	chr10	5028488	5034394																					
pebp3	24.00		GRMZM2G338454	Chr10	5465315	5465881					Zm00001d023420	Chr10	5099284	5100559	Zm00001eb406740	chr10	5031425	5032769																					
ppr490	24.04		GRMZM2G465444	Chr10	5485867	5488876									Zm00001eb406750	chr10	5034931	5038295																					
bzip109	25.00		GRMZM2G366264	Chr10	5534459	5537102					Zm00001d023424	Chr10	5180381	5183180	Zm00001eb406770	chr10	5112335	5114930																					
cr4	26.00		GRMZM2G051637	Chr10	5591911	5595821					Zm00001d023425	Chr10	5235583	5238288	Zm00001eb406780	chr10	5167244	5171804																					
IDP2353	26.20		GRMZM2G164113	Chr10	5645523	5651839					Zm00001d023426	Chr10	5284902	5291881	Zm00001eb406800	chr10	5217605	5224060																					
gun4	26.30		GRMZM2G464328	Chr10	5645820	5646965					Zm00001d023427	Chr10	5286289	5287104	Zm00001eb406810	chr10	5217969	5219953																					
lysA1	26.33		GRMZM2G020446	Chr10	5722736	5732491					Zm00001d023429	Chr10	5402577	5411941	Zm00001eb406820	chr10	5322740	5332183																					
dmag4	26.34		GRMZM6G534641	Chr10	5734820	5735467					Zm00001d023430	Chr10	5412838	5417544	Zm00001eb406830	chr10	5333063	5337889																					
si496035e06	26.36		GRMZM2G113093	Chr10	5741708	5749233					Zm00001d023431	Chr10	5419971	5427473	Zm00001eb406840	chr10	5340202	5347791																					
Zm00001eb406850	26.38		GRMZM2G113089	Chr10	5751864	5755041					Zm00001d023432	Chr10	5430131	5433276	Zm00001eb406850	chr10	5350313	5353611																					
umc1432	27.00		GRMZM2G113073	Chr10	5761033	5765889					Zm00001d023434	Chr10	5439443	5444101	Zm00001eb406860	chr10	5359075	5364341																					
cl2032_1d	27.02		GRMZM2G413220	Chr10	5768378	5769464					Zm00001d023435	Chr10	5446872	5448187	Zm00001eb406870	chr10	5367045	5369407																					
gdcp1	28.50		GRMZM2G104310	Chr10	5874253	5880613					Zm00001d023437	Chr10	5599455	5606101	Zm00001eb406880	chr10	5519665	5526185																					
LOC103640768	28.52		GRMZM2G065804	Chr10	5900930	5904776					Zm00001d023439	Chr10	5628583	5632451	Zm00001eb406890	chr10	5548541	5552686																					
bzip67	29.00		GRMZM2G365754	Chr10	5921816	5922855					Zm00001d023443	Chr10	5649486	5650525	Zm00001eb406920	chr10	5569624	5571153																					
abi41	29.70		GRMZM5G805685	Chr10	6074814	6076964					Zm00001d023446	Chr10	5747841	5749899	Zm00001eb406950	chr10	5668101	5670253																					
LOC103640772	29.72										Zm00001d023447	Chr10	5753455	5754612	Zm00001eb406960	chr10	5672097	5676861																					
caat6	29.96		AC207755.3_FG005	Chr10	6168362	6170372					Zm00001d023450	Chr10	5902065	5906458	Zm00001eb406990	chr10	5809254	5814003																					
LOC103640774	29.99		GRMZM2G449197	Chr10	6346566	6348687					Zm00001d023451	Chr10	6036908	6040432	Zm00001eb407010	chr10	5945561	5948056																					
pco069710a	30.01		GRMZM2G148411	Chr10	6355226	6359528					Zm00001d023452	Chr10	6046170	6050178	Zm00001eb407020	chr10	5953591	5957648																					
umc2034	30.03		GRMZM2G148404	Chr10	6377440	6378546					Zm00001d023453	Chr10	6068261	6068701	Zm00001eb407030	chr10	5975473	5976593																					
ofp38	30.05		GRMZM2G057753	Chr10	6401895	6403520					Zm00001d023455	Chr10	6094302	6095315	Zm00001eb407040	chr10	6005567	6007515																					
ofp39	30.06		AC187891.3_FG006	Chr10	6406678	6407469					Zm00001d023456	Chr10	6099071	6099862	Zm00001eb407050	chr10	6009882	6011506																					
pco140340(678)	30.10		GRMZM2G044317	Chr10	6593115	6599307					Zm00001d023462	Chr10	6343058	6349138	Zm00001eb407100	chr10	6254589	6260808																					
e2f11	30.20		GRMZM2G052515	Chr10	6663939	6668632					Zm00001d023465	Chr10	6427340	6432014	Zm00001eb407120	chr10	6338790	6343617																					
ca5p17	30.30		GRMZM2G052499	Chr10	6682348	6683697					Zm00001d023466	Chr10	6445727	6447046	Zm00001eb407130	chr10	6357257	6359007																					
hb108	30.32		GRMZM2G060050	Chr10	6753231	6754253																																	
hin11	30.34		GRMZM2G163998	Chr10	6865400	6866582					Zm00001d023468	Chr10	6631686	6632327	Zm00001eb407150	chr10	6543035	6544213																					
Zm00001d023469	30.36		GRMZM2G464382	Chr10	6869133	6875632					Zm00001d023469	Chr10	6635096	6641682	Zm00001eb407160	chr10	6546733	6553329																					
Zm00001d023472	30.38		GRMZM2G409795	Chr10	7053670	7055126					Zm00001d023472	Chr10	6821358	6828230	Zm00001eb407180	chr10	6733098	6739792																					
GRMZM2G031656	30.42		GRMZM2G031656	Chr10	7125801	7131451					Zm00001d023479	Chr10	6924447	6930183	Zm00001eb407240	chr10	6825340	6831093																					
pub13	30.44		GRMZM2G031624	Chr10	7137038	7138123					Zm00001d023480	Chr10	6935822	6940532	Zm00001eb407250	chr10	6836700	6837392																					
nactf139	30.50										Zm00001d023482	Chr10	6996936	6998063	Zm00001eb407280	chr10	6897837	6898964																					
nactf150	30.52		GRMZM5G858524	Chr10	7242271	7243398					Zm00001d023483	Chr10	7023617	7024744	Zm00001eb407290	chr10	6924519	6925646																					
nactf139a	30.54		AC191279.2_FG003	Chr10	7328022	7329110					Zm00001d023484	Chr10	7065609	7066697	Zm00001eb407300	chr10	6966556	6967644																					
