MaizeGDB: Details of Map Genetic 8
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Sequence
prx91	11.10		GRMZM2G041308	Chr8	4349205	4351436					Zm00001d008299	Chr8	4564526	4566716	Zm00001eb333290	chr8	4677513	4679675									
prx90	11.12		GRMZM2G037156	Chr8	4360668	4361269					Zm00001d008300	Chr8	4575727	4577201	Zm00001eb333300	chr8	4688594	4690305									
tlc14	12.00		GRMZM2G020148	Chr8	4432844	4434564					Zm00001d008305	Chr8	4713419	4715161	Zm00001eb333330	chr8	4822675	4824876									
ring461	12.35		GRMZM2G022711	Chr8	4512978	4517797					Zm00001d008306	Chr8	4742217	4747002	Zm00001eb333340	chr8	4851544	4856342									
nactf97	12.37		GRMZM2G167492	Chr8	4542485	4559631					Zm00001d008308	Chr8	4801455	4804054	Zm00001eb333350	chr8	4893195	4913338									
ipp1	12.40		GRMZM2G029731	Chr8	4616570	4620398					Zm00001d008310	Chr8	4832736	4841589	Zm00001eb333360	chr8	4941980	4951032									
pco097181	12.44		GRMZM2G060190	Chr8	4593985	4596783					Zm00001d008312	Chr8	4855211	4857885	Zm00001eb333380	chr8	4964973	4967089									
Zm00001eb333390	12.46		GRMZM2G049581	Chr8	4799700	4800974									Zm00001eb333390	chr8	5052072	5052699									
IDP6944	12.48		GRMZM2G049429	Chr8	4801321	4808498					Zm00001d008314	Chr8	4961095	4969539	Zm00001eb333400	chr8	5053167	5060405									
mIR169b	12.52		zma-MIR169b	Chr8	4792715	4792870					zma-MIR169b	Chr8	5012331	5012486													
Zm00001d008321	12.58		GRMZM2G334857	Chr8	4868366	4885346					Zm00001d008321	Chr8	5116246	5134191	Zm00001eb333450	chr8	5207237	5225062									
c3h28	12.60		GRMZM2G036837	Chr8	4916708	4925557					Zm00001d008322	Chr8	5172219	5181074	Zm00001eb333460	chr8	5263105	5271979									
c3h23	12.80		GRMZM2G475017	Chr8	4955650	4961914					Zm00001d008323	Chr8	5210822	5217086	Zm00001eb333470	chr8	5301499	5307938									
rnp2	13.00																										
fpf1	13.20		GRMZM2G134941	Chr8	4969862	4970303					Zm00001d008325	Chr8	5225241	5225564	Zm00001eb333480	chr8	5316068	5316878									
ralf18	13.21		GRMZM2G095164	Chr8	5024416	5025529									Zm00001eb333490	chr8	5357342	5357743									
umc1327	13.22		GRMZM2G095114	Chr8	5029916	5039269									Zm00001eb333500	chr8	5362620	5371972									
trub1	13.24		GRMZM2G044128	Chr8	5160708	5162795					Zm00001d008327	Chr8	5397381	5399132	Zm00001eb333520	chr8	5487801	5489896									
LOC103634690	13.26		GRMZM2G146004	Chr8	5187091	5188035					Zm00001d008329	Chr8	5442897	5443187	Zm00001eb333530	chr8	5532271	5534081									
IDP4767	13.30		GRMZM2G146031	Chr8	5226455	5245212					Zm00001d008331	Chr8	5481789	5500666	Zm00001eb333550	chr8	5572110	5591165									
IDP4405	13.32		GRMZM2G017285	Chr8	5296147	5300862					Zm00001d008332	Chr8	5543056	5547838	Zm00001eb333560	chr8	5633265	5638250									
pme14	13.40		GRMZM2G017555	Chr8	5330395	5332835					Zm00001d008334	Chr8	5578197	5580631	Zm00001eb333580	chr8	5668703	5671161									
trps14	13.50		GRMZM2G416836	Chr8	5488159	5500321					Zm00001d008338	Chr8	5736542	5759202	Zm00001eb333590	chr8	5827007	5850764									
IDP22	13.57		GRMZM2G154896	Chr8	5597813	5601400					Zm00001d008342	Chr8	5857214	5860199	Zm00001eb333640	chr8	5947527	5950729									
imp3	13.62		GRMZM2G088231	Chr8	5678583	5684878					Zm00001d008345	Chr8	5938159	5944491	Zm00001eb333670	chr8	6028684	6035079									
pmei15	13.65		GRMZM2G323558	Chr8	5720615	5722217					Zm00001d008346	Chr8	5980827	5981477	Zm00001eb333680	chr8	6070902	6072024									
flr5	13.66		GRMZM2G155260	Chr8	5821242	5823980					Zm00001d008347	Chr8	6080858	6083509	Zm00001eb333690	chr8	6171052	6174374									
cl14773_2b	13.68		GRMZM2G024730	Chr8	5892297	5904192					Zm00001d008354	Chr8	6151665	6163477	Zm00001eb333730	chr8	6242136	6254150									
c3h42	13.70		GRMZM2G024655	Chr8	5908910	5912846					Zm00001d008356	Chr8	6168205	6172172	Zm00001eb333750	chr8	6258746	6262968									
gsk5	13.71		GRMZM2G024151	Chr8	5915270	5919218					Zm00001d008357	Chr8	6174454	6178469	Zm00001eb333760	chr8	6265048	6269005									
pco061640	13.72		GRMZM2G049416	Chr8	6023286	6028417					Zm00001d008360	Chr8	6298442	6303617	Zm00001eb333790	chr8	6388596	6394264									
LOC111589938	13.73		GRMZM2G058681	Chr8	6243736	6257400					Zm00001d008367	Chr8	6512708	6516786	Zm00001eb333870	chr8	6606643	6606948									
Zm00001eb333860	13.73		GRMZM2G058681	Chr8	6243736	6257400					Zm00001d008367	Chr8	6512708	6516786	Zm00001eb333860	chr8	6603091	6604499									
cl2646_1	13.74		GRMZM2G058276	Chr8	6280931	6291548					Zm00001d008369	Chr8	6538825	6549503	Zm00001eb333890	chr8	6629128	6639874									
ggps3	13.75		GRMZM2G058404	Chr8	6359238	6360557					Zm00001d008370	Chr8	6617307	6618398	Zm00001eb333900	chr8	6706603	6708771									
Zm00001eb333940	13.76										Zm00001d008374	Chr8	6699139	6703444	Zm00001eb333940	chr8	6789381	6793997	Zm00024ab340950	chr8	6699438	6705306					
nrh1	13.77		GRMZM2G029845	Chr8	6394792	6398354					Zm00001d008376	Chr8	6705061	6708604	Zm00001eb333950	chr8	6795479	6798992									
si660004d03	13.78		GRMZM2G328094	Chr8	6457162	6458737					Zm00001d008377	Chr8	6768030	6769106	Zm00001eb333970	chr8	6858181	6859570									
cys1	13.79		GRMZM2G082185	Chr8	6465005	6468479					Zm00001d008379	Chr8	6803766	6807373	Zm00001eb333980	chr8	6894037	6897523									
LOC103634710	13.79		GRMZM2G044553	Chr8	6508872	6511024					Zm00001d008380	Chr8	6820296	6826324	Zm00001eb333990	chr8	6910550	6916638									
rps5	13.80		GRMZM2G156673	Chr8	6591423	6593377					Zm00001d008387	Chr8	6915036	6916870	Zm00001eb334050	chr8	7005425	7007314									
caat14	13.80		GRMZM2G346682	Chr8	6518115	6519254					Zm00001d008382	Chr8	6829899	6834351	Zm00001eb334010	chr8	6922591	6924448									
pco149699b	13.82		GRMZM2G044337	Chr8	6701812	6707293					Zm00001d008389	Chr8	7021742	7027546	Zm00001eb334070	chr8	7112060	7117971									
LOC100279216	13.84		GRMZM2G056145	Chr8	6804092	6812742					Zm00001d008390	Chr8	7120513	7129220	Zm00001eb334080	chr8	7210916	7219746									
dnaj164	13.86		GRMZM2G146163	Chr8	6844256	6845934					Zm00001d008392	Chr8	7160718	7161967	Zm00001eb334090	chr8	7251074	7252372									
cl10730_1	13.98		GRMZM2G305080	Chr8	6849107	6853016					Zm00001d008393	Chr8	7165508	7169469	Zm00001eb334100	chr8	7255873	7259867									
IDP1426	14.00		GRMZM2G004006	Chr8	6855469	6857376					Zm00001d008394	Chr8	7171959	7173829	Zm00001eb334110	chr8	7262314	7264610									
pco066529b	14.02		GRMZM2G003853	Chr8	6857051	6860408					Zm00001d008395	Chr8	7173973	7176804	Zm00001eb334120	chr8	7264252	7267240									
Zm00001d008397	14.06		GRMZM2G110504	Chr8	6920228	6921126					Zm00001d008397	Chr8	7232820	7233317	Zm00001eb334140	chr8	7323087	7323898									
Zm00001eb334150	14.08		GRMZM2G408294	Chr8	6934030	6944529					Zm00001d008398	Chr8	7246496	7257318	Zm00001eb334150	chr8	7336760	7347871									
nactf118	15.00		GRMZM2G109627	Chr8	7036425	7039141					Zm00001d008399	Chr8	7349376	7352005	Zm00001eb334160	chr8	7439793	7442406									
nactf130	16.00		GRMZM2G154182	Chr8	7300179	7302179					Zm00001d008403	Chr8	7619712	7621282	Zm00001eb334180	chr8	7709600	7711784									
GRMZM2G454022	16.02		GRMZM2G454022	Chr8	7432088	7436415					Zm00001d008404	Chr8	7743483	7747810	Zm00001eb334190	chr8	7834033	7838410									
LOC100280739	16.98		GRMZM2G154499	Chr8	7428274	7431907					Zm00001d008405	Chr8	7747991	7751639	Zm00001eb334200	chr8	7838341	7842293									
pfkb1	17.00		GRMZM2G051842	Chr8	7516447	7520814					Zm00001d008406	Chr8	7831591	7835921	Zm00001eb334210	chr8	7922139	7926502									
si605086d08b	17.06		GRMZM2G150266	Chr8	7673435	7676783					Zm00001d008409	Chr8	8013677	8016415	Zm00001eb334240	chr8	8104008	8107403									
si707029e04b	20.00		GRMZM2G129806	Chr8	7748478	7752169					Zm00001d008411	Chr8	8047022	8050763	Zm00001eb334260	chr8	8137450	8141425									
dnaj165	20.02		GRMZM2G429169	Chr8	7760669	7763680					Zm00001d008412	Chr8	8059900	8062959	Zm00001eb334270	chr8	8149962	8155901									
dnaj166	23.92		GRMZM2G166507	Chr8	7795088	7803102					Zm00001d008413	Chr8	8088053	8091109	Zm00001eb334280	chr8	8178334	8182294									
bhlh203	23.98		GRMZM2G378681	Chr8	7937890	7939901					Zm00001d008420	Chr8	8273413	8275055	Zm00001eb334310	chr8	8350397	8351973									
pco142176	24.00		GRMZM2G080937	Chr8	7977578	7982579					Zm00001d008422	Chr8	8312884	8317910	Zm00001eb334320	chr8	8389418	8394802									
cl40761_1d	24.02		GRMZM2G020645	Chr8	7997711	7999606					Zm00001d008424	Chr8	8334036	8335952	Zm00001eb334330	chr8	8410546	8412909									
Zm00001eb334360	24.86		GRMZM2G322047	Chr8	8015402	8018620					Zm00001d008425	Chr8	8351568	8355320	Zm00001eb334360	chr8	8428288	8432128									
dxr2	24.90		GRMZM2G036290	Chr8	8094882	8101495					Zm00001d008427	Chr8	8429852	8436838	Zm00001eb334380	chr8	8511105	8513522									
GRMZM2G035341	24.92		GRMZM2G035341	Chr8	8102747	8115642					Zm00001d008428	Chr8	8437905	8450620	Zm00001eb334390	chr8	8514610	8527495									
sin2	25.00		GRMZM2G334457	Chr8	8119643	8130134					Zm00001d008429	Chr8	8454946	8475384	Zm00001eb334400	chr8	8529535	8552171									
acat2	25.40		GRMZM5G860137	Chr8	8282391	8288769					Zm00001d008432	Chr8	8619533	8626414	Zm00001eb334430	chr8	8695876	8703670									
umc1483	25.50		GRMZM5G872442	Chr8	8290263	8294506					Zm00001d008433	Chr8	8627115	8631237	Zm00001eb334440	chr8	8703801	8708044									
glu15	25.54		AC234160.1_FG003	Chr8	8303190	8305756					Zm00001d008435	Chr8	8639917	8642774	Zm00001eb334460	chr8	8716609	8719613									
LOC103634743	25.56		GRMZM5G888000	Chr8	8310425	8311161					Zm00001d008437	Chr8	8646408	8647853	Zm00001eb334470	chr8	8721127	8724545									
bhlh19	26.35		GRMZM2G066057	Chr8	8416520	8418397					Zm00001d008444	Chr8	8757504	8759356	Zm00001eb334500	chr8	8834296	8836197									
pebp9	26.50		GRMZM2G021614	Chr8	8472799	8475229					Zm00001d008446	Chr8	8814262	8820093	Zm00001eb334510	chr8	8890896	8893368									
LOC103634746	26.52		GRMZM2G326307	Chr8	8477277	8478177					Zm00001d008447	Chr8	8819115	8819708	Zm00001eb334520	chr8	8895658	8896316									
mybr16	26.70		GRMZM2G382029	Chr8	8495835	8497325					Zm00001d008448	Chr8	8848525	8849633	Zm00001eb334530	chr8	8925665	8926768									
umc2352a	26.83		GRMZM2G098015	Chr8	8614917	8616167					Zm00001d008451	Chr8	8953863	8954231	Zm00001eb334550	chr8	9012986	9013908									
arm29	26.88		GRMZM2G138255	Chr8	8857480	8861217					Zm00001d008455	Chr8	9190651	9194067	Zm00001eb334600	chr8	9249898	9253335									
wakl39	26.90		GRMZM2G079219	Chr8	8885807	8888820					Zm00001d008457	Chr8	9218920	9221936	Zm00001eb334620	chr8	9278164	9281153									
wakl40	26.92		GRMZM2G395778	Chr8	8918328	8923844					Zm00001d008458	Chr8	9254393	9259476	Zm00001eb334630	chr8	9316123	10067523									
Zm00001d008459	26.94		GRMZM2G700375	Chr8	8928160	8929141					Zm00001d008459	Chr8	9263564	9264545													
Zm00001d008460	26.95		GRMZM2G366953	Chr8	8976099	8980207					Zm00001d008460	Chr8	9329610	9344387													
wakl41	26.96		GRMZM2G113421	Chr8	8996218	8998913					Zm00001d008462	Chr8	9350134	9352749	Zm00001eb334630	chr8	9316123	10067523									
wakl42	27.00		GRMZM2G034611	Chr8	9262111	9264669					Zm00001d008467	Chr8	9610502	9621190	Zm00001eb334630	chr8	9316123	10067523									
wakl43	27.02		GRMZM2G502350	Chr8	9281136	9282572					Zm00001d008468	Chr8	9622565	9639429	Zm00001eb334670	chr8	9681891	9698791									
ptk5	27.10		GRMZM2G473511	Chr8	9436053	9438289					Zm00001d008477	Chr8	9807195	9830853	Zm00001eb334630	chr8	9316123	10067523									
lrk pseudo	27.16																										
wakl45	27.18		GRMZM2G093072	Chr8	9535209	9537558					Zm00001d008485	Chr8	9908038	9910735	Zm00001eb334630	chr8	9316123	10067523									
wakl46	27.19		GRMZM2G077914	Chr8	9627158	9629741					Zm00001d008488	Chr8	9999360	10008150	Zm00001eb334630	chr8	9316123	10067523									
wak42	27.19		GRMZM5G825193	Chr8	9439475	9457564					Zm00001d008479	Chr8	9828155	9828691	Zm00001eb334680	chr8	9870181	9888061									
wak40	27.19		GRMZM2G113378	Chr8	9009180	9025254					Zm00001d008465	Chr8	9362789	9378737	Zm00001eb334650	chr8	9422194	9438346									
lrk1	27.20		GRMZM2G064750	Chr8	9630289	9634061					Zm00001d008489	Chr8	10002314	10006242	Zm00001eb334730	chr8	10061697	10065621									
ald3	27.22		GRMZM2G069195	Chr8	9901273	9905102					Zm00001d008491	Chr8	10203372	10207090	Zm00001eb334740	chr8	10263392	10267843									
IDP8183	27.24		GRMZM2G095757	Chr8	9920927	9927875					Zm00001d008493	Chr8	10291243	10298011	Zm00001eb334750	chr8	10351507	10358403									
IDP8330	27.26		GRMZM5G875864	Chr8	10000421	10004153					Zm00001d008495	Chr8	10370364	10374096	Zm00001eb334770	chr8	10430655	10434494									
Zm00001eb334780	27.28		AC216871.3_FG004	Chr8	10012519	10014142					Zm00001d008496	Chr8	10382235	10384292	Zm00001eb334780	chr8	10442562	10444619									
cps5	28.00		GRMZM5G858471	Chr8	10078647	10080295					Zm00001d008497	Chr8	10439104	10447983	Zm00001eb334790	chr8	10499417	10508395									
IDP4220	28.04		GRMZM2G140754	Chr8	10082252	10085842					Zm00001d008498	Chr8	10450076	10453191	Zm00001eb334800	chr8	10509994	10513612									
IDP8276	28.06		GRMZM2G140782	Chr8	10086438	10093231					Zm00001d008499	Chr8	10458582	10460554	Zm00001eb334810	chr8	10518943	10521047									
TIDP3217	28.20		GRMZM2G094050	Chr8	10122605	10125067					Zm00001d008500	Chr8	10485507	10486334	Zm00001eb334820	chr8	10545618	10548371									
ring462	28.28		GRMZM2G003930	Chr8	10288196	10291863					Zm00001d008503	Chr8	10655716	10659597	Zm00001eb334850	chr8	10716212	10720003									
cl16330_1	28.30		GRMZM2G374085	Chr8	10392528	10394245									Zm00001eb334860	chr8	10814201	10814501									
miR159a	28.30		zma-MIR159a	Chr8	10392820	10393065					zma-MIR159a	Chr8	10753073	10753318													
miR159h	28.35		zma-MIR159h	Chr8	10529107	10529306					zma-MIR159h	Chr8	10885935	10886134													
miR159i	28.40		GRMZM5G800297	Chr8	10532950	10533201																					
miR159j	28.48		zma-MIR159j	Chr8	10544915	10545166					zma-MIR159j	Chr8	10920901	10921152													
