MaizeGDB: Details of Map Genetic 2
Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Sequence
IDP8468	3.20		GRMZM2G150098	Chr2	1626662	1630749	Zm00001d001831	Chr2	1617066	1621351	Zm00001eb066190	chr2	1893942	1898512																																	
hin20	3.23		GRMZM2G449094	Chr2	1632401	1633498	Zm00001d001832	Chr2	1623040	1623795	Zm00001eb066210	chr2	1899747	1900852																																	
cl12066_1a	3.25		GRMZM2G150004	Chr2	1641537	1649789	Zm00001d001834	Chr2	1632057	1640150	Zm00001eb066230	chr2	1908581	1917184																																	
LOC103645762	3.28		GRMZM2G149996	Chr2	1655917	1657372	Zm00001d001835	Chr2	1646488	1647882	Zm00001eb066250	chr2	1923321	1925111																																	
myb133	3.30		GRMZM2G149958	Chr2	1678831	1682752	Zm00001d001837	Chr2	1669402	1673203	Zm00001eb066260	chr2	1946187	1950117																																	
abi3	3.40		GRMZM2G149940	Chr2	1684944	1691150	Zm00001d001838	Chr2	1675459	1681671	Zm00001eb066270	chr2	1952254	1958589																																	
LOC103645763	3.42		GRMZM2G137596	Chr2	1711498	1717262	Zm00001d001841	Chr2	1703673	1708071	Zm00001eb066290	chr2	1979057	1984793																																	
AC194873.3_FG006	3.43		AC194873.3_FG006	Chr2	1711870	1712622	Zm00001d001840	Chr2	1702956	1703309	Zm00001eb066300	chr2	1979807	1980229																																	
ppr85	3.45		GRMZM2G436214	Chr2	1718119	1719960	Zm00001d001842	Chr2	1708851	1710647	Zm00001eb066310	chr2	1985656	1987823																																	
cl49128_1a	3.46		GRMZM2G436199	Chr2	1720231	1721721	Zm00001d001843	Chr2	1710917	1712421	Zm00001eb066320	chr2	1987686	1989377																																	
LOC100194122	3.47		GRMZM2G137574	Chr2	1722660	1727429	Zm00001d001844	Chr2	1713365	1718096	Zm00001eb066330	chr2	1990152	1995022																																	
cl35744_1a	3.48		GRMZM2G044096	Chr2	1777320	1782912	Zm00001d001846	Chr2	1767080	1772657	Zm00001eb066350	chr2	2043702	2049508																																	
pco090813	3.50		GRMZM2G084928	Chr2	1815004	1821170	Zm00001d001847	Chr2	1804763	1811060	Zm00001eb066360	chr2	2081543	2088170																																	
ring88	3.60		GRMZM2G084819	Chr2	1821493	1849481	Zm00001d001848	Chr2	1811147	1839106	Zm00001eb066370	chr2	2087787	2116056																																	
ccl10	3.70		GRMZM2G105330	Chr2	1920976	1923155	Zm00001d001849	Chr2	1910247	1912431	Zm00001eb066390	chr2	2187069	2189273																																	
chlh2	3.72		GRMZM2G105319	Chr2	1929680	1930888	Zm00001d001850	Chr2	1914398	1919938	Zm00001eb066410	chr2	2195512	2196439																																	
IDP53	3.74		GRMZM2G407347	Chr2	1930913	1935284					Zm00001eb066420	chr2	2197043	2201261																																	
gsl6	3.80		GRMZM2G068202	Chr2	1957113	1958008	Zm00001d001852	Chr2	1946284	1947096	Zm00001eb066440	chr2	2223206	2224013																																	
miR396c	3.81		zma-MIR396c	Chr2	1962527	1962600	zma-MIR396c	Chr2	1951700	1951773																																					
pat6	3.82		GRMZM2G068177	Chr2	1973624	1977075	Zm00001d001855	Chr2	1962797	1966211	Zm00001eb066460	chr2	2239619	2243179																																	
Zm00001d001857	3.84		GRMZM2G039996	Chr2	2020585	2022137	Zm00001d001857	Chr2	2015253	2016537	Zm00001eb066480	chr2	2292209	2293513																																	
ring89	3.87		GRMZM2G040247	Chr2	2042773	2049494	Zm00001d001859	Chr2	2037381	2043847	Zm00001eb066510	chr2	2314198	2320843																																	
udg1	3.90		GRMZM2G040627	Chr2	2072014	2081975	Zm00001d001864	Chr2	2066590	2076640	Zm00001eb066560	chr2	2343617	2353673																																	
crr1	4.00		GRMZM2G040736	Chr2	2084221	2085003	Zm00001d001865	Chr2	2078887	2079669	Zm00001eb066570	chr2	2355766	2357035																																	
Zm00001d001877	4.50		GRMZM2G452142	Chr2	2226789	2230600	Zm00001d001877	Chr2	2221345	2224783	Zm00001eb066630	chr2	2498208	2502214																																	
arftf3	5.00		GRMZM2G078274	Chr2	2271404	2279360	Zm00001d001879	Chr2	2248003	2256074	Zm00001eb066640	chr2	2524918	2533246																																	
csu29a	5.50		GRMZM2G077541	Chr2	2330974	2334509	Zm00001d001881	Chr2	2309633	2313192	Zm00001eb066660	chr2	2586814	2590348																																	
pao6	6.00		GRMZM2G078033	Chr2	2366062	2369774	Zm00001d001883	Chr2	2344925	2348541	Zm00001eb066680	chr2	2622083	2625798																																	
Zm00001d001884	6.02		GRMZM2G078541	Chr2	2370730	2375919	Zm00001d001884	Chr2	2349516	2354941	Zm00001eb066690	chr2	2626000	2632047																																	
thx35	6.60		GRMZM2G081445	Chr2	2481978	2484701	Zm00001d001894	Chr2	2491277	2493876	Zm00001eb066770	chr2	2769510	2772324																																	
isu144a	6.85																																														
IDP4350	6.90		GRMZM2G104430	Chr2	2491938	2497677	Zm00001d001895	Chr2	2500957	2506732	Zm00001eb066780	chr2	2779440	2785235																																	
vte5	7.03		GRMZM2G104538	Chr2	2500510	2502357	Zm00001d001896	Chr2	2509567	2511414	Zm00001eb066790	chr2	2788015	2789859																																	
cl11096_1	7.03		GRMZM2G009994	Chr2	2544057	2550523	Zm00001d001898	Chr2	2553344	2559999	Zm00001eb066810	chr2	2831755	2838745																																	
arpp2a-3	7.25		GRMZM2G010257	Chr2	2550585	2552593	Zm00001d001899	Chr2	2559817	2561845	Zm00001eb066820	chr2	2838265	2840296																																	
ccp31	7.27		GRMZM2G010435	Chr2	2553629	2557261	Zm00001d001900	Chr2	2562960	2566600	Zm00001eb066830	chr2	2841408	2845016																																	
pco072559	7.30		GRMZM2G064870	Chr2	2599279	2603675	Zm00001d001901	Chr2	2608019	2612382	Zm00001eb066840	chr2	2886268	2890822																																	
IDP776	7.32		GRMZM2G065012	Chr2	2633915	2640039	Zm00001d001906	Chr2	2644303	2648830	Zm00001eb066880	chr2	2922762	2927275																																	
ptox2	7.34		GRMZM2G010555	Chr2	2680126	2689950	Zm00001d001908	Chr2	2689185	2697141	Zm00001eb066910	chr2	2971783	2975610																																	
ereb220	7.34		GRMZM2G010555	Chr2	2680126	2689950	Zm00001d001907	Chr2	2687734	2688264	Zm00001eb066890	chr2	2965929	2966902																																	
al1	7.36																																														
ptox1	7.38		GRMZM2G102349	Chr2	2787469	2790978	Zm00001d001909	Chr2	2779225	2782637	Zm00001eb066920	chr2	3041700	3045505																																	
uce4	7.40		GRMZM2G102471	Chr2	2808177	2811018	Zm00001d001913	Chr2	2799861	2803017	Zm00001eb066940	chr2	3062476	3065036																																	
umc2659	7.45		GRMZM2G043862	Chr2	2812200	2816997	Zm00001d001914	Chr2	2803876	2808599	Zm00001eb066950	chr2	3066447	3071166																																	
hipp11	7.50		GRMZM2G043932	Chr2	2821052	2822486	Zm00001d001915	Chr2	2812723	2813940	Zm00001eb066960	chr2	3075300	3076727																																	
cl14688_1	7.60		GRMZM2G034748	Chr2	2915484	2917828	Zm00001d001917	Chr2	2907763	2919247	Zm00001eb066980	chr2	3170359	3175414																																	
pco108652	7.70		GRMZM2G702889	Chr2	2990466	2994626					Zm00001eb067000	chr2	3249953	3261488																																	
fht5	7.72		GRMZM2G025536	Chr2	3018934	3021689	Zm00001d001924	Chr2	3022804	3026409	Zm00001eb067040	chr2	3285398	3288154																																	
LOC100280519	7.72		GRMZM2G175343	Chr2	3058503	3060484	Zm00001d001927	Chr2	3061215	3062758	Zm00001eb067060	chr2	3323816	3325638																																	
kcbp1	7.73		GRMZM2G070273	Chr2	3067260	3076483	Zm00001d001928	Chr2	3067705	3079031	Zm00001eb067080	chr2	3330434	3341636																																	
IDP7712	7.73		GRMZM2G070287	Chr2	3077126	3077915	Zm00001d001929	Chr2	3079742	3089142	Zm00001eb067090	chr2	3342370	3343068																																	
pco118092	7.74		GRMZM2G070389	Chr2	3082367	3086726	Zm00001d001929	Chr2	3079742	3089142	Zm00001eb067130	chr2	3348965	3351879																																	
vq12	7.74		AC206638.3_FG007	Chr2	3089769	3090188	Zm00001d001931	Chr2	3092327	3092746	Zm00001eb067140	chr2	3354853	3355547																																	
c3h16	7.75		GRMZM2G071034	Chr2	3094658	3099169	Zm00001d001933	Chr2	3097287	3101632	Zm00001eb067160	chr2	3359604	3364278																																	
Zm00001d001932	7.75		GRMZM2G371944	Chr2	3089703	3094119	Zm00001d001932	Chr2	3093088	3096658	Zm00001eb067150	chr2	3355668	3359412																																	
glk16	7.76		GRMZM2G035370	Chr2	3109831	3112898	Zm00001d001936	Chr2	3114134	3117099	Zm00001eb067190	chr2	3376438	3379835																																	
Zm00001eb067200	7.76		GRMZM2G035325	Chr2	3115774	3119828	Zm00001d001937	Chr2	3119830	3123912	Zm00001eb067200	chr2	3382447	3386524																																	
ftsz1	7.77		GRMZM2G119773	Chr2	3181159	3184876	Zm00001d001939	Chr2	3192067	3195814	Zm00001eb067210	chr2	3454709	3458432																																	
incw4	7.78		GRMZM2G119941	Chr2	3190291	3193646	Zm00001d001941	Chr2	3201231	3204850	Zm00001eb067230	chr2	3463670	3467594																																	
incw7	7.80		GRMZM2G018716	Chr2	3229356	3231990	Zm00001d001943	Chr2	3240579	3242932	Zm00001eb067250	chr2	3503079	3505630																																	
incw6	7.81		GRMZM2G018692	Chr2	3233733	3236144	Zm00001d001944	Chr2	3244741	3247431	Zm00001eb067260	chr2	3507285	3510028																																	
arftf4	7.90		GRMZM2G034840	Chr2	3342917	3349175	Zm00001d001945	Chr2	3367272	3374233	Zm00001eb067270	chr2	3630367	3636867																																	
cl14562_1a	7.92		GRMZM2G047590	Chr2	3371444	3377730	Zm00001d001946	Chr2	3397867	3402119	Zm00001eb067280	chr2	3660610	3664418																																	
hb67	8.00		GRMZM2G047448	Chr2	3392385	3393860	Zm00001d001948	Chr2	3416796	3418004	Zm00001eb067310	chr2	3679307	3681157																																	
bif3	8.00																																														
cl33392_1a	8.10		GRMZM2G047321	Chr2	3394534	3397953	Zm00001d001949	Chr2	3418932	3422178	Zm00001eb067320	chr2	3681300	3684965																																	
GRMZM2G047018	8.20		GRMZM2G047018	Chr2	3397726	3400751	Zm00001d001951	Chr2	3423831	3424283	Zm00001eb067330	chr2	3684795	3686481																																	
GRMZM2G046968	8.30		GRMZM2G046968	Chr2	3401353	3407648	Zm00001d001952	Chr2	3425808	3432915	Zm00001eb067340	chr2	3688358	3696793																																	
si687023g02a	8.32		GRMZM2G348909	Chr2	3414302	3419644	Zm00001d001953	Chr2	3438958	3444350	Zm00001eb067350	chr2	3701279	3706867																																	
nactf162	8.34		GRMZM2G342107	Chr2	3439597	3440686	Zm00001d001956	Chr2	3465162	3465629	Zm00001eb067360	chr2	3727794	3730055																																	
bm6	8.78		GRMZM2G062420	Chr2	3546164	3552438	Zm00001d001959	Chr2	3543770	3549932	Zm00001eb067370	chr2	3806463	3812678																																	
fht1	8.80		GRMZM2G062396	Chr2	3561475	3563418	Zm00001d001960	Chr2	3559183	3560951	Zm00001eb067380	chr2	3821277	3823550																																	
saur80	8.82		GRMZM2G365188	Chr2	3569433	3571345	Zm00001d001961	Chr2	3566924	3567634	Zm00001eb067390	chr2	3829678	3830168																																	
pco141842	9.00		GRMZM2G062354	Chr2	3574664	3590255	Zm00001d001962	Chr2	3572227	3587792	Zm00001eb067410	chr2	3834824	3867453																																	
saur14	9.02		GRMZM2G365166	Chr2	3592372	3593036	Zm00001d001963	Chr2	3589962	3590393	Zm00001eb067420	chr2	3852710	3853485																																	
saur15	9.04		GRMZM2G365162	Chr2	3602482	3603699	Zm00001d001964	Chr2	3600255	3600683	Zm00001eb067430	chr2	3862803	3863760																																	
T2-3a(2)	10.00																																														
jpsb485b	10.83																																														
pco082032	11.50		GRMZM2G061745	Chr2	3610614	3614343	Zm00001d001966	Chr2	3608159	3611883	Zm00001eb067440	chr2	3870858	3874582																																	
cl15947_1a	11.52		GRMZM2G061672	Chr2	3614302	3619484	Zm00001d001967	Chr2	3611983	3617038	Zm00001eb067450	chr2	3874151	3879742																																	
IDP3987	11.68		GRMZM2G009413	Chr2	3711931	3715976	Zm00001d001973	Chr2	3728194	3732158	Zm00001eb067490	chr2	3990808	3994851																																	
IDP8938	11.70		GRMZM2G150496	Chr2	3738993	3743937	Zm00001d001974	Chr2	3757695	3762861	Zm00001eb067500	chr2	4020809	4025787																																	
npf45	11.72		GRMZM2G150468	Chr2	3752575	3754781	Zm00001d001976	Chr2	3771594	3773923	Zm00001eb067510	chr2	4034420	4036126																																	
mkkk14	11.80		GRMZM2G017654	Chr2	3780433	3809604	Zm00001d001978	Chr2	3798163	3823892	Zm00001eb067530	chr2	4060869	4086613																																	
Zm00001d001980	11.81		GRMZM2G087201	Chr2	3863809	3868484	Zm00001d001980	Chr2	3876007	3880702	Zm00001eb067560	chr2	4138711	4143513																																	
ibh1	11.82		GRMZM2G388823	Chr2	3879520	3880146	Zm00001d001982	Chr2	3891754	3892380	Zm00001eb067570	chr2	4154309	4154768																																	
aaap6	11.83		GRMZM2G042933	Chr2	3940153	3942970	Zm00001d001984	Chr2	3952212	3954752	Zm00001eb067590	chr2	4214599	4217463																																	
IDP7863	11.84		GRMZM2G042599	Chr2	3946869	3950571	Zm00001d001987	Chr2	3958780	3962322	Zm00001eb067600	chr2	4221315	4224942																																	
prh16	11.85		GRMZM2G056572	Chr2	3973404	3978693	Zm00001d001988	Chr2	4000536	4005122	Zm00001eb067610	chr2	4263315	4267702																																	
cle12	11.95		GRMZM2G391746	Chr2	4045899	4046558	Zm00001d001990	Chr2	4060451	4060702	Zm00001eb067630	chr2	4323027	4323329																																	
cl31317_1a	12.48		GRMZM2G029113	Chr2	4059071	4061012	Zm00001d001994	Chr2	4073693	4075345	Zm00001eb067650	chr2	4336217	4338303																																	
rca4	12.50		GRMZM2G039345	Chr2	4166453	4168712	Zm00001d001995	Chr2	4120298	4126906	Zm00001eb067660	chr2	4382883	4389740																																	
gpe1	12.68		GRMZM2G039588	Chr2	4179876	4184562	Zm00001d001999	Chr2	4137849	4142554	Zm00001eb067700	chr2	4400533	4405426																																	
lox6	12.70		GRMZM2G040095	Chr2	4192152	4196263	Zm00001d002000	Chr2	4150293	4154404	Zm00001eb067710	chr2	4412855	4417145																																	
pco085206a	12.70		AC210003.2_FG015	Chr2	4198770	4199116	Zm00001d002001	Chr2	4156560	4157278																																					
GRMZM2G045049	12.70		GRMZM2G045049	Chr2	4209845	4212939	Zm00001d002003	Chr2	4166904	4173548	Zm00001eb067720	chr2	4429546	4436182																																	
prx16	12.71		AC210003.2_FG004	Chr2	4216908	4219207	Zm00001d002004	Chr2	4177227	4180187	Zm00001eb067730	chr2	4439390	4443025																																	
lg1	12.72		GRMZM2G036297	Chr2	4265163	4268840	Zm00001d002005	Chr2	4230854	4234535	Zm00001eb067740	chr2	4493424	4497434									Zm00026ab067840	chr2	4387587	4391680																					
mha2	12.75		GRMZM2G019404	Chr2	4305357	4312971	Zm00001d002006	Chr2	4277523	4284581	Zm00001eb067750	chr2	4540165	4547139																																	
GRMZM2G314171	12.78		GRMZM2G314171	Chr2	4326162	4331947	Zm00001d002007	Chr2	4299771	4305794	Zm00001eb067770	chr2	4562597	4564860																																	
ect1	12.80		GRMZM2G314176	Chr2	4328051	4328948	Zm00001d002008	Chr2	4300206	4300844	Zm00001eb067780	chr2	4563164	4564080																																	
ereb45	13.00		GRMZM2G067463	Chr2	4352876	4353499	Zm00001d002011	Chr2	4324615	4325127	Zm00001eb067800	chr2	4586958	4588082																																	
mkaku42	13.10		GRMZM2G521862	Chr2	4354360	4355151	Zm00001d002012	Chr2	4325836	4336209	Zm00001eb067810	chr2	4588368	4598962																																	
GRMZM2G363066	13.12		GRMZM2G363066	Chr2	4375395	4376933	Zm00001d002013	Chr2	4339537	4341007	Zm00001eb067820	chr2	4601883	4603635																																	
LOC103645823	13.48		GRMZM2G032682	Chr2	4416904	4417861	Zm00001d002015	Chr2	4385916	4386347	Zm00001eb067850	chr2	4648483	4649204																																	
LOC103645825	13.48		GRMZM2G468747	Chr2	4427658	4428439	Zm00001d002016	Chr2	4391588	4392022	Zm00001eb067840	chr2	4645147	4654777																																	
LOC103645824	13.48		GRMZM2G334734	Chr2	4420561	4421211	Zm00001d002014	Chr2	4382583	4383017	Zm00001eb067840	chr2	4645147	4654777																																	
LOC100278952	13.50		GRMZM2G088121	Chr2	4431420	4432338	Zm00001d002017	Chr2	4394921	4395352	Zm00001eb067860	chr2	4657587	4660258																																	
Zm00001d002018	13.54		GRMZM2G348539	Chr2	4438275	4438853	Zm00001d002018	Chr2	4400592	4405639	Zm00001eb067880	chr2	4667863	4668305																																	
GRMZM2G059740	13.60		GRMZM2G059740	Chr2	4517598	4519647	Zm00001d002020	Chr2	4479323	4481492	Zm00001eb067900	chr2	4742135	4744158																																	
umc2536	13.80		GRMZM2G039961	Chr2	4577139	4578125	Zm00001d002021	Chr2	4539076	4539570	Zm00001eb067910	chr2	4801613	4802460																																	
cdo524	13.89																																														
cax2	13.90		GRMZM2G040017	Chr2	4585422	4590928	Zm00001d002022	Chr2	4547285	4552574	Zm00001eb067920	chr2	4809816	4815225																																	
gras35	14.00		GRMZM2G386362	Chr2	4624290	4626096	Zm00001d002023	Chr2	4587796	4589602	Zm00001eb067950	chr2	4851359	4853625																																	
pco116681	14.02		GRMZM2G086489	Chr2	4629897	4642690	Zm00001d002024	Chr2	4593403	4606170	Zm00001eb067960	chr2	4855857	4868903																																	
ereb24	14.40		GRMZM2G086573	Chr2	4666315	4671738	Zm00001d002025	Chr2	4628845	4634985	Zm00001eb067980	chr2	4892377	4897638																																	
GRMZM2G086577	14.44		GRMZM2G086577	Chr2	4675512	4682626	Zm00001d002026	Chr2	4638994	4644379	Zm00001eb068000	chr2	4901603	4908717																																	
pco066126	14.55		GRMZM2G086801	Chr2	4693195	4697981	Zm00001d002027	Chr2	4656652	4661418	Zm00001eb068020	chr2	4919285	4924076																																	
