marker_id	best_chr	pos	cM	expected_chr	pident	aln_len	bitscore	competitor_chr	competitor_bitscore	unique	chr_agree
brpb-807992	A1	30081869	123.62984	A1	97.05	339	577.0	C1	566.0	0	1
brpb-808460	A2	438600	11.66	C2	99.81	514	946.0	C2	891.0	1	0
brpb-670904	A2	3736048	11.11	A2	99.34	304	549.0			1	1
brpb-808338	A2	3746223	11.954	A2	92.80	500	741.0	C2	708.0	0	1
brpb-840784	A2	3746223	11.399	A2	99.80	500	918.0	C2	857.0	1	1
brpb-842220	A2	3746223	11.457	A2	99.60	500	915.0	C2	854.0	1	1
brpb-671322	A2	3948598	12.708	A2	100.00	504	931.0			1	1
brpb-840731	A2	3948702	12.845	A2	98.65	296	529.0			1	1
brpb-840545	A2	5370138	15.205	A2	99.23	389	708.0	C2	527.0	1	1
brpb-661469	A2	7609373	20.869	A2	99.78	457	839.0	C2	791.0	1	1
brpb-658386	A2	8008401	23.061	A2	99.68	313	571.0	C2	431.0	1	1
brpb-659016	A2	9620190	24.955	A2	99.35	309	558.0	C2	339.0	1	1
brpb-657868	A2	9620237	24.957	A2	97.51	402	695.0	C2	333.0	1	1
brpb-659053	A2	9620249	24.959	A2	98.83	427	761.0	C2	344.0	1	1
brpb-661407	A2	9620249	24.957	A2	96.74	429	715.0	C2	300.0	1	1
brpb-662239	A2	9620249	24.957	A2	99.06	427	765.0	C2	339.0	1	1
brpb-662312	A2	9620249	24.948	A2	98.83	427	758.0	C2	339.0	1	1
brpb-670471	A2	9620391	24.952	A2	100.00	142	263.0			1	1
brpb-657736	A2	10236286	24.966321	A4	98.88	445	795.0	A4	789.0	0	0
brpb-657600	A2	12516501	67.134	A6	90.65	246	331.0	A6	250.0	1	0
brpb-662889	A2	15736002	56.434149	C2	98.47	588	1035.0			1	0
brpb-658083	A2	23220496	52.175604	A2	100.00	218	403.0			1	1
brpb-809267	A2	27950629	74.024	A2	96.94	327	549.0	C2	527.0	0	1
brpb-840401	A2	27950629	74.002	A2	99.39	327	595.0	C2	496.0	1	1
brpb-660196	A2	27954983	73.974	A2	97.02	470	793.0			1	1
brpb-657949	A2	27955009	73.962	A2	99.42	522	950.0			1	1
brpb-808759	A2	27955112	74.009	A2	97.29	738	1242.0			1	1
brpb-808824	A2	28127205	0	A7	99.72	364	667.0			1	0
brpb-840062	A2	28127205	0	A7	99.18	364	656.0			1	0
brpb-661972	A3	1574069	8.393737	A3	98.59	425	749.0	C3	654.0	1	1
brpb-660648	A3	1727540	9.847163	A3	96.85	349	582.0	C3	580.0	0	1
brpb-659233	A3	1727591	10.779997	A3	98.67	452	809.0	C3	802.0	0	1
brpb-658157	A3	1927932	4.768941	A3	97.28	552	937.0	C3	739.0	1	1
brpb-657679	A3	2288516	29.216801	A3	97.72	307	525.0	C9	206.0	1	1
brpb-659852	A3	2482885	32.402588	A3	100.00	225	416.0	C3	366.0	1	1
brpb-658285	A3	2558946	26.785331	A3	96.11	334	540.0	C3	499.0	1	1
brpb-658945	A3	2558946	26.785331	A3	96.41	334	545.0	C3	505.0	1	1
brpb-661767	A3	2558946	26.785331	A3	95.21	334	521.0	C3	514.0	0	1
brpb-662944	A3	2558946	26.785331	A3	97.01	334	556.0	C3	516.0	1	1
brpb-808545	A3	2558946	26.785331	A3	96.11	334	538.0	C3	531.0	0	1
brpb-659037	A3	2559077	26.785331	A3	94.03	67	102.0			1	1
brpb-658433	A3	2880230	36.401645	A3	96.91	324	547.0	C3	414.0	1	1
brpb-809652	A3	3243611	17.479	C3	95.59	68	110.0			1	0
brpb-657896	A3	3767305	53.355489	A10	99.77	435	800.0	C3	617.0	1	0
brpb-839374	A3	5808966	35.950505	C3	94.69	339	523.0	C3	518.0	0	0
brpb-839739	A3	5808966	35.950505	C3	94.69	339	523.0	C3	518.0	0	0
brpb-663683	A3	7352400	55.656193	A3	100.00	232	429.0			1	1
brpb-840137	A3	7356300	50.716181	A3	98.42	508	894.0	C3	568.0	1	1
brpb-838688	A3	7550475	56.448193	A3	96.04	328	547.0			1	1
brpb-840813	A3	7550475	55.969193	A3	98.78	328	582.0	A4	195.0	1	1
brpb-840898	A3	9948509	60.877593	A3	97.12	417	702.0	C3	662.0	1	1
brpb-660993	A3	12067611	66.808239	A3	95.33	343	540.0			1	1
brpb-839525	A3	12173886	65.176007	A3	98.89	452	808.0	C3	704.0	1	1
brpb-657750	A3	14718055	73.469511	A3	97.98	397	689.0	C3	660.0	0	1
brpb-658436	A3	14718055	73.691193	A3	98.49	397	699.0	C3	665.0	0	1
brpb-658601	A3	14718055	73.578193	A3	98.74	397	704.0	C3	671.0	0	1
brpb-658800	A3	14718055	73.684193	A3	98.49	397	699.0	C3	665.0	0	1
brpb-658844	A3	14718055	73.599193	A3	98.74	397	704.0	C3	671.0	0	1
brpb-660346	A3	14718055	73.776193	A3	98.49	397	699.0	C3	665.0	0	1
brpb-662736	A3	14718055	73.359193	A3	98.49	397	699.0	C3	654.0	1	1
brpb-662935	A3	14718055	77.275952	A3	98.49	397	699.0	C3	665.0	0	1
brpb-808274	A3	14718055	73.075193	A3	98.74	397	704.0	C3	671.0	0	1
brpb-809175	A3	14718055	73.423193	A3	98.49	397	699.0	C3	665.0	0	1
brpb-809214	A3	14718055	73.615193	A3	98.74	397	704.0	C3	671.0	0	1
brpb-809854	A3	14718055	73.779093	A3	97.73	397	689.0	C3	656.0	0	1
brpb-838708	A3	14718055	73.571193	A3	98.24	397	693.0	C3	660.0	0	1
brpb-809205	A3	14718125	73.843193	A3	98.83	256	459.0	C3	422.0	1	1
brpb-660030	A3	14718184	73.311193	A3	95.65	138	228.0	C3	198.0	1	1
brpb-658949	A3	14901068	75.372732	A3	97.62	504	869.0	A3	660.0	1	1
brpb-662347	A3	15112709	72.990193	A3	98.30	705	1236.0	A3	294.0	1	1
brpb-658802	A3	15168545	72.406193	A3	94.83	445	699.0			1	1
brpb-657925	A3	16194376	81.938193	A3	98.66	524	933.0			1	1
brpb-657945	A3	16194377	82.100193	A3	99.62	526	961.0			1	1
brpb-657981	A3	16194377	82.054193	A3	99.81	526	966.0	C3	684.0	1	1
brpb-659638	A3	16740745	85.434193	A3	100.00	166	307.0	A3	154.0	1	1
brpb-663225	A3	16740774	85.674193	A3	100.00	223	412.0	A3	154.0	1	1
brpb-659257	A3	16741006	85.751332	A3	99.09	663	1197.0	C3	935.0	1	1
brpb-671327	A3	16741044	85.491193	A3	99.83	586	1077.0	C3	880.0	1	1
brpb-671284	A3	17027173	88.132193	A3	99.42	521	948.0	C3	721.0	1	1
brpb-839683	A3	17027375	88.566193	A3	98.29	117	206.0			1	1
brpb-838880	A3	21583587	103.495707	A3	96.62	414	702.0	C7	680.0	0	1
brpb-662475	A3	21689233	27.836663	A7	94.14	444	706.0			1	0
brpb-661655	A3	22512337	110.432181	A3	99.79	480	883.0	C7	839.0	0	1
brpb-660733	A3	22512338	110.432181	A3	99.79	482	885.0	C7	841.0	0	1
brpb-659276	A3	25497307	126.651193	A3	90.16	437	560.0	A1	196.0	1	1
brpb-838604	A3	27387772	128.524072	A3	100.00	112	207.0	C7	182.0	1	1
brpb-838788	A3	28083985	129.000816	A3	98.91	183	327.0	A3	327.0	0	1
brpb-658349	A3	28587887	134.17519	A3	96.46	367	597.0	C6	375.0	1	1
brpb-658578	A3	28713078	132.641613	A3	97.97	344	597.0	C7	555.0	1	1
brpb-840964	A3	29487257	144.362193	A3	99.76	418	769.0	C7	532.0	1	1
brpb-659729	A3	29487301	144.902193	A3	99.70	330	604.0	C7	420.0	1	1
brpb-661250	A3	31460752	135.932659	A3	99.77	435	798.0	C7	651.0	1	1
brpb-839485	A3	31460752	135.932659	A3	100.00	435	804.0	C7	656.0	1	1
brpb-839588	A3	31460812	135.932659	A3	97.78	315	553.0	C7	475.0	1	1
brpb-657692	A3	37537427	32.635367	A4	97.19	534	920.0	A3	920.0	0	0
brpb-670950	A3	38058116	47.291626	A5	97.99	497	861.0	C9	704.0	1	0
brpb-663305	A4	361416	10.875964	A4	96.65	478	808.0			1	1
brpb-660316	A4	361539	11.687964	A4	96.69	725	1192.0	C4	420.0	1	1
brpb-663259	A4	361823	11.883964	A4	99.36	156	281.0	C4	198.0	1	1
brpb-660939	A4	969284	16.926964	A4	98.57	560	996.0			1	1
brpb-661628	A4	1138793	14.884	A4	94.22	571	867.0	C4	760.0	1	1
brpb-841242	A4	1138793	14.884	A4	99.82	564	1037.0	C4	808.0	1	1
brpb-658988	A4	2518182	21.239277	A4	97.98	247	429.0	C4	326.0	1	1
brpb-670055	A4	2894617	22.864214	A4	97.10	345	595.0	C4	555.0	1	1
brpb-658486	A4	2894713	22.864214	A4	98.70	538	955.0	C4	797.0	1	1
brpb-658097	A4	2894725	26.167964	A4	99.11	561	1007.0	C4	843.0	1	1
brpb-840517	A4	2894725	26.156964	A4	98.04	561	974.0	C4	832.0	1	1
brpb-658190	A4	3677340	0	A4	99.53	213	387.0			1	1
brpb-840348	A4	3677340	4.332888	A4	100.00	212	392.0			1	1
brpb-809825	A4	4186429	27.994357	A4	99.72	360	658.0	C4	475.0	1	1
brpb-809631	A4	4186455	29.080964	A4	99.68	309	566.0	C4	407.0	1	1
brpb-659874	A4	5274277	32.635367	A4	98.92	278	501.0	C8	100.0	1	1
brpb-841973	A4	5547166	29.642964	A4	100.00	427	789.0	C4	643.0	1	1
brpb-842153	A4	5547166	27.994357	A4	99.77	427	784.0	C4	638.0	1	1
brpb-842031	A4	9744619	30.493964	A4	95.98	522	863.0	C2	494.0	1	1
brpb-838993	A4	9888709	30.727964	A4	100.00	274	507.0			1	1
brpb-839587	A4	9888709	30.734964	A4	100.00	274	507.0			1	1
brpb-671364	A4	10929984	35.106812	A4	100.00	326	603.0			1	1
brpb-841534	A4	10929984	32.400964	A4	100.00	326	603.0			1	1
brpb-660920	A4	10937728	32.810964	A4	100.00	366	676.0			1	1
brpb-661134	A4	10937728	32.748964	A4	100.00	366	676.0			1	1
brpb-839577	A4	10937728	32.893964	A4	100.00	366	676.0			1	1
brpb-657888	A4	11878795	45.42995	A4	99.47	374	684.0	C8	359.0	1	1
brpb-808828	A4	12163900	37.912964	A4	98.10	474	843.0			1	1
brpb-659705	A4	12163908	37.558964	A4	99.39	491	891.0	C4	121.0	1	1
brpb-841683	A4	12163919	37.662964	A4	97.87	470	826.0	C4	124.0	1	1
brpb-660701	A4	13318365	39.133964	A4	99.17	601	1086.0	C4	529.0	1	1
brpb-661773	A4	13489478	49.361561	A4	97.83	46	78.7			1	1
brpb-839460	A4	13737991	40.092964	A4	98.47	524	937.0	C4	780.0	1	1
brpb-669898	A4	16449813	120.748	C3	94.56	753	1140.0	C5	1070.0	1	0
brpb-662684	A4	16449992	120.728	C3	100.00	434	802.0	C5	680.0	1	0
brpb-671115	A4	17554328	65.288251	A4	95.00	480	743.0			1	1
brpb-809176	A4	17554328	67.715964	A4	95.00	480	743.0			1	1
brpb-839360	A4	17554328	67.173306	A4	95.00	480	743.0			1	1
brpb-670695	A4	17554351	68.043964	A4	92.89	436	634.0			1	1
brpb-661133	A4	18780520	78.320073	A4	99.02	611	1092.0	C4	1044.0	0	1
brpb-658257	A4	20028247	82.147564	A4	96.54	752	1251.0	C4	686.0	1	1
brpb-658645	A4	20028315	82.147564	A4	96.25	694	1138.0	C4	520.0	1	1
brpb-839008	A4	20035647	85.667964	A4	92.91	395	566.0			1	1
brpb-660337	A4	20347488	90.288964	A4	99.25	399	721.0	C4	584.0	1	1
brpb-660911	A4	20492499	91.711964	A4	99.73	366	671.0	C4	536.0	1	1
brpb-808709	A4	20492499	92.128964	A4	100.00	366	676.0	C4	542.0	1	1
brpb-658824	A4	20492602	85.033069	A4	91.97	162	226.0	C4	202.0	1	1
brpb-840331	A4	20899651	93.967964	A4	99.62	521	955.0	C4	196.0	1	1
brpb-658275	A4	21120660	93.216711	A4	94.95	99	156.0			1	1
brpb-663578	A5	764300	11.876073	A5	95.18	436	695.0	A4	187.0	1	1
brpb-658634	A5	764317	12.422508	A5	97.83	461	806.0	C4	224.0	1	1
brpb-662868	A5	764318	12.422508	A5	99.34	458	830.0	C4	224.0	1	1
brpb-659536	A5	764453	12.422508	A5	100.00	188	348.0	C4	224.0	1	1
brpb-663516	A5	2070119	9.02	A5	90.68	161	213.0			1	1
brpb-809935	A5	2070398	8.999	A5	95.71	210	340.0	C4	337.0	0	1
brpb-661359	A5	2166521	15.705642	A5	99.82	554	1018.0	C4	335.0	1	1
brpb-842067	A5	2166521	7.928514	A5	99.82	554	1018.0	C4	335.0	1	1
brpb-659900	A5	2172375	9.79	A5	92.50	80	113.0			1	1
brpb-809579	A5	2680653	14.793	A5	95.78	71	115.0			1	1
brpb-659339	A5	2741448	15.41	A5	100.00	683	1262.0	C5	425.0	1	1
brpb-658832	A5	2981882	20.336	A5	100.00	490	905.0	C2	191.0	1	1
brpb-662717	A5	2981882	20.724	A5	100.00	490	905.0	C2	191.0	1	1
brpb-839094	A5	3102928	23.387	A5	99.56	230	422.0	A5	422.0	0	1
brpb-662802	A5	3553383	84.740949	A6	93.45	275	407.0	C4	405.0	0	0
brpb-658816	A5	3769045	22.305707	A5	96.05	531	865.0	C4	460.0	1	1
brpb-661063	A5	4409294	22.271915	A5	92.08	530	734.0	C4	684.0	1	1
brpb-807779	A5	5663584	36.376	A5	96.56	523	870.0	A5	819.0	1	1
brpb-658614	A5	5683267	34.034462	A5	97.98	595	1037.0	A3	152.0	1	1
brpb-660486	A5	5885772	38.141	A5	97.90	334	575.0	C4	259.0	1	1
brpb-840897	A5	5885774	38.133	A5	97.27	330	558.0	C4	259.0	1	1
brpb-660237	A5	6624647	40.101	A5	95.68	185	292.0	C4	263.0	1	1
brpb-670546	A5	6624647	38.782733	A5	95.68	185	292.0	C4	259.0	1	1
brpb-670834	A5	9613039	29.505488	A2	96.26	214	361.0	A3	327.0	1	0
brpb-659095	A5	11342998	45.105369	A5	98.89	718	1290.0	A5	1122.0	1	1
brpb-839251	A5	12145416	46.202155	A5	99.62	262	479.0	C5	451.0	1	1
brpb-657933	A5	12145445	44.065	A5	99.69	319	582.0	C5	556.0	0	1
brpb-809393	A5	12145445	43.884	A5	99.69	319	584.0	C5	556.0	0	1
brpb-659114	A5	14046714	40.507696	A5	97.73	132	233.0	A5	209.0	1	1
brpb-659224	A5	17199682	43.596	A5	100.00	382	706.0	C3	623.0	1	1
brpb-662228	A5	19925552	43.633114	A5	98.80	334	595.0	C5	390.0	1	1
brpb-839815	A5	20386290	39.85018	A5	99.70	330	604.0	C5	143.0	1	1
brpb-841413	A5	22158389	44.01345	A5	99.34	455	824.0	C5	558.0	1	1
brpb-809660	A5	22636745	56.260575	A5	99.13	230	418.0	C5	246.0	1	1
brpb-657955	A5	22775322	54.817571	A5	98.52	203	359.0			1	1
brpb-663261	A5	22775990	54.817571	A5	98.45	194	342.0	C5	287.0	1	1
brpb-839308	A5	24180217	59.127603	A5	98.39	434	763.0			1	1
brpb-662421	A5	24750952	56.433313	A5	96.01	476	774.0	C5	592.0	1	1
brpb-808211	A5	24750952	56.433313	A5	96.85	476	797.0	C5	580.0	1	1
brpb-839331	A5	24750952	56.433313	A5	95.60	477	771.0	C5	564.0	1	1
brpb-657894	A5	24750973	56.433313	A5	95.17	435	697.0	C5	497.0	1	1
brpb-659481	A5	25641214	60.418055	A5	99.21	636	1149.0	C5	248.0	1	1
brpb-807798	A5	25929149	64.89075	A5	99.71	344	630.0	C5	542.0	1	1
brpb-807926	A5	25929149	66.124095	A5	98.54	343	606.0	C5	523.0	1	1
brpb-808842	A5	25929149	64.89075	A5	92.15	344	488.0	C5	472.0	0	1
brpb-659298	A5	26242035	70.876342	A5	100.00	532	983.0	C5	867.0	1	1
brpb-838953	A5	26242035	73.304494	A5	100.00	532	983.0	C5	867.0	1	1
brpb-839825	A5	26242035	69.766323	A5	100.00	532	983.0	C5	867.0	1	1
brpb-807965	A5	26328626	73.030288	A5	96.70	394	667.0	C5	604.0	1	1
brpb-671300	A5	28798949	81.98484	A5	99.25	664	1203.0	C5	928.0	1	1
brpb-670445	A6	851908	9.662	A6	98.10	158	281.0	C6	252.0	1	1
brpb-808360	A6	1387277	11.274	A6	97.26	329	556.0	C6	462.0	1	1
brpb-657614	A6	2351784	19.376738	A2,A6	97.98	248	436.0			1	1
brpb-658152	A6	2351801	22.023409	A6	97.17	283	488.0			1	1
brpb-658027	A6	2351933	19.376738	A6	100.00	545	1007.0			1	1
brpb-838675	A6	2834598	29.462376	A6	97.72	307	529.0	C6	300.0	1	1
brpb-839214	A6	2834598	29.462376	A6	97.72	307	529.0	C6	300.0	1	1
brpb-840757	A6	2939331	31.317	A6	97.86	280	484.0			1	1
brpb-808844	A6	3096285	28.330527	A6	97.51	241	412.0	C5	401.0	0	1
brpb-660024	A6	3200166	30.916275	A6	96.03	126	209.0	C5	198.0	1	1
brpb-671060	A6	3200240	30.916275	A6	98.91	274	490.0	C5	440.0	1	1
brpb-662153	A6	3200320	30.916275	A6	95.85	434	691.0	C5	636.0	1	1
brpb-662278	A6	3200320	32.945145	A6	94.46	433	669.0	C5	638.0	0	1
brpb-809719	A6	3200320	30.916275	A6	99.31	433	784.0	C5	584.0	1	1
brpb-840355	A6	3200320	30.916275	A6	95.85	434	691.0	C5	636.0	1	1
brpb-660405	A6	3200334	30.916275	A6	95.32	406	636.0	C5	582.0	1	1
brpb-661746	A6	3260747	37.592	A6	100.00	462	854.0	C8	206.0	1	1
brpb-809008	A6	3260747	37.638	A6	100.00	462	854.0	C8	206.0	1	1
brpb-841811	A6	3260747	37.288	A6	99.78	462	848.0	C8	206.0	1	1
brpb-662103	A6	3260872	36.818	A6	99.06	212	385.0	C5	241.0	1	1
brpb-670236	A6	3260925	36.409	A6	100.00	106	196.0	C5	185.0	1	1
brpb-658137	A6	3705993	36.816981	A6	100.00	398	736.0	C5	597.0	1	1
brpb-663449	A6	3705993	41.118	A6	99.00	398	721.0	C5	582.0	1	1
brpb-809259	A6	3705994	40.318	A6	99.50	399	730.0	C5	592.0	1	1
brpb-660578	A6	3760209	36.386694	A6	99.79	484	889.0			1	1
brpb-840102	A6	3842679	39.966386	A6	97.86	654	1131.0	C5	678.0	1	1
brpb-662605	A6	4391450	41.827037	A6	99.61	510	931.0	C1	616.0	1	1
brpb-839838	A6	5390854	47.761957	A6	98.06	671	1168.0	C5	931.0	1	1
brpb-659920	A6	5391068	47.761957	A6	99.59	242	444.0			1	1
brpb-659596	A6	6645685	50.074803	A6	99.64	275	503.0	C5	374.0	1	1
brpb-841402	A6	6895954	56.773725	A6	98.24	227	398.0	C5	117.0	1	1
brpb-670835	A6	7016655	47.204402	A6	100.00	185	342.0			1	1
brpb-662129	A6	7396767	60.652348	A6	94.96	516	804.0	A6	126.0	1	1
brpb-661301	A6	9445627	62.316436	A6	94.36	532	809.0			1	1
brpb-658391	A6	10263769	67.267	A6	99.14	348	632.0	C8	579.0	1	1
brpb-670690	A6	11540204	65.497917	A6	99.22	511	929.0	C3	784.0	1	1
brpb-658662	A6	11540327	65.497917	A6	98.85	348	627.0	C3	529.0	1	1
brpb-658144	A6	11613193	65.851	A6	92.20	564	867.0			1	1
brpb-661542	A6	11613297	66.235	A6	98.31	355	632.0	C3	163.0	1	1
brpb-809169	A6	12815081	66.565	A6	97.66	427	736.0	C3	568.0	1	1
brpb-658956	A6	12815132	66.565	A6	98.87	530	942.0	C3	728.0	1	1
brpb-658980	A6	16486716	66.851	A6	100.00	324	599.0	C9	429.0	1	1
brpb-658929	A6	16658408	65.471	A6	99.39	493	900.0	C3	747.0	1	1
brpb-657884	A6	17278570	65.036	A6	100.00	298	551.0	C3	459.0	1	1
brpb-840085	A6	19457007	69.272	A6	92.16	536	737.0	C3	595.0	1	1
brpb-663074	A6	19801103	69.275	A6	97.73	572	992.0	C3	915.0	1	1
brpb-839202	A6	20017705	64.605486	A6	98.50	333	586.0			1	1
brpb-659220	A6	20953970	72.929357	A6	94.07	658	987.0	C3	928.0	1	1
brpb-659119	A6	21136562	75.804856	A6	92.86	112	159.0			1	1
brpb-670936	A6	21136562	71.475	A6	90.99	111	152.0			1	1
brpb-841508	A6	21136562	75.804856	A6	93.69	111	163.0			1	1
brpb-663551	A6	22287389	75.457	A6	93.53	618	917.0	C7	911.0	0	1
brpb-670232	A6	22400459	82.241553	A6	98.77	81	145.0	C2	117.0	1	1
brpb-657796	A6	22836139	77.42847	A6	99.15	472	854.0	C7	701.0	1	1
brpb-660854	A6	22844653	78.095	A6	91.69	638	869.0	C7	822.0	1	1
brpb-657876	A6	23642751	85.286	A6	100.00	323	597.0			1	1
brpb-658730	A6	23642751	88.694756	A6	99.07	323	580.0			1	1
brpb-662992	A6	23710727	84.590967	A6	98.66	599	1064.0	C7	950.0	1	1
brpb-670908	A6	24149993	48.915463	C2	97.45	393	669.0			1	0
brpb-659006	A6	24215029	90.154393	A6	99.65	578	1055.0			1	1
brpb-809115	A6	24365879	87.832	A6	100.00	349	645.0	C7	584.0	1	1
brpb-658875	A6	25256365	103.675686	A6	97.40	538	935.0	C7	291.0	1	1
brpb-660640	A6	25482521	107.652537	A6	99.32	590	1072.0			1	1
brpb-661030	A6	25482543	107.652537	A6	98.91	641	1151.0			1	1
brpb-842247	A7	565941	17.766971	A7	99.18	366	658.0	A7	518.0	1	1
brpb-658332	A7	565990	17.804971	A7	99.78	465	852.0	A7	442.0	1	1
brpb-670852	A7	3008018	23.296971	A7	95.94	345	558.0	C7	518.0	1	1
brpb-660982	A7	7339246	24.595971	A7	90.19	673	867.0			1	1
brpb-658696	A7	12046689	68.119	A9	99.55	448	817.0	C7	702.0	1	0
brpb-658724	A7	12046731	65.698231	A9	95.60	364	601.0	C7	497.0	1	0
brpb-658808	A7	12764640	28.824765	A7	96.52	316	525.0	C7	364.0	1	1
brpb-841234	A7	12927936	12.053549	A7	97.15	421	708.0	C7	667.0	1	1
brpb-809917	A7	13082810	32.03	C2	94.03	419	632.0	A2	627.0	0	0
brpb-841697	A7	13412716	32.308628	A7	98.39	124	219.0			1	1
brpb-839889	A7	13412807	32.617971	A7	100.00	305	564.0	C7	372.0	1	1
brpb-839259	A7	14639486	43.982289	A7	98.18	384	678.0	A4	654.0	0	1
brpb-671004	A7	14639730	43.982289	A7	98.57	491	876.0	A4	865.0	0	1
brpb-659368	A7	14710687	40.923971	A7	99.67	308	564.0	C4	387.0	1	1
brpb-662924	A7	14711996	40.129971	A7	90.98	643	852.0	C4	815.0	0	1
brpb-658673	A7	15994953	44.811971	A7	97.67	514	902.0			1	1
brpb-658283	A7	17270186	53.148971	A7	98.67	451	797.0	C6	617.0	1	1
brpb-661526	A7	21033880	11.45563	A10	98.79	744	1332.0	A10	1321.0	0	0
brpb-659670	A7	22304370	77.239225	A7	100.00	102	189.0	C6	172.0	1	1
brpb-659148	A7	23882814	85.406971	A7	99.74	391	717.0	C6	689.0	0	1
brpb-663334	A7	23882814	85.597971	A7	99.49	391	710.0	C6	682.0	0	1
brpb-670330	A7	23882814	85.445971	A7	98.98	391	708.0	C6	680.0	0	1
brpb-670954	A7	23882814	85.401971	A7	100.00	391	723.0	C6	695.0	0	1
brpb-670686	A7	27135283	9.926	C6	96.89	321	545.0	C6	534.0	0	0
brpb-671296	A7	27135283	9.863	C6	98.44	321	566.0	C6	556.0	0	0
brpb-840347	A7	27827972	102.228882	A7	100.00	532	983.0	C6	950.0	0	1
brpb-841745	A8	1617844	11.486	A6	93.33	345	507.0	C6	484.0	0	0
brpb-658694	A8	2997831	45.105369	A5	97.18	603	1020.0	C8	996.0	0	0
brpb-663111	A8	5640780	74.194	A9	96.95	197	333.0	A7	329.0	0	0
brpb-662459	A8	9720198	53.272948	A8	99.14	467	839.0	C8	612.0	1	1
brpb-670319	A8	11894222	49.421948	A8	94.68	357	580.0	C3	316.0	1	1
brpb-809492	A8	11894222	49.363948	A8	100.00	357	660.0	C3	350.0	1	1
brpb-838682	A8	11894222	49.394948	A8	100.00	357	660.0	C3	350.0	1	1
brpb-841039	A8	16990553	38.900948	A8	100.00	169	313.0			1	1
brpb-659578	A8	18432315	119.754	C3	93.26	356	521.0	A8	100.0	1	0
brpb-660078	A8	19563149	17.710948	A8	98.73	158	279.0	C8	235.0	1	1
brpb-670985	A8	19563237	17.448948	A8	99.70	334	612.0			1	1
brpb-658301	A8	19563303	17.697948	A8	96.99	465	776.0	C8	307.0	1	1
brpb-809609	A8	19563303	17.744948	A8	97.00	466	778.0	C8	296.0	1	1
brpb-840569	A8	19563303	17.058157	A8	94.21	466	702.0			1	1
