chr	pos	n_rows	n_unique_cM	first_cM	first_marker_id	first_marker_type	first_source_mode	cM_min	cM_median	cM_max	cM_range	cM_values_in_input_order	marker_ids	marker_types	source_modes
1	88088812	14	6	86.917	pPt-456497	DArT_marker	cigar_liftover_v403_to_v61	86.917	86.917	86.948	0.0309999999999917	86.917,86.917,86.917,86.917,86.917,86.917,86.917,86.917,86.923,86.926,86.931,86.938,86.938,86.948	pPt-456497,pPt-458015,pPt-458526,pPt-472846,pPt-473201,pPt-473364,pPt-473868,pPt-474062,pPt-474103,pPt-537725,pPt-653866,pPt-656073,toPt-437318,toPt-439369	DArT_marker	cigar_liftover_v403_to_v61
2	10911355	5	2	13.54	pPt-471592	DArT_marker	cigar_liftover_v403_to_v61	13.54	13.54	13.575	0.03500000000000014	13.54,13.54,13.54,13.54,13.575	pPt-471592,pPt-473577,pPt-558945,pPt-559360,pPt-652688	DArT_marker	cigar_liftover_v403_to_v61
2	10911360	14	12	12.988	toPt-439285	DArT_marker	cigar_liftover_v403_to_v61	12.988	13.5405	13.843	0.8550000000000004	12.988,13.214,13.442,13.51,13.515,13.54,13.54,13.541,13.564,13.575,13.575,13.584,13.649,13.843	toPt-437033,toPt-437875,toPt-437877,toPt-438192,toPt-438443,toPt-438750,toPt-438771,toPt-439071,toPt-439285,toPt-439726,toPt-439990,toPt-440028,toPt-440363,toPt-440387	DArT_marker	cigar_liftover_v403_to_v61
2	13914404	5	3	15.185	pPt-536865	DArT_marker	cigar_liftover_v403_to_v61	15.185	15.189	15.263	0.0779999999999994	15.185,15.189,15.189,15.189,15.263	pPt-533877,pPt-536293,pPt-536865,pPt-538416,pPt-552534	DArT_marker	cigar_liftover_v403_to_v61
2	14671637	6	3	14.595	toPt-437809	DArT_marker	cigar_liftover_v403_to_v61	14.595	14.633	14.663	0.06799999999999962	14.595,14.633,14.633,14.633,14.633,14.663	pPt-539217,pPt-653858,toPt-436909,toPt-437491,toPt-437809,toPt-439915	DArT_marker	cigar_liftover_v403_to_v61
2	14671640	2	2	14.625	pPt-458624	DArT_marker	cigar_liftover_v403_to_v61	14.625	14.629	14.633	0.007999999999999119	14.625,14.633	pPt-458041,pPt-458624	DArT_marker	cigar_liftover_v403_to_v61
2	16935460	7	4	14.581	pPt-457050	DArT_marker	cigar_liftover_v403_to_v61	14.581	14.633	14.65	0.06900000000000084	14.581,14.633,14.633,14.633,14.641,14.641,14.65	pPt-457050,pPt-473486,pPt-533811,pPt-535813,pPt-537240,pPt-539333,pPt-655403	DArT_marker	cigar_liftover_v403_to_v61
2	19921687	2	2	19.498	pPt-654285	DArT_marker	cigar_liftover_v403_to_v61	19.498	19.606	19.714	0.21599999999999753	19.498,19.714	pPt-654285,pPt-654515	DArT_marker	cigar_liftover_v403_to_v61
2	19934163	5	3	9.818	pPt-456492	DArT_marker	cigar_liftover_v403_to_v61	9.818	9.873	10.098	0.28000000000000114	9.818,9.873,9.873,9.873,10.098	pPt-456492,pPt-457013,pPt-534726,pPt-535521,pPt-652512	DArT_marker	cigar_liftover_v403_to_v61
2	21787829	8	8	20.205	pPt-472525	DArT_marker	cigar_liftover_v403_to_v61	20.205	20.2725	20.782	0.5770000000000017	20.205,20.222,20.235,20.24,20.305,20.313,20.57,20.782	pPt-472164,pPt-472525,toPt-438463,toPt-438472,toPt-439000,toPt-439754,toPt-763687,toPt-763794	DArT_marker	cigar_liftover_v403_to_v61
2	26349683	8	3	26.33	pPt-534957	DArT_marker	cigar_liftover_v403_to_v61	26.33	26.389	26.389	0.05900000000000105	26.33,26.342,26.389,26.389,26.389,26.389,26.389,26.389	pPt-456569,pPt-457024,pPt-471559,pPt-534957,pPt-535729,pPt-536743,pPt-537022,pPt-552093	DArT_marker	cigar_liftover_v403_to_v61
2	27569702	6	4	27.835	pPt-536176	DArT_marker	cigar_liftover_v403_to_v61	27.835	27.8655	27.956	0.12099999999999866	27.835,27.835,27.835,27.896,27.923,27.956	pPt-536176,pPt-539421,pPt-539540,pPt-559060,pPt-656854,toPt-437905	DArT_marker	cigar_liftover_v403_to_v61
2	28041279	2	2	29.172	pPt-656979	DArT_marker	cigar_liftover_v403_to_v61	29.172	29.175	29.178	0.006000000000000227	29.172,29.178	pPt-656979,pPt-657208	DArT_marker	cigar_liftover_v403_to_v61
2	28925922	2	2	31.488	pPt-537833	DArT_marker	cigar_liftover_v403_to_v61	31.488	31.523	31.558	0.07000000000000028	31.488,31.558	pPt-537683,pPt-537833	DArT_marker	cigar_liftover_v403_to_v61
2	29568246	2	2	32.097	pPt-650762	DArT_marker	cigar_liftover_v403_to_v61	32.097	34.135000000000005	36.173	4.0760000000000005	32.097,36.173	pPt-650762,pPt-651609	DArT_marker	cigar_liftover_v403_to_v61
2	30096020	5	3	34.375	pPt-652302	DArT_marker	cigar_liftover_v403_to_v61	34.375	34.422	34.433	0.05799999999999983	34.375,34.422,34.422,34.422,34.433	pPt-471594,pPt-473200,pPt-650228,pPt-651413,pPt-652302	DArT_marker	cigar_liftover_v403_to_v61
2	30220612	3	3	36.429	pPt-653297	DArT_marker	cigar_liftover_v403_to_v61	36.429	36.452	36.467	0.0379999999999967	36.429,36.452,36.467	pPt-458525,pPt-472177,pPt-653297	DArT_marker	cigar_liftover_v403_to_v61
2	30473947	8	5	34.232	pPt-535744	DArT_marker	cigar_liftover_v403_to_v61	34.232	34.445	35.283	1.051000000000002	34.232,34.427,34.445,34.445,34.445,34.445,34.456,35.283	pPt-457179,pPt-533986,pPt-535213,pPt-535618,pPt-535744,pPt-535940,pPt-535985,pPt-537775	DArT_marker	cigar_liftover_v403_to_v61
2	30564337	6	2	34.658	pPt-458651	DArT_marker	cigar_liftover_v403_to_v61	34.658	34.658	34.679	0.021000000000000796	34.658,34.658,34.658,34.658,34.658,34.679	pPt-458651,pPt-471714,pPt-535208,pPt-535464,pPt-539519,pPt-540339	DArT_marker	cigar_liftover_v403_to_v61
2	31029025	2	2	40.582	pPt-539763	DArT_marker	cigar_liftover_v403_to_v61	40.582	40.7815	40.981	0.3990000000000009	40.582,40.981	pPt-539763,pPt-540267	DArT_marker	cigar_liftover_v403_to_v61
2	38857937	4	4	60.141	pPt-653333	DArT_marker	cigar_liftover_v403_to_v61	60.141	60.458	60.474	0.3329999999999984	60.141,60.447,60.469,60.474	pPt-472448,pPt-534555,pPt-653333,pPt-657004	DArT_marker	cigar_liftover_v403_to_v61
2	40707520	3	2	67.494	toPt-436878	DArT_marker	cigar_liftover_v403_to_v61	67.494	67.494	67.5	0.006000000000000227	67.494,67.494,67.5	toPt-436878,toPt-437942,toPt-438004	DArT_marker	cigar_liftover_v403_to_v61
2	40707550	5	5	67.493	pPt-471945	DArT_marker	cigar_liftover_v403_to_v61	67.493	67.495	67.497	0.0040000000000048885	67.493,67.494,67.495,67.496,67.497	pPt-471945,pPt-473780,pPt-652964,pPt-654471,pPt-657574	DArT_marker	cigar_liftover_v403_to_v61
2	41258971	2	2	64.924	pPt-458627	DArT_marker	cigar_liftover_v403_to_v61	64.924	64.92750000000001	64.931	0.006999999999990791	64.924,64.931	pPt-458627,pPt-654915	DArT_marker	cigar_liftover_v403_to_v61
2	41493216	5	2	64.911	toPt-437191	DArT_marker	cigar_liftover_v403_to_v61	64.911	64.911	65.612	0.7009999999999934	64.911,64.911,64.911,64.911,65.612	toPt-437191,toPt-438776,toPt-439122,toPt-439399,toPt-763866	DArT_marker	cigar_liftover_v403_to_v61
2	41893640	3	2	64.922	pPt-459203	DArT_marker	cigar_liftover_v403_to_v61	64.922	64.924	64.924	0.0020000000000095497	64.922,64.924,64.924	pPt-459203,pPt-536858,pPt-652500	DArT_marker	cigar_liftover_v403_to_v61
2	45993317	3	2	75.948	pPt-651715	DArT_marker	cigar_liftover_v403_to_v61	75.948	76.016	76.016	0.06800000000001205	75.948,76.016,76.016	pPt-471328,pPt-651715,pPt-652599	DArT_marker	cigar_liftover_v403_to_v61
3	405461	11	8	16.717	pPt-539952	DArT_marker	cigar_liftover_v403_to_v61	16.717	19.263	19.274	2.557000000000002	16.717,18.938,19.187,19.25,19.259,19.263,19.264,19.274,19.274,19.274,19.274	pPt-473407,pPt-533896,pPt-534891,pPt-535297,pPt-536203,pPt-539707,pPt-539732,pPt-539952,pPt-552380,pPt-559366,pPt-559430	DArT_marker	cigar_liftover_v403_to_v61
3	2021811	3	3	3.303	pPt-472246	DArT_marker	cigar_liftover_v403_to_v61	3.303	3.493	3.513	0.20999999999999996	3.303,3.493,3.513	pPt-471060,pPt-472246,pPt-650777	DArT_marker	cigar_liftover_v403_to_v61
3	4654255	15	6	9.846	pPt-653290	DArT_marker	cigar_liftover_v403_to_v61	9.846	9.936	9.947	0.10099999999999909	9.846,9.934,9.936,9.936,9.936,9.936,9.936,9.936,9.936,9.936,9.936,9.936,9.937,9.939,9.947	pPt-458310,pPt-459107,pPt-471371,pPt-534941,pPt-537032,pPt-538184,pPt-538252,pPt-539298,pPt-540110,pPt-540341,pPt-651772,pPt-653290,pPt-657327,toPt-438408,toPt-438894	DArT_marker	cigar_liftover_v403_to_v61
3	50132450	8	6	40.982	pPt-537894	DArT_marker	cigar_liftover_v403_to_v61	40.982	41.0195	41.925	0.9429999999999978	40.982,41.009,41.014,41.015,41.024,41.024,41.024,41.925	pPt-473680,pPt-534220,pPt-535689,pPt-537401,pPt-537894,pPt-655514,pPt-657192,toPt-437030	DArT_marker	cigar_liftover_v403_to_v61
3	50277811	5	2	42.086	pPt-536347	DArT_marker	cigar_liftover_v403_to_v61	42.086	42.987	42.987	0.9010000000000034	42.086,42.987,42.987,42.987,42.987	pPt-472721,pPt-535581,pPt-536347,pPt-536452,pPt-559412	DArT_marker	cigar_liftover_v403_to_v61
3	52547092	2	2	50.086	pPt-538396	DArT_marker	cigar_liftover_v403_to_v61	50.086	50.182	50.278	0.19200000000000017	50.086,50.278	pPt-471162,pPt-538396	DArT_marker	cigar_liftover_v403_to_v61
3	54206470	18	4	58.794	pPt-655434	DArT_marker	cigar_liftover_v403_to_v61	58.794	58.868	58.868	0.07400000000000517	58.794,58.818,58.861,58.868,58.868,58.868,58.868,58.868,58.868,58.868,58.868,58.868,58.868,58.868,58.868,58.868,58.868,58.868	pPt-456937,pPt-458742,pPt-458822,pPt-459091,pPt-534669,pPt-536239,pPt-536431,pPt-537344,pPt-537355,pPt-537746,pPt-540316,pPt-552745,pPt-559022,pPt-654669,pPt-655434,pPt-655586,pPt-655879,pPt-656568	DArT_marker	cigar_liftover_v403_to_v61
3	56239009	3	2	69.368	pPt-473898	DArT_marker	cigar_liftover_v403_to_v61	69.368	69.526	69.526	0.15800000000000125	69.368,69.526,69.526	pPt-473898,pPt-538681,pPt-653762	DArT_marker	cigar_liftover_v403_to_v61
3	57226145	6	4	71.591	pPt-535097	DArT_marker	cigar_liftover_v403_to_v61	71.591	71.623	73.737	2.146000000000001	71.591,71.591,71.623,71.623,71.925,73.737	pPt-473975,pPt-533737,pPt-534133,pPt-535097,pPt-657322,toPt-439424	DArT_marker	cigar_liftover_v403_to_v61
3	57226214	3	3	71.601	toPt-439697	DArT_marker	cigar_liftover_v403_to_v61	71.601	71.626	73.093	1.4920000000000044	71.601,71.626,73.093	toPt-439572,toPt-439697,toPt-439764	DArT_marker	cigar_liftover_v403_to_v61
3	57325451	4	3	70.154	pPt-657473	DArT_marker	cigar_liftover_v403_to_v61	70.154	71.598	71.623	1.4690000000000083	70.154,71.573,71.623,71.623	pPt-473465,pPt-653616,pPt-657007,pPt-657473	DArT_marker	cigar_liftover_v403_to_v61
3	57325471	3	3	71.382	toPt-440042	DArT_marker	cigar_liftover_v403_to_v61	71.382	71.45	71.598	0.21599999999999397	71.382,71.45,71.598	toPt-437008,toPt-439604,toPt-440042	DArT_marker	cigar_liftover_v403_to_v61
3	57691004	4	2	72.208	pPt-471961	DArT_marker	cigar_liftover_v403_to_v61	72.208	72.208	72.212	0.0040000000000048885	72.208,72.208,72.208,72.212	pPt-471961,pPt-539409,pPt-540117,pPt-651828	DArT_marker	cigar_liftover_v403_to_v61
3	57780537	13	6	71.095	toPt-439349	DArT_marker	cigar_liftover_v403_to_v61	71.095	72.208	72.217	1.1219999999999999	71.095,72.203,72.208,72.208,72.208,72.208,72.208,72.208,72.208,72.208,72.21,72.214,72.217	pPt-456510,pPt-458007,pPt-458254,pPt-471811,pPt-472007,pPt-651446,pPt-652423,pPt-654175,pPt-655476,pPt-656324,toPt-437382,toPt-439349,toPt-440447	DArT_marker	cigar_liftover_v403_to_v61
3	59115426	5	2	67.721	pPt-654031	DArT_marker	cigar_liftover_v403_to_v61	67.721	67.722	67.722	0.000999999999990564	67.721,67.722,67.722,67.722,67.722	pPt-458962,pPt-652385,pPt-653916,pPt-654031,pPt-654716	DArT_marker	cigar_liftover_v403_to_v61
4	5758565	6	2	14.319	toPt-440837	DArT_marker	cigar_liftover_v403_to_v61	14.319	14.584	14.584	0.2649999999999988	14.319,14.584,14.584,14.584,14.584,14.584	pPt-471876,pPt-535804,pPt-536148,pPt-552148,pPt-552669,toPt-440837	DArT_marker	cigar_liftover_v403_to_v61
4	6088928	6	4	15.765	toPt-437441	DArT_marker	cigar_liftover_v403_to_v61	15.765	15.781	15.811	0.045999999999999375	15.765,15.781,15.781,15.781,15.789,15.811	pPt-456699,pPt-473111,pPt-538780,toPt-437441,toPt-437452,toPt-437673	DArT_marker	cigar_liftover_v403_to_v61
4	67140935	2	2	89.649	pPt-458391	DArT_marker	cigar_liftover_v403_to_v61	89.649	89.7525	89.856	0.20699999999999363	89.649,89.856	pPt-458171,pPt-458391	DArT_marker	cigar_liftover_v403_to_v61
4	67495185	11	6	91.066	pPt-457973	DArT_marker	cigar_liftover_v403_to_v61	91.066	91.428	91.432	0.36599999999999966	91.066,91.373,91.396,91.396,91.396,91.428,91.428,91.428,91.43,91.43,91.432	pPt-456750,pPt-457379,pPt-457973,pPt-458062,pPt-471670,pPt-537599,pPt-537600,pPt-538094,pPt-539574,pPt-540321,pPt-655705	DArT_marker	cigar_liftover_v403_to_v61
4	67727483	2	2	92.321	pPt-651198	DArT_marker	cigar_liftover_v403_to_v61	92.321	92.35	92.379	0.058000000000006935	92.321,92.379	pPt-457992,pPt-651198	DArT_marker	cigar_liftover_v403_to_v61
4	68685699	3	2	98.99	pPt-538856	DArT_marker	cigar_liftover_v403_to_v61	98.99	98.99	99.402	0.41200000000000614	98.99,98.99,99.402	pPt-538856,pPt-652745,toPt-438080	DArT_marker	cigar_liftover_v403_to_v61
5	1270609	6	3	2.394	pPt-473439	DArT_marker	cigar_liftover_v403_to_v61	2.394	2.533	2.533	0.1389999999999998	2.394,2.48,2.533,2.533,2.533,2.533	pPt-473439,pPt-654184,pPt-654447,pPt-654475,pPt-654593,pPt-657073	DArT_marker	cigar_liftover_v403_to_v61
5	10378317	18	2	35.517	capPt-706777	DArT_marker	cigar_liftover_v403_to_v61	35.517	35.517	35.646	0.12899999999999778	35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.517,35.646	capPt-706777,pPt-472225,pPt-473808,pPt-534484,pPt-535365,pPt-535534,pPt-535801,pPt-536553,pPt-539538,pPt-539560,pPt-539614,pPt-540087,pPt-540107,pPt-540214,pPt-540369,pPt-552033,pPt-650995,pPt-657122	DArT_marker	cigar_liftover_v403_to_v61
5	19193259	13	4	43.718	pPt-655937	DArT_marker	cigar_liftover_v403_to_v61	43.718	43.722	43.725	0.006999999999997897	43.718,43.722,43.722,43.722,43.722,43.722,43.722,43.722,43.722,43.722,43.723,43.725,43.725	capPt-673080,pPt-458498,pPt-471393,pPt-534665,pPt-534855,pPt-536484,pPt-536975,pPt-552511,pPt-559477,pPt-652211,pPt-654394,pPt-654510,pPt-655937	DArT_marker	cigar_liftover_v403_to_v61
5	46729168	5	4	44.896	pPt-652574	DArT_marker	cigar_liftover_v403_to_v61	44.896	44.911	45.168	0.27199999999999847	44.896,44.911,44.911,45.056,45.168	pPt-538805,pPt-652574,pPt-653203,toPt-439005,toPt-439314	DArT_marker	cigar_liftover_v403_to_v61
5	48957667	2	2	48.95	toPt-437086	DArT_marker	cigar_liftover_v403_to_v61	48.95	49.201	49.452	0.5019999999999953	48.95,49.452	toPt-437086,toPt-763812	DArT_marker	cigar_liftover_v403_to_v61
5	49352371	3	2	48.365	pPt-654254	DArT_marker	cigar_liftover_v403_to_v61	48.365	48.379	48.379	0.013999999999995794	48.365,48.379,48.379	pPt-654254,pPt-656906,pPt-656912	DArT_marker	cigar_liftover_v403_to_v61
5	54704901	5	3	63.759	pPt-535674	DArT_marker	cigar_liftover_v403_to_v61	63.759	63.78	64.138	0.3790000000000049	63.759,63.759,63.78,63.78,64.138	pPt-459311,pPt-533813,pPt-535674,pPt-535984,pPt-654505	DArT_marker	cigar_liftover_v403_to_v61
6	44446174	3	2	28.379	pPt-657258	DArT_marker	cigar_liftover_v403_to_v61	28.379	28.386	28.386	0.006999999999997897	28.379,28.386,28.386	pPt-651347,pPt-653976,pPt-657258	DArT_marker	cigar_liftover_v403_to_v61
6	46953988	8	3	34.72	pPt-651721	DArT_marker	cigar_liftover_v403_to_v61	34.72	34.746	34.746	0.026000000000003354	34.72,34.739,34.746,34.746,34.746,34.746,34.746,34.746	pPt-471837,pPt-651120,pPt-651404,pPt-651721,pPt-654185,pPt-656001,pPt-657025,pPt-657043	DArT_marker	cigar_liftover_v403_to_v61
6	47803974	2	2	35.302	pPt-539300	DArT_marker	cigar_liftover_v403_to_v61	35.302	35.34	35.378	0.07600000000000051	35.302,35.378	pPt-539300,pPt-654814	DArT_marker	cigar_liftover_v403_to_v61
6	49254652	2	2	41.191	pPt-536932	DArT_marker	cigar_liftover_v403_to_v61	41.191	41.378	41.565	0.3739999999999952	41.191,41.565	pPt-536932,pPt-552581	DArT_marker	cigar_liftover_v403_to_v61
6	51115427	5	3	49.89	pPt-473107	DArT_marker	cigar_liftover_v403_to_v61	49.89	49.898	49.918	0.027999999999998693	49.89,49.898,49.898,49.898,49.918	pPt-458137,pPt-459221,pPt-473107,pPt-538089,pPt-540407	DArT_marker	cigar_liftover_v403_to_v61
6	52789918	21	6	56.51	pPt-538867	DArT_marker	cigar_liftover_v403_to_v61	56.51	56.512	56.872	0.3620000000000019	56.51,56.512,56.512,56.512,56.512,56.512,56.512,56.512,56.512,56.512,56.512,56.526,56.589,56.589,56.589,56.589,56.589,56.589,56.83,56.872,56.872	pPt-458846,pPt-459086,pPt-473709,pPt-538867,pPt-559453,pPt-651425,pPt-653729,pPt-653760,pPt-654150,pPt-654313,pPt-657084,toPt-437027,toPt-437684,toPt-438329,toPt-438646,toPt-439265,toPt-440708,toPt-763665,toPt-763680,toPt-763712,...(+1)	DArT_marker	cigar_liftover_v403_to_v61
6	52818160	7	3	56.512	pPt-457208	DArT_marker	cigar_liftover_v403_to_v61	56.512	56.512	57.181	0.6689999999999969	56.512,56.512,56.512,56.512,56.512,56.52,57.181	pPt-457208,pPt-458203,pPt-473415,pPt-473433,pPt-537371,pPt-650815,pPt-656870	DArT_marker	cigar_liftover_v403_to_v61
6	52818378	2	2	56.512	pPt-537345	DArT_marker	cigar_liftover_v403_to_v61	56.512	56.516000000000005	56.52	0.008000000000002672	56.512,56.52	pPt-537183,pPt-537345	DArT_marker	cigar_liftover_v403_to_v61
6	52936397	4	3	55.805	pPt-474058	DArT_marker	cigar_liftover_v403_to_v61	55.805	55.8215	55.826	0.021000000000000796	55.805,55.817,55.826,55.826	pPt-474058,pPt-539079,pPt-558943,pPt-655315	DArT_marker	cigar_liftover_v403_to_v61
6	57940757	11	10	67.33	pPt-536324	DArT_marker	cigar_liftover_v403_to_v61	67.33	67.631	68.584	1.2540000000000049	67.33,67.357,67.499,67.615,67.624,67.631,67.773,67.781,67.781,68.307,68.584	pPt-472810,pPt-534883,pPt-534969,pPt-536159,pPt-536324,pPt-651850,pPt-652880,pPt-653219,pPt-653243,pPt-654787,pPt-656983	DArT_marker	cigar_liftover_v403_to_v61
7	42043713	2	2	21.168	pPt-473141	DArT_marker	cigar_liftover_v403_to_v61	21.168	21.354	21.54	0.3719999999999999	21.168,21.54	pPt-471799,pPt-473141	DArT_marker	cigar_liftover_v403_to_v61
7	42776916	3	3	23.593	pPt-471395	DArT_marker	cigar_liftover_v403_to_v61	23.593	23.599	23.637	0.04400000000000048	23.593,23.599,23.637	pPt-471395,pPt-651645,pPt-655523	DArT_marker	cigar_liftover_v403_to_v61
7	42816299	6	4	23.737	pPt-470983	DArT_marker	cigar_liftover_v403_to_v61	23.737	23.74	23.806	0.06900000000000261	23.737,23.737,23.737,23.743,23.753,23.806	pPt-470983,pPt-471145,pPt-536523,pPt-536765,pPt-653377,pPt-654638	DArT_marker	cigar_liftover_v403_to_v61
7	45551032	2	2	30.71	pPt-458072	DArT_marker	cigar_liftover_v403_to_v61	30.71	30.777	30.844	0.13400000000000034	30.71,30.844	pPt-458072,pPt-536420	DArT_marker	cigar_liftover_v403_to_v61
7	52065648	4	2	49.52	pPt-534974	DArT_marker	cigar_liftover_v403_to_v61	49.52	49.701	49.701	0.18099999999999739	49.52,49.701,49.701,49.701	pPt-534974,pPt-536459,pPt-540134,pPt-559458	DArT_marker	cigar_liftover_v403_to_v61
7	52065657	4	3	49.662	pPt-538032	DArT_marker	cigar_liftover_v403_to_v61	49.662	49.701	49.895	0.2330000000000041	49.662,49.701,49.701,49.895	pPt-458491,pPt-535682,pPt-536453,pPt-538032	DArT_marker	cigar_liftover_v403_to_v61
7	54633421	3	3	58.595	toPt-437364	DArT_marker	cigar_liftover_v403_to_v61	58.595	58.638	59.44	0.8449999999999989	58.595,58.638,59.44	toPt-437358,toPt-437364,toPt-439886	DArT_marker	cigar_liftover_v403_to_v61
