chr	pos	cM	selected_orientation	reason_removed
4	49914261	43.76	increasing	breaks_monotonic_pos_cM_chain
4	50227241	43.118	increasing	breaks_monotonic_pos_cM_chain
4	53560088	55.323	increasing	breaks_monotonic_pos_cM_chain
4	55620892	39.546	increasing	breaks_monotonic_pos_cM_chain
4	55864113	53.406	increasing	breaks_monotonic_pos_cM_chain
4	58823229	58.849	increasing	breaks_monotonic_pos_cM_chain
4	61042106	62.407	increasing	breaks_monotonic_pos_cM_chain
4	61195999	62.959	increasing	breaks_monotonic_pos_cM_chain
4	65513708	84.498	increasing	breaks_monotonic_pos_cM_chain
4	65797678	82.372	increasing	breaks_monotonic_pos_cM_chain
4	66123270	83.162	increasing	breaks_monotonic_pos_cM_chain
4	66814329	87.999	increasing	breaks_monotonic_pos_cM_chain
4	67037168	88.718	increasing	breaks_monotonic_pos_cM_chain
4	67538822	90.601	increasing	breaks_monotonic_pos_cM_chain
4	67580640	90.981	increasing	breaks_monotonic_pos_cM_chain
4	67782718	92.286	increasing	breaks_monotonic_pos_cM_chain
4	68365308	93.842	increasing	breaks_monotonic_pos_cM_chain
4	68848251	98.338	increasing	breaks_monotonic_pos_cM_chain
5	1135681	0.0	increasing	breaks_monotonic_pos_cM_chain
5	1270609	2.394	increasing	breaks_monotonic_pos_cM_chain
5	4389823	14.666	increasing	breaks_monotonic_pos_cM_chain
5	7316844	25.697	increasing	breaks_monotonic_pos_cM_chain
5	7431822	25.855	increasing	breaks_monotonic_pos_cM_chain
5	8024295	30.434	increasing	breaks_monotonic_pos_cM_chain
5	8024571	24.559	increasing	breaks_monotonic_pos_cM_chain
5	9449720	21.774	increasing	breaks_monotonic_pos_cM_chain
5	9450228	34.87	increasing	breaks_monotonic_pos_cM_chain
5	9567992	32.552	increasing	breaks_monotonic_pos_cM_chain
5	11180796	34.424	increasing	breaks_monotonic_pos_cM_chain
5	19583215	41.173	increasing	breaks_monotonic_pos_cM_chain
5	19645498	43.685	increasing	breaks_monotonic_pos_cM_chain
5	21950637	41.224	increasing	breaks_monotonic_pos_cM_chain
5	46729149	44.911	increasing	breaks_monotonic_pos_cM_chain
5	49352371	48.365	increasing	breaks_monotonic_pos_cM_chain
5	51816472	56.434	increasing	breaks_monotonic_pos_cM_chain
5	52067622	56.012	increasing	breaks_monotonic_pos_cM_chain
5	52206315	55.528	increasing	breaks_monotonic_pos_cM_chain
5	54704901	63.759	increasing	breaks_monotonic_pos_cM_chain
5	55169241	61.677	increasing	breaks_monotonic_pos_cM_chain
6	657165	2.632	increasing	breaks_monotonic_pos_cM_chain
6	2429309	3.779	increasing	breaks_monotonic_pos_cM_chain
6	8768118	10.831	increasing	breaks_monotonic_pos_cM_chain
6	15797597	14.488	increasing	breaks_monotonic_pos_cM_chain
6	32505188	13.254	increasing	breaks_monotonic_pos_cM_chain
6	46359578	34.293	increasing	breaks_monotonic_pos_cM_chain
6	47466211	36.353	increasing	breaks_monotonic_pos_cM_chain
6	49254652	41.191	increasing	breaks_monotonic_pos_cM_chain
6	50445762	47.03	increasing	breaks_monotonic_pos_cM_chain
6	52623052	56.733	increasing	breaks_monotonic_pos_cM_chain
6	52936397	55.805	increasing	breaks_monotonic_pos_cM_chain
6	53508393	58.876	increasing	breaks_monotonic_pos_cM_chain
6	53705309	57.158	increasing	breaks_monotonic_pos_cM_chain
6	54454794	59.255	increasing	breaks_monotonic_pos_cM_chain
6	54781274	62.205	increasing	breaks_monotonic_pos_cM_chain
6	56910485	65.312	increasing	breaks_monotonic_pos_cM_chain
6	56970498	65.335	increasing	breaks_monotonic_pos_cM_chain
6	57097701	65.327	increasing	breaks_monotonic_pos_cM_chain
6	57561751	69.041	increasing	breaks_monotonic_pos_cM_chain
7	707517	0.0	increasing	breaks_monotonic_pos_cM_chain
7	3407150	8.738	increasing	breaks_monotonic_pos_cM_chain
7	3960282	8.714	increasing	breaks_monotonic_pos_cM_chain
7	37737782	17.66	increasing	breaks_monotonic_pos_cM_chain
7	38834428	17.656	increasing	breaks_monotonic_pos_cM_chain
7	41802263	20.061	increasing	breaks_monotonic_pos_cM_chain
7	42905909	21.748	increasing	breaks_monotonic_pos_cM_chain
7	43818233	26.662	increasing	breaks_monotonic_pos_cM_chain
7	44340304	26.06	increasing	breaks_monotonic_pos_cM_chain
7	45551032	30.71	increasing	breaks_monotonic_pos_cM_chain
7	46645602	32.819	increasing	breaks_monotonic_pos_cM_chain
7	48420904	43.89	increasing	breaks_monotonic_pos_cM_chain
7	54699766	57.539	increasing	breaks_monotonic_pos_cM_chain
7	55767754	62.093	increasing	breaks_monotonic_pos_cM_chain
7	56384329	62.711	increasing	breaks_monotonic_pos_cM_chain
7	56445834	61.66	increasing	breaks_monotonic_pos_cM_chain
7	56801943	62.715	increasing	breaks_monotonic_pos_cM_chain
7	57433724	66.796	increasing	breaks_monotonic_pos_cM_chain
8	4092287	10.679	increasing	breaks_monotonic_pos_cM_chain
8	6360631	17.137	increasing	breaks_monotonic_pos_cM_chain
8	6621353	17.641	increasing	breaks_monotonic_pos_cM_chain
8	6621355	16.622	increasing	breaks_monotonic_pos_cM_chain
8	8091997	16.102	increasing	breaks_monotonic_pos_cM_chain
8	38300248	25.921	increasing	breaks_monotonic_pos_cM_chain
8	40872159	29.947	increasing	breaks_monotonic_pos_cM_chain
8	40872315	29.939	increasing	breaks_monotonic_pos_cM_chain
8	40872318	29.947	increasing	breaks_monotonic_pos_cM_chain
8	42826030	26.294	increasing	breaks_monotonic_pos_cM_chain
8	47850822	55.508	increasing	breaks_monotonic_pos_cM_chain
8	49097627	38.768	increasing	breaks_monotonic_pos_cM_chain
8	49098091	39.358	increasing	breaks_monotonic_pos_cM_chain
8	50559167	47.864	increasing	breaks_monotonic_pos_cM_chain
8	51453176	42.436	increasing	breaks_monotonic_pos_cM_chain
8	52515079	56.397	increasing	breaks_monotonic_pos_cM_chain
8	52622373	56.619	increasing	breaks_monotonic_pos_cM_chain
8	53440159	55.985	increasing	breaks_monotonic_pos_cM_chain
8	56271396	59.685	increasing	breaks_monotonic_pos_cM_chain
8	57274863	62.253	increasing	breaks_monotonic_pos_cM_chain
8	57510401	63.222	increasing	breaks_monotonic_pos_cM_chain
8	57771519	64.377	increasing	breaks_monotonic_pos_cM_chain
8	57947606	63.83	increasing	breaks_monotonic_pos_cM_chain
8	57947687	63.741	increasing	breaks_monotonic_pos_cM_chain
8	58072885	63.683	increasing	breaks_monotonic_pos_cM_chain
8	58624649	65.997	increasing	breaks_monotonic_pos_cM_chain
8	58764544	65.62	increasing	breaks_monotonic_pos_cM_chain
8	59058754	65.895	increasing	breaks_monotonic_pos_cM_chain
8	59147191	66.946	increasing	breaks_monotonic_pos_cM_chain
8	59147419	66.376	increasing	breaks_monotonic_pos_cM_chain
9	2345959	15.561	increasing	breaks_monotonic_pos_cM_chain
9	2544553	15.584	increasing	breaks_monotonic_pos_cM_chain
9	12397029	40.061	increasing	breaks_monotonic_pos_cM_chain
9	43274545	39.59	increasing	breaks_monotonic_pos_cM_chain
9	43807359	39.406	increasing	breaks_monotonic_pos_cM_chain
9	46801848	39.514	increasing	breaks_monotonic_pos_cM_chain
9	52227267	38.757	increasing	breaks_monotonic_pos_cM_chain
9	52971231	39.275	increasing	breaks_monotonic_pos_cM_chain
9	53488920	48.091	increasing	breaks_monotonic_pos_cM_chain
9	54406078	49.282	increasing	breaks_monotonic_pos_cM_chain
9	55253949	51.48	increasing	breaks_monotonic_pos_cM_chain
9	55353103	56.142	increasing	breaks_monotonic_pos_cM_chain
9	58912293	60.697	increasing	breaks_monotonic_pos_cM_chain
9	59431706	62.809	increasing	breaks_monotonic_pos_cM_chain
9	59431737	62.792	increasing	breaks_monotonic_pos_cM_chain
9	59431742	62.727	increasing	breaks_monotonic_pos_cM_chain
9	59431743	62.809	increasing	breaks_monotonic_pos_cM_chain
9	59431846	62.784	increasing	breaks_monotonic_pos_cM_chain
9	59596669	62.151	increasing	breaks_monotonic_pos_cM_chain
9	59826894	60.865	increasing	breaks_monotonic_pos_cM_chain
9	59872799	61.24	increasing	breaks_monotonic_pos_cM_chain
9	59920002	60.46	increasing	breaks_monotonic_pos_cM_chain
9	60263196	63.201	increasing	breaks_monotonic_pos_cM_chain
9	61680990	68.99	increasing	breaks_monotonic_pos_cM_chain
9	61762534	66.664	increasing	breaks_monotonic_pos_cM_chain
9	62320987	70.016	increasing	breaks_monotonic_pos_cM_chain
9	63339316	73.514	increasing	breaks_monotonic_pos_cM_chain
9	64007875	75.748	increasing	breaks_monotonic_pos_cM_chain
9	66777078	87.866	increasing	breaks_monotonic_pos_cM_chain
10	920818	4.183	increasing	breaks_monotonic_pos_cM_chain
10	965693	7.902	increasing	breaks_monotonic_pos_cM_chain
10	1480102	0.0	increasing	breaks_monotonic_pos_cM_chain
10	1826253	9.56	increasing	breaks_monotonic_pos_cM_chain
10	2034837	7.569	increasing	breaks_monotonic_pos_cM_chain
10	6642729	22.556	increasing	breaks_monotonic_pos_cM_chain
10	7780322	21.884	increasing	breaks_monotonic_pos_cM_chain
10	11815345	18.998	increasing	breaks_monotonic_pos_cM_chain
10	17962311	41.049	increasing	breaks_monotonic_pos_cM_chain
10	21865280	20.867	increasing	breaks_monotonic_pos_cM_chain
10	29688859	20.137	increasing	breaks_monotonic_pos_cM_chain
10	30749475	21.352	increasing	breaks_monotonic_pos_cM_chain
10	36968160	23.048	increasing	breaks_monotonic_pos_cM_chain
10	45867762	26.604	increasing	breaks_monotonic_pos_cM_chain
10	49042701	34.53	increasing	breaks_monotonic_pos_cM_chain
10	49042767	34.53	increasing	breaks_monotonic_pos_cM_chain
10	52898453	46.385	increasing	breaks_monotonic_pos_cM_chain
10	52898643	45.911	increasing	breaks_monotonic_pos_cM_chain
10	52898816	46.295	increasing	breaks_monotonic_pos_cM_chain
10	53051560	46.077	increasing	breaks_monotonic_pos_cM_chain
10	55214381	49.755	increasing	breaks_monotonic_pos_cM_chain
10	55257906	49.769	increasing	breaks_monotonic_pos_cM_chain
10	57502157	57.235	increasing	breaks_monotonic_pos_cM_chain
10	57586970	58.919	increasing	breaks_monotonic_pos_cM_chain
10	59277472	67.349	increasing	breaks_monotonic_pos_cM_chain
11	478455	6.415	increasing	breaks_monotonic_pos_cM_chain
11	478459	6.415	increasing	breaks_monotonic_pos_cM_chain
11	478466	6.415	increasing	breaks_monotonic_pos_cM_chain
11	478667	6.415	increasing	breaks_monotonic_pos_cM_chain
11	675706	7.188	increasing	breaks_monotonic_pos_cM_chain
11	1414041	10.24	increasing	breaks_monotonic_pos_cM_chain
11	2822788	2.25	increasing	breaks_monotonic_pos_cM_chain
11	3575362	12.567	increasing	breaks_monotonic_pos_cM_chain
11	4000873	15.715	increasing	breaks_monotonic_pos_cM_chain
11	4002920	15.429	increasing	breaks_monotonic_pos_cM_chain
11	5321940	17.585	increasing	breaks_monotonic_pos_cM_chain
11	5952475	18.836	increasing	breaks_monotonic_pos_cM_chain
11	9529080	27.499	increasing	breaks_monotonic_pos_cM_chain
11	9529226	27.499	increasing	breaks_monotonic_pos_cM_chain
11	10088223	22.701	increasing	breaks_monotonic_pos_cM_chain
11	15387352	35.828	increasing	breaks_monotonic_pos_cM_chain
11	16224599	37.27	increasing	breaks_monotonic_pos_cM_chain
11	27218620	15.236	increasing	breaks_monotonic_pos_cM_chain
11	32900636	33.402	increasing	breaks_monotonic_pos_cM_chain
11	36955055	36.63	increasing	breaks_monotonic_pos_cM_chain
11	40806074	48.053	increasing	breaks_monotonic_pos_cM_chain
11	41045136	45.74	increasing	breaks_monotonic_pos_cM_chain
11	41708288	42.971	increasing	breaks_monotonic_pos_cM_chain
11	42408537	47.907	increasing	breaks_monotonic_pos_cM_chain
11	43731390	53.049	increasing	breaks_monotonic_pos_cM_chain
11	44479312	55.172	increasing	breaks_monotonic_pos_cM_chain
12	1055654	63.238	decreasing	breaks_monotonic_pos_cM_chain
12	1294477	70.322	decreasing	breaks_monotonic_pos_cM_chain
12	1294480	75.166	decreasing	breaks_monotonic_pos_cM_chain
12	1294811	71.722	decreasing	breaks_monotonic_pos_cM_chain
12	3663191	60.994	decreasing	breaks_monotonic_pos_cM_chain
12	6017006	40.012	decreasing	breaks_monotonic_pos_cM_chain
12	9186109	41.258	decreasing	breaks_monotonic_pos_cM_chain
12	11125054	33.393	decreasing	breaks_monotonic_pos_cM_chain
12	49357724	27.502	decreasing	breaks_monotonic_pos_cM_chain
12	50680228	28.975	decreasing	breaks_monotonic_pos_cM_chain
12	57195889	0.807	decreasing	breaks_monotonic_pos_cM_chain
12	57795568	4.355	decreasing	breaks_monotonic_pos_cM_chain
