marker_id	marker_id_norm	old_seqid	old_start	old_end	old_midpoint	old_midpoint_0based	old_source	marker_type	old_strand	genetic_chr	cM	attributes	n_liftover_candidates	target_seqid	target_chr	target_type	target_pos	paf_strand	paf_qstart	paf_qend	paf_tstart	paf_tend	mapq	n_match	aln_len	paf_identity	paf_query_span	same_chr	cigar_status	cigar_map_ok	liftover_status	chr	pos	marker_id_norm_for_join	direct_chr	direct_pos	liftover_chr	liftover_pos	same_chr_direct	delta_pos	abs_delta_pos
solcap_stsnp_c1_6295	solcap_snp_c1_6295	ST4.03ch01	73384602	73384602	73384602	73384601	dundee	SNP	.	1	56.522	ID=solcap_stsnp_c1_6295;Note=type: New OPA;Name=solcap_stsnp_c1_6295; Note=Genetic position = Chr01 56.522 cM	1	chr01	1	chromosome	74448862	+	73365720	73394128	74429983	74458388	60	28403	28408	0.9998239932413404	28408	1	cigar_aligned_base	1	lifted_chr_agree	1	74448862	solcap_snp_c1_6295	1	74448862	1	74448862	True	0	0
solcap_stsnp_c1_14093	solcap_snp_c1_14093	ST4.03ch01	73743526	73743526	73743526	73743525	dundee	SNP	.	1	62.3	ID=solcap_stsnp_c1_14093;Note=type: New OPA;Name=solcap_stsnp_c1_14093; Note=Genetic position = Chr01 62.3 cM	1	chr01	1	chromosome	74794275	+	73713342	73800402	74763978	74844972	60	80546	84566	0.9524631648653124	87060	1	cigar_aligned_base	1	lifted_chr_agree	1	74794275	solcap_snp_c1_14093	1	74794275	1	74794275	True	0	0
solcap_stsnp_c1_15573	solcap_snp_c1_15573	ST4.03ch01	73880230	73880230	73880230	73880229	dundee	SNP	.	1	57.545	ID=solcap_stsnp_c1_15573;Note=type: New OPA;Name=solcap_stsnp_c1_15573; Note=Genetic position = Chr01 57.545 cM	1	chr01	1	chromosome	74921059	+	73869604	73894259	74910407	74935326	60	24613	24927	0.9874032173947928	24655	1	cigar_aligned_base	1	lifted_chr_agree	1	74921059	solcap_snp_c1_15573	1	74921059	1	74921059	True	0	0
solcap_stsnp_c1_4586	solcap_snp_c1_4586	ST4.03ch01	74179524	74179524	74179524	74179523	dundee	SNP	.	1	59.529	ID=solcap_stsnp_c1_4586;Note=type: New OPA;Name=solcap_stsnp_c1_4586; Note=Genetic position = Chr01 59.529 cM	1	chr01	1	chromosome	75121299	+	74145567	74231248	75087793	75171028	60	83185	84783	0.9811518818631093	85681	1	cigar_aligned_base	1	lifted_chr_agree	1	75121299	solcap_snp_c1_4586	1	75121299	1	75121299	True	0	0
solcap_stsnp_c1_4604	solcap_snp_c1_4604	ST4.03ch01	74257861	74257861	74257861	74257860	dundee	SNP	.	1	61.635	ID=solcap_stsnp_c1_4604;Note=type: New OPA;Name=solcap_stsnp_c1_4604; Note=Genetic position = Chr01 61.635 cM	1	chr01	1	chromosome	75196506	+	74245595	74281807	75185057	75220144	60	34742	36110	0.9621157574079202	36212	1	cigar_aligned_base	1	lifted_chr_agree	1	75196506	solcap_snp_c1_4604	1	75196506	1	75196506	True	0	0
solcap_stsnp_c1_4607	solcap_snp_c1_4607	ST4.03ch01	74335053	74335053	74335053	74335052	dundee	SNP	.	1	61.148	ID=solcap_stsnp_c1_4607;Note=type: New OPA;Name=solcap_stsnp_c1_4607; Note=Genetic position = Chr01 61.148 cM	1	chr01	1	chromosome	75266586	+	74312520	74366138	75246038	75297460	60	51379	52130	0.9855937080375983	53618	1	cigar_aligned_base	1	lifted_chr_agree	1	75266586	solcap_snp_c1_4607	1	75266586	1	75266586	True	0	0
solcap_stsnp_c1_15429	solcap_snp_c1_15429	ST4.03ch01	76207281	76207281	76207281	76207280	dundee	SNP	.	1	63.763	ID=solcap_stsnp_c1_15429;Note=type: New OPA;Name=solcap_stsnp_c1_15429; Note=Genetic position = Chr01 63.763 cM	1	chr01	1	chromosome	77039028	+	76205458	76217192	77037251	77048939	60	11684	11734	0.9957388784728141	11734	1	cigar_aligned_base	1	lifted_chr_agree	1	77039028	solcap_snp_c1_15429	1	77039028	1	77039028	True	0	0
solcap_stsnp_c1_2501	solcap_snp_c1_2501	ST4.03ch01	79276534	79276534	79276534	79276533	dundee	SNP	.	1	75.174	ID=solcap_stsnp_c1_2501;Note=type: New OPA;Name=solcap_stsnp_c1_2501; Note=Genetic position = Chr01 75.174 cM	1	chr01	1	chromosome	79880009	+	79257816	79334646	79861291	79937312	60	76004	76101	0.9987253781159249	76830	1	cigar_aligned_base	1	lifted_chr_agree	1	79880009	solcap_snp_c1_2501	1	79880009	1	79880009	True	0	0
solcap_stsnp_c1_2517	solcap_snp_c1_2517	ST4.03ch01	79481643	79481643	79481643	79481642	dundee	SNP	.	1	76.519	ID=solcap_stsnp_c1_2517;Note=type: New OPA;Name=solcap_stsnp_c1_2517; Note=Genetic position = Chr01 76.519 cM	1	chr01	1	chromosome	80095734	+	79445420	79491994	80059721	80105570	60	45713	46431	0.9845361934914174	46574	1	cigar_aligned_base	1	lifted_chr_agree	1	80095734	solcap_snp_c1_2517	1	80095734	1	80095734	True	0	0
solcap_stsnp_c1_3297	solcap_snp_c1_3297	ST4.03ch01	80945395	80945395	80945395	80945394	dundee	SNP	.	1	81.408	ID=solcap_stsnp_c1_3297;Note=type: New OPA;Name=solcap_stsnp_c1_3297; Note=Genetic position = Chr01 81.408 cM	1	chr01	1	chromosome	81517833	+	80815619	80969172	81389886	81539134	60	148615	149554	0.9937213314254383	153553	1	cigar_aligned_base	1	lifted_chr_agree	1	81517833	solcap_snp_c1_3297	1	81517833	1	81517833	True	0	0
solcap_stsnp_c1_3281	solcap_snp_c1_3281	ST4.03ch01	81598650	81598650	81598650	81598649	dundee	SNP	.	1	78.463	ID=solcap_stsnp_c1_3281;Note=type: New OPA;Name=solcap_stsnp_c1_3281; Note=Genetic position = Chr01 78.463 cM	1	chr01	1	chromosome	82100630	+	81554776	81682621	82062415	82173021	60	110314	112972	0.9764720461707326	127845	1	cigar_aligned_base	1	lifted_chr_agree	1	82100630	solcap_snp_c1_3281	1	82100630	1	82100630	True	0	0
solcap_stsnp_c1_1652	solcap_snp_c1_1652	ST4.03ch01	83457092	83457092	83457092	83457091	dundee	SNP	.	1	81.476	ID=solcap_stsnp_c1_1652;Note=type: New OPA;Name=solcap_stsnp_c1_1652; Note=Genetic position = Chr01 81.476 cM	1	chr01	1	chromosome	83852715	+	83450088	83556634	83846149	83949849	60	103082	103834	0.9927576708977791	106546	1	cigar_aligned_base	1	lifted_chr_agree	1	83852715	solcap_snp_c1_1652	1	83451642	1	83852715	True	401073	401073
solcap_stsnp_c1_1724	solcap_snp_c1_1724	ST4.03ch01	83502074	83502074	83502074	83502073	dundee	SNP	.	1	81.579	ID=solcap_stsnp_c1_1724;Note=type: New OPA;Name=solcap_stsnp_c1_1724; Note=Genetic position = Chr01 81.579 cM	1	chr01	1	chromosome	83896183	+	83450088	83556634	83846149	83949849	60	103082	103834	0.9927576708977791	106546	1	cigar_aligned_base	1	lifted_chr_agree	1	83896183	solcap_snp_c1_1724	1	83896183	1	83896183	True	0	0
solcap_stsnp_c1_1731	solcap_snp_c1_1731	ST4.03ch01	83593936	83593936	83593936	83593935	dundee	SNP	.	1	82.021	ID=solcap_stsnp_c1_1731;Note=type: New OPA;Name=solcap_stsnp_c1_1731; Note=Genetic position = Chr01 82.021 cM	1	chr01	1	chromosome	83987313	+	83556823	83617494	83950200	84010170	60	59925	60005	0.9986667777685193	60671	1	cigar_aligned_base	1	lifted_chr_agree	1	83987313	solcap_snp_c1_1731	1	83987313	1	83987313	True	0	0
solcap_stsnp_c1_1748	solcap_snp_c1_1748	ST4.03ch01	83705685	83705685	83705685	83705684	dundee	SNP	.	1	82.017	ID=solcap_stsnp_c1_1748;Note=type: New OPA;Name=solcap_stsnp_c1_1748; Note=Genetic position = Chr01 82.017 cM	1	chr01	1	chromosome	84095795	+	83646846	83754626	84037942	84142257	60	104004	105522	0.9856143742537101	107780	1	cigar_aligned_base	1	lifted_chr_agree	1	84095795	solcap_snp_c1_1748	1	84095795	1	84095795	True	0	0
solcap_stsnp_c1_1577	solcap_snp_c1_1577	ST4.03ch01	83756771	83756771	83756771	83756770	dundee	SNP	.	1	82.023	ID=solcap_stsnp_c1_1577;Note=type: New OPA;Name=solcap_stsnp_c1_1577; Note=Genetic position = Chr01 82.023 cM	1	chr01	1	chromosome	84144580	+	83755388	83775845	84143197	84162729	60	19526	20463	0.9542100376288911	20457	1	cigar_aligned_base	1	lifted_chr_agree	1	84144580	solcap_snp_c1_1577	1	84144580	1	84144580	True	0	0
solcap_stsnp_c1_10893	solcap_snp_c1_10893	ST4.03ch01	84487050	84487050	84487050	84487049	dundee	SNP	.	1	83.125	ID=solcap_stsnp_c1_10893;Note=type: New OPA;Name=solcap_stsnp_c1_10893; Note=Genetic position = Chr01 83.125 cM	1	chr01	1	chromosome	84845644	+	84466473	84512514	84825309	84871264	60	45783	46208	0.9908024584487535	46041	1	cigar_aligned_base	1	lifted_chr_agree	1	84845644	solcap_snp_c1_10893	1	84845644	1	84845644	True	0	0
solcap_stsnp_c1_23	solcap_snp_c1_23	ST4.03ch01	85244059	85244059	85244059	85244058	dundee	SNP	.	1	83.267	ID=solcap_stsnp_c1_23;Note=type: New OPA;Name=solcap_stsnp_c1_23; Note=Genetic position = Chr01 83.267 cM	1	chr01	1	chromosome	85589930	+	85195786	85270726	85541975	85615507	60	73484	74300	0.9890174966352624	74940	1	cigar_aligned_base	1	lifted_chr_agree	1	85589930	solcap_snp_c1_23	1	85589930	1	85589930	True	0	0
solcap_stsnp_c1_14689	solcap_snp_c1_14689	ST4.03ch01	86161359	86161359	86161359	86161358	dundee	SNP	.	1	83.709	ID=solcap_stsnp_c1_14689;Note=type: New OPA;Name=solcap_stsnp_c1_14689; Note=Genetic position = Chr01 83.709 cM	1	chr01	1	chromosome	86449536	+	86125269	86176093	86408509	86464712	60	50228	56664	0.8864181843851475	50824	1	cigar_aligned_base	1	lifted_chr_agree	1	86449536	solcap_snp_c1_14689	1	86449536	1	86449536	True	0	0
solcap_stsnp_c1_5228	solcap_snp_c1_5228	ST4.03ch02	14350758	14350758	14350758	14350757	dundee	SNP	.	2	14.037	ID=solcap_stsnp_c1_5228;Note=type: New OPA;Name=solcap_stsnp_c1_5228; Note=Genetic position = Chr02 14.037 cM	1	chr02	2	chromosome	13854680	+	14293842	14419365	13799030	13920503	60	121177	121806	0.9948360507692561	125523	1	cigar_aligned_base	1	lifted_chr_agree	2	13854680	solcap_snp_c1_5228	2	13854680	2	13854680	True	0	0
solcap_stsnp_c1_9122	solcap_snp_c1_9122	ST4.03ch02	19199038	19199038	19199038	19199037	dundee	SNP	.	2	17.27	ID=solcap_stsnp_c1_9122;Note=type: New OPA;Name=solcap_stsnp_c1_9122; Note=Genetic position = Chr02 17.27 cM	1	chr02	2	chromosome	18485069	+	19184020	19207656	18470040	18493299	60	23227	23657	0.9818235617364839	23636	1	cigar_aligned_base	1	lifted_chr_agree	2	18485069	solcap_snp_c1_9122	2	18485069	2	18485069	True	0	0
solcap_stsnp_c1_5749	solcap_snp_c1_5749	ST4.03ch02	20754871	20754871	20754871	20754870	dundee	SNP	.	2	9.702	ID=solcap_stsnp_c1_5749;Note=type: New OPA;Name=solcap_stsnp_c1_5749; Note=Genetic position = Chr02 9.702 cM	1	chr02	2	chromosome	19873304	+	20728239	20909323	19846994	20024449	60	177078	178797	0.9903857447272605	181084	1	cigar_aligned_base	1	lifted_chr_agree	2	19873304	solcap_snp_c1_5749	2	19873304	2	19873304	True	0	0
solcap_stsnp_c1_9725	solcap_snp_c1_9725	ST4.03ch02	22750065	22750065	22750065	22750064	dundee	SNP	.	2	20.452	ID=solcap_stsnp_c1_9725;Note=type: New OPA;Name=solcap_stsnp_c1_9725; Note=Genetic position = Chr02 20.452 cM	1	chr02	2	chromosome	21788784	+	22743576	22769011	21782298	21807730	60	25429	25437	0.9996854975036364	25435	1	cigar_aligned_base	1	lifted_chr_agree	2	21788784	solcap_snp_c1_9725	2	21788784	2	21788784	True	0	0
solcap_stsnp_c1_9732	solcap_snp_c1_9732	ST4.03ch02	22770204	22770204	22770204	22770203	dundee	SNP	.	2	20.269	ID=solcap_stsnp_c1_9732;Note=type: New OPA;Name=solcap_stsnp_c1_9732; Note=Genetic position = Chr02 20.269 cM	1	chr02	2	chromosome	21808866	+	22769104	22792495	21807766	21831287	60	23384	23525	0.9940063761955367	23391	1	cigar_aligned_base	1	lifted_chr_agree	2	21808866	solcap_snp_c1_9732	2	21808866	2	21808866	True	0	0
solcap_stsnp_c1_16347	solcap_snp_c1_16347	ST4.03ch02	22932497	22932497	22932497	22932496	dundee	SNP	.	2	18.876	ID=solcap_stsnp_c1_16347;Note=type: New OPA;Name=solcap_stsnp_c1_16347; Note=Genetic position = Chr02 18.876 cM	1	chr02	2	chromosome	21965487	+	22923101	22935882	21956089	21968877	60	12770	12795	0.9980461117624072	12781	1	cigar_aligned_base	1	lifted_chr_agree	2	21965487	solcap_snp_c1_16347	2	21965487	2	21965487	True	0	0
solcap_stsnp_c1_15404	solcap_snp_c1_15404	ST4.03ch02	24858189	24858189	24858189	24858188	dundee	SNP	.	2	22.668	ID=solcap_stsnp_c1_15404;Note=type: New OPA;Name=solcap_stsnp_c1_15404; Note=Genetic position = Chr02 22.668 cM	1	chr02	2	chromosome	23885399	+	24852342	24868909	23879784	23896134	60	16332	16398	0.9959751189169411	16567	1	cigar_aligned_base	1	lifted_chr_agree	2	23885399	solcap_snp_c1_15404	2	23885399	2	23885399	True	0	0
solcap_stsnp_c1_11486	solcap_snp_c1_11486	ST4.03ch02	26169748	26169748	26169748	26169747	dundee	SNP	.	2	22.273	ID=solcap_stsnp_c1_11486;Note=type: New OPA;Name=solcap_stsnp_c1_11486; Note=Genetic position = Chr02 22.273 cM	1	chr02	2	chromosome	25017414	+	26139077	26221383	24986743	25069030	60	82044	82504	0.9944245127508969	82306	1	cigar_aligned_base	1	lifted_chr_agree	2	25017414	solcap_snp_c1_11486	2	25017414	2	25017414	True	0	0
solcap_stsnp_c1_9302	solcap_snp_c1_9302	ST4.03ch02	26527354	26527354	26527354	26527353	dundee	SNP	.	2	22.448	ID=solcap_stsnp_c1_9302;Note=type: New OPA;Name=solcap_stsnp_c1_9302; Note=Genetic position = Chr02 22.448 cM	1	chr02	2	chromosome	25370147	+	26491471	26534510	25335297	25377303	60	41972	42350	0.9910743801652893	43039	1	cigar_aligned_base	1	lifted_chr_agree	2	25370147	solcap_snp_c1_9302	2	25370147	2	25370147	True	0	0
solcap_stsnp_c1_9369	solcap_snp_c1_9369	ST4.03ch02	26799085	26799085	26799085	26799084	dundee	SNP	.	2	23.334	ID=solcap_stsnp_c1_9369;Note=type: New OPA;Name=solcap_stsnp_c1_9369; Note=Genetic position = Chr02 23.334 cM	1	chr02	2	chromosome	25639644	+	26795361	26807154	25635920	25647712	60	11782	11795	0.9988978380669775	11793	1	cigar_aligned_base	1	lifted_chr_agree	2	25639644	solcap_snp_c1_9369	2	25639644	2	25639644	True	0	0
solcap_stsnp_c1_9376	solcap_snp_c1_9376	ST4.03ch02	26907575	26907575	26907575	26907574	dundee	SNP	.	2	23.433	ID=solcap_stsnp_c1_9376;Note=type: New OPA;Name=solcap_stsnp_c1_9376; Note=Genetic position = Chr02 23.433 cM	1	chr02	2	chromosome	25706037	+	26907198	26915437	25705660	25713898	60	8237	8239	0.9997572520937007	8239	1	cigar_aligned_base	1	lifted_chr_agree	2	25706037	solcap_snp_c1_9376	2	25706037	2	25706037	True	0	0
solcap_stsnp_c1_13468	solcap_snp_c1_13468	ST4.03ch02	27200020	27200020	27200020	27200019	dundee	SNP	.	2	26.967	ID=solcap_stsnp_c1_13468;Note=type: New OPA;Name=solcap_stsnp_c1_13468; Note=Genetic position = Chr02 26.967 cM	1	chr02	2	chromosome	25999493	+	27038115	27210119	25839799	26009654	60	169563	170311	0.9956080347129663	172004	1	cigar_aligned_base	1	lifted_chr_agree	2	25999493	solcap_snp_c1_13468	2	25999493	2	25999493	True	0	0
solcap_stsnp_c1_5078	solcap_snp_c1_5078	ST4.03ch02	28927255	28927255	28927255	28927254	dundee	SNP	.	2	29.406	ID=solcap_stsnp_c1_5078;Note=type: New OPA;Name=solcap_stsnp_c1_5078; Note=Genetic position = Chr02 29.406 cM	1	chr02	2	chromosome	27527543	+	28899182	28932472	27500497	27532760	60	32234	32391	0.9951529745917076	33290	1	cigar_aligned_base	1	lifted_chr_agree	2	27527543	solcap_snp_c1_5078	2	27527543	2	27527543	True	0	0
solcap_stsnp_c1_16340	solcap_snp_c1_16340	ST4.03ch02	29020687	29020687	29020687	29020686	dundee	SNP	.	2	28.867	ID=solcap_stsnp_c1_16340;Note=type: New OPA;Name=solcap_stsnp_c1_16340; Note=Genetic position = Chr02 28.867 cM	1	chr02	2	chromosome	27620643	+	28932697	29026076	27532900	27625991	60	92976	93368	0.9958015594207865	93379	1	cigar_aligned_base	1	lifted_chr_agree	2	27620643	solcap_snp_c1_16340	2	27620643	2	27620643	True	0	0
solcap_stsnp_c1_16341	solcap_snp_c1_16341	ST4.03ch02	29045616	29045616	29045616	29045615	dundee	SNP	.	2	27.157	ID=solcap_stsnp_c1_16341;Note=type: New OPA;Name=solcap_stsnp_c1_16341; Note=Genetic position = Chr02 27.157 cM	1	chr02	2	chromosome	27646352	+	29038497	29049752	27639233	27650488	60	11255	11255	1.0	11255	1	cigar_aligned_base	1	lifted_chr_agree	2	27646352	solcap_snp_c1_16341	2	27646352	2	27646352	True	0	0
solcap_stsnp_c1_13929	solcap_snp_c1_13929	ST4.03ch02	29929027	29929027	29929027	29929026	dundee	SNP	.	2	30.435	ID=solcap_stsnp_c1_13929;Note=type: New OPA;Name=solcap_stsnp_c1_13929; Note=Genetic position = Chr02 30.435 cM	1	chr02	2	chromosome	28460955	+	29920112	29957807	28452040	28489692	60	37636	37698	0.9983553504164677	37695	1	cigar_aligned_base	1	lifted_chr_agree	2	28460955	solcap_snp_c1_13929	2	28460955	2	28460955	True	0	0
