map_name	chr	bin_start_cM	bin_end_cM	n_markers
combined_first_cM_859	2	40.0	50.0	10
combined_first_cM_859	2	50.0	60.0	6
combined_first_cM_859	2	60.0	70.0	22
combined_first_cM_859	2	70.0	80.0	8
combined_first_cM_859	2	80.0	90.0	0
combined_first_cM_859	2	90.0	100.0	0
combined_first_cM_859	3	0.0	10.0	6
combined_first_cM_859	3	10.0	20.0	7
combined_first_cM_859	3	20.0	30.0	1
combined_first_cM_859	3	30.0	40.0	2
combined_first_cM_859	3	40.0	50.0	12
combined_first_cM_859	3	50.0	60.0	5
combined_first_cM_859	3	60.0	70.0	10
combined_first_cM_859	3	70.0	80.0	15
combined_first_cM_859	3	80.0	90.0	1
combined_first_cM_859	3	90.0	100.0	0
combined_first_cM_859	4	0.0	10.0	0
combined_first_cM_859	4	10.0	20.0	7
combined_first_cM_859	4	20.0	30.0	9
combined_first_cM_859	4	30.0	40.0	7
combined_first_cM_859	4	40.0	50.0	11
combined_first_cM_859	4	50.0	60.0	10
combined_first_cM_859	4	60.0	70.0	5
combined_first_cM_859	4	70.0	80.0	5
combined_first_cM_859	4	80.0	90.0	11
combined_first_cM_859	4	90.0	100.0	13
combined_first_cM_859	5	0.0	10.0	7
combined_first_cM_859	5	10.0	20.0	6
combined_first_cM_859	5	20.0	30.0	8
combined_first_cM_859	5	30.0	40.0	11
combined_first_cM_859	5	40.0	50.0	13
combined_first_cM_859	5	50.0	60.0	7
combined_first_cM_859	5	60.0	70.0	3
combined_first_cM_859	5	70.0	80.0	0
combined_first_cM_859	5	80.0	90.0	0
combined_first_cM_859	5	90.0	100.0	0
combined_first_cM_859	6	0.0	10.0	7
combined_first_cM_859	6	10.0	20.0	8
combined_first_cM_859	6	20.0	30.0	5
combined_first_cM_859	6	30.0	40.0	12
combined_first_cM_859	6	40.0	50.0	8
combined_first_cM_859	6	50.0	60.0	15
combined_first_cM_859	6	60.0	70.0	13
combined_first_cM_859	6	70.0	80.0	1
combined_first_cM_859	6	80.0	90.0	0
combined_first_cM_859	6	90.0	100.0	0
combined_first_cM_859	7	0.0	10.0	8
combined_first_cM_859	7	10.0	20.0	7
combined_first_cM_859	7	20.0	30.0	14
combined_first_cM_859	7	30.0	40.0	6
combined_first_cM_859	7	40.0	50.0	7
combined_first_cM_859	7	50.0	60.0	8
combined_first_cM_859	7	60.0	70.0	11
combined_first_cM_859	7	70.0	80.0	0
combined_first_cM_859	7	80.0	90.0	0
combined_first_cM_859	7	90.0	100.0	0
combined_first_cM_859	8	0.0	10.0	0
combined_first_cM_859	8	10.0	20.0	17
combined_first_cM_859	8	20.0	30.0	13
combined_first_cM_859	8	30.0	40.0	4
combined_first_cM_859	8	40.0	50.0	5
combined_first_cM_859	8	50.0	60.0	11
combined_first_cM_859	8	60.0	70.0	23
combined_first_cM_859	8	70.0	80.0	0
combined_first_cM_859	8	80.0	90.0	0
combined_first_cM_859	8	90.0	100.0	0
combined_first_cM_859	9	0.0	10.0	1
combined_first_cM_859	9	10.0	20.0	6
combined_first_cM_859	9	20.0	30.0	1
combined_first_cM_859	9	30.0	40.0	9
combined_first_cM_859	9	40.0	50.0	9
combined_first_cM_859	9	50.0	60.0	8
combined_first_cM_859	9	60.0	70.0	26
combined_first_cM_859	9	70.0	80.0	12
combined_first_cM_859	9	80.0	90.0	7
combined_first_cM_859	9	90.0	100.0	0
combined_first_cM_859	10	0.0	10.0	14
combined_first_cM_859	10	10.0	20.0	8
combined_first_cM_859	10	20.0	30.0	16
combined_first_cM_859	10	30.0	40.0	6
combined_first_cM_859	10	40.0	50.0	14
combined_first_cM_859	10	50.0	60.0	5
combined_first_cM_859	10	60.0	70.0	5
combined_first_cM_859	10	70.0	80.0	0
combined_first_cM_859	10	80.0	90.0	0
combined_first_cM_859	10	90.0	100.0	0
combined_first_cM_859	11	0.0	10.0	15
combined_first_cM_859	11	10.0	20.0	9
combined_first_cM_859	11	20.0	30.0	8
combined_first_cM_859	11	30.0	40.0	9
combined_first_cM_859	11	40.0	50.0	8
combined_first_cM_859	11	50.0	60.0	12
combined_first_cM_859	11	60.0	70.0	2
combined_first_cM_859	11	70.0	80.0	0
combined_first_cM_859	11	80.0	90.0	0
combined_first_cM_859	11	90.0	100.0	0
combined_first_cM_859	12	0.0	10.0	7
combined_first_cM_859	12	10.0	20.0	2
combined_first_cM_859	12	20.0	30.0	5
combined_first_cM_859	12	30.0	40.0	5
combined_first_cM_859	12	40.0	50.0	6
combined_first_cM_859	12	50.0	60.0	1
combined_first_cM_859	12	60.0	70.0	9
combined_first_cM_859	12	70.0	80.0	3
combined_first_cM_859	12	80.0	90.0	0
combined_first_cM_859	12	90.0	100.0	0
max_collinear_533	1	0.0	10.0	2
max_collinear_533	1	10.0	20.0	4
max_collinear_533	1	20.0	30.0	8
max_collinear_533	1	30.0	40.0	9
max_collinear_533	1	40.0	50.0	6
max_collinear_533	1	50.0	60.0	9
max_collinear_533	1	60.0	70.0	3
max_collinear_533	1	70.0	80.0	7
max_collinear_533	1	80.0	90.0	13
max_collinear_533	1	90.0	100.0	2
max_collinear_533	2	0.0	10.0	0
max_collinear_533	2	10.0	20.0	11
max_collinear_533	2	20.0	30.0	14
max_collinear_533	2	30.0	40.0	9
max_collinear_533	2	40.0	50.0	8
max_collinear_533	2	50.0	60.0	3
max_collinear_533	2	60.0	70.0	13
max_collinear_533	2	70.0	80.0	5
max_collinear_533	2	80.0	90.0	0
max_collinear_533	2	90.0	100.0	0
max_collinear_533	3	0.0	10.0	5
max_collinear_533	3	10.0	20.0	3
max_collinear_533	3	20.0	30.0	1
max_collinear_533	3	30.0	40.0	2
max_collinear_533	3	40.0	50.0	7
max_collinear_533	3	50.0	60.0	1
max_collinear_533	3	60.0	70.0	5
max_collinear_533	3	70.0	80.0	5
max_collinear_533	3	80.0	90.0	1
max_collinear_533	3	90.0	100.0	0
max_collinear_533	4	0.0	10.0	0
max_collinear_533	4	10.0	20.0	5
max_collinear_533	4	20.0	30.0	5
max_collinear_533	4	30.0	40.0	4
max_collinear_533	4	40.0	50.0	8
max_collinear_533	4	50.0	60.0	7
max_collinear_533	4	60.0	70.0	3
max_collinear_533	4	70.0	80.0	5
max_collinear_533	4	80.0	90.0	6
max_collinear_533	4	90.0	100.0	8
max_collinear_533	5	0.0	10.0	5
max_collinear_533	5	10.0	20.0	5
max_collinear_533	5	20.0	30.0	4
max_collinear_533	5	30.0	40.0	7
max_collinear_533	5	40.0	50.0	8
max_collinear_533	5	50.0	60.0	4
max_collinear_533	5	60.0	70.0	1
max_collinear_533	5	70.0	80.0	0
max_collinear_533	5	80.0	90.0	0
max_collinear_533	5	90.0	100.0	0
max_collinear_533	6	0.0	10.0	5
max_collinear_533	6	10.0	20.0	5
max_collinear_533	6	20.0	30.0	5
max_collinear_533	6	30.0	40.0	10
max_collinear_533	6	40.0	50.0	6
max_collinear_533	6	50.0	60.0	10
max_collinear_533	6	60.0	70.0	8
max_collinear_533	6	70.0	80.0	1
max_collinear_533	6	80.0	90.0	0
max_collinear_533	6	90.0	100.0	0
max_collinear_533	7	0.0	10.0	5
max_collinear_533	7	10.0	20.0	5
max_collinear_533	7	20.0	30.0	10
max_collinear_533	7	30.0	40.0	4
max_collinear_533	7	40.0	50.0	6
max_collinear_533	7	50.0	60.0	7
max_collinear_533	7	60.0	70.0	6
max_collinear_533	7	70.0	80.0	0
max_collinear_533	7	80.0	90.0	0
max_collinear_533	7	90.0	100.0	0
max_collinear_533	8	0.0	10.0	0
max_collinear_533	8	10.0	20.0	12
max_collinear_533	8	20.0	30.0	8
max_collinear_533	8	30.0	40.0	2
max_collinear_533	8	40.0	50.0	3
max_collinear_533	8	50.0	60.0	6
max_collinear_533	8	60.0	70.0	12
max_collinear_533	8	70.0	80.0	0
max_collinear_533	8	80.0	90.0	0
max_collinear_533	8	90.0	100.0	0
max_collinear_533	9	0.0	10.0	1
max_collinear_533	9	10.0	20.0	4
max_collinear_533	9	20.0	30.0	1
max_collinear_533	9	30.0	40.0	4
max_collinear_533	9	40.0	50.0	6
max_collinear_533	9	50.0	60.0	6
max_collinear_533	9	60.0	70.0	13
max_collinear_533	9	70.0	80.0	9
max_collinear_533	9	80.0	90.0	6
max_collinear_533	9	90.0	100.0	0
max_collinear_533	10	0.0	10.0	9
max_collinear_533	10	10.0	20.0	7
max_collinear_533	10	20.0	30.0	9
max_collinear_533	10	30.0	40.0	4
max_collinear_533	10	40.0	50.0	7
max_collinear_533	10	50.0	60.0	3
max_collinear_533	10	60.0	70.0	4
max_collinear_533	10	70.0	80.0	0
max_collinear_533	10	80.0	90.0	0
max_collinear_533	10	90.0	100.0	0
max_collinear_533	11	0.0	10.0	9
max_collinear_533	11	10.0	20.0	2
max_collinear_533	11	20.0	30.0	5
max_collinear_533	11	30.0	40.0	5
max_collinear_533	11	40.0	50.0	4
max_collinear_533	11	50.0	60.0	10
max_collinear_533	11	60.0	70.0	2
max_collinear_533	11	70.0	80.0	0
max_collinear_533	11	80.0	90.0	0
max_collinear_533	11	90.0	100.0	0
max_collinear_533	12	0.0	10.0	5
max_collinear_533	12	10.0	20.0	2
max_collinear_533	12	20.0	30.0	3
max_collinear_533	12	30.0	40.0	4
max_collinear_533	12	40.0	50.0	4
max_collinear_533	12	50.0	60.0	1
max_collinear_533	12	60.0	70.0	7
max_collinear_533	12	70.0	80.0	0
max_collinear_533	12	80.0	90.0	0
max_collinear_533	12	90.0	100.0	0
