chr	pos	cM	marker_id	marker_type	genetic_chr	old_seqid	old_start	old_end	old_midpoint	target_seqid	target_pos	paf_strand	mapq	paf_identity	paf_query_span	n_liftover_candidates	cigar_status	liftover_status
1	5019507	15.05	pPt-457620	DArT_marker	1	ST4.03ch01	4625626	4626241	4625933	chr01	5019507	+	60	0.9948796367090661	43019	1	cigar_aligned_base	lifted_chr_agree
1	5019507	15.074	pPt-471169	DArT_marker	1	ST4.03ch01	4625626	4626241	4625933	chr01	5019507	+	60	0.9948796367090661	43019	1	cigar_aligned_base	lifted_chr_agree
1	7138314	18.576	pPt-456745	DArT_marker	1	ST4.03ch01	6351796	6352238	6352017	chr01	7138314	-	60	0.9799162698355609	71245	1	cigar_aligned_base	lifted_chr_agree
1	7138314	18.576	pPt-470725	DArT_marker	1	ST4.03ch01	6351796	6352238	6352017	chr01	7138314	-	60	0.9799162698355609	71245	1	cigar_aligned_base	lifted_chr_agree
1	7138314	18.576	pPt-650054	DArT_marker	1	ST4.03ch01	6351796	6352238	6352017	chr01	7138314	-	60	0.9799162698355609	71245	1	cigar_aligned_base	lifted_chr_agree
1	7138314	18.576	pPt-651689	DArT_marker	1	ST4.03ch01	6351796	6352238	6352017	chr01	7138314	-	60	0.9799162698355609	71245	1	cigar_aligned_base	lifted_chr_agree
1	7138314	18.576	pPt-652449	DArT_marker	1	ST4.03ch01	6351796	6352238	6352017	chr01	7138314	-	60	0.9799162698355609	71245	1	cigar_aligned_base	lifted_chr_agree
1	7138314	18.576	pPt-656248	DArT_marker	1	ST4.03ch01	6351796	6352238	6352017	chr01	7138314	-	60	0.9799162698355609	71245	1	cigar_aligned_base	lifted_chr_agree
1	14107042	21.125	PM1279	repeat_region	1	ST4.03ch01	52317785	52317945	52317865	chr01	14107042	-	60	0.9914214226140832	33534	1	cigar_aligned_base	lifted_chr_agree
1	14815802	23.548	toPt-440099	DArT_marker	1	ST4.03ch01	51313840	51314408	51314124	chr01	14815802	-	60	0.9965216695985927	24926	1	cigar_aligned_base	lifted_chr_agree
1	19690776	0.0	PM1119	repeat_region	1	ST4.03ch01	55649335	55649476	55649405	chr01	19690776	+	60	0.9914212226718108	63420	1	cigar_aligned_base	lifted_chr_agree
1	25501380	24.371	PM0212	repeat_region	1	ST4.03ch01	22668816	22668973	22668894	chr01	25501380	-	60	0.9952547344808248	23260	1	cigar_aligned_base	lifted_chr_agree
1	28146217	24.847	pPt-653070	DArT_marker	1	ST4.03ch01	14207609	14208371	14207990	chr01	28146217	+	60	0.9930379259943073	25844	1	cigar_aligned_base	lifted_chr_agree
1	30619387	24.797	PM0531	repeat_region	1	ST4.03ch01	16625743	16625899	16625821	chr01	30619387	+	60	0.9908555441024886	136592	1	cigar_aligned_base	lifted_chr_agree
1	30900854	25.789	pPt-533936	DArT_marker	1	ST4.03ch01	16905758	16907431	16906594	chr01	30900854	+	60	0.997754368773477	24467	1	cigar_aligned_base	lifted_chr_agree
1	34774889	23.267	solcap_stsnp_c1_15714	SNP	1	ST4.03ch01	39325733	39325733	39325733	chr01	34774889	+	60	0.995360468559771	31047	1	cigar_aligned_base	lifted_chr_agree
1	54738957	27.244	solcap_stsnp_c1_14565	SNP	1	ST4.03ch01	44395738	44395738	44395738	chr01	54738957	-	60	0.998605962677819	63057	1	cigar_aligned_base	lifted_chr_agree
1	58507121	31.025	pPt-657377	DArT_marker	1	ST4.03ch01	56907490	56908006	56907748	chr01	58507121	+	60	0.9962699969607383	36170	1	cigar_aligned_base	lifted_chr_agree
1	60207942	27.828	solcap_stsnp_c1_806	SNP	1	ST4.03ch01	58566960	58566960	58566960	chr01	60207942	+	60	0.9933056478405315	120121	1	cigar_aligned_base	lifted_chr_agree
1	60877545	23.926	pPt-538302	DArT_marker	1	ST4.03ch01	59259078	59259535	59259306	chr01	60877545	+	60	0.9895113496589512	90514	1	cigar_aligned_base	lifted_chr_agree
1	60877545	23.926	pPt-654213	DArT_marker	1	ST4.03ch01	59259078	59259535	59259306	chr01	60877545	+	60	0.9895113496589512	90514	1	cigar_aligned_base	lifted_chr_agree
1	60877687	23.783	pPt-655709	DArT_marker	1	ST4.03ch01	59259078	59259819	59259448	chr01	60877687	+	60	0.9895113496589512	90514	1	cigar_aligned_base	lifted_chr_agree
1	60877687	23.881	pPt-471086	DArT_marker	1	ST4.03ch01	59259078	59259819	59259448	chr01	60877687	+	60	0.9895113496589512	90514	1	cigar_aligned_base	lifted_chr_agree
1	60877687	23.886	pPt-652802	DArT_marker	1	ST4.03ch01	59259078	59259819	59259448	chr01	60877687	+	60	0.9895113496589512	90514	1	cigar_aligned_base	lifted_chr_agree
1	60877687	23.926	pPt-651539	DArT_marker	1	ST4.03ch01	59259078	59259819	59259448	chr01	60877687	+	60	0.9895113496589512	90514	1	cigar_aligned_base	lifted_chr_agree
1	60877687	23.926	pPt-652383	DArT_marker	1	ST4.03ch01	59259078	59259819	59259448	chr01	60877687	+	60	0.9895113496589512	90514	1	cigar_aligned_base	lifted_chr_agree
1	61848057	28.945	pPt-458291	DArT_marker	1	ST4.03ch01	60203280	60203767	60203523	chr01	61848057	+	60	0.9663797957049787	37298	1	cigar_aligned_base	lifted_chr_agree
1	61848057	28.945	pPt-458363	DArT_marker	1	ST4.03ch01	60203280	60203767	60203523	chr01	61848057	+	60	0.9663797957049787	37298	1	cigar_aligned_base	lifted_chr_agree
1	61848057	28.945	pPt-472703	DArT_marker	1	ST4.03ch01	60203280	60203767	60203523	chr01	61848057	+	60	0.9663797957049787	37298	1	cigar_aligned_base	lifted_chr_agree
1	61848057	28.945	pPt-473803	DArT_marker	1	ST4.03ch01	60203280	60203767	60203523	chr01	61848057	+	60	0.9663797957049787	37298	1	cigar_aligned_base	lifted_chr_agree
1	61848057	28.945	pPt-538424	DArT_marker	1	ST4.03ch01	60203280	60203767	60203523	chr01	61848057	+	60	0.9663797957049787	37298	1	cigar_aligned_base	lifted_chr_agree
1	64336038	35.392	solcap_stsnp_c1_12109	SNP	1	ST4.03ch01	62803084	62803084	62803084	chr01	64336038	+	60	0.9831059129304743	47709	1	cigar_aligned_base	lifted_chr_agree
1	64684580	35.899	pPt-656959	DArT_marker	1	ST4.03ch01	63133710	63133814	63133762	chr01	64684580	+	60	0.9675654084282005	24657	1	cigar_aligned_base	lifted_chr_agree
1	65028487	38.541	pPt-537757	DArT_marker	1	ST4.03ch01	63470880	63471349	63471114	chr01	65028487	+	60	0.998412838374041	34418	1	cigar_aligned_base	lifted_chr_agree
1	65028487	38.564	pPt-656762	DArT_marker	1	ST4.03ch01	63470880	63471349	63471114	chr01	65028487	+	60	0.998412838374041	34418	1	cigar_aligned_base	lifted_chr_agree
1	65182850	36.587	pPt-653459	DArT_marker	1	ST4.03ch01	63878896	63879759	63879327	chr01	65182850	-	60	0.9923223696165728	22011	1	cigar_aligned_base	lifted_chr_agree
1	65627217	34.892	solcap_stsnp_c1_13685	SNP	1	ST4.03ch01	64120558	64120558	64120558	chr01	65627217	+	60	0.9932070075080444	39190	1	cigar_aligned_base	lifted_chr_agree
1	65721796	37.235	pPt-540205	DArT_marker	1	ST4.03ch01	64226782	64227226	64227004	chr01	65721796	+	60	0.9742385648924997	82572	1	cigar_aligned_base	lifted_chr_agree
1	65770396	38.253	toPt-438863	DArT_marker	1	ST4.03ch01	64275981	64276359	64276170	chr01	65770396	+	60	0.9742385648924997	82572	1	cigar_aligned_base	lifted_chr_agree
1	65770400	38.272	pPt-471293	DArT_marker	1	ST4.03ch01	64275981	64276368	64276174	chr01	65770400	+	60	0.9742385648924997	82572	1	cigar_aligned_base	lifted_chr_agree
1	65770400	38.272	pPt-473234	DArT_marker	1	ST4.03ch01	64275981	64276368	64276174	chr01	65770400	+	60	0.9742385648924997	82572	1	cigar_aligned_base	lifted_chr_agree
1	65770400	38.272	toPt-437797	DArT_marker	1	ST4.03ch01	64275981	64276368	64276174	chr01	65770400	+	60	0.9742385648924997	82572	1	cigar_aligned_base	lifted_chr_agree
1	65771363	38.325	pPt-538792	DArT_marker	1	ST4.03ch01	64276656	64277619	64277137	chr01	65771363	+	60	0.9742385648924997	82572	1	cigar_aligned_base	lifted_chr_agree
1	65771363	38.512	pPt-559008	DArT_marker	1	ST4.03ch01	64276656	64277619	64277137	chr01	65771363	+	60	0.9742385648924997	82572	1	cigar_aligned_base	lifted_chr_agree
1	65854890	38.926	solcap_stsnp_c1_14297	SNP	1	ST4.03ch01	64361950	64361950	64361950	chr01	65854890	+	60	0.9913409095847547	92273	1	cigar_aligned_base	lifted_chr_agree
1	66053547	28.479	toPt-441265	DArT_marker	1	ST4.03ch01	64561774	64562053	64561913	chr01	66053547	+	60	0.9720907052080737	36112	1	cigar_aligned_base	lifted_chr_agree
1	66053672	28.291	pPt-651042	DArT_marker	1	ST4.03ch01	64561774	64562302	64562038	chr01	66053672	+	60	0.9720907052080737	36112	1	cigar_aligned_base	lifted_chr_agree
1	66053672	28.454	pPt-474025	DArT_marker	1	ST4.03ch01	64561774	64562302	64562038	chr01	66053672	+	60	0.9720907052080737	36112	1	cigar_aligned_base	lifted_chr_agree
1	66053672	28.454	pPt-538504	DArT_marker	1	ST4.03ch01	64561774	64562302	64562038	chr01	66053672	+	60	0.9720907052080737	36112	1	cigar_aligned_base	lifted_chr_agree
1	66053672	28.454	pPt-651939	DArT_marker	1	ST4.03ch01	64561774	64562302	64562038	chr01	66053672	+	60	0.9720907052080737	36112	1	cigar_aligned_base	lifted_chr_agree
1	66053672	28.454	pPt-652287	DArT_marker	1	ST4.03ch01	64561774	64562302	64562038	chr01	66053672	+	60	0.9720907052080737	36112	1	cigar_aligned_base	lifted_chr_agree
1	66053672	28.454	pPt-653798	DArT_marker	1	ST4.03ch01	64561774	64562302	64562038	chr01	66053672	+	60	0.9720907052080737	36112	1	cigar_aligned_base	lifted_chr_agree
1	66053672	28.479	pPt-457542	DArT_marker	1	ST4.03ch01	64561774	64562302	64562038	chr01	66053672	+	60	0.9720907052080737	36112	1	cigar_aligned_base	lifted_chr_agree
1	66053672	28.626	pPt-470698	DArT_marker	1	ST4.03ch01	64561774	64562302	64562038	chr01	66053672	+	60	0.9720907052080737	36112	1	cigar_aligned_base	lifted_chr_agree
1	66053672	28.686	pPt-458288	DArT_marker	1	ST4.03ch01	64561774	64562302	64562038	chr01	66053672	+	60	0.9720907052080737	36112	1	cigar_aligned_base	lifted_chr_agree
1	66615373	42.286	pPt-651270	DArT_marker	1	ST4.03ch01	65130491	65131039	65130765	chr01	66615373	+	60	0.9964180631955993	7807	1	cigar_aligned_base	lifted_chr_agree
1	66757200	42.021	solcap_stsnp_c1_4402	SNP	1	ST4.03ch01	65274601	65274601	65274601	chr01	66757200	+	60	0.9999039108292496	31219	1	cigar_aligned_base	lifted_chr_agree
1	66897180	37.928	MICRO.8112.C1_325	match	1	ST4.03ch01	65418520	65418639	65418579	chr01	66897180	+	60	0.9854758067848436	48747	1	cigar_aligned_base	lifted_chr_agree
1	67001953	42.933	pPt-472755	DArT_marker	1	ST4.03ch01	65524738	65525333	65525035	chr01	67001953	+	60	0.9843015470526226	35202	1	cigar_aligned_base	lifted_chr_agree
1	67271838	41.733	solcap_stsnp_c1_4710	SNP	1	ST4.03ch01	65806975	65806975	65806975	chr01	67271838	+	60	0.9810993937541392	58884	1	cigar_aligned_base	lifted_chr_agree
1	67276340	43.333	pPt-652517	DArT_marker	1	ST4.03ch01	65811318	65811635	65811476	chr01	67276340	+	60	0.9810993937541392	58884	1	cigar_aligned_base	lifted_chr_agree
1	67305393	43.294	pPt-654672	DArT_marker	1	ST4.03ch01	65840420	65840724	65840572	chr01	67305393	+	60	0.9810993937541392	58884	1	cigar_aligned_base	lifted_chr_agree
1	67733812	38.902	solcap_stsnp_c1_4754	SNP	1	ST4.03ch01	66339796	66339796	66339796	chr01	67733812	+	60	0.9891837449640918	137702	1	cigar_aligned_base	lifted_chr_agree
1	67805574	38.905	solcap_stsnp_c1_4765	SNP	1	ST4.03ch01	66413929	66413929	66413929	chr01	67805574	+	60	0.9933224703664654	31298	1	cigar_aligned_base	lifted_chr_agree
1	67821222	40.067	pPt-534011	DArT_marker	1	ST4.03ch01	66429239	66429927	66429583	chr01	67821222	+	60	0.9933224703664654	31298	1	cigar_aligned_base	lifted_chr_agree
1	67821222	40.067	pPt-535700	DArT_marker	1	ST4.03ch01	66429239	66429927	66429583	chr01	67821222	+	60	0.9933224703664654	31298	1	cigar_aligned_base	lifted_chr_agree
1	67821222	40.069	pPt-457118	DArT_marker	1	ST4.03ch01	66429239	66429927	66429583	chr01	67821222	+	60	0.9933224703664654	31298	1	cigar_aligned_base	lifted_chr_agree
1	67821222	40.069	pPt-472804	DArT_marker	1	ST4.03ch01	66429239	66429927	66429583	chr01	67821222	+	60	0.9933224703664654	31298	1	cigar_aligned_base	lifted_chr_agree
1	67821222	40.069	pPt-472805	DArT_marker	1	ST4.03ch01	66429239	66429927	66429583	chr01	67821222	+	60	0.9933224703664654	31298	1	cigar_aligned_base	lifted_chr_agree
1	67821222	40.069	pPt-539066	DArT_marker	1	ST4.03ch01	66429239	66429927	66429583	chr01	67821222	+	60	0.9933224703664654	31298	1	cigar_aligned_base	lifted_chr_agree
1	67821419	40.067	pPt-459313	DArT_marker	1	ST4.03ch01	66429633	66429927	66429780	chr01	67821419	+	60	0.9933224703664654	31298	1	cigar_aligned_base	lifted_chr_agree
1	67821419	40.067	pPt-535430	DArT_marker	1	ST4.03ch01	66429633	66429927	66429780	chr01	67821419	+	60	0.9933224703664654	31298	1	cigar_aligned_base	lifted_chr_agree
1	67821419	40.069	pPt-534108	DArT_marker	1	ST4.03ch01	66429633	66429927	66429780	chr01	67821419	+	60	0.9933224703664654	31298	1	cigar_aligned_base	lifted_chr_agree
1	67932856	40.083	solcap_stsnp_c1_11230	SNP	1	ST4.03ch01	66577014	66577014	66577014	chr01	67932856	+	60	0.9983985993081949	47582	1	cigar_aligned_base	lifted_chr_agree
1	68306580	40.514	pPt-656549	DArT_marker	1	ST4.03ch01	66954331	66954597	66954464	chr01	68306580	+	60	0.9821341562449245	49415	1	cigar_aligned_base	lifted_chr_agree
1	69870533	43.932	pPt-472401	DArT_marker	1	ST4.03ch01	68651087	68651524	68651305	chr01	69870533	+	60	0.9200159808230124	97743	1	cigar_aligned_base	lifted_chr_agree
1	69870533	43.932	pPt-538973	DArT_marker	1	ST4.03ch01	68651087	68651524	68651305	chr01	69870533	+	60	0.9200159808230124	97743	1	cigar_aligned_base	lifted_chr_agree
1	71082823	46.072	capPt-674504	DArT_marker	1	ST4.03ch01	69883956	69884523	69884239	chr01	71082823	+	60	0.9847597497670704	151311	1	cigar_aligned_base	lifted_chr_agree
1	71116443	46.775	solcap_stsnp_c1_5760	SNP	1	ST4.03ch01	69918875	69918875	69918875	chr01	71116443	+	60	0.9847597497670704	151311	1	cigar_aligned_base	lifted_chr_agree
1	72006329	50.077	toPt-437056	DArT_marker	1	ST4.03ch01	70915597	70916082	70915839	chr01	72006329	+	60	0.9997031906999753	20215	1	cigar_aligned_base	lifted_chr_agree
1	72006329	50.123	pPt-533578	DArT_marker	1	ST4.03ch01	70915597	70916082	70915839	chr01	72006329	+	60	0.9997031906999753	20215	1	cigar_aligned_base	lifted_chr_agree
1	72006329	50.123	pPt-536820	DArT_marker	1	ST4.03ch01	70915597	70916082	70915839	chr01	72006329	+	60	0.9997031906999753	20215	1	cigar_aligned_base	lifted_chr_agree
1	72006329	50.123	pPt-537290	DArT_marker	1	ST4.03ch01	70915597	70916082	70915839	chr01	72006329	+	60	0.9997031906999753	20215	1	cigar_aligned_base	lifted_chr_agree
1	72006329	50.123	pPt-656118	DArT_marker	1	ST4.03ch01	70915597	70916082	70915839	chr01	72006329	+	60	0.9997031906999753	20215	1	cigar_aligned_base	lifted_chr_agree
1	72006329	50.123	pPt-656245	DArT_marker	1	ST4.03ch01	70915597	70916082	70915839	chr01	72006329	+	60	0.9997031906999753	20215	1	cigar_aligned_base	lifted_chr_agree
1	72006329	50.278	pPt-534179	DArT_marker	1	ST4.03ch01	70915597	70916082	70915839	chr01	72006329	+	60	0.9997031906999753	20215	1	cigar_aligned_base	lifted_chr_agree
1	72006529	50.123	toPt-440576	DArT_marker	1	ST4.03ch01	70915597	70916481	70916039	chr01	72006529	+	60	0.9997031906999753	20215	1	cigar_aligned_base	lifted_chr_agree
1	73171679	50.623	solcap_stsnp_c1_3845	SNP	1	ST4.03ch01	72070782	72070782	72070782	chr01	73171679	+	60	0.9949438258053621	100330	1	cigar_aligned_base	lifted_chr_agree
1	73309248	50.784	pPt-471360	DArT_marker	1	ST4.03ch01	72208169	72209024	72208596	chr01	73309248	+	60	0.9968893218500232	90479	1	cigar_aligned_base	lifted_chr_agree
1	73309248	50.784	pPt-558990	DArT_marker	1	ST4.03ch01	72208169	72209024	72208596	chr01	73309248	+	60	0.9968893218500232	90479	1	cigar_aligned_base	lifted_chr_agree
1	73309248	50.784	pPt-559125	DArT_marker	1	ST4.03ch01	72208169	72209024	72208596	chr01	73309248	+	60	0.9968893218500232	90479	1	cigar_aligned_base	lifted_chr_agree
1	73309248	50.784	toPt-439058	DArT_marker	1	ST4.03ch01	72208169	72209024	72208596	chr01	73309248	+	60	0.9968893218500232	90479	1	cigar_aligned_base	lifted_chr_agree
1	73834956	52.795	st_10066	repeat_region	1	ST4.03ch01	72742639	72742901	72742770	chr01	73834956	+	60	0.9945232613259294	118458	1	cigar_aligned_base	lifted_chr_agree
1	73882634	55.774	pPt-655473	DArT_marker	1	ST4.03ch01	72790987	72791359	72791173	chr01	73882634	+	60	0.9945232613259294	118458	1	cigar_aligned_base	lifted_chr_agree
1	73882634	56.708	pPt-457889	DArT_marker	1	ST4.03ch01	72790987	72791359	72791173	chr01	73882634	+	60	0.9945232613259294	118458	1	cigar_aligned_base	lifted_chr_agree
1	73882634	58.339	pPt-458782	DArT_marker	1	ST4.03ch01	72790987	72791359	72791173	chr01	73882634	+	60	0.9945232613259294	118458	1	cigar_aligned_base	lifted_chr_agree
1	73928936	59.934	solcap_stsnp_c1_6269	SNP	1	ST4.03ch01	72837041	72837041	72837041	chr01	73928936	+	60	0.9869769914192421	52668	1	cigar_aligned_base	lifted_chr_agree
1	74448862	56.522	solcap_stsnp_c1_6295	SNP	1	ST4.03ch01	73384602	73384602	73384602	chr01	74448862	+	60	0.9998239932413404	28408	1	cigar_aligned_base	lifted_chr_agree
1	74794275	62.3	solcap_stsnp_c1_14093	SNP	1	ST4.03ch01	73743526	73743526	73743526	chr01	74794275	+	60	0.9524631648653124	87060	1	cigar_aligned_base	lifted_chr_agree
1	74921059	57.545	solcap_stsnp_c1_15573	SNP	1	ST4.03ch01	73880230	73880230	73880230	chr01	74921059	+	60	0.9874032173947928	24655	1	cigar_aligned_base	lifted_chr_agree
1	75121299	59.529	solcap_stsnp_c1_4586	SNP	1	ST4.03ch01	74179524	74179524	74179524	chr01	75121299	+	60	0.9811518818631093	85681	1	cigar_aligned_base	lifted_chr_agree
1	75196506	61.635	solcap_stsnp_c1_4604	SNP	1	ST4.03ch01	74257861	74257861	74257861	chr01	75196506	+	60	0.9621157574079202	36212	1	cigar_aligned_base	lifted_chr_agree
1	75266586	61.148	solcap_stsnp_c1_4607	SNP	1	ST4.03ch01	74335053	74335053	74335053	chr01	75266586	+	60	0.9855937080375983	53618	1	cigar_aligned_base	lifted_chr_agree
1	75565740	60.081	pPt-650108	DArT_marker	1	ST4.03ch01	74636804	74637257	74637030	chr01	75565740	+	60	0.9994804857458276	30790	1	cigar_aligned_base	lifted_chr_agree
1	76781756	62.553	pPt-650006	DArT_marker	1	ST4.03ch01	75901446	75902146	75901796	chr01	76781756	+	60	0.9997063739440756	44264	1	cigar_aligned_base	lifted_chr_agree
1	76781756	62.562	pPt-472129	DArT_marker	1	ST4.03ch01	75901446	75902146	75901796	chr01	76781756	+	60	0.9997063739440756	44264	1	cigar_aligned_base	lifted_chr_agree
1	77039028	63.763	solcap_stsnp_c1_15429	SNP	1	ST4.03ch01	76207281	76207281	76207281	chr01	77039028	+	60	0.9957388784728141	11734	1	cigar_aligned_base	lifted_chr_agree
1	77072312	63.434	MICRO.10124.C1_261	match	1	ST4.03ch01	76242280	76242400	76242340	chr01	77072312	+	60	0.9968197430352372	7856	1	cigar_aligned_base	lifted_chr_agree
1	79520001	72.646	pPt-472090	DArT_marker	1	ST4.03ch01	78904100	78905091	78904595	chr01	79520001	+	60	0.9957370873401408	20264	1	cigar_aligned_base	lifted_chr_agree
1	79520001	72.892	pPt-471438	DArT_marker	1	ST4.03ch01	78904100	78905091	78904595	chr01	79520001	+	60	0.9957370873401408	20264	1	cigar_aligned_base	lifted_chr_agree
1	79768729	75.718	pPt-654710	DArT_marker	1	ST4.03ch01	79161850	79162194	79162022	chr01	79768729	+	60	0.9944917251817482	82490	1	cigar_aligned_base	lifted_chr_agree
1	79768729	75.842	pPt-654743	DArT_marker	1	ST4.03ch01	79161850	79162194	79162022	chr01	79768729	+	60	0.9944917251817482	82490	1	cigar_aligned_base	lifted_chr_agree
1	79880009	75.174	solcap_stsnp_c1_2501	SNP	1	ST4.03ch01	79276534	79276534	79276534	chr01	79880009	+	60	0.9987253781159249	76830	1	cigar_aligned_base	lifted_chr_agree
1	79911287	75.631	pPt-539883	DArT_marker	1	ST4.03ch01	79307443	79308509	79307976	chr01	79911287	+	60	0.9987253781159249	76830	1	cigar_aligned_base	lifted_chr_agree
1	79911289	75.631	pPt-533740	DArT_marker	1	ST4.03ch01	79307443	79308514	79307978	chr01	79911289	+	60	0.9987253781159249	76830	1	cigar_aligned_base	lifted_chr_agree
1	79911289	75.631	pPt-654187	DArT_marker	1	ST4.03ch01	79307443	79308514	79307978	chr01	79911289	+	60	0.9987253781159249	76830	1	cigar_aligned_base	lifted_chr_agree
1	79911289	75.631	pPt-654960	DArT_marker	1	ST4.03ch01	79307443	79308514	79307978	chr01	79911289	+	60	0.9987253781159249	76830	1	cigar_aligned_base	lifted_chr_agree
1	79911289	75.631	pPt-656584	DArT_marker	1	ST4.03ch01	79307443	79308514	79307978	chr01	79911289	+	60	0.9987253781159249	76830	1	cigar_aligned_base	lifted_chr_agree
1	79911289	75.639	pPt-653975	DArT_marker	1	ST4.03ch01	79307443	79308514	79307978	chr01	79911289	+	60	0.9987253781159249	76830	1	cigar_aligned_base	lifted_chr_agree
1	79911289	75.718	pPt-473160	DArT_marker	1	ST4.03ch01	79307443	79308514	79307978	chr01	79911289	+	60	0.9987253781159249	76830	1	cigar_aligned_base	lifted_chr_agree
1	79946769	76.723	pPt-538971	DArT_marker	1	ST4.03ch01	79343971	79344395	79344183	chr01	79946769	+	60	0.9974420587551353	12896	1	cigar_aligned_base	lifted_chr_agree
1	80095734	76.519	solcap_stsnp_c1_2517	SNP	1	ST4.03ch01	79481643	79481643	79481643	chr01	80095734	+	60	0.9845361934914174	46574	1	cigar_aligned_base	lifted_chr_agree
1	81517833	81.408	solcap_stsnp_c1_3297	SNP	1	ST4.03ch01	80945395	80945395	80945395	chr01	81517833	+	60	0.9937213314254383	153553	1	cigar_aligned_base	lifted_chr_agree
1	81813679	81.493	pPt-459291	DArT_marker	1	ST4.03ch01	81250992	81251547	81251269	chr01	81813679	+	60	0.9995070783548247	50714	1	cigar_aligned_base	lifted_chr_agree
1	81813679	81.493	pPt-653453	DArT_marker	1	ST4.03ch01	81250992	81251547	81251269	chr01	81813679	+	60	0.9995070783548247	50714	1	cigar_aligned_base	lifted_chr_agree
1	82100630	78.463	solcap_stsnp_c1_3281	SNP	1	ST4.03ch01	81598650	81598650	81598650	chr01	82100630	+	60	0.9764720461707326	127845	1	cigar_aligned_base	lifted_chr_agree
1	82331310	79.247	pPt-552365	DArT_marker	1	ST4.03ch01	81832489	81833011	81832750	chr01	82331310	+	60	0.9953333515268946	73291	1	cigar_aligned_base	lifted_chr_agree
1	82331310	79.247	pPt-552401	DArT_marker	1	ST4.03ch01	81832489	81833011	81832750	chr01	82331310	+	60	0.9953333515268946	73291	1	cigar_aligned_base	lifted_chr_agree
1	82331310	79.247	pPt-559324	DArT_marker	1	ST4.03ch01	81832489	81833011	81832750	chr01	82331310	+	60	0.9953333515268946	73291	1	cigar_aligned_base	lifted_chr_agree
1	82331310	79.25	pPt-471906	DArT_marker	1	ST4.03ch01	81832489	81833011	81832750	chr01	82331310	+	60	0.9953333515268946	73291	1	cigar_aligned_base	lifted_chr_agree
1	83144953	80.621	pPt-653927	DArT_marker	1	ST4.03ch01	82645851	82646461	82646156	chr01	83144953	+	60	0.9802275863629165	44808	1	cigar_aligned_base	lifted_chr_agree
1	83852715	81.476	solcap_stsnp_c1_1652	SNP	1	ST4.03ch01	83457092	83457092	83457092	chr01	83852715	+	60	0.9927576708977791	106546	1	cigar_aligned_base	lifted_chr_agree
1	83896183	81.579	solcap_stsnp_c1_1724	SNP	1	ST4.03ch01	83502074	83502074	83502074	chr01	83896183	+	60	0.9927576708977791	106546	1	cigar_aligned_base	lifted_chr_agree
1	83987313	82.021	solcap_stsnp_c1_1731	SNP	1	ST4.03ch01	83593936	83593936	83593936	chr01	83987313	+	60	0.9986667777685193	60671	1	cigar_aligned_base	lifted_chr_agree
1	84095795	82.017	solcap_stsnp_c1_1748	SNP	1	ST4.03ch01	83705685	83705685	83705685	chr01	84095795	+	60	0.9856143742537101	107780	1	cigar_aligned_base	lifted_chr_agree
