bin	chr	start_mb	stop_mb	length_mb	cM	old_start_bp_1based	old_stop_bp_1based	old_mid_bp_1based
Bin56	1	9.221418	9.386669	0.165251	54.654814	9221419	9386669	9304043
Bin57	1	9.386670	9.711794	0.325124	61.216924	9386671	9711794	9549232
Bin58	1	9.711795	9.878930	0.167135	61.456732	9711796	9878930	9795362
Bin59	1	9.878931	10.480590	0.601659	62.949381	9878932	10480590	10179760
Bin60	1	10.480591	10.588197	0.107606	63.929804	10480592	10588197	10534394
Bin61	1	10.588198	10.616583	0.028385	64.412900	10588199	10616583	10602390
Bin62	1	10.616584	10.720987	0.104403	64.652708	10616585	10720987	10668785
Bin63	1	10.720988	10.923881	0.202893	65.135804	10720989	10923881	10822434
Bin64	1	10.923882	10.963433	0.039551	65.375612	10923883	10963433	10943658
Bin65	1	10.963434	11.559248	0.595814	66.356036	10963435	11559248	11261341
Bin66	1	11.559249	12.087243	0.527994	70.966346	11559250	12087243	11823246
Bin67	1	12.087244	12.188989	0.101745	71.946769	12087245	12188989	12138116
Bin68	1	12.188990	12.365945	0.176955	72.186578	12188991	12365945	12277468
Bin69	1	12.365946	12.659128	0.293182	74.477055	12365947	12659128	12512537
Bin70	1	12.659129	12.684655	0.025526	74.716863	12659130	12684655	12671892
Bin71	1	12.684656	12.771619	0.086963	75.199959	12684657	12771619	12728137
Bin72	1	12.771620	13.278047	0.506427	76.180382	12771621	13278047	13024834
Bin73	1	13.278048	13.531618	0.253570	76.420191	13278049	13531618	13404833
Bin74	1	13.531619	13.947606	0.415987	76.660000	13531620	13947606	13739612
Bin75	1	13.947607	14.040257	0.092650	76.899808	13947608	14040257	13993932
Bin76	1	14.040258	14.117094	0.076836	77.139617	14040259	14117094	14078676
Bin77	1	14.117095	14.252467	0.135372	77.379425	14117096	14252467	14184781
Bin78	1	14.252468	14.362233	0.109765	77.619234	14252469	14362233	14307350
Bin79	1	14.362234	14.485016	0.122782	78.349174	14362235	14485016	14423625
Bin80	1	14.485017	14.528780	0.043763	78.588983	14485018	14528780	14506898
Bin81	1	14.528781	14.623634	0.094853	79.569406	14528782	14623634	14576207
Bin82	1	14.623635	15.294428	0.670793	79.809215	14623636	15294428	14959032
Bin83	1	15.294429	15.491716	0.197287	80.539155	15294430	15491716	15393072
Bin84	1	15.491717	17.607902	2.116185	80.778963	15491718	17607902	16549809
Bin85	1	17.607903	18.331159	0.723256	81.018772	17607904	18331159	17969531
Bin86	1	18.331160	18.379015	0.047855	81.748712	18331161	18379015	18355088
Bin87	1	18.379016	18.408343	0.029327	81.988521	18379017	18408343	18393679
Bin88	1	18.408344	18.528548	0.120204	82.228329	18408345	18528548	18468446
Bin89	1	18.528549	18.777771	0.249222	82.711425	18528550	18777771	18653160
Bin90	1	18.777772	19.199079	0.421307	83.691848	18777773	19199079	18988426
Bin91	1	19.199080	19.299978	0.100898	83.931657	19199081	19299978	19249529
Bin92	1	19.299979	19.515779	0.215800	84.414753	19299980	19515779	19407879
Bin93	1	19.515780	19.550316	0.034536	84.654561	19515781	19550316	19533048
Bin94	1	19.550317	19.970060	0.419743	84.894370	19550318	19970060	19760188
Bin95	1	19.970061	20.343674	0.373613	85.134178	19970062	20343674	20156868
Bin96	1	20.343675	20.435134	0.091459	85.373987	20343676	20435134	20389404
Bin97	1	20.435135	20.463190	0.028055	85.857083	20435136	20463190	20449162
Bin98	1	20.463191	20.478444	0.015253	86.340178	20463192	20478444	20470818
Bin99	1	20.478445	20.556606	0.078161	87.070118	20478446	20556606	20517525
Bin100	1	20.556607	20.922580	0.365973	87.800058	20556608	20922580	20739593
Bin101	1	20.922581	20.941299	0.018718	88.283154	20922582	20941299	20931940
Bin102	1	20.941300	21.185324	0.244024	88.522962	20941301	21185324	21063312
Bin103	1	21.185325	22.022514	0.837189	90.277528	21185326	22022514	21603920
Bin104	1	22.022515	22.535664	0.513149	98.630232	22022516	22535664	22279089
Bin105	1	22.535665	22.576205	0.040540	98.870041	22535666	22576205	22555935
Bin106	1	22.576206	22.650887	0.074681	99.109850	22576207	22650887	22613546
Bin107	1	22.650888	22.722637	0.071749	99.349658	22650889	22722637	22686762
Bin108	1	22.722638	22.779328	0.056690	99.832754	22722639	22779328	22750983
Bin109	1	22.779329	22.836244	0.056915	100.072562	22779330	22836244	22807786
Bin110	1	22.836245	22.891126	0.054881	100.555658	22836246	22891126	22863686
Bin111	1	22.891127	22.987916	0.096789	100.795467	22891128	22987916	22939521
Bin112	1	22.987917	23.081236	0.093319	101.278562	22987918	23081236	23034576
Bin113	1	23.081237	23.231380	0.150143	102.008502	23081238	23231380	23156308
Bin114	1	23.231381	23.239820	0.008439	102.491598	23231382	23239820	23235600
Bin115	1	23.239821	23.454770	0.214949	102.731406	23239822	23454770	23347296
Bin116	1	23.454771	23.623547	0.168776	103.461346	23454772	23623547	23539159
Bin117	1	23.623548	23.676560	0.053012	103.701155	23623549	23676560	23650054
Bin118	1	23.676561	23.920353	0.243792	104.184250	23676562	23920353	23798457
Bin119	1	23.920354	23.972688	0.052334	105.676899	23920355	23972688	23946521
Bin120	1	23.972689	24.074055	0.101366	106.657322	23972690	24074055	24023372
Bin121	1	24.074056	24.184518	0.110462	106.897131	24074057	24184518	24129287
Bin122	1	24.184519	24.403501	0.218982	107.136939	24184520	24403501	24294010
Bin123	1	24.403502	24.561781	0.158279	113.026091	24403503	24561781	24482642
Bin124	1	24.561782	24.767439	0.205657	113.265900	24561783	24767439	24664611
Bin125	1	24.767440	24.821048	0.053608	113.995840	24767441	24821048	24794244
Bin126	1	24.821049	24.867120	0.046071	114.235648	24821050	24867120	24844084
Bin127	1	24.867121	25.123824	0.256703	114.475457	24867122	25123824	24995472
Bin128	1	25.123825	25.451070	0.327245	115.205397	25123826	25451070	25287448
Bin129	1	25.451071	26.242536	0.791465	115.445205	25451072	26242536	25846804
Bin130	1	26.242537	26.831703	0.589166	118.571223	26242538	26831703	26537120
Bin131	1	26.831704	27.324102	0.492398	118.811032	26831705	27324102	27077903
Bin132	1	27.324103	27.996732	0.672629	126.792539	27324104	27996732	27660418
Bin133	1	27.996733	28.110310	0.113577	128.027170	27996734	28110310	28053522
Bin134	1	28.110311	28.397017	0.286706	128.266978	28110312	28397017	28253664
Bin135	1	28.397018	28.442346	0.045328	128.750074	28397019	28442346	28419682
Bin136	1	28.442347	28.614573	0.172226	129.480014	28442348	28614573	28528460
Bin137	1	28.614574	28.666114	0.051540	129.719823	28614575	28666114	28640344
Bin138	1	28.666115	28.825692	0.159577	129.959631	28666116	28825692	28745904
Bin139	1	28.825693	28.956112	0.130419	130.199440	28825694	28956112	28890903
Bin140	1	28.956113	29.984593	1.028480	130.929380	28956114	29984593	29470353
Bin141	1	29.984594	30.076894	0.092300	134.634778	29984595	30076894	30030744
Bin142	1	30.076895	30.154306	0.077411	135.117874	30076896	30154306	30115600
Bin143	1	30.154307	30.192542	0.038235	135.357683	30154308	30192542	30173424
Bin144	1	30.192543	30.469033	0.276490	136.087623	30192544	30469033	30330788
Bin145	1	30.469034	30.500669	0.031635	136.327431	30469035	30500669	30484851
Bin146	1	30.500670	30.545797	0.045127	136.567240	30500671	30545797	30523234
Bin147	1	30.545798	30.562318	0.016520	136.807048	30545799	30562318	30554058
Bin148	1	30.562319	30.889942	0.327623	137.046857	30562320	30889942	30726130
Bin149	1	30.889943	30.972308	0.082365	137.286666	30889944	30972308	30931126
Bin150	1	30.972309	31.034013	0.061704	137.526474	30972310	31034013	31003161
Bin151	1	31.034014	31.052045	0.018031	137.766283	31034015	31052045	31043030
Bin152	1	31.052046	31.652573	0.600527	138.006091	31052047	31652573	31352310
Bin153	1	31.652574	31.701608	0.049034	138.245900	31652575	31701608	31677091
Bin154	1	31.701609	31.750426	0.048817	138.485709	31701610	31750426	31726018
Bin155	1	31.750427	31.853544	0.103117	138.725517	31750428	31853544	31801986
Bin156	1	31.853545	31.955548	0.102003	138.965326	31853546	31955548	31904547
Bin157	1	31.955549	32.105676	0.150127	139.205135	31955550	32105676	32030613
Bin158	1	32.105677	32.177008	0.071331	139.688230	32105678	32177008	32141342
Bin159	1	32.177009	32.242660	0.065651	140.171326	32177010	32242660	32209834
Bin160	1	32.242661	32.323945	0.081284	140.654421	32242662	32323945	32283303
Bin161	1	32.323946	32.718268	0.394322	140.894230	32323947	32718268	32521107
Bin162	1	32.718269	32.896347	0.178078	144.020248	32718270	32896347	32807308
Bin163	1	32.896348	33.284810	0.388462	145.254878	32896349	33284810	33090579
Bin164	1	33.284811	33.616894	0.332083	145.494687	33284812	33616894	33450852
Bin165	1	33.616895	33.841933	0.225038	145.734495	33616896	33841933	33729414
Bin166	1	33.841934	34.682361	0.840427	145.974304	33841935	34682361	34262148
Bin167	1	34.682362	34.744078	0.061716	146.214113	34682363	34744078	34713220
Bin168	1	34.744079	34.859744	0.115665	146.453921	34744080	34859744	34801912
Bin169	1	34.859745	35.074724	0.214979	146.937017	34859746	35074724	34967234
Bin170	1	35.074725	35.133631	0.058906	147.176825	35074726	35133631	35104178
Bin171	1	35.133632	35.541586	0.407954	147.659921	35133633	35541586	35337609
Bin172	1	35.541587	35.645020	0.103433	148.143017	35541588	35645020	35593304
Bin173	1	35.645021	35.773545	0.128524	148.382825	35645022	35773545	35709283
Bin174	1	35.773546	35.964840	0.191294	148.622634	35773547	35964840	35869193
Bin175	1	35.964841	36.270272	0.305431	149.857264	35964842	36270272	36117556
Bin176	1	36.270273	36.538259	0.267986	150.097073	36270274	36538259	36404266
Bin177	1	36.538260	37.331555	0.793295	150.336882	36538261	37331555	36934908
Bin178	1	37.331556	37.623010	0.291454	152.357359	37331557	37623010	37477283
Bin179	1	37.623011	37.835354	0.212343	152.597167	37623012	37835354	37729182
Bin180	1	37.835355	37.859754	0.024399	152.836976	37835356	37859754	37847554
Bin181	1	37.859755	37.959982	0.100227	153.076784	37859756	37959982	37909868
Bin182	1	37.959983	38.075479	0.115496	153.806724	37959984	38075479	38017731
Bin183	1	38.075480	38.200637	0.125157	154.046533	38075481	38200637	38138058
Bin184	1	38.200638	38.343132	0.142494	154.776473	38200639	38343132	38271885
Bin185	1	38.343133	38.366900	0.023767	155.016282	38343134	38366900	38355017
Bin186	1	38.366901	38.417696	0.050795	155.256090	38366902	38417696	38392298
Bin187	1	38.417697	38.631226	0.213529	157.010656	38417698	38631226	38524462
Bin188	1	38.631227	39.021472	0.390245	158.245287	38631228	39021472	38826350
Bin189	1	39.021473	39.108633	0.087160	160.535764	39021474	39108633	39065053
Bin190	1	39.108634	39.350577	0.241943	161.018859	39108635	39350577	39229606
Bin191	1	39.350578	39.781783	0.431205	161.501955	39350579	39781783	39566180
Bin192	1	39.781784	39.819808	0.038024	163.522432	39781785	39819808	39800796
Bin193	1	39.819809	40.118612	0.298803	163.762240	39819810	40118612	39969210
Bin194	1	40.118613	40.469764	0.351151	174.495087	40118614	40469764	40294189
Bin195	1	40.469765	40.639780	0.170015	178.200486	40469766	40639780	40554772
Bin196	1	40.639781	40.893764	0.253983	178.440294	40639782	40893764	40766772
Bin197	1	40.893765	40.961318	0.067553	182.744025	40893766	40961318	40927542
Bin198	1	40.961319	41.088949	0.127630	183.227120	40961320	41088949	41025134
Bin199	1	41.088950	41.694636	0.605686	188.149124	41088951	41694636	41391793
Bin200	1	41.694637	41.763583	0.068946	188.632219	41694638	41763583	41729110
Bin201	1	41.763584	41.820609	0.057025	189.362159	41763585	41820609	41792096
Bin202	1	41.820610	41.970250	0.149640	190.342583	41820611	41970250	41895430
Bin203	1	41.970251	42.050955	0.080704	190.825679	41970252	42050955	42010603
Bin204	1	42.050956	42.069315	0.018359	191.555619	42050957	42069315	42060136
Bin205	1	42.069316	42.088842	0.019526	192.038714	42069317	42088842	42079079
Bin206	1	42.088843	42.181388	0.092545	192.278523	42088844	42181388	42135116
Bin207	1	42.181389	42.212290	0.030901	192.761618	42181390	42212290	42196840
Bin208	1	42.212291	42.249095	0.036804	193.742042	42212292	42249095	42230693
Bin209	1	42.249096	42.314841	0.065745	194.225137	42249097	42314841	42281969
Bin210	1	42.314842	42.373753	0.058911	194.955077	42314843	42373753	42344297
Bin211	1	42.373754	42.422413	0.048659	195.438173	42373755	42422413	42398084
Bin212	1	42.422414	42.781756	0.359342	196.168113	42422415	42781756	42602085
Bin213	1	42.781757	42.882537	0.100780	197.660761	42781758	42882537	42832147
Bin214	1	42.882538	42.928553	0.046015	198.143857	42882539	42928553	42905546
Bin215	1	42.928554	42.957082	0.028528	199.636505	42928555	42957082	42942818
Bin216	1	42.957083	43.064830	0.107747	199.876313	42957084	43064830	43010956
Bin217	1	43.064831	43.268879	0.204048	200.606253	43064832	43268879	43166855
Bin218	2	0.000000	0.105508	0.105508	0.000000	1	105508	52754
Bin219	2	0.105509	0.212812	0.107303	0.239809	105510	212812	159160
Bin220	2	0.212813	0.454496	0.241683	3.945207	212814	454496	333654
Bin221	2	0.454497	0.494792	0.040295	4.675147	454498	494792	474644
Bin222	2	0.494793	0.568358	0.073565	5.158243	494794	568358	531576
Bin223	2	0.568359	0.703516	0.135157	5.398051	568360	703516	635938
Bin224	2	0.703517	0.771271	0.067754	5.881147	703518	771271	737394
Bin225	2	0.771272	0.831192	0.059920	6.364242	771273	831192	801232
Bin226	2	0.831193	0.841463	0.010270	6.604051	831194	841463	836328
Bin227	2	0.841464	0.981358	0.139894	7.584475	841465	981358	911411
Bin228	2	0.981359	1.146976	0.165617	8.564898	981360	1146976	1064168
Bin229	2	1.146977	1.197487	0.050510	8.804707	1146978	1197487	1172232
Bin230	2	1.197488	1.235784	0.038296	9.044515	1197489	1235784	1216636
Bin231	2	1.235785	1.311129	0.075344	9.284324	1235786	1311129	1273457
Bin232	2	1.311130	1.487052	0.175922	10.014264	1311131	1487052	1399091
Bin233	2	1.487053	1.646265	0.159212	10.744204	1487054	1646265	1566659
Bin234	2	1.646266	1.848196	0.201930	13.870222	1646267	1848196	1747231
Bin235	2	1.848197	2.094597	0.246400	14.353317	1848198	2094597	1971397
Bin236	2	2.094598	2.104803	0.010205	14.593126	2094599	2104803	2099700
Bin237	2	2.104804	2.571261	0.466457	15.323066	2104805	2571261	2338032
Bin238	2	2.571262	2.647109	0.075847	15.562875	2571263	2647109	2609185
Bin239	2	2.647110	2.788682	0.141572	16.045970	2647111	2788682	2717896
Bin240	2	2.788683	2.827634	0.038951	17.026394	2788684	2827634	2808158
Bin241	2	2.827635	3.150367	0.322732	17.509489	2827636	3150367	2989001
Bin242	2	3.150368	3.226977	0.076609	17.749298	3150369	3226977	3188672
Bin243	2	3.226978	3.492915	0.265937	17.989106	3226979	3492915	3359946
Bin244	2	3.492916	4.021086	0.528170	32.373210	3492917	4021086	3757001
Bin245	2	4.021087	4.180091	0.159004	33.353634	4021088	4180091	4100589
Bin246	2	4.180092	4.263271	0.083179	33.593442	4180093	4263271	4221682
Bin247	2	4.263272	4.367132	0.103860	33.833251	4263273	4367132	4315202
Bin248	2	4.367133	4.604400	0.237267	34.813674	4367134	4604400	4485766
Bin249	2	4.604401	4.748831	0.144430	36.306323	4604402	4748831	4676616
Bin250	2	4.748832	4.880310	0.131478	36.546131	4748833	4880310	4814571
Bin251	2	4.880311	4.992756	0.112445	38.566608	4880312	4992756	4936533
Bin252	2	4.992757	5.065251	0.072494	38.806417	4992758	5065251	5029004
Bin253	2	5.065252	5.398620	0.333368	39.536357	5065253	5398620	5231936
Bin254	2	5.398621	5.896866	0.498245	47.153393	5398622	5896866	5647744
Bin255	2	5.896867	6.086648	0.189781	48.646041	5896868	6086648	5991758
Bin256	2	6.086649	6.235656	0.149007	48.885850	6086650	6235656	6161152
Bin257	2	6.235657	6.387371	0.151714	49.125658	6235658	6387371	6311514
Bin258	2	6.387372	6.823070	0.435698	50.106082	6387373	6823070	6605221
Bin259	2	6.823071	7.029282	0.206211	54.108217	6823072	7029282	6926176
Bin260	2	7.029283	7.067584	0.038301	54.838157	7029284	7067584	7048434
Bin261	2	7.067585	7.266743	0.199158	55.077966	7067586	7266743	7167164
Bin262	2	7.266744	7.363525	0.096781	55.807906	7266745	7363525	7315134
Bin263	2	7.363526	7.590114	0.226588	61.046853	7363527	7590114	7476820
Bin264	2	7.590115	7.838069	0.247954	61.529949	7590116	7838069	7714092
Bin265	2	7.838070	8.015018	0.176948	61.769758	7838071	8015018	7926544
Bin266	2	8.015019	8.720168	0.705149	62.009566	8015020	8720168	8367594
Bin267	2	8.720169	8.809966	0.089797	62.492662	8720170	8809966	8765068
Bin268	2	8.809967	8.897265	0.087298	62.732470	8809968	8897265	8853616
Bin269	2	8.897266	8.998920	0.101654	63.462410	8897267	8998920	8948093
Bin270	2	8.998921	9.140627	0.141706	63.702219	8998922	9140627	9069774
Bin271	2	9.140628	9.457236	0.316608	64.185314	9140629	9457236	9298932
Bin272	2	9.457237	9.597962	0.140725	64.668410	9457238	9597962	9527600
Bin273	2	9.597963	9.923932	0.325969	64.908219	9597964	9923932	9760948
Bin274	2	9.923933	10.189478	0.265545	65.148027	9923934	10189478	10056706
Bin275	2	10.189479	10.747558	0.558079	66.128451	10189480	10747558	10468518
Bin276	2	10.747559	11.095995	0.348436	67.621099	10747560	11095995	10921777
Bin277	2	11.095996	12.035829	0.939833	67.860908	11095997	12035829	11565912
Bin278	2	12.035830	12.100530	0.064700	68.100716	12035831	12100530	12068180
Bin279	2	12.100531	15.858020	3.757489	70.665381	12100532	15858020	13979276
Bin280	2	15.858021	15.880004	0.021983	71.148476	15858022	15880004	15869012
Bin281	2	15.880005	16.087050	0.207045	71.388285	15880006	16087050	15983528
Bin282	2	16.087051	16.146764	0.059713	71.628094	16087052	16146764	16116908
Bin283	2	16.146765	16.201805	0.055040	71.867902	16146766	16201805	16174285
Bin284	2	16.201806	16.453739	0.251933	72.107711	16201807	16453739	16327773
Bin285	2	16.453740	16.549459	0.095719	72.347520	16453741	16549459	16501599
Bin286	2	16.549460	18.064573	1.515113	72.587328	16549461	18064573	17307016
Bin287	2	18.064574	18.126363	0.061789	73.070424	18064575	18126363	18095469
Bin288	2	18.126364	18.461481	0.335117	73.310232	18126365	18461481	18293922
Bin289	2	18.461482	18.524833	0.063351	73.550041	18461483	18524833	18493158
Bin290	2	18.524834	18.637865	0.113031	73.789850	18524835	18637865	18581350
Bin291	2	18.637866	18.690708	0.052842	74.029658	18637867	18690708	18664287
Bin292	2	18.690709	18.743857	0.053148	74.759598	18690710	18743857	18717283
Bin293	2	18.743858	18.802995	0.059137	74.999407	18743859	18802995	18773426
Bin294	2	18.802996	19.067843	0.264847	75.729347	18802997	19067843	18935420
Bin295	2	19.067844	19.192004	0.124160	77.221995	19067845	19192004	19129924
Bin296	2	19.192005	19.232627	0.040622	77.461803	19192006	19232627	19212316
Bin297	2	19.232628	19.299425	0.066797	77.701612	19232629	19299425	19266026
Bin298	2	19.299426	19.496875	0.197449	77.941421	19299427	19496875	19398150
Bin299	2	19.496876	19.568271	0.071395	78.181229	19496877	19568271	19532573
Bin300	2	19.568272	19.644629	0.076357	78.911169	19568273	19644629	19606450
Bin301	2	19.644630	19.670920	0.026290	79.150978	19644631	19670920	19657775
Bin302	2	19.670921	19.749216	0.078295	79.634073	19670922	19749216	19710068
Bin303	2	19.749217	19.856966	0.107749	79.873882	19749218	19856966	19803092
Bin304	2	19.856967	19.971411	0.114444	80.356978	19856968	19971411	19914189
Bin305	2	19.971412	20.008158	0.036746	81.086918	19971413	20008158	19989785
Bin306	2	20.008159	20.057010	0.048851	81.570013	20008160	20057010	20032584
Bin307	2	20.057011	20.102297	0.045286	81.809822	20057012	20102297	20079654
Bin308	2	20.102298	20.278263	0.175965	82.292917	20102299	20278263	20190280
Bin309	2	20.278264	20.520046	0.241782	82.776013	20278265	20520046	20399155
Bin310	2	20.520047	20.668837	0.148790	83.015821	20520048	20668837	20594442
Bin311	2	20.668838	28.615946	7.947108	136.015694	20668839	28615946	24642392
Bin312	2	28.615947	28.725300	0.109353	136.745634	28615948	28725300	28670623
Bin313	2	28.725301	29.188923	0.463622	137.228730	28725302	29188923	28957112
Bin314	2	29.188924	29.396938	0.208014	138.721378	29188925	29396938	29292931
Bin315	2	29.396939	29.442864	0.045925	138.961186	29396940	29442864	29419902
Bin316	2	29.442865	29.587393	0.144528	139.444282	29442866	29587393	29515129
Bin317	2	29.587394	29.998912	0.411518	139.684090	29587395	29998912	29793153
Bin318	2	29.998913	30.565240	0.566327	140.664514	29998914	30565240	30282077
Bin319	2	30.565241	30.614033	0.048792	140.904323	30565242	30614033	30589637
Bin320	2	30.614034	30.759597	0.145563	141.884746	30614035	30759597	30686816
Bin321	2	30.759598	30.785882	0.026284	142.124555	30759599	30785882	30772740
Bin322	2	30.785883	31.059469	0.273586	143.617203	30785884	31059469	30922676
Bin323	2	31.059470	31.209377	0.149907	145.109851	31059471	31209377	31134424
Bin324	2	31.209378	31.251155	0.041777	145.592947	31209379	31251155	31230266
Bin325	2	31.251156	31.389486	0.138330	145.832755	31251157	31389486	31320321
Bin326	2	31.389487	31.533335	0.143848	146.315851	31389488	31533335	31461411
Bin327	2	31.533336	31.543169	0.009833	146.555659	31533337	31543169	31538252
Bin328	2	31.543170	31.595881	0.052711	146.795468	31543171	31595881	31569525
Bin329	2	31.595882	31.646146	0.050264	147.525408	31595883	31646146	31621014
Bin330	2	31.646147	31.983847	0.337700	147.765217	31646148	31983847	31814997
Bin331	2	31.983848	32.262768	0.278920	148.005025	31983849	32262768	32123308
Bin332	2	32.262769	33.446350	1.183581	149.239656	32262770	33446350	32854560
Bin333	2	33.446351	33.745363	0.299012	156.147173	33446352	33745363	33595857
Bin334	2	33.745364	33.758293	0.012929	156.386981	33745365	33758293	33751828
Bin335	2	33.758294	33.991320	0.233026	157.879630	33758295	33991320	33874807
Bin336	2	33.991321	34.166800	0.175479	161.005647	33991322	34166800	34079060
Bin337	2	34.166801	34.292847	0.126046	161.986071	34166802	34292847	34229824
Bin338	2	34.292848	34.340401	0.047553	162.469167	34292849	34340401	34316624
Bin339	2	34.340402	34.386590	0.046188	162.708975	34340403	34386590	34363496
Bin340	2	34.386591	34.471549	0.084958	163.192071	34386592	34471549	34429070
Bin341	2	34.471550	34.503176	0.031626	163.675166	34471551	34503176	34487363
Bin342	2	34.503177	34.585403	0.082226	163.914975	34503178	34585403	34544290
Bin343	2	34.585404	34.737818	0.152414	164.154784	34585405	34737818	34661611
Bin344	2	34.737819	34.862504	0.124685	166.445260	34737820	34862504	34800162
Bin345	2	34.862505	34.973383	0.110878	166.685069	34862506	34973383	34917944
Bin346	2	34.973384	35.103215	0.129831	167.168164	34973385	35103215	35038300
Bin347	2	35.103216	35.129268	0.026052	167.651260	35103217	35129268	35116242
Bin348	2	35.129269	35.154493	0.025224	169.671737	35129270	35154493	35141881
Bin349	2	35.154494	35.209385	0.054891	169.911546	35154495	35209385	35181940
Bin350	2	35.209386	35.244080	0.034694	170.394641	35209387	35244080	35226733
Bin351	2	35.244081	35.323026	0.078945	171.124581	35244082	35323026	35283554
Bin352	2	35.323027	35.378402	0.055375	171.364390	35323028	35378402	35350714
Bin353	2	35.378403	35.426566	0.048163	174.207533	35378404	35426566	35402484
Bin354	2	35.426567	35.705285	0.278718	174.447341	35426568	35705285	35565926
Bin355	2	35.705286	35.749191	0.043905	174.930437	35705287	35749191	35727238
Bin356	2	35.749192	35.930381	0.181189	175.413532	35749193	35930381	35839786
Bin357	3	0.000000	0.265185	0.265185	0.000000	1	265185	132592
