bin	source_chr	cM	tigr6_seqid	tigr6_pos	tigr6_start0	tigr6_end0
Bin344	2	166.445260	chr02|13102	34800162	34800161	34800162
Bin355	2	174.930437	chr02|13102	35727238	35727237	35727238
Bin358	3	0.239809	chr03|13103	316054	316053	316054
Bin360	3	1.950172	chr03|13103	822442	822441	822442
Bin365	3	12.867421	chr03|13103	2186060	2186059	2186060
Bin367	3	15.127706	chr03|13103	2420243	2420242	2420243
Bin373	3	20.400639	chr03|13103	3309755	3309754	3309755
Bin394	3	54.464722	chr03|13103	9397859	9397858	9397859
Bin400	3	58.660948	chr03|13103	10062698	10062697	10062698
Bin403	3	59.623660	chr03|13103	10305974	10305973	10305974
Bin414	3	77.166889	chr03|13103	13365081	13365080	13365081
Bin418	3	82.210854	chr03|13103	14138807	14138806	14138807
Bin419	3	82.450663	chr03|13103	14275336	14275335	14275336
Bin421	3	84.183120	chr03|13103	14561054	14561053	14561054
Bin426	3	87.630338	chr03|13103	15060948	15060947	15060948
Bin428	3	88.109956	chr03|13103	15243336	15243335	15243336
Bin429	3	88.349764	chr03|13103	15355934	15355933	15355934
Bin430	3	89.079704	chr03|13103	15427870	15427869	15427870
Bin434	3	92.062894	chr03|13103	15851380	15851379	15851380
Bin451	3	97.363190	chr03|13103	22818974	22818973	22818974
Bin462	3	108.033509	chr03|13103	24672848	24672847	24672848
Bin465	3	112.959140	chr03|13103	25445081	25445080	25445081
Bin478	3	122.361416	chr03|13103	26991061	26991060	26991061
Bin494	3	130.645767	chr03|13103	28496532	28496531	28496532
Bin505	3	135.498476	chr03|13103	29554626	29554625	29554626
Bin506	3	135.738285	chr03|13103	29600363	29600362	29600363
Bin507	3	135.978093	chr03|13103	29630330	29630329	29630330
Bin508	3	136.461189	chr03|13103	29721992	29721991	29721992
Bin541	3	184.080821	chr03|13103	35620788	35620787	35620788
Bin543	3	185.555260	chr03|13103	35705939	35705938	35705939
Bin558	4	3.381827	chr04|13104	1481186	1481185	1481186
Bin560	4	5.346398	chr04|13104	1926099	1926098	1926099
Bin561	4	5.586206	chr04|13104	2195241	2195240	2195241
Bin562	4	8.150871	chr04|13104	2409809	2409808	2409809
Bin565	4	9.113584	chr04|13104	2706144	2706143	2706144
Bin570	4	11.046045	chr04|13104	4069617	4069616	4069617
Bin572	4	11.525662	chr04|13104	4342503	4342502	4342503
Bin574	4	12.248567	chr04|13104	4503498	4503497	4503498
Bin577	4	12.967992	chr04|13104	5075399	5075398	5075399
Bin579	4	13.934184	chr04|13104	5398097	5398096	5398097
Bin583	4	15.877320	chr04|13104	7018887	7018886	7018887
Bin587	4	18.830009	chr04|13104	13282567	13282566	13282567
Bin588	4	19.069817	chr04|13104	13477242	13477241	13477242
Bin599	4	33.758948	chr04|13104	17779108	17779107	17779108
Bin600	4	33.998757	chr04|13104	17956194	17956193	17956194
Bin604	4	34.957991	chr04|13104	18304729	18304728	18304729
Bin606	4	35.437608	chr04|13104	18510614	18510613	18510614
Bin607	4	35.677417	chr04|13104	18624865	18624864	18624865
Bin612	4	40.832181	chr04|13104	19214144	19214143	19214144
Bin630	4	66.028567	chr04|13104	21920162	21920161	21920162
Bin671	4	103.176749	chr04|13104	31436808	31436807	31436808
Bin675	4	104.379270	chr04|13104	31939216	31939215	31939216
Bin703	5	11.938253	chr05|13105	1628654	1628653	1628654
Bin709	5	13.863679	chr05|13105	2037844	2037843	2037844
Bin715	5	15.545817	chr05|13105	2433237	2433236	2433237
Bin718	5	19.560669	chr05|13105	3050432	3050431	3050432
Bin721	5	20.280094	chr05|13105	3346264	3346263	3346264
Bin727	5	28.248870	chr05|13105	4549299	4549298	4549299
Bin730	5	32.551893	chr05|13105	5513625	5513624	5513625
Bin734	5	35.497385	chr05|13105	6622528	6622527	6622528
Bin735	5	35.980481	chr05|13105	6873946	6873945	6873946
Bin738	5	44.780252	chr05|13105	12357505	12357504	12357505
Bin740	5	46.744822	chr05|13105	15423028	15423027	15423028
Bin744	5	48.433918	chr05|13105	16395575	16395574	16395575
Bin746	5	49.403666	chr05|13105	16517302	16517301	16517302
Bin754	5	52.542127	chr05|13105	17645574	17645573	17645574
Bin761	5	63.318893	chr05|13105	18976844	18976843	18976844
Bin764	5	66.286494	chr05|13105	19327744	19327743	19327744
Bin771	5	75.580583	chr05|13105	21306690	21306689	21306690
Bin791	5	92.877162	chr05|13105	24968148	24968147	24968148
Bin797	5	104.804874	chr05|13105	27098846	27098845	27098846
Bin808	5	109.167285	chr05|13105	27926586	27926585	27926586
Bin820	6	0.729940	chr06|13106	334051	334050	334051
Bin845	6	12.378167	chr06|13106	2503374	2503373	2503374
Bin846	6	12.617976	chr06|13106	2666447	2666446	2666447
Bin847	6	12.857785	chr06|13106	2753146	2753145	2753146
Bin857	6	17.953454	chr06|13106	3571258	3571257	3571258
Bin875	6	42.509225	chr06|13106	6772922	6772921	6772922
Bin879	6	44.201878	chr06|13106	7145462	7145461	7145462
Bin880	6	45.182302	chr06|13106	7195154	7195153	7195154
Bin890	6	51.940630	chr06|13106	8608066	8608065	8608066
Bin892	6	52.420247	chr06|13106	9243211	9243210	9243211
Bin894	6	58.142291	chr06|13106	9770657	9770656	9770657
Bin895	6	58.625386	chr06|13106	10127850	10127849	10127850
Bin896	6	59.860017	chr06|13106	10531949	10531948	10531949
Bin903	6	68.692959	chr06|13106	13775660	13775659	13775660
Bin910	6	75.528628	chr06|13106	19641646	19641645	19641646
Bin922	6	82.143968	chr06|13106	21915782	21915781	21915782
Bin933	6	91.670751	chr06|13106	23991820	23991819	23991820
Bin937	6	93.363404	chr06|13106	24549982	24549981	24549982
Bin954	6	125.485615	chr06|13106	28745162	28745161	28745162
Bin957	6	126.205041	chr06|13106	29102419	29102418	29102419
Bin968	7	0.000000	chr07|13107	60030	60029	60030
Bin992	7	27.644906	chr07|13107	3896548	3896547	3896548
Bin996	7	46.420800	chr07|13107	6387444	6387443	6387444
Bin1001	7	50.793433	chr07|13107	7233856	7233855	7233856
Bin1004	7	54.007879	chr07|13107	8581362	8581361	8581362
Bin1005	7	54.247688	chr07|13107	8844480	8844479	8844480
Bin1008	7	55.210401	chr07|13107	14105547	14105546	14105547
Bin1012	7	61.412061	chr07|13107	16639356	16639355	16639356
Bin1017	7	66.131186	chr07|13107	17608207	17608206	17608207
Bin1018	7	66.370994	chr07|13107	17724103	17724102	17724103
Bin1020	7	66.850612	chr07|13107	18014961	18014960	18014961
Bin1023	7	69.328082	chr07|13107	19031995	19031994	19031995
Bin1025	7	77.470229	chr07|13107	20160381	20160380	20160381
Bin1046	7	118.384331	chr07|13107	26141087	26141086	26141087
Bin1050	7	123.403859	chr07|13107	26747048	26747047	26747048
Bin1051	7	123.643668	chr07|13107	26850792	26850791	26850792
Bin1052	7	125.398234	chr07|13107	27278356	27278355	27278356
Bin1070	8	25.051540	chr08|13108	2626244	2626243	2626244
Bin1071	8	25.534636	chr08|13108	2883720	2883719	2883720
Bin1076	8	26.976966	chr08|13108	3253558	3253557	3253558
Bin1085	8	35.768489	chr08|13108	4138919	4138918	4138919
Bin1089	8	37.461141	chr08|13108	4757662	4757661	4757662
Bin1090	8	37.700950	chr08|13108	4872219	4872218	4872219
Bin1099	8	41.075662	chr08|13108	5911293	5911292	5911293
Bin1105	8	43.498416	chr08|13108	6965302	6965301	6965302
Bin1106	8	43.738224	chr08|13108	7534136	7534135	7534136
Bin1108	8	44.217842	chr08|13108	8269764	8269763	8269764
Bin1109	8	44.457650	chr08|13108	8545300	8545299	8545300
Bin1113	8	46.654994	chr08|13108	9165762	9165761	9165762
Bin1117	8	48.344089	chr08|13108	12492907	12492906	12492907
Bin1119	8	51.391849	chr08|13108	15970544	15970543	15970544
Bin1120	8	52.626480	chr08|13108	16600189	16600188	16600189
Bin1126	8	54.308618	chr08|13108	17502128	17502127	17502128
Bin1127	8	54.548427	chr08|13108	17734572	17734571	17734572
Bin1129	8	55.271331	chr08|13108	18347278	18347277	18347278
Bin1130	8	56.251755	chr08|13108	18460633	18460632	18460633
Bin1132	8	56.731372	chr08|13108	18806413	18806412	18806413
Bin1134	8	57.454276	chr08|13108	18903534	18903533	18903534
Bin1139	8	61.657537	chr08|13108	20149230	20149229	20149230
Bin1140	8	61.897346	chr08|13108	20241456	20241455	20241456
Bin1154	8	98.355035	chr08|13108	25565818	25565817	25565818
Bin1157	8	99.561034	chr08|13108	26002852	26002851	26002852
Bin1160	8	105.205942	chr08|13108	26271519	26271518	26271519
Bin1166	8	107.131368	chr08|13108	26660624	26660623	26660624
Bin1174	8	118.640888	chr08|13108	27879700	27879699	27879700
Bin1175	8	119.621312	chr08|13108	28026510	28026509	28026510
Bin1177	9	0.000000	chr09|13109	67056	67055	67056
Bin1180	9	0.962713	chr09|13109	774683	774682	774683
Bin1183	9	2.172270	chr09|13109	1669745	1669744	1669745
Bin1187	9	3.374791	chr09|13109	5401136	5401135	5401136
Bin1203	9	11.147421	chr09|13109	8335853	8335852	8335853
Bin1205	9	11.627038	chr09|13109	8671387	8671386	8671387
Bin1206	9	12.607462	chr09|13109	8842664	8842663	8842664
Bin1213	9	17.551744	chr09|13109	10087904	10087903	10087904
Bin1214	9	18.532167	chr09|13109	10453004	10453003	10453004
Bin1216	9	21.615119	chr09|13109	11051408	11051407	11051408
Bin1224	9	63.065992	chr09|13109	15519369	15519368	15519369
Bin1231	9	71.284792	chr09|13109	16877007	16877006	16877007
Bin1239	9	74.917023	chr09|13109	17967678	17967677	17967678
Bin1254	9	81.477116	chr09|13109	19039104	19039103	19039104
Bin1257	9	83.921058	chr09|13109	19208027	19208026	19208027
Bin1263	9	86.333058	chr09|13109	19934202	19934201	19934202
Bin1290	9	104.675303	chr09|13109	22358882	22358881	22358882
Bin1291	9	106.429869	chr09|13109	22472082	22472081	22472082
Bin1294	10	0.483096	chr10|13110	826556	826555	826556
Bin1296	10	2.477470	chr10|13110	938916	938915	938916
Bin1298	10	3.200374	chr10|13110	1246062	1246061	1246062
Bin1299	10	3.440183	chr10|13110	1290032	1290031	1290032
Bin1306	10	10.243461	chr10|13110	5116160	5116159	5116160
Bin1313	10	12.662736	chr10|13110	8163792	8163791	8163792
Bin1317	10	13.865258	chr10|13110	9422760	9422759	9422760
Bin1319	10	14.835006	chr10|13110	10745030	10745029	10745030
Bin1320	10	15.074815	chr10|13110	11270516	11270515	11270516
Bin1325	10	19.403354	chr10|13110	11678208	11678207	11678208
Bin1346	10	36.681039	chr10|13110	14787648	14787647	14787648
Bin1350	10	41.105864	chr10|13110	15900034	15900033	15900034
Bin1355	10	44.029424	chr10|13110	16500062	16500061	16500062
Bin1369	10	63.930958	chr10|13110	19774782	19774781	19774782
Bin1386	10	83.884543	chr10|13110	22552110	22552109	22552110
Bin1411	11	21.870778	chr11|13111	3058951	3058950	3058951
Bin1421	11	31.204447	chr11|13111	4380762	4380761	4380762
Bin1425	11	37.579294	chr11|13111	5502998	5502997	5502998
Bin1427	11	38.058911	chr11|13111	5789852	5789851	5789852
Bin1429	11	40.319197	chr11|13111	6249636	6249635	6249636
Bin1430	11	45.558145	chr11|13111	6844810	6844809	6844810
Bin1432	11	46.037762	chr11|13111	7304112	7304111	7304112
Bin1436	11	50.340946	chr11|13111	7833834	7833833	7833834
Bin1438	11	52.073402	chr11|13111	8403338	8403337	8403338
Bin1444	11	53.998828	chr11|13111	9657881	9657880	9657881
Bin1446	11	56.471900	chr11|13111	9927568	9927567	9927568
Bin1448	11	57.194804	chr11|13111	10650886	10650885	10650886
Bin1450	11	57.674421	chr11|13111	11300501	11300500	11300501
Bin1452	11	58.154038	chr11|13111	12856429	12856428	12856429
Bin1453	11	58.393847	chr11|13111	14015776	14015775	14015776
Bin1455	11	58.873464	chr11|13111	15565928	15565927	15565928
Bin1463	11	65.091874	chr11|13111	17571548	17571547	17571548
Bin1465	11	65.571491	chr11|13111	17876937	17876936	17876937
Bin1472	11	70.702743	chr11|13111	18831786	18831785	18831786
Bin1478	11	76.417831	chr11|13111	19328074	19328073	19328074
Bin1483	11	79.113000	chr11|13111	20134184	20134183	20134184
Bin1485	11	80.587440	chr11|13111	20462993	20462992	20462993
Bin1490	11	83.267879	chr11|13111	21396754	21396753	21396754
Bin1493	11	84.964010	chr11|13111	21913926	21913925	21913926
Bin1494	11	85.447105	chr11|13111	22091098	22091097	22091098
Bin1495	11	91.669814	chr11|13111	22343798	22343797	22343798
Bin1499	11	92.872335	chr11|13111	22783029	22783028	22783029
Bin1501	11	93.842084	chr11|13111	22915261	22915260	22915261
Bin1502	11	94.081892	chr11|13111	22988430	22988429	22988430
Bin1504	11	94.804797	chr11|13111	23459308	23459307	23459308
Bin1505	11	95.785220	chr11|13111	23738399	23738398	23738399
Bin1508	11	101.552470	chr11|13111	24311922	24311921	24311922
Bin1517	11	107.015866	chr11|13111	24886355	24886354	24886355
Bin1522	11	108.458196	chr11|13111	25974394	25974393	25974394
Bin1527	11	111.396653	chr11|13111	26598719	26598718	26598719
Bin1532	11	113.329114	chr11|13111	26839857	26839856	26839857
Bin1533	11	113.568923	chr11|13111	26871374	26871373	26871374
Bin1535	11	114.291827	chr11|13111	27373286	27373285	27373286
Bin1537	11	115.512059	chr11|13111	28103994	28103993	28103994
Bin1544	12	13.064520	chr12|13112	2100172	2100171	2100172
Bin1548	12	31.437655	chr12|13112	4294888	4294887	4294888
Bin1550	12	39.754331	chr12|13112	6289101	6289100	6289101
Bin1554	12	42.471610	chr12|13112	7787687	7787686	7787687
Bin1555	12	42.711418	chr12|13112	8391554	8391553	8391554
Bin1558	12	43.430844	chr12|13112	10748313	10748312	10748313
Bin1561	12	44.150270	chr12|13112	11287128	11287127	11287128
Bin1562	12	44.633365	chr12|13112	11918725	11918724	11918725
Bin1563	12	45.116461	chr12|13112	13303736	13303735	13303736
Bin1564	12	45.356270	chr12|13112	14610028	14610027	14610028
Bin1566	12	46.079174	chr12|13112	16309646	16309645	16309646
Bin1568	12	47.045365	chr12|13112	16929787	16929786	16929787
Bin1569	12	47.775305	chr12|13112	17503280	17503279	17503280
Bin1571	12	48.745053	chr12|13112	17795006	17795005	17795006
Bin1575	12	50.688190	chr12|13112	18476484	18476483	18476484
Bin1578	12	55.853468	chr12|13112	19303889	19303888	19303889
Bin1580	12	56.576372	chr12|13112	19605380	19605379	19605380
Bin1582	12	59.659324	chr12|13112	19851754	19851753	19851754
Bin1583	12	60.142420	chr12|13112	19953114	19953113	19953114
Bin1584	12	62.162897	chr12|13112	20583688	20583687	20583688
Bin1589	12	69.094497	chr12|13112	22232768	22232767	22232768
Bin1596	12	83.494780	chr12|13112	23733534	23733533	23733534
Bin1611	12	96.843687	chr12|13112	25622338	25622337	25622338
Bin1619	12	109.333493	chr12|13112	27256546	27256545	27256546
