chr	pos	cM	bin	source_chr	target_seqid
1	25623216	106.897131	Bin121	1	CP056052.1
1	25818072	107.136939	Bin122	1	CP056052.1
1	26023786	113.026091	Bin123	1	CP056052.1
1	26201901	113.265900	Bin124	1	CP056052.1
1	26332603	113.995840	Bin125	1	CP056052.1
1	26390532	114.235648	Bin126	1	CP056052.1
1	26546940	114.475457	Bin127	1	CP056052.1
1	26879734	115.205397	Bin128	1	CP056052.1
1	27449375	115.445205	Bin129	1	CP056052.1
1	28090034	118.571223	Bin130	1	CP056052.1
1	28507455	118.811032	Bin131	1	CP056052.1
1	29073459	126.792539	Bin132	1	CP056052.1
1	29509566	128.027170	Bin133	1	CP056052.1
1	29705999	128.266978	Bin134	1	CP056052.1
1	29929768	128.750074	Bin135	1	CP056052.1
1	30155721	129.719823	Bin137	1	CP056052.1
1	30281374	129.959631	Bin138	1	CP056052.1
1	30414366	130.199440	Bin139	1	CP056052.1
1	30942254	130.929380	Bin140	1	CP056052.1
1	31601918	134.634778	Bin141	1	CP056052.1
1	31686714	135.117874	Bin142	1	CP056052.1
1	31744543	135.357683	Bin143	1	CP056052.1
1	31902346	136.087623	Bin144	1	CP056052.1
1	32056491	136.327431	Bin145	1	CP056052.1
1	32094914	136.567240	Bin146	1	CP056052.1
1	32125738	136.807048	Bin147	1	CP056052.1
1	32298417	137.046857	Bin148	1	CP056052.1
1	32505069	137.286666	Bin149	1	CP056052.1
1	32577104	137.526474	Bin150	1	CP056052.1
1	32617037	137.766283	Bin151	1	CP056052.1
1	32926635	138.006091	Bin152	1	CP056052.1
1	33251611	138.245900	Bin153	1	CP056052.1
1	33300633	138.485709	Bin154	1	CP056052.1
1	33376588	138.725517	Bin155	1	CP056052.1
1	33483724	138.965326	Bin156	1	CP056052.1
1	33609920	139.205135	Bin157	1	CP056052.1
1	33720732	139.688230	Bin158	1	CP056052.1
1	33789369	140.171326	Bin159	1	CP056052.1
1	33862838	140.654421	Bin160	1	CP056052.1
1	34362128	144.020248	Bin162	1	CP056052.1
1	34625782	145.254878	Bin163	1	CP056052.1
1	34986858	145.494687	Bin164	1	CP056052.1
1	35265433	145.734495	Bin165	1	CP056052.1
1	35798686	145.974304	Bin166	1	CP056052.1
1	36258240	146.214113	Bin167	1	CP056052.1
1	36334704	146.453921	Bin168	1	CP056052.1
1	36508843	146.937017	Bin169	1	CP056052.1
1	36645801	147.176825	Bin170	1	CP056052.1
1	36888895	147.659921	Bin171	1	CP056052.1
1	37160435	148.143017	Bin172	1	CP056052.1
1	37276508	148.382825	Bin173	1	CP056052.1
1	37438799	148.622634	Bin174	1	CP056052.1
1	37716754	149.857264	Bin175	1	CP056052.1
1	38016701	150.097073	Bin176	1	CP056052.1
1	38468165	150.336882	Bin177	1	CP056052.1
1	39038275	152.357359	Bin178	1	CP056052.1
1	39280247	152.597167	Bin179	1	CP056052.1
1	39402224	152.836976	Bin180	1	CP056052.1
1	39479211	153.076784	Bin181	1	CP056052.1
1	39585813	153.806724	Bin182	1	CP056052.1
1	39723430	154.046533	Bin183	1	CP056052.1
1	39975199	155.256090	Bin186	1	CP056052.1
1	40120840	157.010656	Bin187	1	CP056052.1
1	40675129	160.535764	Bin189	1	CP056052.1
1	40848267	161.018859	Bin190	1	CP056052.1
1	41190936	161.501955	Bin191	1	CP056052.1
1	41454573	163.522432	Bin192	1	CP056052.1
1	41622663	163.762240	Bin193	1	CP056052.1
1	41933154	174.495087	Bin194	1	CP056052.1
1	42419868	178.440294	Bin196	1	CP056052.1
1	42658405	182.744025	Bin197	1	CP056052.1
1	42758431	183.227120	Bin198	1	CP056052.1
1	43138140	188.149124	Bin199	1	CP056052.1
1	43288074	188.632219	Bin200	1	CP056052.1
1	43427009	190.342583	Bin202	1	CP056052.1
1	43542126	190.825679	Bin203	1	CP056052.1
1	43591638	191.555619	Bin204	1	CP056052.1
1	43610749	192.038714	Bin205	1	CP056052.1
1	43666846	192.278523	Bin206	1	CP056052.1
1	43728577	192.761618	Bin207	1	CP056052.1
1	43762431	193.742042	Bin208	1	CP056052.1
1	43813709	194.225137	Bin209	1	CP056052.1
1	43876157	194.955077	Bin210	1	CP056052.1
1	43928948	195.438173	Bin211	1	CP056052.1
1	44117323	196.168113	Bin212	1	CP056052.1
1	44347810	197.660761	Bin213	1	CP056052.1
1	44421208	198.143857	Bin214	1	CP056052.1
1	44451239	199.636505	Bin215	1	CP056052.1
1	44499915	199.876313	Bin216	1	CP056052.1
1	44649333	200.606253	Bin217	1	CP056052.1
2	54316	0.000000	Bin218	2	CP056053.1
2	154077	0.239809	Bin219	2	CP056053.1
2	296738	3.945207	Bin220	2	CP056053.1
2	409857	4.675147	Bin221	2	CP056053.1
2	481821	5.158243	Bin222	2	CP056053.1
2	574921	5.398051	Bin223	2	CP056053.1
2	648704	5.881147	Bin224	2	CP056053.1
2	733926	6.364242	Bin225	2	CP056053.1
2	767585	6.604051	Bin226	2	CP056053.1
2	848632	7.584475	Bin227	2	CP056053.1
2	1005987	8.564898	Bin228	2	CP056053.1
2	1112843	8.804707	Bin229	2	CP056053.1
2	1157242	9.044515	Bin230	2	CP056053.1
2	1214140	9.284324	Bin231	2	CP056053.1
2	1344910	10.014264	Bin232	2	CP056053.1
2	1525642	10.744204	Bin233	2	CP056053.1
2	1706579	13.870222	Bin234	2	CP056053.1
2	1930991	14.353317	Bin235	2	CP056053.1
2	2057960	14.593126	Bin236	2	CP056053.1
2	2299272	15.323066	Bin237	2	CP056053.1
2	2589714	15.562875	Bin238	2	CP056053.1
2	2774038	17.026394	Bin240	2	CP056053.1
2	3130261	17.749298	Bin242	2	CP056053.1
2	3341734	17.989106	Bin243	2	CP056053.1
2	3706551	32.373210	Bin244	2	CP056053.1
2	4017392	33.353634	Bin245	2	CP056053.1
2	4139231	33.593442	Bin246	2	CP056053.1
2	4234098	33.833251	Bin247	2	CP056053.1
2	4406947	34.813674	Bin248	2	CP056053.1
2	4631916	36.306323	Bin249	2	CP056053.1
2	4810799	36.546131	Bin250	2	CP056053.1
2	4938564	38.566608	Bin251	2	CP056053.1
2	5031204	38.806417	Bin252	2	CP056053.1
2	5223175	39.536357	Bin253	2	CP056053.1
2	5686996	47.153393	Bin254	2	CP056053.1
2	6222514	48.885850	Bin256	2	CP056053.1
2	6424717	49.125658	Bin257	2	CP056053.1
2	6653711	50.106082	Bin258	2	CP056053.1
2	7087503	54.838157	Bin260	2	CP056053.1
2	7209625	55.077966	Bin261	2	CP056053.1
2	7426174	55.807906	Bin262	2	CP056053.1
2	7597761	61.046853	Bin263	2	CP056053.1
2	7846256	61.529949	Bin264	2	CP056053.1
2	8668017	62.009566	Bin266	2	CP056053.1
2	8973311	62.492662	Bin267	2	CP056053.1
2	9064282	62.732470	Bin268	2	CP056053.1
2	9190376	63.462410	Bin269	2	CP056053.1
2	9309883	63.702219	Bin270	2	CP056053.1
2	9562433	64.668410	Bin272	2	CP056053.1
2	9796020	64.908219	Bin273	2	CP056053.1
2	10092450	65.148027	Bin274	2	CP056053.1
2	10494192	66.128451	Bin275	2	CP056053.1
2	10947665	67.621099	Bin276	2	CP056053.1
2	11674626	67.860908	Bin277	2	CP056053.1
2	12199177	68.100716	Bin278	2	CP056053.1
2	14393433	70.665381	Bin279	2	CP056053.1
2	16895432	71.148476	Bin280	2	CP056053.1
2	17015634	71.388285	Bin281	2	CP056053.1
2	17149032	71.628094	Bin282	2	CP056053.1
2	17198599	71.867902	Bin283	2	CP056053.1
2	17336759	72.107711	Bin284	2	CP056053.1
2	17504969	72.347520	Bin285	2	CP056053.1
2	18389478	72.587328	Bin286	2	CP056053.1
2	19067597	73.070424	Bin287	2	CP056053.1
2	19365283	73.310232	Bin288	2	CP056053.1
2	19597105	73.550041	Bin289	2	CP056053.1
2	19685351	73.789850	Bin290	2	CP056053.1
2	19810342	74.759598	Bin292	2	CP056053.1
2	19860137	74.999407	Bin293	2	CP056053.1
2	20027558	75.729347	Bin294	2	CP056053.1
2	20224151	77.221995	Bin295	2	CP056053.1
2	20375769	77.461803	Bin296	2	CP056053.1
2	20429742	77.701612	Bin297	2	CP056053.1
2	20559600	77.941421	Bin298	2	CP056053.1
2	20747566	78.911169	Bin300	2	CP056053.1
2	20798141	79.150978	Bin301	2	CP056053.1
2	20856050	79.634073	Bin302	2	CP056053.1
2	20961960	79.873882	Bin303	2	CP056053.1
2	21076238	80.356978	Bin304	2	CP056053.1
2	21149991	81.086918	Bin305	2	CP056053.1
2	21192749	81.570013	Bin306	2	CP056053.1
2	21248801	81.809822	Bin307	2	CP056053.1
2	21366076	82.292917	Bin308	2	CP056053.1
2	21919933	83.015821	Bin310	2	CP056053.1
2	25913194	136.015694	Bin311	2	CP056053.1
2	29980940	136.745634	Bin312	2	CP056053.1
2	30306222	137.228730	Bin313	2	CP056053.1
2	30606567	138.721378	Bin314	2	CP056053.1
2	30856851	139.444282	Bin316	2	CP056053.1
2	31120738	139.684090	Bin317	2	CP056053.1
2	31622257	140.664514	Bin318	2	CP056053.1
2	31983703	140.904323	Bin319	2	CP056053.1
2	32065043	141.884746	Bin320	2	CP056053.1
2	32147089	142.124555	Bin321	2	CP056053.1
2	32291969	143.617203	Bin322	2	CP056053.1
2	32502833	145.109851	Bin323	2	CP056053.1
2	32599818	145.592947	Bin324	2	CP056053.1
2	32806299	146.315851	Bin326	2	CP056053.1
2	32887169	146.555659	Bin327	2	CP056053.1
2	32908431	146.795468	Bin328	2	CP056053.1
2	32959104	147.525408	Bin329	2	CP056053.1
2	33180058	147.765217	Bin330	2	CP056053.1
2	33456247	148.005025	Bin331	2	CP056053.1
2	34175378	149.239656	Bin332	2	CP056053.1
2	34993814	156.147173	Bin333	2	CP056053.1
2	35143186	156.386981	Bin334	2	CP056053.1
2	35270041	157.879630	Bin335	2	CP056053.1
2	35583144	161.986071	Bin337	2	CP056053.1
2	35732272	162.708975	Bin339	2	CP056053.1
2	35793026	163.192071	Bin340	2	CP056053.1
2	35985122	164.154784	Bin343	2	CP056053.1
2	36207880	166.685069	Bin345	2	CP056053.1
2	36334352	167.168164	Bin346	2	CP056053.1
2	36438262	167.651260	Bin347	2	CP056053.1
2	36470904	169.671737	Bin348	2	CP056053.1
2	36511866	169.911546	Bin349	2	CP056053.1
2	36556822	170.394641	Bin350	2	CP056053.1
2	36614904	171.124581	Bin351	2	CP056053.1
2	36682266	171.364390	Bin352	2	CP056053.1
2	36735899	174.207533	Bin353	2	CP056053.1
2	36877420	174.447341	Bin354	2	CP056053.1
2	37145058	175.413532	Bin356	2	CP056053.1
3	134960	0.000000	Bin357	3	CP056054.1
3	273435	0.239809	Bin358	3	CP056054.1
3	405353	0.969749	Bin359	3	CP056054.1
3	1887208	11.164093	Bin362	3	CP056054.1
3	2012602	11.403902	Bin363	3	CP056054.1
3	2179188	12.384325	Bin364	3	CP056054.1
3	2701717	16.347939	Bin369	3	CP056054.1
3	2957915	16.587747	Bin370	3	CP056054.1
3	3187471	17.317687	Bin371	3	CP056054.1
3	3262492	20.160830	Bin372	3	CP056054.1
3	3303237	20.400639	Bin373	3	CP056054.1
3	3413636	20.640448	Bin374	3	CP056054.1
3	3626871	22.660924	Bin375	3	CP056054.1
3	4692062	35.383467	Bin377	3	CP056054.1
3	5239934	37.673944	Bin378	3	CP056054.1
3	5611171	39.428510	Bin379	3	CP056054.1
3	5785774	40.158450	Bin380	3	CP056054.1
3	5950343	40.641545	Bin381	3	CP056054.1
3	6035057	40.881354	Bin382	3	CP056054.1
3	6345944	41.364449	Bin383	3	CP056054.1
3	7244360	42.344873	Bin384	3	CP056054.1
3	8429608	51.075698	Bin385	3	CP056054.1
3	8830963	52.056122	Bin386	3	CP056054.1
3	8932434	52.786062	Bin387	3	CP056054.1
3	8994804	53.025871	Bin388	3	CP056054.1
3	9240714	53.265679	Bin389	3	CP056054.1
3	9484449	53.505488	Bin390	3	CP056054.1
3	9503387	53.745296	Bin391	3	CP056054.1
3	9545045	53.985105	Bin392	3	CP056054.1
3	9595278	54.224914	Bin393	3	CP056054.1
3	9715905	54.947818	Bin395	3	CP056054.1
3	9774852	55.430913	Bin396	3	CP056054.1
3	9876171	56.160853	Bin397	3	CP056054.1
3	10113450	56.400662	Bin398	3	CP056054.1
3	10293379	58.421139	Bin399	3	CP056054.1
3	10347886	58.660948	Bin400	3	CP056054.1
3	10392508	58.900756	Bin401	3	CP056054.1
3	10433742	59.140565	Bin402	3	CP056054.1
3	10594466	59.623660	Bin403	3	CP056054.1
3	10887768	64.233970	Bin404	3	CP056054.1
3	11130117	64.717066	Bin405	3	CP056054.1
3	11351028	64.956874	Bin406	3	CP056054.1
3	11529164	65.196683	Bin407	3	CP056054.1
3	12042137	69.500413	Bin408	3	CP056054.1
3	12619157	70.480837	Bin409	3	CP056054.1
3	12952560	71.715467	Bin410	3	CP056054.1
3	13104837	72.198563	Bin411	3	CP056054.1
3	13271370	72.681659	Bin412	3	CP056054.1
3	13373418	73.164754	Bin413	3	CP056054.1
3	14409425	77.649985	Bin415	3	CP056054.1
3	14560969	78.133081	Bin416	3	CP056054.1
3	14706156	79.367711	Bin417	3	CP056054.1
3	15154162	83.943311	Bin420	3	CP056054.1
3	15279860	84.183120	Bin421	3	CP056054.1
3	15372553	84.422928	Bin422	3	CP056054.1
3	15504602	84.662737	Bin423	3	CP056054.1
3	15582829	85.145832	Bin424	3	CP056054.1
3	15661089	86.900398	Bin425	3	CP056054.1
3	15821041	87.870147	Bin427	3	CP056054.1
3	16056989	88.349764	Bin429	3	CP056054.1
3	16159481	89.079704	Bin430	3	CP056054.1
3	16262269	89.562800	Bin431	3	CP056054.1
3	16322162	89.802608	Bin432	3	CP056054.1
3	16436145	91.823085	Bin433	3	CP056054.1
3	16689106	92.062894	Bin434	3	CP056054.1
3	16894610	92.302702	Bin435	3	CP056054.1
3	17056378	93.032642	Bin436	3	CP056054.1
3	17159435	93.272451	Bin437	3	CP056054.1
3	17493559	93.512260	Bin438	3	CP056054.1
3	17772507	93.752068	Bin439	3	CP056054.1
3	17975939	93.991877	Bin440	3	CP056054.1
3	18145778	94.231686	Bin441	3	CP056054.1
3	18278577	94.714781	Bin442	3	CP056054.1
3	18408238	94.954590	Bin443	3	CP056054.1
3	18648211	95.684530	Bin444	3	CP056054.1
3	18987909	95.924338	Bin445	3	CP056054.1
3	19141099	96.164147	Bin446	3	CP056054.1
3	21564791	96.403955	Bin447	3	CP056054.1
3	23940337	96.643764	Bin448	3	CP056054.1
3	24900367	97.123381	Bin450	3	CP056054.1
3	25840494	98.093130	Bin452	3	CP056054.1
3	26255531	98.576225	Bin453	3	CP056054.1
3	26345655	99.059321	Bin454	3	CP056054.1
3	26457778	99.299130	Bin455	3	CP056054.1
3	26563693	99.538938	Bin456	3	CP056054.1
3	26646885	99.778747	Bin457	3	CP056054.1
3	26780534	100.261842	Bin458	3	CP056054.1
3	26888602	100.991782	Bin459	3	CP056054.1
3	27103607	107.553892	Bin460	3	CP056054.1
3	27224111	107.793700	Bin461	3	CP056054.1
3	27331145	108.033509	Bin462	3	CP056054.1
3	27596704	109.013933	Bin463	3	CP056054.1
3	27942564	112.719331	Bin464	3	CP056054.1
3	28110015	112.959140	Bin465	3	CP056054.1
3	28223735	113.198948	Bin466	3	CP056054.1
3	28414589	114.953514	Bin467	3	CP056054.1
3	28591861	115.933938	Bin468	3	CP056054.1
3	28759864	116.173747	Bin469	3	CP056054.1
3	28940107	116.413555	Bin470	3	CP056054.1
3	29058419	118.704032	Bin471	3	CP056054.1
3	29185657	118.943841	Bin472	3	CP056054.1
3	29305018	120.178471	Bin473	3	CP056054.1
3	29367296	120.418280	Bin474	3	CP056054.1
3	29394296	120.901375	Bin475	3	CP056054.1
3	29413164	121.141184	Bin476	3	CP056054.1
3	29576604	122.121608	Bin477	3	CP056054.1
3	29788365	122.601225	Bin479	3	CP056054.1
3	29910925	123.331165	Bin480	3	CP056054.1
3	30036781	123.570973	Bin481	3	CP056054.1
3	30139601	124.551397	Bin482	3	CP056054.1
3	30208372	124.791206	Bin483	3	CP056054.1
3	30386737	127.006260	Bin485	3	CP056054.1
3	30459319	127.246068	Bin486	3	CP056054.1
3	30554028	128.226492	Bin487	3	CP056054.1
3	30713001	128.466301	Bin488	3	CP056054.1
3	30887102	129.446724	Bin489	3	CP056054.1
3	30950515	129.686533	Bin490	3	CP056054.1
3	30986410	129.926341	Bin491	3	CP056054.1
3	31072856	130.166150	Bin492	3	CP056054.1
3	31182009	130.405959	Bin493	3	CP056054.1
3	31272918	131.880398	Bin495	3	CP056054.1
3	31329218	132.120206	Bin496	3	CP056054.1
3	31361910	132.360015	Bin497	3	CP056054.1
3	31430307	132.599824	Bin498	3	CP056054.1
3	31603032	132.839632	Bin499	3	CP056054.1
3	31812696	133.322728	Bin500	3	CP056054.1
3	31922179	134.052668	Bin501	3	CP056054.1
3	31987050	134.292476	Bin502	3	CP056054.1
3	32094363	134.775572	Bin503	3	CP056054.1
3	32208991	135.258668	Bin504	3	CP056054.1
3	32286818	135.498476	Bin505	3	CP056054.1
3	32342088	135.738285	Bin506	3	CP056054.1
3	32383832	135.978093	Bin507	3	CP056054.1
3	32490164	136.461189	Bin508	3	CP056054.1
3	32589833	136.944284	Bin509	3	CP056054.1
3	32666048	137.427380	Bin510	3	CP056054.1
3	32918744	138.647612	Bin512	3	CP056054.1
3	33100300	139.130708	Bin513	3	CP056054.1
3	33136481	139.370516	Bin514	3	CP056054.1
3	33168105	139.610325	Bin515	3	CP056054.1
3	33183483	141.102973	Bin516	3	CP056054.1
3	33232459	141.342782	Bin517	3	CP056054.1
3	33452359	142.312530	Bin519	3	CP056054.1
3	33650677	142.795626	Bin520	3	CP056054.1
3	34103758	143.035434	Bin521	3	CP056054.1
3	34467877	151.766260	Bin522	3	CP056054.1
3	34717006	152.249356	Bin523	3	CP056054.1
3	34924332	152.489164	Bin524	3	CP056054.1
3	35081340	153.219104	Bin525	3	CP056054.1
3	35340724	157.221240	Bin526	3	CP056054.1
3	35640686	158.201663	Bin527	3	CP056054.1
3	35887352	158.441472	Bin528	3	CP056054.1
3	36436400	159.676102	Bin529	3	CP056054.1
3	37282004	177.245997	Bin530	3	CP056054.1
3	37789966	177.975937	Bin531	3	CP056054.1
3	37813245	178.705877	Bin532	3	CP056054.1
3	37922094	179.686300	Bin533	3	CP056054.1
3	38083040	180.666724	Bin534	3	CP056054.1
3	38176281	180.906532	Bin535	3	CP056054.1
3	38208629	182.141163	Bin536	3	CP056054.1
3	38303555	182.380972	Bin537	3	CP056054.1
3	38414859	182.620780	Bin538	3	CP056054.1
3	38456811	182.860589	Bin539	3	CP056054.1
3	38487909	183.841012	Bin540	3	CP056054.1
3	38553027	185.315452	Bin542	3	CP056054.1
3	38628780	185.795069	Bin544	3	CP056054.1
3	38725236	186.034877	Bin545	3	CP056054.1
3	38954739	187.247913	Bin547	3	CP056054.1
3	39098112	187.487722	Bin548	3	CP056054.1
4	113754	0.000000	Bin549	4	CP056055.1
4	361201	0.483096	Bin550	4	CP056055.1
4	547583	1.213036	Bin551	4	CP056055.1
4	599082	1.452844	Bin552	4	CP056055.1
4	661570	2.182784	Bin553	4	CP056055.1
4	863023	2.422593	Bin554	4	CP056055.1
4	988455	2.662401	Bin555	4	CP056055.1
4	1427836	2.902210	Bin556	4	CP056055.1
4	1846730	4.111767	Bin559	4	CP056055.1
4	2336625	8.150871	Bin562	4	CP056055.1
4	2397807	8.633967	Bin563	4	CP056055.1
4	2429390	8.873775	Bin564	4	CP056055.1
4	2621664	9.113584	Bin565	4	CP056055.1
4	3577274	10.326619	Bin567	4	CP056055.1
4	3631067	10.566428	Bin568	4	CP056055.1
4	4102027	11.285854	Bin571	4	CP056055.1
4	4236862	11.765471	Bin573	4	CP056055.1
4	4334829	12.248567	Bin574	4	CP056055.1
4	4517660	12.488375	Bin575	4	CP056055.1
4	4716738	12.728184	Bin576	4	CP056055.1
4	5512616	14.173992	Bin580	4	CP056055.1
4	5983298	15.154416	Bin581	4	CP056055.1
4	7426068	16.117128	Bin584	4	CP056055.1
4	10428935	17.097552	Bin585	4	CP056055.1
4	14106181	18.590200	Bin586	4	CP056055.1
4	14535121	18.830009	Bin587	4	CP056055.1
4	14735506	19.069817	Bin588	4	CP056055.1
4	15028341	19.309626	Bin589	4	CP056055.1
4	16559480	23.015025	Bin590	4	CP056055.1
4	16626968	23.498120	Bin591	4	CP056055.1
4	16973797	23.737929	Bin592	4	CP056055.1
4	17092814	23.977737	Bin593	4	CP056055.1
4	17487495	27.391136	Bin594	4	CP056055.1
4	17964636	27.874232	Bin595	4	CP056055.1
4	18183298	32.796235	Bin596	4	CP056055.1
4	18531971	33.279331	Bin597	4	CP056055.1
4	18873272	33.519139	Bin598	4	CP056055.1
4	19434516	33.998757	Bin600	4	CP056055.1
4	19490962	34.238565	Bin601	4	CP056055.1
4	19527122	34.478374	Bin602	4	CP056055.1
4	19627280	34.718182	Bin603	4	CP056055.1
4	19786872	34.957991	Bin604	4	CP056055.1
4	19888757	35.197800	Bin605	4	CP056055.1
4	19993316	35.437608	Bin606	4	CP056055.1
4	20107609	35.677417	Bin607	4	CP056055.1
4	20194718	35.917225	Bin608	4	CP056055.1
4	20340282	36.647165	Bin609	4	CP056055.1
4	20512775	40.352564	Bin610	4	CP056055.1
4	20616772	40.592373	Bin611	4	CP056055.1
4	20700192	40.832181	Bin612	4	CP056055.1
4	20811697	41.071990	Bin613	4	CP056055.1
4	20860768	41.311799	Bin614	4	CP056055.1
4	20957592	41.551607	Bin615	4	CP056055.1
4	21132340	47.030363	Bin617	4	CP056055.1
4	21677939	49.320840	Bin618	4	CP056055.1
4	22151186	49.560649	Bin619	4	CP056055.1
4	22301239	53.864379	Bin620	4	CP056055.1
4	22766889	57.760873	Bin622	4	CP056055.1
4	22833772	58.741297	Bin623	4	CP056055.1
4	23016856	59.464201	Bin625	4	CP056055.1
4	23130115	59.704010	Bin626	4	CP056055.1
4	23209016	59.943818	Bin627	4	CP056055.1
4	23276153	60.183627	Bin628	4	CP056055.1
4	23308146	61.418257	Bin629	4	CP056055.1
4	23401114	66.028567	Bin630	4	CP056055.1
4	23656890	66.758507	Bin631	4	CP056055.1
4	23790750	66.998316	Bin632	4	CP056055.1
4	24198118	67.964507	Bin634	4	CP056055.1
4	24515513	68.944930	Bin635	4	CP056055.1
4	24669193	69.184739	Bin636	4	CP056055.1
4	24717803	71.475216	Bin637	4	CP056055.1
4	24824645	71.715024	Bin638	4	CP056055.1
4	25424828	74.245310	Bin640	4	CP056055.1
4	25658051	74.485118	Bin641	4	CP056055.1
4	25844920	74.724927	Bin642	4	CP056055.1
4	26634594	74.964736	Bin643	4	CP056055.1
4	27361465	82.223836	Bin644	4	CP056055.1
4	27646564	82.463645	Bin645	4	CP056055.1
4	27917925	82.703453	Bin646	4	CP056055.1
4	28761953	84.196102	Bin647	4	CP056055.1
4	29551047	85.688750	Bin648	4	CP056055.1
4	29812999	86.418690	Bin649	4	CP056055.1
4	30326967	90.420825	Bin650	4	CP056055.1
4	31066196	90.660634	Bin651	4	CP056055.1
