chr	pos	cM	bin	source_chr	tigr6_seqid	tigr6_pos	irgsp1_seqid	irgsp1_start0	irgsp1_end0	strand
1	12672918	74.716863	Bin70	1	chr01|13101	12671892	NC_029256.1	12672917	12672918	+
1	12729163	75.199959	Bin71	1	chr01|13101	12728137	NC_029256.1	12729162	12729163	+
1	13025860	76.180382	Bin72	1	chr01|13101	13024834	NC_029256.1	13025859	13025860	+
1	13405859	76.420191	Bin73	1	chr01|13101	13404833	NC_029256.1	13405858	13405859	+
1	13740638	76.660000	Bin74	1	chr01|13101	13739612	NC_029256.1	13740637	13740638	+
1	13994958	76.899808	Bin75	1	chr01|13101	13993932	NC_029256.1	13994957	13994958	+
1	14079702	77.139617	Bin76	1	chr01|13101	14078676	NC_029256.1	14079701	14079702	+
1	14185807	77.379425	Bin77	1	chr01|13101	14184781	NC_029256.1	14185806	14185807	+
1	14308376	77.619234	Bin78	1	chr01|13101	14307350	NC_029256.1	14308375	14308376	+
1	14424651	78.349174	Bin79	1	chr01|13101	14423625	NC_029256.1	14424650	14424651	+
1	14507924	78.588983	Bin80	1	chr01|13101	14506898	NC_029256.1	14507923	14507924	+
1	14577233	79.569406	Bin81	1	chr01|13101	14576207	NC_029256.1	14577232	14577233	+
1	14960058	79.809215	Bin82	1	chr01|13101	14959032	NC_029256.1	14960057	14960058	+
1	15394098	80.539155	Bin83	1	chr01|13101	15393072	NC_029256.1	15394097	15394098	+
1	16550835	80.778963	Bin84	1	chr01|13101	16549809	NC_029256.1	16550834	16550835	+
1	17970577	81.018772	Bin85	1	chr01|13101	17969531	NC_029256.1	17970576	17970577	+
1	18356134	81.748712	Bin86	1	chr01|13101	18355088	NC_029256.1	18356133	18356134	+
1	18394725	81.988521	Bin87	1	chr01|13101	18393679	NC_029256.1	18394724	18394725	+
1	18469492	82.228329	Bin88	1	chr01|13101	18468446	NC_029256.1	18469491	18469492	+
1	18654206	82.711425	Bin89	1	chr01|13101	18653160	NC_029256.1	18654205	18654206	+
1	18989471	83.691848	Bin90	1	chr01|13101	18988426	NC_029256.1	18989470	18989471	+
1	19250574	83.931657	Bin91	1	chr01|13101	19249529	NC_029256.1	19250573	19250574	+
1	19408924	84.414753	Bin92	1	chr01|13101	19407879	NC_029256.1	19408923	19408924	+
1	19534093	84.654561	Bin93	1	chr01|13101	19533048	NC_029256.1	19534092	19534093	+
1	19761233	84.894370	Bin94	1	chr01|13101	19760188	NC_029256.1	19761232	19761233	+
1	20157913	85.134178	Bin95	1	chr01|13101	20156868	NC_029256.1	20157912	20157913	+
1	20390449	85.373987	Bin96	1	chr01|13101	20389404	NC_029256.1	20390448	20390449	+
1	20450207	85.857083	Bin97	1	chr01|13101	20449162	NC_029256.1	20450206	20450207	+
1	20471863	86.340178	Bin98	1	chr01|13101	20470818	NC_029256.1	20471862	20471863	+
1	20518570	87.070118	Bin99	1	chr01|13101	20517525	NC_029256.1	20518569	20518570	+
1	20740638	87.800058	Bin100	1	chr01|13101	20739593	NC_029256.1	20740637	20740638	+
1	20932985	88.283154	Bin101	1	chr01|13101	20931940	NC_029256.1	20932984	20932985	+
1	21064357	88.522962	Bin102	1	chr01|13101	21063312	NC_029256.1	21064356	21064357	+
1	21604965	90.277528	Bin103	1	chr01|13101	21603920	NC_029256.1	21604964	21604965	+
1	22280134	98.630232	Bin104	1	chr01|13101	22279089	NC_029256.1	22280133	22280134	+
1	22556980	98.870041	Bin105	1	chr01|13101	22555935	NC_029256.1	22556979	22556980	+
1	22614591	99.109850	Bin106	1	chr01|13101	22613546	NC_029256.1	22614590	22614591	+
1	22687807	99.349658	Bin107	1	chr01|13101	22686762	NC_029256.1	22687806	22687807	+
1	22752027	99.832754	Bin108	1	chr01|13101	22750983	NC_029256.1	22752026	22752027	+
1	22808830	100.072562	Bin109	1	chr01|13101	22807786	NC_029256.1	22808829	22808830	+
1	22864730	100.555658	Bin110	1	chr01|13101	22863686	NC_029256.1	22864729	22864730	+
1	22940565	100.795467	Bin111	1	chr01|13101	22939521	NC_029256.1	22940564	22940565	+
1	23035620	101.278562	Bin112	1	chr01|13101	23034576	NC_029256.1	23035619	23035620	+
1	23157352	102.008502	Bin113	1	chr01|13101	23156308	NC_029256.1	23157351	23157352	+
1	23236644	102.491598	Bin114	1	chr01|13101	23235600	NC_029256.1	23236643	23236644	+
1	23348340	102.731406	Bin115	1	chr01|13101	23347296	NC_029256.1	23348339	23348340	+
1	23540203	103.461346	Bin116	1	chr01|13101	23539159	NC_029256.1	23540202	23540203	+
1	23651098	103.701155	Bin117	1	chr01|13101	23650054	NC_029256.1	23651097	23651098	+
1	23799501	104.184250	Bin118	1	chr01|13101	23798457	NC_029256.1	23799500	23799501	+
1	23947565	105.676899	Bin119	1	chr01|13101	23946521	NC_029256.1	23947564	23947565	+
1	24024416	106.657322	Bin120	1	chr01|13101	24023372	NC_029256.1	24024415	24024416	+
1	24130331	106.897131	Bin121	1	chr01|13101	24129287	NC_029256.1	24130330	24130331	+
1	24295054	107.136939	Bin122	1	chr01|13101	24294010	NC_029256.1	24295053	24295054	+
1	24483686	113.026091	Bin123	1	chr01|13101	24482642	NC_029256.1	24483685	24483686	+
1	24665655	113.265900	Bin124	1	chr01|13101	24664611	NC_029256.1	24665654	24665655	+
1	24795288	113.995840	Bin125	1	chr01|13101	24794244	NC_029256.1	24795287	24795288	+
1	24845128	114.235648	Bin126	1	chr01|13101	24844084	NC_029256.1	24845127	24845128	+
1	24996516	114.475457	Bin127	1	chr01|13101	24995472	NC_029256.1	24996515	24996516	+
1	25288492	115.205397	Bin128	1	chr01|13101	25287448	NC_029256.1	25288491	25288492	+
1	25847848	115.445205	Bin129	1	chr01|13101	25846804	NC_029256.1	25847847	25847848	+
1	26538164	118.571223	Bin130	1	chr01|13101	26537120	NC_029256.1	26538163	26538164	+
1	27078947	118.811032	Bin131	1	chr01|13101	27077903	NC_029256.1	27078946	27078947	+
1	27661462	126.792539	Bin132	1	chr01|13101	27660418	NC_029256.1	27661461	27661462	+
1	28054566	128.027170	Bin133	1	chr01|13101	28053522	NC_029256.1	28054565	28054566	+
1	28254708	128.266978	Bin134	1	chr01|13101	28253664	NC_029256.1	28254707	28254708	+
1	28420727	128.750074	Bin135	1	chr01|13101	28419682	NC_029256.1	28420726	28420727	+
1	28529505	129.480014	Bin136	1	chr01|13101	28528460	NC_029256.1	28529504	28529505	+
1	28641389	129.719823	Bin137	1	chr01|13101	28640344	NC_029256.1	28641388	28641389	+
1	28746949	129.959631	Bin138	1	chr01|13101	28745904	NC_029256.1	28746948	28746949	+
1	28891948	130.199440	Bin139	1	chr01|13101	28890903	NC_029256.1	28891947	28891948	+
1	29471398	130.929380	Bin140	1	chr01|13101	29470353	NC_029256.1	29471397	29471398	+
1	30031789	134.634778	Bin141	1	chr01|13101	30030744	NC_029256.1	30031788	30031789	+
1	30116645	135.117874	Bin142	1	chr01|13101	30115600	NC_029256.1	30116644	30116645	+
1	30174469	135.357683	Bin143	1	chr01|13101	30173424	NC_029256.1	30174468	30174469	+
1	30331832	136.087623	Bin144	1	chr01|13101	30330788	NC_029256.1	30331831	30331832	+
1	30485895	136.327431	Bin145	1	chr01|13101	30484851	NC_029256.1	30485894	30485895	+
1	30524278	136.567240	Bin146	1	chr01|13101	30523234	NC_029256.1	30524277	30524278	+
1	30555102	136.807048	Bin147	1	chr01|13101	30554058	NC_029256.1	30555101	30555102	+
1	30727174	137.046857	Bin148	1	chr01|13101	30726130	NC_029256.1	30727173	30727174	+
1	30932170	137.286666	Bin149	1	chr01|13101	30931126	NC_029256.1	30932169	30932170	+
1	31004205	137.526474	Bin150	1	chr01|13101	31003161	NC_029256.1	31004204	31004205	+
1	31044074	137.766283	Bin151	1	chr01|13101	31043030	NC_029256.1	31044073	31044074	+
1	31353354	138.006091	Bin152	1	chr01|13101	31352310	NC_029256.1	31353353	31353354	+
1	31678135	138.245900	Bin153	1	chr01|13101	31677091	NC_029256.1	31678134	31678135	+
1	31727062	138.485709	Bin154	1	chr01|13101	31726018	NC_029256.1	31727061	31727062	+
1	31803030	138.725517	Bin155	1	chr01|13101	31801986	NC_029256.1	31803029	31803030	+
1	31905591	138.965326	Bin156	1	chr01|13101	31904547	NC_029256.1	31905590	31905591	+
1	32031657	139.205135	Bin157	1	chr01|13101	32030613	NC_029256.1	32031656	32031657	+
1	32142386	139.688230	Bin158	1	chr01|13101	32141342	NC_029256.1	32142385	32142386	+
1	32210878	140.171326	Bin159	1	chr01|13101	32209834	NC_029256.1	32210877	32210878	+
1	32284347	140.654421	Bin160	1	chr01|13101	32283303	NC_029256.1	32284346	32284347	+
1	32522151	140.894230	Bin161	1	chr01|13101	32521107	NC_029256.1	32522150	32522151	+
1	32808352	144.020248	Bin162	1	chr01|13101	32807308	NC_029256.1	32808351	32808352	+
1	33091623	145.254878	Bin163	1	chr01|13101	33090579	NC_029256.1	33091622	33091623	+
1	33451896	145.494687	Bin164	1	chr01|13101	33450852	NC_029256.1	33451895	33451896	+
1	33730458	145.734495	Bin165	1	chr01|13101	33729414	NC_029256.1	33730457	33730458	+
1	34263191	145.974304	Bin166	1	chr01|13101	34262148	NC_029256.1	34263190	34263191	+
1	34714263	146.214113	Bin167	1	chr01|13101	34713220	NC_029256.1	34714262	34714263	+
1	34802955	146.453921	Bin168	1	chr01|13101	34801912	NC_029256.1	34802954	34802955	+
1	34968277	146.937017	Bin169	1	chr01|13101	34967234	NC_029256.1	34968276	34968277	+
1	35105221	147.176825	Bin170	1	chr01|13101	35104178	NC_029256.1	35105220	35105221	+
1	35338652	147.659921	Bin171	1	chr01|13101	35337609	NC_029256.1	35338651	35338652	+
1	35594347	148.143017	Bin172	1	chr01|13101	35593304	NC_029256.1	35594346	35594347	+
1	35710326	148.382825	Bin173	1	chr01|13101	35709283	NC_029256.1	35710325	35710326	+
1	35870236	148.622634	Bin174	1	chr01|13101	35869193	NC_029256.1	35870235	35870236	+
1	36118599	149.857264	Bin175	1	chr01|13101	36117556	NC_029256.1	36118598	36118599	+
1	36405309	150.097073	Bin176	1	chr01|13101	36404266	NC_029256.1	36405308	36405309	+
1	36935951	150.336882	Bin177	1	chr01|13101	36934908	NC_029256.1	36935950	36935951	+
1	37478326	152.357359	Bin178	1	chr01|13101	37477283	NC_029256.1	37478325	37478326	+
1	37730225	152.597167	Bin179	1	chr01|13101	37729182	NC_029256.1	37730224	37730225	+
1	37848597	152.836976	Bin180	1	chr01|13101	37847554	NC_029256.1	37848596	37848597	+
1	37910911	153.076784	Bin181	1	chr01|13101	37909868	NC_029256.1	37910910	37910911	+
1	38018774	153.806724	Bin182	1	chr01|13101	38017731	NC_029256.1	38018773	38018774	+
1	38139101	154.046533	Bin183	1	chr01|13101	38138058	NC_029256.1	38139100	38139101	+
1	38272928	154.776473	Bin184	1	chr01|13101	38271885	NC_029256.1	38272927	38272928	+
1	38356060	155.016282	Bin185	1	chr01|13101	38355017	NC_029256.1	38356059	38356060	+
1	38393341	155.256090	Bin186	1	chr01|13101	38392298	NC_029256.1	38393340	38393341	+
1	38525505	157.010656	Bin187	1	chr01|13101	38524462	NC_029256.1	38525504	38525505	+
1	38827393	158.245287	Bin188	1	chr01|13101	38826350	NC_029256.1	38827392	38827393	+
1	39066096	160.535764	Bin189	1	chr01|13101	39065053	NC_029256.1	39066095	39066096	+
1	39230649	161.018859	Bin190	1	chr01|13101	39229606	NC_029256.1	39230648	39230649	+
1	39567223	161.501955	Bin191	1	chr01|13101	39566180	NC_029256.1	39567222	39567223	+
1	39801839	163.522432	Bin192	1	chr01|13101	39800796	NC_029256.1	39801838	39801839	+
1	39970253	163.762240	Bin193	1	chr01|13101	39969210	NC_029256.1	39970252	39970253	+
1	40295232	174.495087	Bin194	1	chr01|13101	40294189	NC_029256.1	40295231	40295232	+
1	40555815	178.200486	Bin195	1	chr01|13101	40554772	NC_029256.1	40555814	40555815	+
1	40767815	178.440294	Bin196	1	chr01|13101	40766772	NC_029256.1	40767814	40767815	+
1	40928585	182.744025	Bin197	1	chr01|13101	40927542	NC_029256.1	40928584	40928585	+
1	41026177	183.227120	Bin198	1	chr01|13101	41025134	NC_029256.1	41026176	41026177	+
1	41392836	188.149124	Bin199	1	chr01|13101	41391793	NC_029256.1	41392835	41392836	+
1	41730153	188.632219	Bin200	1	chr01|13101	41729110	NC_029256.1	41730152	41730153	+
1	41793139	189.362159	Bin201	1	chr01|13101	41792096	NC_029256.1	41793138	41793139	+
1	41896473	190.342583	Bin202	1	chr01|13101	41895430	NC_029256.1	41896472	41896473	+
1	42011646	190.825679	Bin203	1	chr01|13101	42010603	NC_029256.1	42011645	42011646	+
1	42061179	191.555619	Bin204	1	chr01|13101	42060136	NC_029256.1	42061178	42061179	+
1	42080122	192.038714	Bin205	1	chr01|13101	42079079	NC_029256.1	42080121	42080122	+
1	42136159	192.278523	Bin206	1	chr01|13101	42135116	NC_029256.1	42136158	42136159	+
1	42197884	192.761618	Bin207	1	chr01|13101	42196840	NC_029256.1	42197883	42197884	+
1	42231737	193.742042	Bin208	1	chr01|13101	42230693	NC_029256.1	42231736	42231737	+
1	42283013	194.225137	Bin209	1	chr01|13101	42281969	NC_029256.1	42283012	42283013	+
1	42345341	194.955077	Bin210	1	chr01|13101	42344297	NC_029256.1	42345340	42345341	+
1	42399128	195.438173	Bin211	1	chr01|13101	42398084	NC_029256.1	42399127	42399128	+
1	42603129	196.168113	Bin212	1	chr01|13101	42602085	NC_029256.1	42603128	42603129	+
1	42833191	197.660761	Bin213	1	chr01|13101	42832147	NC_029256.1	42833190	42833191	+
1	42906590	198.143857	Bin214	1	chr01|13101	42905546	NC_029256.1	42906589	42906590	+
1	42943862	199.636505	Bin215	1	chr01|13101	42942818	NC_029256.1	42943861	42943862	+
1	43012000	199.876313	Bin216	1	chr01|13101	43010956	NC_029256.1	43011999	43012000	+
1	43167899	200.606253	Bin217	1	chr01|13101	43166855	NC_029256.1	43167898	43167899	+
2	52754	0.000000	Bin218	2	chr02|13102	52754	NC_029257.1	52753	52754	+
2	159160	0.239809	Bin219	2	chr02|13102	159160	NC_029257.1	159159	159160	+
2	333654	3.945207	Bin220	2	chr02|13102	333654	NC_029257.1	333653	333654	+
2	474644	4.675147	Bin221	2	chr02|13102	474644	NC_029257.1	474643	474644	+
2	531576	5.158243	Bin222	2	chr02|13102	531576	NC_029257.1	531575	531576	+
2	635938	5.398051	Bin223	2	chr02|13102	635938	NC_029257.1	635937	635938	+
2	737394	5.881147	Bin224	2	chr02|13102	737394	NC_029257.1	737393	737394	+
2	801232	6.364242	Bin225	2	chr02|13102	801232	NC_029257.1	801231	801232	+
2	836328	6.604051	Bin226	2	chr02|13102	836328	NC_029257.1	836327	836328	+
2	911411	7.584475	Bin227	2	chr02|13102	911411	NC_029257.1	911410	911411	+
2	1064168	8.564898	Bin228	2	chr02|13102	1064168	NC_029257.1	1064167	1064168	+
2	1172232	8.804707	Bin229	2	chr02|13102	1172232	NC_029257.1	1172231	1172232	+
2	1216636	9.044515	Bin230	2	chr02|13102	1216636	NC_029257.1	1216635	1216636	+
2	1273457	9.284324	Bin231	2	chr02|13102	1273457	NC_029257.1	1273456	1273457	+
2	1399091	10.014264	Bin232	2	chr02|13102	1399091	NC_029257.1	1399090	1399091	+
2	1566659	10.744204	Bin233	2	chr02|13102	1566659	NC_029257.1	1566658	1566659	+
2	1747231	13.870222	Bin234	2	chr02|13102	1747231	NC_029257.1	1747230	1747231	+
2	1971397	14.353317	Bin235	2	chr02|13102	1971397	NC_029257.1	1971396	1971397	+
2	2099700	14.593126	Bin236	2	chr02|13102	2099700	NC_029257.1	2099699	2099700	+
2	2338034	15.323066	Bin237	2	chr02|13102	2338032	NC_029257.1	2338033	2338034	+
2	2609187	15.562875	Bin238	2	chr02|13102	2609185	NC_029257.1	2609186	2609187	+
2	2717898	16.045970	Bin239	2	chr02|13102	2717896	NC_029257.1	2717897	2717898	+
2	2808160	17.026394	Bin240	2	chr02|13102	2808158	NC_029257.1	2808159	2808160	+
2	2989003	17.509489	Bin241	2	chr02|13102	2989001	NC_029257.1	2989002	2989003	+
2	3188674	17.749298	Bin242	2	chr02|13102	3188672	NC_029257.1	3188673	3188674	+
2	3359948	17.989106	Bin243	2	chr02|13102	3359946	NC_029257.1	3359947	3359948	+
2	3757004	32.373210	Bin244	2	chr02|13102	3757001	NC_029257.1	3757003	3757004	+
2	4100592	33.353634	Bin245	2	chr02|13102	4100589	NC_029257.1	4100591	4100592	+
2	4221685	33.593442	Bin246	2	chr02|13102	4221682	NC_029257.1	4221684	4221685	+
2	4315205	33.833251	Bin247	2	chr02|13102	4315202	NC_029257.1	4315204	4315205	+
2	4485769	34.813674	Bin248	2	chr02|13102	4485766	NC_029257.1	4485768	4485769	+
2	4676619	36.306323	Bin249	2	chr02|13102	4676616	NC_029257.1	4676618	4676619	+
2	4814574	36.546131	Bin250	2	chr02|13102	4814571	NC_029257.1	4814573	4814574	+
2	4936536	38.566608	Bin251	2	chr02|13102	4936533	NC_029257.1	4936535	4936536	+
2	5029007	38.806417	Bin252	2	chr02|13102	5029004	NC_029257.1	5029006	5029007	+
2	5231939	39.536357	Bin253	2	chr02|13102	5231936	NC_029257.1	5231938	5231939	+
2	5647744	47.153393	Bin254	2	chr02|13102	5647744	NC_029257.1	5647743	5647744	+
2	5991758	48.646041	Bin255	2	chr02|13102	5991758	NC_029257.1	5991757	5991758	+
2	6161152	48.885850	Bin256	2	chr02|13102	6161152	NC_029257.1	6161151	6161152	+
2	6311514	49.125658	Bin257	2	chr02|13102	6311514	NC_029257.1	6311513	6311514	+
2	6605221	50.106082	Bin258	2	chr02|13102	6605221	NC_029257.1	6605220	6605221	+
2	6926176	54.108217	Bin259	2	chr02|13102	6926176	NC_029257.1	6926175	6926176	+
2	7048434	54.838157	Bin260	2	chr02|13102	7048434	NC_029257.1	7048433	7048434	+
2	7167164	55.077966	Bin261	2	chr02|13102	7167164	NC_029257.1	7167163	7167164	+
2	7315134	55.807906	Bin262	2	chr02|13102	7315134	NC_029257.1	7315133	7315134	+
2	7476820	61.046853	Bin263	2	chr02|13102	7476820	NC_029257.1	7476819	7476820	+
2	7714093	61.529949	Bin264	2	chr02|13102	7714092	NC_029257.1	7714092	7714093	+
2	7926545	61.769758	Bin265	2	chr02|13102	7926544	NC_029257.1	7926544	7926545	+
2	8367595	62.009566	Bin266	2	chr02|13102	8367594	NC_029257.1	8367594	8367595	+
2	8765069	62.492662	Bin267	2	chr02|13102	8765068	NC_029257.1	8765068	8765069	+
2	8853618	62.732470	Bin268	2	chr02|13102	8853616	NC_029257.1	8853617	8853618	+
2	8948095	63.462410	Bin269	2	chr02|13102	8948093	NC_029257.1	8948094	8948095	+
2	9069776	63.702219	Bin270	2	chr02|13102	9069774	NC_029257.1	9069775	9069776	+
2	9298934	64.185314	Bin271	2	chr02|13102	9298932	NC_029257.1	9298933	9298934	+
2	9527602	64.668410	Bin272	2	chr02|13102	9527600	NC_029257.1	9527601	9527602	+
2	9760950	64.908219	Bin273	2	chr02|13102	9760948	NC_029257.1	9760949	9760950	+
2	10056708	65.148027	Bin274	2	chr02|13102	10056706	NC_029257.1	10056707	10056708	+
2	10468520	66.128451	Bin275	2	chr02|13102	10468518	NC_029257.1	10468519	10468520	+
2	10921780	67.621099	Bin276	2	chr02|13102	10921777	NC_029257.1	10921779	10921780	+
2	11565916	67.860908	Bin277	2	chr02|13102	11565912	NC_029257.1	11565915	11565916	+
2	12068184	68.100716	Bin278	2	chr02|13102	12068180	NC_029257.1	12068183	12068184	+
2	13985146	70.665381	Bin279	2	chr02|13102	13979276	NC_029257.1	13985145	13985146	+
2	15874882	71.148476	Bin280	2	chr02|13102	15869012	NC_029257.1	15874881	15874882	+
2	15989398	71.388285	Bin281	2	chr02|13102	15983528	NC_029257.1	15989397	15989398	+
2	16122778	71.628094	Bin282	2	chr02|13102	16116908	NC_029257.1	16122777	16122778	+
2	16180155	71.867902	Bin283	2	chr02|13102	16174285	NC_029257.1	16180154	16180155	+
2	16333643	72.107711	Bin284	2	chr02|13102	16327773	NC_029257.1	16333642	16333643	+
2	16507469	72.347520	Bin285	2	chr02|13102	16501599	NC_029257.1	16507468	16507469	+
2	17312886	72.587328	Bin286	2	chr02|13102	17307016	NC_029257.1	17312885	17312886	+
2	18101338	73.070424	Bin287	2	chr02|13102	18095469	NC_029257.1	18101337	18101338	+
2	18299791	73.310232	Bin288	2	chr02|13102	18293922	NC_029257.1	18299790	18299791	+
2	18499027	73.550041	Bin289	2	chr02|13102	18493158	NC_029257.1	18499026	18499027	+
2	18587219	73.789850	Bin290	2	chr02|13102	18581350	NC_029257.1	18587218	18587219	+
2	18670156	74.029658	Bin291	2	chr02|13102	18664287	NC_029257.1	18670155	18670156	+
2	18723152	74.759598	Bin292	2	chr02|13102	18717283	NC_029257.1	18723151	18723152	+
2	18779295	74.999407	Bin293	2	chr02|13102	18773426	NC_029257.1	18779294	18779295	+
2	18941289	75.729347	Bin294	2	chr02|13102	18935420	NC_029257.1	18941288	18941289	+
2	19135792	77.221995	Bin295	2	chr02|13102	19129924	NC_029257.1	19135791	19135792	+
2	19218184	77.461803	Bin296	2	chr02|13102	19212316	NC_029257.1	19218183	19218184	+
