marker_id	primer_side	qseqid	marker_type	linkage_group	cM	raw_hits	full_len_no_gap_hits	min_mismatch_full_len_no_gap	min_mismatch_bin	hits_at_min_mismatch	is_multihit_at_min_mismatch	best_full_len_no_gap_sseqid	best_full_len_no_gap_sstart	best_full_len_no_gap_send	best_full_len_no_gap_strand	best_full_len_no_gap_bitscore	best_any_alignment_length	best_any_coverage	best_any_pident	best_any_mismatch	best_any_gapopen	best_any_sseqid	best_any_sstart	best_any_send	best_any_bitscore	full_len_no_gap_mm0_hits	full_len_no_gap_mm1_hits	full_len_no_gap_mm2_hits	full_len_no_gap_mm3_hits	full_len_no_gap_mm4_hits	full_len_no_gap_mm5_hits	full_len_no_gap_mm_gt5_hits	full_len_no_gap_mm_le0_hits	has_full_len_no_gap_mm_le0	full_len_no_gap_mm_le1_hits	has_full_len_no_gap_mm_le1	full_len_no_gap_mm_le2_hits	has_full_len_no_gap_mm_le2	full_len_no_gap_mm_le3_hits	has_full_len_no_gap_mm_le3	full_len_no_gap_mm_le4_hits	has_full_len_no_gap_mm_le4	full_len_no_gap_mm_le5_hits	has_full_len_no_gap_mm_le5
BnGMS631	R	BnGMS631__R	SSR	C03	23.895	915	1	0.0	0	1	False	gb|CM031008.1|	72444978.0	72444997.0	+	40.1	20	1.0	100.0	0	0	gb|CM031008.1|	72444978	72444997	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BnGMS647	F	BnGMS647__F	SSR	C04	86.409	1417	0		no_full_length_no_gap	0	False						21	1.05	95.238	0	1	gb|CM031009.1|	50185153	50185133	26.3	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BnGMS647	R	BnGMS647__R	SSR	C04	86.409	5067	2	0.0	0	1	False	gb|CM031009.1|	50184786.0	50184805.0	+	40.1	20	1.0	100.0	0	0	gb|CM031009.1|	50184786	50184805	40.1	1	0	1	0	0	0	0	1	True	1	True	2	True	2	True	2	True	2	True
BoE002	F	BoE002__F	SSR	C04	60.746	979	1	0.0	0	1	False	gb|CM031009.1|	17208542.0	17208521.0	-	44.1	22	1.0	100.0	0	0	gb|CM031009.1|	17208542	17208521	44.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE002	R	BoE002__R	SSR	C04	60.746	1435	1	0.0	0	1	False	gb|CM031009.1|	17208259.0	17208280.0	+	44.1	22	1.0	100.0	0	0	gb|CM031009.1|	17208259	17208280	44.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE013	F	BoE013__F	SSR	C08	44.362	9730	2	1.0	1	2	True	gb|CM031012.1|	50118703.0	50118719.0	+	26.3	17	1.0	94.118	1	0	gb|CM031012.1|	50118703	50118719	26.3	0	2	0	0	0	0	0	0	False	2	True	2	True	2	True	2	True	2	True
BoE013	R	BoE013__R	SSR	C08	44.362	1374	2	0.0	0	1	False	gb|CM031013.1|	26772817.0	26772799.0	-	38.2	19	1.0	100.0	0	0	gb|CM031013.1|	26772817	26772799	38.2	1	1	0	0	0	0	0	1	True	2	True	2	True	2	True	2	True	2	True
BoE015	F	BoE015__F	SSR	C07	95.078	9638	2	0.0	0	1	False	gb|CM031012.1|	2011930.0	2011950.0	+	42.1	21	1.0	100.0	0	0	gb|CM031012.1|	2011930	2011950	42.1	1	0	1	0	0	0	0	1	True	1	True	2	True	2	True	2	True	2	True
BoE015	R	BoE015__R	SSR	C07	95.078	1600	2	0.0	0	1	False	gb|CM031012.1|	2012087.0	2012069.0	-	38.2	19	1.0	100.0	0	0	gb|CM031012.1|	2012087	2012069	38.2	1	0	1	0	0	0	0	1	True	1	True	2	True	2	True	2	True	2	True
BoE035	F	BoE035__F	SSR	C08	40.87	7503	2	0.0	0	1	False	gb|CM031013.1|	26571181.0	26571162.0	-	40.1	20	1.0	100.0	0	0	gb|CM031013.1|	26571181	26571162	40.1	1	0	1	0	0	0	0	1	True	1	True	2	True	2	True	2	True	2	True
BoE035	R	BoE035__R	SSR	C08	40.87	2267	1	0.0	0	1	False	gb|CM031013.1|	26570978.0	26571001.0	+	48.1	24	1.0	100.0	0	0	gb|CM031013.1|	26570978	26571001	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE041	F	BoE041__F	SSR	C01	36.32	6945	1	0.0	0	1	False	gb|CM031006.1|	5994842.0	5994861.0	+	40.1	20	1.0	100.0	0	0	gb|CM031006.1|	5994842	5994861	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE041	R	BoE041__R	SSR	C01	36.32	1860	1	0.0	0	1	False	gb|CM031006.1|	5995000.0	5994979.0	-	44.1	22	1.0	100.0	0	0	gb|CM031006.1|	5995000	5994979	44.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE047	F	BoE047__F	SSR	C06	70.219	9000	1	0.0	0	1	False	gb|CM031011.1|	25151859.0	25151836.0	-	48.1	24	1.0	100.0	0	0	gb|CM031011.1|	25151859	25151836	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE047	R	BoE047__R	SSR	C06	70.219	34636	4	0.0	0	1	False	gb|CM031011.1|	25151725.0	25151748.0	+	48.1	24	1.0	100.0	0	0	gb|CM031011.1|	25151725	25151748	48.1	1	0	0	3	0	0	0	1	True	1	True	1	True	4	True	4	True	4	True
BoE068	F	BoE068__F	SSR	C02	125.318	1746	1	0.0	0	1	False	gb|CM031007.1|	49137008.0	49136985.0	-	48.1	24	1.0	100.0	0	0	gb|CM031007.1|	49137008	49136985	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE068	R	BoE068__R	SSR	C02	125.318	10268	3	0.0	0	1	False	gb|CM031007.1|	49136754.0	49136777.0	+	48.1	24	1.0	100.0	0	0	gb|CM031007.1|	49136754	49136777	48.1	1	1	1	0	0	0	0	1	True	2	True	3	True	3	True	3	True	3	True
BoE080	F	BoE080__F	SSR	C08	75.991	2168	2	1.0	1	1	False	gb|CM031013.1|	42973987.0	42974009.0	+	38.2	23	1.0	95.652	1	0	gb|CM031013.1|	42973987	42974009	38.2	0	1	0	1	0	0	0	0	False	1	True	1	True	2	True	2	True	2	True
BoE080	R	BoE080__R	SSR	C08	75.991	12546	1	0.0	0	1	False	gb|CM031013.1|	42974191.0	42974168.0	-	48.1	24	1.0	100.0	0	0	gb|CM031013.1|	42974191	42974168	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE093	F	BoE093__F	SSR	C07	75.943	1819	1	0.0	0	1	False	gb|CM031012.1|	42257737.0	42257715.0	-	46.1	23	1.0	100.0	0	0	gb|CM031012.1|	42257737	42257715	46.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE093	R	BoE093__R	SSR	C07	75.943	4105	0		no_full_length_no_gap	0	False						21	0.875	90.476	2	0	gb|CM031007.1|	24665524	24665504	26.3	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BoE106	F	BoE106__F	SSR	C01	20.071	767	6	0.0	0	6	True	gb|CM031006.1|	1185841.0	1185861.0	+	42.1	21	1.0	100.0	0	0	gb|CM031006.1|	1185841	1185861	42.1	6	0	0	0	0	0	0	6	True	6	True	6	True	6	True	6	True	6	True
BoE106	R	BoE106__R	SSR	C01	20.071	1393	11	0.0	0	6	True	gb|CM031006.1|	1186095.0	1186072.0	-	48.1	24	1.0	100.0	0	0	gb|CM031006.1|	1186095	1186072	48.1	6	3	1	1	0	0	0	6	True	9	True	10	True	11	True	11	True	11	True
BoE116	F	BoE116__F	SSR	C08	96.551	31671	3	0.0	0	1	False	gb|CM031013.1|	47064539.0	47064562.0	+	48.1	24	1.0	100.0	0	0	gb|CM031013.1|	47064539	47064562	48.1	1	0	0	2	0	0	0	1	True	1	True	1	True	3	True	3	True	3	True
BoE116	R	BoE116__R	SSR	C08	96.551	1404	1	0.0	0	1	False	gb|CM031013.1|	47064717.0	47064698.0	-	40.1	20	1.0	100.0	0	0	gb|CM031013.1|	47064717	47064698	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE118	F	BoE118__F	SSR	C07	42.535	976	4	0.0	0	1	False	gb|CM031012.1|	50973250.0	50973270.0	+	42.1	21	1.0	100.0	0	0	gb|CM031012.1|	50973250	50973270	42.1	1	0	3	0	0	0	0	1	True	1	True	4	True	4	True	4	True	4	True
BoE118	R	BoE118__R	SSR	C07	42.535	1814	1	0.0	0	1	False	gb|CM031012.1|	50973444.0	50973421.0	-	48.1	24	1.0	100.0	0	0	gb|CM031012.1|	50973444	50973421	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE121	F	BoE121__F	SSR	C01	81.698	4755	2	0.0	0	1	False	gb|CM031006.1|	41326707.0	41326690.0	-	36.2	18	1.0	100.0	0	0	gb|CM031006.1|	41326707	41326690	36.2	1	1	0	0	0	0	0	1	True	2	True	2	True	2	True	2	True	2	True
BoE121	R	BoE121__R	SSR	C01	81.698	2075	1	0.0	0	1	False	gb|CM031006.1|	41326489.0	41326506.0	+	36.2	18	1.0	100.0	0	0	gb|CM031006.1|	41326489	41326506	36.2	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE123	F	BoE123__F	SSR	C06	71.448	876	0		no_full_length_no_gap	0	False						17	0.9444444444444444	94.118	1	0	gb|CM031009.1|	19604444	19604460	26.3	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BoE123	R	BoE123__R	SSR	C06	71.448	8003	1	0.0	0	1	False	gb|CM031011.1|	20524741.0	20524718.0	-	48.1	24	1.0	100.0	0	0	gb|CM031011.1|	20524741	20524718	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE129	F	BoE129__F	SSR	C04	61.238	3558	1	0.0	0	1	False	gb|CM031009.1|	17738659.0	17738678.0	+	40.1	20	1.0	100.0	0	0	gb|CM031009.1|	17738659	17738678	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE129	R	BoE129__R	SSR	C04	61.238	2029	1	0.0	0	1	False	gb|CM031009.1|	17738882.0	17738861.0	-	44.1	22	1.0	100.0	0	0	gb|CM031009.1|	17738882	17738861	44.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE134	F	BoE134__F	SSR	C08	34.276	8076	1	1.0	1	1	False	gb|JAEMQI010000018.1|	291430.0	291407.0	-	40.1	24	1.0	95.833	1	0	gb|JAEMQI010000018.1|	291430	291407	40.1	0	1	0	0	0	0	0	0	False	1	True	1	True	1	True	1	True	1	True
BoE134	R	BoE134__R	SSR	C08	34.276	4135	1	0.0	0	1	False	gb|JAEMQI010000018.1|	291207.0	291226.0	+	40.1	20	1.0	100.0	0	0	gb|JAEMQI010000018.1|	291207	291226	40.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE137	F	BoE137__F	SSR	C08	75.541	7130	8	0.0	0	6	True	gb|CM031013.1|	42973916.0	42973939.0	+	48.1	24	1.0	100.0	0	0	gb|CM031013.1|	42973916	42973939	48.1	6	1	0	1	0	0	0	6	True	7	True	7	True	8	True	8	True	8	True
BoE137	R	BoE137__R	SSR	C08	75.541	12546	1	0.0	0	1	False	gb|CM031013.1|	42974191.0	42974168.0	-	48.1	24	1.0	100.0	0	0	gb|CM031013.1|	42974191	42974168	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE139	F	BoE139__F	SSR	C03	53.628	8165	0		no_full_length_no_gap	0	False						23	0.9583333333333334	91.304	2	0	gb|CM031008.1|	62021275	62021297	30.2	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BoE139	R	BoE139__R	SSR	C03	53.628	1448	1	0.0	0	1	False	gb|CM031008.1|	61041688.0	61041709.0	+	44.1	22	1.0	100.0	0	0	gb|CM031008.1|	61041688	61041709	44.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE149	F	BoE149__F	SSR	C04	61.51	7930	1	0.0	0	1	False	gb|CM031009.1|	17738610.0	17738632.0	+	46.1	23	1.0	100.0	0	0	gb|CM031009.1|	17738610	17738632	46.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE149	R	BoE149__R	SSR	C04	61.51	9251	1	0.0	0	1	False	gb|CM031009.1|	17738849.0	17738826.0	-	48.1	24	1.0	100.0	0	0	gb|CM031009.1|	17738849	17738826	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE162	F	BoE162__F	SSR	C02	103.903	1978	2	0.0	0	1	False	gb|CM031007.1|	6063813.0	6063794.0	-	40.1	20	1.0	100.0	0	0	gb|CM031007.1|	6063813	6063794	40.1	1	0	1	0	0	0	0	1	True	1	True	2	True	2	True	2	True	2	True
BoE162	R	BoE162__R	SSR	C02	103.903	846	5	0.0	0	1	False	gb|CM031007.1|	6063519.0	6063538.0	+	40.1	20	1.0	100.0	0	0	gb|CM031007.1|	6063519	6063538	40.1	1	1	3	0	0	0	0	1	True	2	True	5	True	5	True	5	True	5	True
BoE169	F	BoE169__F	SSR	C08	75.473	3314	0		no_full_length_no_gap	0	False						21	0.9545454545454546	95.238	1	0	gb|CM031012.1|	26177031	26177051	34.2	0	0	0	0	0	0	0	0	False	0	False	0	False	0	False	0	False	0	False
BoE169	R	BoE169__R	SSR	C08	75.473	3742	2	0.0	0	1	False	gb|CM031012.1|	26177395.0	26177372.0	-	48.1	24	1.0	100.0	0	0	gb|CM031012.1|	26177395	26177372	48.1	1	0	1	0	0	0	0	1	True	1	True	2	True	2	True	2	True	2	True
BoE188	F	BoE188__F	SSR	C01	66.073	2196	3	0.0	0	1	False	gb|CM031006.1|	12248907.0	12248889.0	-	38.2	19	1.0	100.0	0	0	gb|CM031006.1|	12248907	12248889	38.2	1	2	0	0	0	0	0	1	True	3	True	3	True	3	True	3	True	3	True
BoE188	R	BoE188__R	SSR	C01	66.073	7931	1	0.0	0	1	False	gb|CM031006.1|	12248661.0	12248684.0	+	48.1	24	1.0	100.0	0	0	gb|CM031006.1|	12248661	12248684	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE208	F	BoE208__F	SSR	C07	53.179	1922	1	0.0	0	1	False	gb|CM031012.1|	48212700.0	48212679.0	-	44.1	22	1.0	100.0	0	0	gb|CM031012.1|	48212700	48212679	44.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE208	R	BoE208__R	SSR	C07	53.179	5360	1	0.0	0	1	False	gb|CM031012.1|	48212512.0	48212535.0	+	48.1	24	1.0	100.0	0	0	gb|CM031012.1|	48212512	48212535	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE209	F	BoE209__F	SSR	C06	61.066	1258	3	0.0	0	3	True	gb|CM031014.1|	19943328.0	19943308.0	-	42.1	21	1.0	100.0	0	0	gb|CM031014.1|	19943328	19943308	42.1	3	0	0	0	0	0	0	3	True	3	True	3	True	3	True	3	True	3	True
BoE209	R	BoE209__R	SSR	C06	61.066	478	3	1.0	1	3	True	gb|CM031014.1|	48071245.0	48071264.0	+	32.2	20	1.0	95.0	1	0	gb|CM031014.1|	48071245	48071264	32.2	0	3	0	0	0	0	0	0	False	3	True	3	True	3	True	3	True	3	True
BoE222	F	BoE222__F	SSR	C03	33.013	2037	1	0.0	0	1	False	gb|CM031008.1|	70159706.0	70159683.0	-	48.1	24	1.0	100.0	0	0	gb|CM031008.1|	70159706	70159683	48.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE222	R	BoE222__R	SSR	C03	33.013	2477	1	0.0	0	1	False	gb|CM031008.1|	70159545.0	70159562.0	+	36.2	18	1.0	100.0	0	0	gb|CM031008.1|	70159545	70159562	36.2	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
BoE225	F	BoE225__F	SSR	C07	37.216	2530	2	0.0	0	1	False	gb|CM031012.1|	52634282.0	52634303.0	+	44.1	22	1.0	100.0	0	0	gb|CM031012.1|	52634282	52634303	44.1	1	1	0	0	0	0	0	1	True	2	True	2	True	2	True	2	True	2	True
BoE225	R	BoE225__R	SSR	C07	37.216	1066	1	0.0	0	1	False	gb|CM031012.1|	52634452.0	52634431.0	-	44.1	22	1.0	100.0	0	0	gb|CM031012.1|	52634452	52634431	44.1	1	0	0	0	0	0	0	1	True	1	True	1	True	1	True	1	True	1	True
