marker_id	linkage_group	cM	marker_type	F_raw_hits	R_raw_hits	F_full_length_perfect_hits	R_full_length_perfect_hits	F_full_length_mm1_hits	R_full_length_mm1_hits	has_F_any_hit	has_R_any_hit	has_both_any_hit	has_F_perfect	has_R_perfect	has_both_primers_perfect	has_F_mm1	has_R_mm1	has_both_primers_mm1	F_multihit_perfect	R_multihit_perfect	F_multihit_mm1	R_multihit_mm1	in_strict_high_confidence_196	in_relaxed_mm1_collinear_222
BoE118	C07	42.535	SSR	976	1814	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE121	C01	81.698	SSR	4755	2075	1	1	2	1	True	True	True	True	True	True	True	True	True	False	False	True	False	False	False
BoE123	C06	71.448	SSR	876	8003	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoE129	C04	61.238	SSR	3558	2029	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE134	C08	34.276	SSR	8076	4135	0	1	1	1	True	True	True	False	True	False	True	True	True	False	False	False	False	False	False
BoE137	C08	75.541	SSR	7130	12546	6	1	7	1	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
BoE139	C03	53.628	SSR	8165	1448	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoE149	C04	61.51	SSR	7930	9251	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE162	C02	103.903	SSR	1978	846	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoE169	C08	75.473	SSR	3314	3742	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoE188	C01	66.073	SSR	2196	7931	1	1	3	1	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True
BoE208	C07	53.179	SSR	1922	5360	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE209	C06	61.066	SSR	1258	478	3	0	3	3	True	True	True	True	False	False	True	True	True	True	False	True	True	False	False
BoE222	C03	33.013	SSR	2037	2477	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE225	C07	37.216	SSR	2530	1066	1	1	2	1	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True
BoE277	C04	61.332	SSR	2821	2564	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoE278	C09	55.165	SSR	1462	2709	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE337	C09	38.906	SSR	14660	8042	0	1	0	2	True	True	True	False	True	False	False	True	False	False	False	False	True	False	False
BoE339	C07	27.301	SSR	3597	5627	0	0	1	1	True	True	True	False	False	False	True	True	True	False	False	False	False	False	False
BoE340	C07	71.758	SSR	10094	23099	1	4	2	8	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False
BoE341	C01	58.132	SSR	743	3148	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BoE347	C05	27.382	SSR	14897	3716	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoE379	C06	71.794	SSR	730	1483	0	1	0	2	True	True	True	False	True	False	False	True	False	False	False	False	True	False	False
BoE391	C08	86.203	SSR	6057	2853	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE392	C06	47.797	SSR	1925	1313	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE405	C04	133.566	SSR	4700	2056	1	2	1	2	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True
BoE406	C03	63.038	SSR	1907	13461	2	4	2	4	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False
BoE407	C01	74.796	SSR	3362	3074	0	2	1	2	True	True	True	False	True	False	True	True	True	False	True	False	True	False	True
BoE417	C06	70.133	SSR	918	3385	0	1	1	1	True	True	True	False	True	False	True	True	True	False	False	False	False	False	False
BoE425	C09	59.066	SSR	4618	1870	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE432	C07	20.387	SSR	1692	1805	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoE450	C04	101.874	SSR	1794	2187	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE483	C02	7.48	SSR	817	5086	0	2	0	2	True	True	True	False	True	False	False	True	False	False	True	False	True	False	False
BoE501	C03	36.996	SSR	2190	4091	2	1	3	2	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True
BoE506	C04	61.074000000000005	SSR	1395	4561	1	2	1	2	True	True	True	True	True	True	True	True	True	False	True	False	True	False	False
BoE530	C04	66.733	SSR	1380	2708	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE569	C06	54.066	SSR	1566	1034	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoE571	C03	104.769	SSR	2777	9749	1	6	1	27	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True
BoE572	C07	94.409	SSR	622	3499	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE586	C05	116.262	SSR	1169	12887	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoE590	C01	74.78	SSR	14722	2428	4	5	4	6	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False
BoE592	C07	48.301	SSR	2999	3565	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE607	C01	73.032	SSR	2942	2261	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE615	C08	54.25	SSR	5278	3133	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE623	C06	70.286	SSR	3493	2228	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE629	C03	46.423	SSR	2693	3869	0	1	1	1	True	True	True	False	True	False	True	True	True	False	False	False	False	False	True
BoE648	C04	111.057	SSR	3043	6499	2	0	2	1	True	True	True	True	False	False	True	True	True	True	False	True	False	False	True
BoE718	C03	122.942	SSR	1818	464	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE723	C07	75.48	SSR	2367	1411	1	1	1	4	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoE746	C05	108.248	SSR	715	2987	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE756	C08	40.277	SSR	666	8806	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BoE761	C06	44.658	SSR	4704	2496	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE783	C07	22.271	SSR	8773	9130	2	1	7	1	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
BoE804	C03	80.908	SSR	4440	17522	1	0	2	0	True	True	True	True	False	False	True	False	False	False	False	True	False	False	False
BoE821	C01	73.943	SSR	2776	5441	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoE822	C08	76.652	SSR	7614	3498	5	5	6	7	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False
BoE825	C04	65.197	SSR	2067	2452	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE836	C08	137.024	SSR	10245	2570	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE860	C01	80.005	SSR	4204	5825	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoE862	C04	62.623000000000005	SSR	767	3225	1	1	2	1	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True
BoE876	C08	87.243	SSR	23962	1485	1	1	3	1	True	True	True	True	True	True	True	True	True	False	False	True	False	False	False
BoE878	C04	127.194	SSR	1601	2269	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE882	C05	43.675	SSR	5947	698	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE883	C03	88.009	SSR	4294	1861	1	1	2	1	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True
BoE891	C05	69.941	SSR	6619	1561	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE904	C02	133.472	SSR	1310	16179	1	3	2	9	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True
BoE916	C08	31.205	SSR	1435	6037	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoE974	C08	84.127	SSR	2896	3174	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoE986	C05	44.082	SSR	4536	1071	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoE996	C08	96.908	SSR	3322	6060	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF004	C03	115.211	SSR	1988	2863	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF010	C03	76.594	SSR	1687	3987	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF022	C05	42.862	SSR	3515	2785	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF030	C07	108.987	SSR	1323	5250	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF034	C08	33.136	SSR	1534	2118	1	6	1	10	True	True	True	True	True	True	True	True	True	False	True	False	True	False	False
BoSF042	C03	61.815	SSR	2887	2505	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoSF043	C06	67.549	SSR	6537	3499	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BoSF050	C01	76.227	SSR	816	963	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF052	C09	66.628	SSR	2469	6325	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF062	C03	37.195	SSR	389	2276	2	1	2	1	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False
BoSF063	C01	54.721	SSR	4473	5562	1	2	1	3	True	True	True	True	True	True	True	True	True	False	True	False	True	False	False
BoSF084	C04	79.276	SSR	2019	9330	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1020	C02	151.381	SSR	1916	1701	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BoSF1028	C08	120.542	SSR	5004	4554	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF103	C04	71.688	SSR	3740	1178	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1037	C02	97.614	SSR	1444	5645	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1043	C03	80.104	SSR	4645	6247	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1047	C04	26.115	SSR	6392	3237	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BoSF105	C06	82.033	SSR	2365	948	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF108	C02	104.38	SSR	3947	1505	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BoSF1080	C08	78.573	SSR	3352	5479	0	1	0	3	True	True	True	False	True	False	False	True	False	False	False	False	True	False	False
BoSF1100	C08	48.371	SSR	3953	912	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1103	C06	49.783	SSR	1476	1663	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1127	C03	128.549	SSR	3206	3526	1	1	2	1	True	True	True	True	True	True	True	True	True	False	False	True	False	False	False
BoSF1131	C03	9.902	SSR	2372	619	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1136	C03	24.877	SSR	1299	27814	1	0	1	3	True	True	True	True	False	False	True	True	True	False	False	False	True	False	True
BoSF1147	C01	64.647	SSR	1293	1738	1	0	1	1	True	True	True	True	False	False	True	True	True	False	False	False	False	False	False
BoSF1148	C05	57.414	SSR	1637	8398	1	1	2	1	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True
BoSF1163	C02	130.51	SSR	1088	4181	2	2	2	3	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False
BoSF1167	C02	77.197	SSR	1784	3311	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1197a	C03	148.235	SSR	1253	1590	1	1	2	1	True	True	True	True	True	True	True	True	True	False	False	True	False	False	False
BoSF1197b	C07	29.046	SSR	1253	1590	1	1	2	1	True	True	True	True	True	True	True	True	True	False	False	True	False	False	False
BoSF1204	C07	95.599	SSR	9015	4051	0	3	0	3	True	True	True	False	True	False	False	True	False	False	True	False	True	False	False
BoSF1207	C01	36.259	SSR	1149	3505	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1215	C06	67.966	SSR	2394	712	2	1	2	1	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True
BoSF1219	C05	28.841	SSR	4475	1879	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1220	C08	53.798	SSR	4124	1797	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1224	C08	52.431	SSR	3568	2540	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1229	C01	43.206	SSR	3158	840	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1244	C09	96.293	SSR	1008	7384	1	0	1	1	True	True	True	True	False	False	True	True	True	False	False	False	False	False	False
BoSF1245	C09	92.51	SSR	7384	2358	0	0	1	0	True	True	True	False	False	False	True	False	False	False	False	False	False	False	False
BoSF1259a	C08	127.718	SSR	3489	1633	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	False	False
BoSF1259b	C08	128.517	SSR	3489	1633	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	False	False
BoSF126	C06	74.168	SSR	2493	2538	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1269	C04	63.611	SSR	1071	1447	2	1	4	1	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False
BoSF1274	C04	123.493	SSR	2177	3500	0	1	1	1	True	True	True	False	True	False	True	True	True	False	False	False	False	False	False
BoSF1275	C02	125.819	SSR	1744	1039	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1295	C03	154.261	SSR	3937	1243	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	False	False
BoSF130	C01	65.711	SSR	6731	2363	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	False	False
BoSF1322	C06	62.456	SSR	1321	25578	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BoSF1323	C06	61.838	SSR	2798	1195	3	0	5	0	True	True	True	True	False	False	True	False	False	True	False	True	False	False	False
BoSF1331	C01	0.0	SSR	860	831	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1337	C06	0.0	SSR	3429	1288	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1338	C06	31.656	SSR	3580	8903	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1342	C03	114.131	SSR	1410	3059	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF135	C08	68.541	SSR	10142	512	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1351	C03	130.805	SSR	1365	4036	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1355	C06	73.996	SSR	2163	2134	2	2	2	2	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False
BoSF1378	C04	57.638000000000005	SSR	4076	902	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1395	C07	67.078	SSR	1622	7329	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoSF1408	C03	67.62	SSR	3623	2512	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1412	C03	68.163	SSR	32250	12669	1	1	3	1	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True
BoSF1419	C07	122.864	SSR	3681	1122	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF142	C03	125.062	SSR	2848	1790	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1425	C02	59.861	SSR	4625	901	1	1	8	1	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True
BoSF1426	C01	66.883	SSR	5202	1122	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1430	C09	86.088	SSR	1808	110069	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1451	C09	66.543	SSR	3051	1472	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoSF1455	C07	11.504	SSR	3647	5247	1	3	1	3	True	True	True	True	True	True	True	True	True	False	True	False	True	False	False
BoSF1461	C08	2.706	SSR	3355	2244	2	1	3	1	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False
BoSF1464	C05	89.747	SSR	5728	7191	17	0	36	0	True	True	True	True	False	False	True	False	False	True	False	True	False	False	False
BoSF1469	C01	38.619	SSR	26253	3343	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1530	C03	31.081	SSR	2582	5594	0	1	1	1	True	True	True	False	True	False	True	True	True	False	False	False	False	False	False
BoSF1537	C04	57.428	SSR	1758	8645	0	2	1	2	True	True	True	False	True	False	True	True	True	False	True	False	True	False	False
BoSF154	C01	74.721	SSR	1496	1439	1	1	3	1	True	True	True	True	True	True	True	True	True	False	False	True	False	False	False
BoSF1553	C09	86.733	SSR	3485	1909	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1568	C04	62.983	SSR	382	3832	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1573	C07	33.845	SSR	6675	8700	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1581	C07	96.232	SSR	3555	2581	1	42	1	61	True	True	True	True	True	True	True	True	True	False	True	False	True	False	False
BoSF1588	C06	16.417	SSR	1320	1468	2	1	2	1	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False
BoSF1597	C01	53.296	SSR	2463	5827	1	1	2	1	True	True	True	True	True	True	True	True	True	False	False	True	False	False	False
BoSF1611	C03	103.301	SSR	2790	6562	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1613	C03	87.099	SSR	841	1751	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoSF1615	C06	84.025	SSR	4918	2197	0	0	0	10	True	True	True	False	False	False	False	True	False	False	False	False	True	False	False
BoSF1620	C09	61.803	SSR	3021	3008	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1637	C06	51.307	SSR	3758	2449	1	0	3	2	True	True	True	True	False	False	True	True	True	False	False	True	True	False	False
BoSF1640	C09	45.888	SSR	2567	3087	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1658	C03	46.955	SSR	8416	6651	125	0	162	1	True	True	True	True	False	False	True	True	True	True	False	True	False	False	False
BoSF1662	C05	96.68	SSR	16209	5403	1	1	4	9	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True
BoSF1665	C03	42.968	SSR	3562	15411	0	0	1	0	True	True	True	False	False	False	True	False	False	False	False	False	False	False	False
BoSF1675	C09	62.382	SSR	3807	8745	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF168	C08	34.264	SSR	1439	1592	1	4	2	11	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False
BoSF1684	C08	123.751	SSR	2577	3958	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF169	C05	64.794	SSR	3340	10701	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF170	C08	66.222	SSR	7623	2651	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoSF1721	C06	18.957	SSR	5371	2671	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1733	C09	44.875	SSR	3566	3088	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoSF1740	C08	75.387	SSR	1167	814	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1746	C08	33.705	SSR	2543	1538	0	35	0	65	True	True	True	False	True	False	False	True	False	False	True	False	True	False	False
BoSF1757	C09	35.793	SSR	2775	1173	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1763	C05	49.946	SSR	4645	3448	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1780	C03	34.03	SSR	1623	3114	0	1	0	1	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False
BoSF179	C06	61.602	SSR	1405	2390	1	1	1	7	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoSF1800	C01	75.855	SSR	1764	2076	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1803	C05	67.413	SSR	1506	2450	1	0	1	0	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False
BoSF1818	C04	60.919	SSR	2001	1343	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1822	C01	73.514	SSR	778	5770	3	1	5	1	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False
BoSF1835	C08	99.201	SSR	2322	1772	0	0	0	0	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1838	C06	65.115	SSR	982	949	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF184	C04	59.233	SSR	947	3188	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1845	C01	34.829	SSR	7663	1160	2	2	6	5	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False
BoSF1846	C05	58.442	SSR	3043	2026	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1857	C08	38.448	SSR	9016	1582	1	0	1	1	True	True	True	True	False	False	True	True	True	False	False	False	False	False	True
BoSF1860	C05	93.845	SSR	2943	1766	1	1	1	2	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True
BoSF1875	C06	71.934	SSR	2051	4188	2	1	2	1	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False
BoSF189	C06	29.774	SSR	3318	5887	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1905	C02	126.325	SSR	33736	829	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
BoSF1923	C01	70.947	SSR	2464	898	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1930a	C04	76.374	SSR	2698	6351	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1930b	C04	78.043	SSR	2698	6351	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	False	False
BoSF1931	C08	73.239	SSR	1739	1215	1	1	1	1	True	True	True	True	True	True	True	True	True	False	False	False	False	True	True
