marker_id	marker_type	linkage_group	cM	F_min_mismatch	R_min_mismatch	F_min_mismatch_bin	R_min_mismatch_bin	both_primers_have_full_len_no_gap_hit	max_primer_min_mismatch	sum_primer_min_mismatch	F_hits_at_min_mismatch	R_hits_at_min_mismatch	F_multihit_at_min_mismatch	R_multihit_at_min_mismatch	F_best_any_coverage	R_best_any_coverage	F_best_any_gapopen	R_best_any_gapopen	both_primers_min_mm_le0	F_has_mm_le0	R_has_mm_le0	both_primers_min_mm_le1	F_has_mm_le1	R_has_mm_le1	both_primers_min_mm_le2	F_has_mm_le2	R_has_mm_le2	both_primers_min_mm_le3	F_has_mm_le3	R_has_mm_le3	both_primers_min_mm_le4	F_has_mm_le4	R_has_mm_le4	both_primers_min_mm_le5	F_has_mm_le5	R_has_mm_le5
BoE080	SSR	C08	75.991	1.0	0.0	1	0	True	1.0	1.0	1	1	False	False	1.0	1.0	0	0	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE093	SSR	C07	75.943	0.0		0	no_full_length_no_gap	False			1	0	False	False	1.0	0.875	0	0	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False
BoE106	SSR	C01	20.071	0.0	0.0	0	0	True	0.0	0.0	6	6	True	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE116	SSR	C08	96.551	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE118	SSR	C07	42.535	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE121	SSR	C01	81.698	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE123	SSR	C06	71.448		0.0	no_full_length_no_gap	0	False			0	1	False	False	0.9444444444444444	1.0	0	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoE129	SSR	C04	61.238	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE134	SSR	C08	34.276	1.0	0.0	1	0	True	1.0	1.0	1	1	False	False	1.0	1.0	0	0	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE137	SSR	C08	75.541	0.0	0.0	0	0	True	0.0	0.0	6	1	True	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE139	SSR	C03	53.628		0.0	no_full_length_no_gap	0	False			0	1	False	False	0.9583333333333334	1.0	0	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoE149	SSR	C04	61.51	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE162	SSR	C02	103.903	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE169	SSR	C08	75.473		0.0	no_full_length_no_gap	0	False			0	1	False	False	0.9545454545454546	1.0	0	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoE188	SSR	C01	66.073	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE208	SSR	C07	53.179	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE209	SSR	C06	61.066	0.0	1.0	0	1	True	1.0	1.0	3	3	True	True	1.0	1.0	0	0	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE222	SSR	C03	33.013	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE225	SSR	C07	37.216	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE277	SSR	C04	61.332	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE278	SSR	C09	55.165	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE337	SSR	C09	38.906	3.0	0.0	3	0	True	3.0	3.0	2	1	True	False	1.0	1.0	0	0	False	False	True	False	False	True	False	False	True	True	True	True	True	True	True	True	True	True
BoE339	SSR	C07	27.301	1.0	1.0	1	1	True	1.0	2.0	1	1	False	False	1.0	1.0	0	0	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE340	SSR	C07	71.758	0.0	0.0	0	0	True	0.0	0.0	1	4	False	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE341	SSR	C01	58.132	0.0	2.0	0	2	True	2.0	2.0	1	1	False	False	1.0	1.0	0	0	False	True	False	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True
BoE347	SSR	C05	27.382	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE379	SSR	C06	71.794		0.0	no_full_length_no_gap	0	False			0	1	False	False	0.8888888888888888	1.0	0	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoE391	SSR	C08	86.203	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE392	SSR	C06	47.797	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE405	SSR	C04	133.566	0.0	0.0	0	0	True	0.0	0.0	1	2	False	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE406	SSR	C03	63.038	0.0	0.0	0	0	True	0.0	0.0	2	4	True	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE407	SSR	C01	74.796	1.0	0.0	1	0	True	1.0	1.0	1	2	False	True	1.0	1.0	0	0	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE417	SSR	C06	70.133	1.0	0.0	1	0	True	1.0	1.0	1	1	False	False	1.0	1.0	0	0	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE425	SSR	C09	59.066	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE432	SSR	C07	20.387		0.0	no_full_length_no_gap	0	False			0	1	False	False	0.9047619047619048	1.0	0	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoE450	SSR	C04	101.874	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE483	SSR	C02	7.48		0.0	no_full_length_no_gap	0	False			0	2	False	True	0.95	1.0	0	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoE501	SSR	C03	36.996	0.0	0.0	0	0	True	0.0	0.0	2	1	True	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE506	SSR	C04	61.074000000000005	0.0	0.0	0	0	True	0.0	0.0	1	2	False	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE530	SSR	C04	66.733	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE569	SSR	C06	54.066	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE571	SSR	C03	104.769	0.0	0.0	0	0	True	0.0	0.0	1	6	False	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE572	SSR	C07	94.409	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE586	SSR	C05	116.262		0.0	no_full_length_no_gap	0	False			0	1	False	False	0.9444444444444444	1.0	0	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoE590	SSR	C01	74.78	0.0	0.0	0	0	True	0.0	0.0	4	5	True	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE592	SSR	C07	48.301	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE607	SSR	C01	73.032	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE615	SSR	C08	54.25	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0434782608695652	1.0	1	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE623	SSR	C06	70.286	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE629	SSR	C03	46.423	1.0	0.0	1	0	True	1.0	1.0	1	1	False	False	1.0	1.0	0	0	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE648	SSR	C04	111.057	0.0	1.0	0	1	True	1.0	1.0	2	1	True	False	1.0	1.0	0	0	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE718	SSR	C03	122.942	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE723	SSR	C07	75.48	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE746	SSR	C05	108.248	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE756	SSR	C08	40.277	0.0		0	no_full_length_no_gap	False			1	0	False	False	1.0	0.9583333333333334	0	0	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False
BoE761	SSR	C06	44.658	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE783	SSR	C07	22.271	0.0	0.0	0	0	True	0.0	0.0	2	1	True	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE804	SSR	C03	80.908	0.0	2.0	0	2	True	2.0	2.0	1	1	False	False	1.0	1.0	0	0	False	True	False	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True
BoE821	SSR	C01	73.943	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE822	SSR	C08	76.652	0.0	0.0	0	0	True	0.0	0.0	5	5	True	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE825	SSR	C04	65.197	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE836	SSR	C08	137.024	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE860	SSR	C01	80.005		0.0	no_full_length_no_gap	0	False			0	1	False	False	0.7916666666666666	1.0	0	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoE862	SSR	C04	62.623000000000005	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE876	SSR	C08	87.243	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE878	SSR	C04	127.194	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE882	SSR	C05	43.675	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE883	SSR	C03	88.009	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE891	SSR	C05	69.941	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE904	SSR	C02	133.472	0.0	0.0	0	0	True	0.0	0.0	1	3	False	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE916	SSR	C08	31.205			no_full_length_no_gap	no_full_length_no_gap	False			0	0	False	False	0.9090909090909091	0.95	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BoE974	SSR	C08	84.127	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE986	SSR	C05	44.082	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoE996	SSR	C08	96.908	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF004	SSR	C03	115.211	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF010	SSR	C03	76.594	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF022	SSR	C05	42.862	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF030	SSR	C07	108.987	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF034	SSR	C08	33.136	0.0	0.0	0	0	True	0.0	0.0	1	6	False	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF042	SSR	C03	61.815	2.0	0.0	2	0	True	2.0	2.0	1	1	False	False	1.0	1.0	0	0	False	False	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF043	SSR	C06	67.549	0.0		0	no_full_length_no_gap	False			1	0	False	False	1.0	0.85	0	0	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False
BoSF050	SSR	C01	76.227	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF052	SSR	C09	66.628	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF062	SSR	C03	37.195	0.0	0.0	0	0	True	0.0	0.0	2	1	True	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF063	SSR	C01	54.721	0.0	0.0	0	0	True	0.0	0.0	1	2	False	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF084	SSR	C04	79.276	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1020	SSR	C02	151.381	0.0		0	no_full_length_no_gap	False			1	0	False	False	1.0	0.95	0	0	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False
BoSF1028	SSR	C08	120.542	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF103	SSR	C04	71.688	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1037	SSR	C02	97.614	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1043	SSR	C03	80.104		2.0	no_full_length_no_gap	2	False			0	6	False	True	0.8333333333333334	1.0	0	0	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True
BoSF1047	SSR	C04	26.115	0.0		0	no_full_length_no_gap	False			1	0	False	False	1.0	0.8636363636363636	0	0	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False
BoSF105	SSR	C06	82.033		2.0	no_full_length_no_gap	2	False			0	3	False	True	0.95	1.0	0	0	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True
BoSF108	SSR	C02	104.38	0.0		0	no_full_length_no_gap	False			1	0	False	False	1.0	0.95	0	0	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False
BoSF1080	SSR	C08	78.573		0.0	no_full_length_no_gap	0	False			0	1	False	False	0.8571428571428571	1.0	0	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoSF1100	SSR	C08	48.371	2.0		2	no_full_length_no_gap	False			1	0	False	False	1.0	0.95	0	0	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True	False
BoSF1103	SSR	C06	49.783			no_full_length_no_gap	no_full_length_no_gap	False			0	0	False	False	0.85	0.95	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1127	SSR	C03	128.549	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1131	SSR	C03	9.902			no_full_length_no_gap	no_full_length_no_gap	False			0	0	False	False	0.95	0.9	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1136	SSR	C03	24.877	0.0	1.0	0	1	True	1.0	1.0	1	3	False	True	1.0	1.0	0	0	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1147	SSR	C01	64.647	0.0	1.0	0	1	True	1.0	1.0	1	1	False	False	1.0	1.0	0	0	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1148	SSR	C05	57.414	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1163	SSR	C02	130.51	0.0	0.0	0	0	True	0.0	0.0	2	2	True	True	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1167	SSR	C02	77.197	2.0	2.0	2	2	True	2.0	4.0	2	3	True	True	1.0	1.0	0	0	False	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1197a	SSR	C03	148.235	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.05	0	1	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1197b	SSR	C07	29.046	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.05	0	1	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1204	SSR	C07	95.599		0.0	no_full_length_no_gap	0	False			0	3	False	True	0.9615384615384616	1.0	0	0	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True	False	False	True
BoSF1207	SSR	C01	36.259	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1215	SSR	C06	67.966	0.0	0.0	0	0	True	0.0	0.0	2	1	True	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1219	SSR	C05	28.841	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
BoSF1220	SSR	C08	53.798			no_full_length_no_gap	no_full_length_no_gap	False			0	0	False	False	0.9	0.9	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BoSF1224	SSR	C08	52.431	0.0	0.0	0	0	True	0.0	0.0	1	1	False	False	1.0	1.0	0	0	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
