map_name	chr	bin_start_cM	bin_end_cM	n_markers
relaxed_mm1_collinear_222	5	50.0	60.0	4
relaxed_mm1_collinear_222	5	60.0	70.0	3
relaxed_mm1_collinear_222	5	70.0	80.0	4
relaxed_mm1_collinear_222	5	80.0	90.0	0
relaxed_mm1_collinear_222	5	90.0	100.0	2
relaxed_mm1_collinear_222	5	100.0	110.0	2
relaxed_mm1_collinear_222	5	110.0	120.0	1
relaxed_mm1_collinear_222	6	20.0	30.0	1
relaxed_mm1_collinear_222	6	30.0	40.0	1
relaxed_mm1_collinear_222	6	40.0	50.0	2
relaxed_mm1_collinear_222	6	50.0	60.0	3
relaxed_mm1_collinear_222	6	60.0	70.0	6
relaxed_mm1_collinear_222	6	70.0	80.0	8
relaxed_mm1_collinear_222	6	80.0	90.0	3
relaxed_mm1_collinear_222	7	20.0	30.0	2
relaxed_mm1_collinear_222	7	30.0	40.0	3
relaxed_mm1_collinear_222	7	40.0	50.0	4
relaxed_mm1_collinear_222	7	50.0	60.0	3
relaxed_mm1_collinear_222	7	60.0	70.0	2
relaxed_mm1_collinear_222	7	70.0	80.0	3
relaxed_mm1_collinear_222	7	80.0	90.0	0
relaxed_mm1_collinear_222	7	90.0	100.0	5
relaxed_mm1_collinear_222	8	30.0	40.0	5
relaxed_mm1_collinear_222	8	40.0	50.0	4
relaxed_mm1_collinear_222	8	50.0	60.0	3
relaxed_mm1_collinear_222	8	60.0	70.0	3
relaxed_mm1_collinear_222	8	70.0	80.0	7
relaxed_mm1_collinear_222	8	80.0	90.0	4
relaxed_mm1_collinear_222	8	90.0	100.0	5
relaxed_mm1_collinear_222	8	100.0	110.0	3
relaxed_mm1_collinear_222	8	110.0	120.0	3
relaxed_mm1_collinear_222	9	10.0	20.0	1
relaxed_mm1_collinear_222	9	20.0	30.0	1
relaxed_mm1_collinear_222	9	30.0	40.0	2
relaxed_mm1_collinear_222	9	40.0	50.0	2
relaxed_mm1_collinear_222	9	50.0	60.0	3
relaxed_mm1_collinear_222	9	60.0	70.0	3
relaxed_mm1_collinear_222	9	70.0	80.0	1
relaxed_mm1_collinear_222	9	80.0	90.0	1
relaxed_mm1_collinear_222	9	90.0	100.0	2
relaxed_mm1_collinear_222	9	100.0	110.0	1
relaxed_mm1_collinear_222	9	110.0	120.0	2
relaxed_mm1_collinear_222	9	120.0	130.0	1
