marker_id	primer_side	qseqid	linkage_group	cM	marker_type	raw_hits	full_length_hits	full_length_perfect_hits	full_length_mm1_hits	has_any_blast_hit	has_full_length_hit	has_full_length_perfect_hit	has_full_length_mm1_hit	is_multihit_perfect	is_multihit_mm1	min_mismatch_full_length	best_bitscore
snap539	F	snap539__F	C01	29.848	SNP	1271	0	0	0	True	False	False	False	False	False		46.1
snap539	R	snap539__R	C01	29.848	SNP	2800	1	1	1	True	True	True	True	False	False	0.0	48.1
BoSF1993	F	BoSF1993__F	C01	32.717	SSR	5368	1	1	1	True	True	True	True	False	False	0.0	44.1
BoSF1993	R	BoSF1993__R	C01	32.717	SSR	3440	2	0	0	True	True	False	False	False	False	2.0	34.2
Ni4B10a	F	Ni4B10a__F	C01	32.857	SSR	5408	0	0	0	True	False	False	False	False	False		34.2
Ni4B10a	R	Ni4B10a__R	C01	32.857	SSR	3019	1	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1845	F	BoSF1845__F	C01	34.829	SSR	7663	6	2	6	True	True	True	True	True	True	0.0	40.1
BoSF1845	R	BoSF1845__R	C01	34.829	SSR	1160	5	2	5	True	True	True	True	True	True	0.0	40.1
snap1848	F	snap1848__F	C01	35.818	SNP	415	0	0	0	True	False	False	False	False	False		48.1
snap1848	R	snap1848__R	C01	35.818	SNP	1039	1	1	1	True	True	True	True	False	False	0.0	60.0
BoSF1207	F	BoSF1207__F	C01	36.259	SSR	1149	1	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1207	R	BoSF1207__R	C01	36.259	SSR	3505	1	1	1	True	True	True	True	False	False	0.0	40.1
BoE041	F	BoE041__F	C01	36.32	SSR	6945	1	1	1	True	True	True	True	False	False	0.0	40.1
BoE041	R	BoE041__R	C01	36.32	SSR	1860	1	1	1	True	True	True	True	False	False	0.0	44.1
Ni4B10b	F	Ni4B10b__F	C01	37.449	SSR	5408	0	0	0	True	False	False	False	False	False		34.2
Ni4B10b	R	Ni4B10b__R	C01	37.449	SSR	3019	1	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1469	F	BoSF1469__F	C01	38.619	SSR	26253	1	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1469	R	BoSF1469__R	C01	38.619	SSR	3343	2	1	1	True	True	True	True	False	False	0.0	40.1
BrSF257	F	BrSF257__F	C01	39.046	SSR	2821	4	4	4	True	True	True	True	True	True	0.0	40.1
BrSF257	R	BrSF257__R	C01	39.046	SSR	2629	5	2	2	True	True	True	True	True	True	0.0	40.1
sNRE30	F	sNRE30__F	C01	39.047	SSR	1736	1	0	1	True	True	False	True	False	False	1.0	32.2
sNRE30	R	sNRE30__R	C01	39.047	SSR	3917	1	0	1	True	True	False	True	False	False	1.0	32.2
snap597	F	snap597__F	C01	39.433	SNP	1039	0	0	0	True	False	False	False	False	False		48.1
snap597	R	snap597__R	C01	39.433	SNP	5638	2	1	2	True	True	True	True	False	True	0.0	69.9
snap940	F	snap940__F	C01	39.546	SNP	1008	0	0	0	True	False	False	False	False	False		61.9
snap940	R	snap940__R	C01	39.546	SNP	1904	8	0	8	True	True	False	True	False	True	1.0	48.1
BrBAC015	F	BrBAC015__F	C01	40.281	SSR	2186	0	0	0	True	False	False	False	False	False		36.2
BrBAC015	R	BrBAC015__R	C01	40.281	SSR	2217	1	1	1	True	True	True	True	False	False	0.0	40.1
snap780	F	snap780__F	C01	40.461	SNP	4721	0	0	0	True	False	False	False	False	False		50.1
snap780	R	snap780__R	C01	40.461	SNP	1185	1	1	1	True	True	True	True	False	False	0.0	46.1
snap512	F	snap512__F	C01	41.646	SNP	1932	0	0	0	True	False	False	False	False	False		48.1
snap512	R	snap512__R	C01	41.646	SNP	4107	2	2	2	True	True	True	True	True	True	0.0	50.1
BrBAC002a	F	BrBAC002a__F	C01	41.74	SSR	1370	1	1	1	True	True	True	True	False	False	0.0	40.1
BrBAC002a	R	BrBAC002a__R	C01	41.74	SSR	5321	1	1	1	True	True	True	True	False	False	0.0	40.1
snap511	F	snap511__F	C01	42.213	SNP	8943	0	0	0	True	False	False	False	False	False		65.9
snap511	R	snap511__R	C01	42.213	SNP	1215	1	1	1	True	True	True	True	False	False	0.0	67.9
BoSF1229	F	BoSF1229__F	C01	43.206	SSR	3158	2	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1229	R	BoSF1229__R	C01	43.206	SSR	840	1	1	1	True	True	True	True	False	False	0.0	40.1
snap779	F	snap779__F	C01	43.39	SNP	3219	0	0	0	True	False	False	False	False	False		46.1
snap779	R	snap779__R	C01	43.39	SNP	832	1	1	1	True	True	True	True	False	False	0.0	58.0
snap1666	F	snap1666__F	C01	45.682	SNP	1592	0	0	0	True	False	False	False	False	False		50.1
snap1666	R	snap1666__R	C01	45.682	SNP	1705	0	0	0	True	False	False	False	False	False		40.1
Ra3E05	F	Ra3E05__F	C01	46.618	SSR	2811	2	1	2	True	True	True	True	False	True	0.0	40.1
Ra3E05	R	Ra3E05__R	C01	46.618	SSR	4671	4	3	4	True	True	True	True	True	True	0.0	40.1
snap1665	F	snap1665__F	C01	46.647	SNP	1773	0	0	0	True	False	False	False	False	False		54.0
snap1665	R	snap1665__R	C01	46.647	SNP	1685	0	0	0	True	False	False	False	False	False		63.9
BoSF2285	F	BoSF2285__F	C01	47.355	SSR	11130	1	0	1	True	True	False	True	False	False	1.0	38.2
BoSF2285	R	BoSF2285__R	C01	47.355	SSR	1852	1	1	1	True	True	True	True	False	False	0.0	40.1
BrSF626	F	BrSF626__F	C01	47.587	SSR	3590	5	3	4	True	True	True	True	True	True	0.0	40.1
BrSF626	R	BrSF626__R	C01	47.587	SSR	2811	2	1	2	True	True	True	True	False	True	0.0	40.1
BoSF2345	F	BoSF2345__F	C01	47.664	SSR	4224	2	2	2	True	True	True	True	True	True	0.0	40.1
BoSF2345	R	BoSF2345__R	C01	47.664	SSR	1458	1	1	1	True	True	True	True	False	False	0.0	40.1
Na12H02	F	Na12H02__F	C01	48.366	SSR	3976	1	0	0	True	True	False	False	False	False	2.0	38.2
Na12H02	R	Na12H02__R	C01	48.366	SSR	4348	2	1	2	True	True	True	True	False	True	0.0	38.2
snap563	F	snap563__F	C01	48.828	SNP	1169	0	0	0	True	False	False	False	False	False		54.0
snap563	R	snap563__R	C01	48.828	SNP	1721	2	2	2	True	True	True	True	True	True	0.0	44.1
CB10369a	F	CB10369a__F	C01	49.071	SSR	897	1	1	1	True	True	True	True	False	False	0.0	36.2
CB10369a	R	CB10369a__R	C01	49.071	SSR	3005	1	1	1	True	True	True	True	False	False	0.0	36.2
snap564	F	snap564__F	C01	50.273	SNP	850	0	0	0	True	False	False	False	False	False		46.1
snap564	R	snap564__R	C01	50.273	SNP	4592	1	1	1	True	True	True	True	False	False	0.0	50.1
CB10369b	F	CB10369b__F	C01	50.506	SSR	897	1	1	1	True	True	True	True	False	False	0.0	36.2
CB10369b	R	CB10369b__R	C01	50.506	SSR	3005	1	1	1	True	True	True	True	False	False	0.0	36.2
BoSF2445	F	BoSF2445__F	C01	50.718	SSR	2445	2	1	2	True	True	True	True	False	True	0.0	40.1
BoSF2445	R	BoSF2445__R	C01	50.718	SSR	887	22	0	3	True	True	False	True	False	True	1.0	32.2
snap311	F	snap311__F	C01	51.468	SNP	4455	0	0	0	True	False	False	False	False	False		44.1
snap311	R	snap311__R	C01	51.468	SNP	4794	1	1	1	True	True	True	True	False	False	0.0	50.1
snap1649	F	snap1649__F	C01	52.626	SNP	12418	0	0	0	True	False	False	False	False	False		65.9
snap1649	R	snap1649__R	C01	52.626	SNP	2480	1	1	1	True	True	True	True	False	False	0.0	63.9
BoSF1597	F	BoSF1597__F	C01	53.296	SSR	2463	3	1	2	True	True	True	True	False	True	0.0	38.2
BoSF1597	R	BoSF1597__R	C01	53.296	SSR	5827	1	1	1	True	True	True	True	False	False	0.0	42.1
snap310	F	snap310__F	C01	54.116	SNP	1977	0	0	0	True	False	False	False	False	False		50.1
snap310	R	snap310__R	C01	54.116	SNP	1057	1	1	1	True	True	True	True	False	False	0.0	58.0
BoSF063	F	BoSF063__F	C01	54.721	SSR	4473	2	1	1	True	True	True	True	False	False	0.0	40.1
BoSF063	R	BoSF063__R	C01	54.721	SSR	5562	3	2	3	True	True	True	True	True	True	0.0	40.1
snap1196	F	snap1196__F	C01	55.256	SNP	776	0	0	0	True	False	False	False	False	False		52.0
snap1196	R	snap1196__R	C01	55.256	SNP	3526	7	0	6	True	True	False	True	False	True	1.0	58.0
Na12E01	F	Na12E01__F	C01	55.36	SSR	4006	0	0	0	True	False	False	False	False	False		34.2
Na12E01	R	Na12E01__R	C01	55.36	SSR	2959	1	1	1	True	True	True	True	False	False	0.0	38.2
BoSF2648	F	BoSF2648__F	C01	55.827	SSR	2519	0	0	0	True	False	False	False	False	False		30.2
BoSF2648	R	BoSF2648__R	C01	55.827	SSR	633	1	1	1	True	True	True	True	False	False	0.0	40.1
snap1195	F	snap1195__F	C01	56.485	SNP	5614	0	0	0	True	False	False	False	False	False		52.0
snap1195	R	snap1195__R	C01	56.485	SNP	4375	50	4	9	True	True	True	True	True	True	0.0	67.9
snap088	F	snap088__F	C01	57.556	SNP	930	0	0	0	True	False	False	False	False	False		56.0
snap088	R	snap088__R	C01	57.556	SNP	894	1	1	1	True	True	True	True	False	False	0.0	61.9
snap1192	F	snap1192__F	C01	58.082	SNP	3131	0	0	0	True	False	False	False	False	False		60.0
snap1192	R	snap1192__R	C01	58.082	SNP	1593	1	1	1	True	True	True	True	False	False	0.0	56.0
BoE341	F	BoE341__F	C01	58.132	SSR	743	6	1	1	True	True	True	True	False	False	0.0	42.1
BoE341	R	BoE341__R	C01	58.132	SSR	3148	1	0	0	True	True	False	False	False	False	2.0	42.1
CB10517	F	CB10517__F	C01	59.404	SSR	1397	1	0	1	True	True	False	True	False	False	1.0	34.2
CB10517	R	CB10517__R	C01	59.404	SSR	1085	2	0	2	True	True	False	True	False	True	1.0	30.2
snap1191	F	snap1191__F	C01	59.746	SNP	743	0	0	0	True	False	False	False	False	False		60.0
snap1191	R	snap1191__R	C01	59.746	SNP	1337	0	0	0	True	False	False	False	False	False		58.0
cnu235	F	cnu235__F	C01	60.656	SSR	7125	0	0	0	True	False	False	False	False	False		42.1
cnu235	R	cnu235__R	C01	60.656	SSR	5511	1	0	1	True	True	False	True	False	False	1.0	32.2
snap610	F	snap610__F	C01	61.333	SNP	4653	0	0	0	True	False	False	False	False	False		65.9
snap610	R	snap610__R	C01	61.333	SNP	608	1	1	1	True	True	True	True	False	False	0.0	52.0
snap1739	F	snap1739__F	C01	62.556	SNP	586	0	0	0	True	False	False	False	False	False		46.1
snap1739	R	snap1739__R	C01	62.556	SNP	4521	1	1	1	True	True	True	True	False	False	0.0	71.9
snap338	F	snap338__F	C01	62.665	SNP	1457	0	0	0	True	False	False	False	False	False		40.1
snap338	R	snap338__R	C01	62.665	SNP	2774	1	1	1	True	True	True	True	False	False	0.0	67.9
BrSF372	F	BrSF372__F	C01	63.984	SSR	1858	0	0	0	True	False	False	False	False	False		38.2
BrSF372	R	BrSF372__R	C01	63.984	SSR	3155	2	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1147	F	BoSF1147__F	C01	64.647	SSR	1293	1	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1147	R	BoSF1147__R	C01	64.647	SSR	1738	1	0	1	True	True	False	True	False	False	1.0	32.2
BoSF130	F	BoSF130__F	C01	65.711	SSR	6731	6	1	1	True	True	True	True	False	False	0.0	40.1
BoSF130	R	BoSF130__R	C01	65.711	SSR	2363	2	1	2	True	True	True	True	False	True	0.0	40.1
BoE188	F	BoE188__F	C01	66.073	SSR	2196	3	1	3	True	True	True	True	False	True	0.0	38.2
BoE188	R	BoE188__R	C01	66.073	SSR	7931	1	1	1	True	True	True	True	False	False	0.0	48.1
Ol12F11	F	Ol12F11__F	C01	66.427	SSR	845	1	1	1	True	True	True	True	False	False	0.0	40.1
Ol12F11	R	Ol12F11__R	C01	66.427	SSR	1373	2	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1426	F	BoSF1426__F	C01	66.883	SSR	5202	3	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1426	R	BoSF1426__R	C01	66.883	SSR	1122	1	1	1	True	True	True	True	False	False	0.0	40.1
snap1693	F	snap1693__F	C01	67.672	SNP	3106	0	0	0	True	False	False	False	False	False		63.9
snap1693	R	snap1693__R	C01	67.672	SNP	1671	1	1	1	True	True	True	True	False	False	0.0	60.0
CB10374	F	CB10374__F	C01	67.945	SSR	1482	2	1	2	True	True	True	True	False	True	0.0	36.2
CB10374	R	CB10374__R	C01	67.945	SSR	1973	23	1	23	True	True	True	True	False	True	0.0	36.2
snap127	F	snap127__F	C01	69.56	SNP	941	0	0	0	True	False	False	False	False	False		54.0
snap127	R	snap127__R	C01	69.56	SNP	423	1	1	1	True	True	True	True	False	False	0.0	52.0
snap063	F	snap063__F	C01	70.28	SNP	2158	0	0	0	True	False	False	False	False	False		44.1
snap063	R	snap063__R	C01	70.28	SNP	3068	198	61	123	True	True	True	True	True	True	0.0	61.9
BoSF1923	F	BoSF1923__F	C01	70.947	SSR	2464	1	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1923	R	BoSF1923__R	C01	70.947	SSR	898	2	1	1	True	True	True	True	False	False	0.0	40.1
snap157	F	snap157__F	C01	71.273	SNP	452	0	0	0	True	False	False	False	False	False		50.1
snap157	R	snap157__R	C01	71.273	SNP	2527	0	0	0	True	False	False	False	False	False		34.2
snap1910	F	snap1910__F	C01	71.662	SNP	558	0	0	0	True	False	False	False	False	False		32.2
snap1910	R	snap1910__R	C01	71.662	SNP	2083	1	1	1	True	True	True	True	False	False	0.0	61.9
snap062	F	snap062__F	C01	71.677	SNP	3397	0	0	0	True	False	False	False	False	False		44.1
snap062	R	snap062__R	C01	71.677	SNP	602	3	2	3	True	True	True	True	True	True	0.0	61.9
BrSF686	F	BrSF686__F	C01	72.049	SSR	537	4	0	1	True	True	False	True	False	False	1.0	32.2
BrSF686	R	BrSF686__R	C01	72.049	SSR	4120	5	0	0	True	True	False	False	False	False	2.0	34.2
FITO499	F	FITO499__F	C01	72.343	SSR	7153	2	1	1	True	True	True	True	False	False	0.0	42.1
FITO499	R	FITO499__R	C01	72.343	SSR	557	1	1	1	True	True	True	True	False	False	0.0	36.2
CB10358	F	CB10358__F	C01	72.447	SSR	2198	2	1	2	True	True	True	True	False	True	0.0	36.2
CB10358	R	CB10358__R	C01	72.447	SSR	2780	2	1	2	True	True	True	True	False	True	0.0	36.2
BoSF1961	F	BoSF1961__F	C01	72.738	SSR	2430	2	1	2	True	True	True	True	False	True	0.0	40.1
BoSF1961	R	BoSF1961__R	C01	72.738	SSR	2151	1	1	1	True	True	True	True	False	False	0.0	42.1
BoE607	F	BoE607__F	C01	73.032	SSR	2942	1	1	1	True	True	True	True	False	False	0.0	48.1
BoE607	R	BoE607__R	C01	73.032	SSR	2261	1	1	1	True	True	True	True	False	False	0.0	34.2
BoSF1822	F	BoSF1822__F	C01	73.514	SSR	778	5	3	5	True	True	True	True	True	True	0.0	40.1
BoSF1822	R	BoSF1822__R	C01	73.514	SSR	5770	1	1	1	True	True	True	True	False	False	0.0	40.1
BrSF178a	F	BrSF178a__F	C01	73.717	SSR	1736	1	0	1	True	True	False	True	False	False	1.0	32.2
BrSF178a	R	BrSF178a__R	C01	73.717	SSR	3917	1	0	1	True	True	False	True	False	False	1.0	32.2
BrSF178b	F	BrSF178b__F	C01	73.717	SSR	1736	1	0	1	True	True	False	True	False	False	1.0	32.2
BrSF178b	R	BrSF178b__R	C01	73.717	SSR	3917	1	0	1	True	True	False	True	False	False	1.0	32.2
BoE821	F	BoE821__F	C01	73.943	SSR	2776	1	1	1	True	True	True	True	False	False	0.0	38.2
BoE821	R	BoE821__R	C01	73.943	SSR	5441	2	1	2	True	True	True	True	False	True	0.0	34.2
Na12C08	F	Na12C08__F	C01	74.458	SSR	3861	1	1	1	True	True	True	True	False	False	0.0	40.1
Na12C08	R	Na12C08__R	C01	74.458	SSR	1688	1	1	1	True	True	True	True	False	False	0.0	44.1
CB10258	F	CB10258__F	C01	74.46	SSR	1827	1	0	1	True	True	False	True	False	False	1.0	28.2
CB10258	R	CB10258__R	C01	74.46	SSR	2044	12	1	1	True	True	True	True	False	False	0.0	38.2
BoSF154	F	BoSF154__F	C01	74.721	SSR	1496	5	1	3	True	True	True	True	False	True	0.0	40.1
BoSF154	R	BoSF154__R	C01	74.721	SSR	1439	1	1	1	True	True	True	True	False	False	0.0	40.1
BoE590	F	BoE590__F	C01	74.78	SSR	14722	4	4	4	True	True	True	True	True	True	0.0	48.1
BoE590	R	BoE590__R	C01	74.78	SSR	2428	6	5	6	True	True	True	True	True	True	0.0	48.1
BoE407	F	BoE407__F	C01	74.796	SSR	3362	1	0	1	True	True	False	True	False	False	1.0	36.2
BoE407	R	BoE407__R	C01	74.796	SSR	3074	2	2	2	True	True	True	True	True	True	0.0	48.1
snap1557	F	snap1557__F	C01	75.031	SNP	1221	0	0	0	True	False	False	False	False	False		52.0
snap1557	R	snap1557__R	C01	75.031	SNP	3786	13	1	10	True	True	True	True	False	True	0.0	58.0
BoSF2289	F	BoSF2289__F	C01	75.261	SSR	12233	2	1	1	True	True	True	True	False	False	0.0	40.1
BoSF2289	R	BoSF2289__R	C01	75.261	SSR	3360	1	0	1	True	True	False	True	False	False	1.0	34.2
BoSF2602	F	BoSF2602__F	C01	75.497	SSR	733	25	3	7	True	True	True	True	True	True	0.0	40.1
BoSF2602	R	BoSF2602__R	C01	75.497	SSR	3205	1	0	1	True	True	False	True	False	False	1.0	32.2
snap318	F	snap318__F	C01	75.564	SNP	1010	0	0	0	True	False	False	False	False	False		34.2
snap318	R	snap318__R	C01	75.564	SNP	2226	103	31	86	True	True	True	True	True	True	0.0	48.1
BoSF1800	F	BoSF1800__F	C01	75.855	SSR	1764	3	1	1	True	True	True	True	False	False	0.0	40.1
BoSF1800	R	BoSF1800__R	C01	75.855	SSR	2076	2	1	1	True	True	True	True	False	False	0.0	40.1
BoSF2858	F	BoSF2858__F	C01	76.167	SSR	4774	2	1	1	True	True	True	True	False	False	0.0	40.1
BoSF2858	R	BoSF2858__R	C01	76.167	SSR	4351	10	6	6	True	True	True	True	True	True	0.0	40.1
BoSF050	F	BoSF050__F	C01	76.227	SSR	816	1	1	1	True	True	True	True	False	False	0.0	40.1
BoSF050	R	BoSF050__R	C01	76.227	SSR	963	1	1	1	True	True	True	True	False	False	0.0	40.1
BrBAC007	F	BrBAC007__F	C01	76.328	SSR	859	1	1	1	True	True	True	True	False	False	0.0	40.1
BrBAC007	R	BrBAC007__R	C01	76.328	SSR	21012	0	0	0	True	False	False	False	False	False		38.2
BoSF2425	F	BoSF2425__F	C01	76.625	SSR	2860	2	1	1	True	True	True	True	False	False	0.0	40.1
BoSF2425	R	BoSF2425__R	C01	76.625	SSR	12911	1	1	1	True	True	True	True	False	False	0.0	40.1
snap315	F	snap315__F	C01	76.839	SNP	463	0	0	0	True	False	False	False	False	False		46.1
snap315	R	snap315__R	C01	76.839	SNP	2509	2	2	2	True	True	True	True	True	True	0.0	52.0
BrSF379	F	BrSF379__F	C01	77.317	SSR	1180	1	0	1	True	True	False	True	False	False	1.0	32.2
BrSF379	R	BrSF379__R	C01	77.317	SSR	2620	1	1	1	True	True	True	True	False	False	0.0	40.1
snap238	F	snap238__F	C01	77.843	SNP	12338	0	0	0	True	False	False	False	False	False		65.9
snap238	R	snap238__R	C01	77.843	SNP	20948	1	1	1	True	True	True	True	False	False	0.0	71.9
snap1668	F	snap1668__F	C01	78.172	SNP	12916	0	0	0	True	False	False	False	False	False		58.0
snap1668	R	snap1668__R	C01	78.172	SNP	690	1	1	1	True	True	True	True	False	False	0.0	61.9
snap249	F	snap249__F	C01	78.304	SNP	1227	0	0	0	True	False	False	False	False	False		34.2
snap249	R	snap249__R	C01	78.304	SNP	392	2	1	2	True	True	True	True	False	True	0.0	54.0
snap1065	F	snap1065__F	C01	78.564	SNP	2129	0	0	0	True	False	False	False	False	False		61.9
snap1065	R	snap1065__R	C01	78.564	SNP	4932	0	0	0	True	False	False	False	False	False		58.0
snap168	F	snap168__F	C01	78.886	SNP	4715	0	0	0	True	False	False	False	False	False		61.9
snap168	R	snap168__R	C01	78.886	SNP	666	2	1	2	True	True	True	True	False	True	0.0	52.0
snap426	F	snap426__F	C01	79.018	SNP	2744	1	0	0	True	True	False	False	False	False	3.0	42.1
snap426	R	snap426__R	C01	79.018	SNP	1779	92	1	23	True	True	True	True	False	True	0.0	60.0
snap485	F	snap485__F	C01	79.442	SNP	3178	0	0	0	True	False	False	False	False	False		44.1
snap485	R	snap485__R	C01	79.442	SNP	1866	0	0	0	True	False	False	False	False	False		42.1
BoE860	F	BoE860__F	C01	80.005	SSR	4204	0	0	0	True	False	False	False	False	False		36.2
BoE860	R	BoE860__R	C01	80.005	SSR	5825	2	1	1	True	True	True	True	False	False	0.0	48.1
snap633	F	snap633__F	C01	80.413	SNP	1689	0	0	0	True	False	False	False	False	False		38.2
snap633	R	snap633__R	C01	80.413	SNP	2649	1	1	1	True	True	True	True	False	False	0.0	65.9
snap048	F	snap048__F	C01	80.987	SNP	689	0	0	0	True	False	False	False	False	False		54.0
snap048	R	snap048__R	C01	80.987	SNP	4314	1	1	1	True	True	True	True	False	False	0.0	50.1
snap049	F	snap049__F	C01	81.257	SNP	2171	0	0	0	True	False	False	False	False	False		34.2
snap049	R	snap049__R	C01	81.257	SNP	5670	1	1	1	True	True	True	True	False	False	0.0	60.0
BoE121	F	BoE121__F	C01	81.698	SSR	4755	2	1	2	True	True	True	True	False	True	0.0	36.2
BoE121	R	BoE121__R	C01	81.698	SSR	2075	1	1	1	True	True	True	True	False	False	0.0	36.2
BoSF274	F	BoSF274__F	C01	82.148	SSR	2073	1	1	1	True	True	True	True	False	False	0.0	40.1
BoSF274	R	BoSF274__R	C01	82.148	SSR	5133	3	2	3	True	True	True	True	True	True	0.0	40.1
snap1617	F	snap1617__F	C01	82.428	SNP	1599	0	0	0	True	False	False	False	False	False		65.9
snap1617	R	snap1617__R	C01	82.428	SNP	1476	2	2	2	True	True	True	True	True	True	0.0	61.9
snap634	F	snap634__F	C01	82.753	SNP	802	0	0	0	True	False	False	False	False	False		61.9
snap634	R	snap634__R	C01	82.753	SNP	612	1	1	1	True	True	True	True	False	False	0.0	61.9
snap128	F	snap128__F	C01	83.464	SNP	723	0	0	0	True	False	False	False	False	False		46.1
snap128	R	snap128__R	C01	83.464	SNP	6560	1	1	1	True	True	True	True	False	False	0.0	50.1
snap262	F	snap262__F	C01	83.745	SNP	2671	0	0	0	True	False	False	False	False	False		48.1
snap262	R	snap262__R	C01	83.745	SNP	2961	1	0	1	True	True	False	True	False	False	1.0	63.9
snap365	F	snap365__F	C01	84.048	SNP	2073	0	0	0	True	False	False	False	False	False		54.0
snap365	R	snap365__R	C01	84.048	SNP	2012	5	0	1	True	True	False	True	False	False	1.0	60.0
snap1969	F	snap1969__F	C01	84.919	SNP	1648	0	0	0	True	False	False	False	False	False		48.1
snap1969	R	snap1969__R	C01	84.919	SNP	859	4	1	1	True	True	True	True	False	False	0.0	61.9
snap250	F	snap250__F	C01	85.611	SNP	7075	0	0	0	True	False	False	False	False	False		44.1
snap250	R	snap250__R	C01	85.611	SNP	1310	2	1	1	True	True	True	True	False	False	0.0	56.0
snap169	F	snap169__F	C01	86.291	SNP	1345	0	0	0	True	False	False	False	False	False		52.0
snap169	R	snap169__R	C01	86.291	SNP	3209	1	1	1	True	True	True	True	False	False	0.0	63.9
snap1336	F	snap1336__F	C01	86.464	SNP	1921	0	0	0	True	False	False	False	False	False		46.1
snap1336	R	snap1336__R	C01	86.464	SNP	2392	73	2	49	True	True	True	True	True	True	0.0	54.0
snap253	F	snap253__F	C01	87.439	SNP	386	0	0	0	True	False	False	False	False	False		46.1
snap253	R	snap253__R	C01	87.439	SNP	2394	1	1	1	True	True	True	True	False	False	0.0	46.1
snap1655a	F	snap1655a__F	C01	87.734	SNP	4476	0	0	0	True	False	False	False	False	False		58.0
snap1655a	R	snap1655a__R	C01	87.734	SNP	1734	25	0	1	True	True	False	True	False	False	1.0	52.0
snap1655b	F	snap1655b__F	C01	88.89	SNP	4476	0	0	0	True	False	False	False	False	False		58.0
snap1655b	R	snap1655b__R	C01	88.89	SNP	1734	25	0	1	True	True	False	True	False	False	1.0	52.0
snap138	F	snap138__F	C01	89.66	SNP	2807	0	0	0	True	False	False	False	False	False		46.1
snap138	R	snap138__R	C01	89.66	SNP	1108	1	1	1	True	True	True	True	False	False	0.0	54.0
BoSF2598	F	BoSF2598__F	C01	90.14	SSR	1281	2	2	2	True	True	True	True	True	True	0.0	40.1
BoSF2598	R	BoSF2598__R	C01	90.14	SSR	905	1	1	1	True	True	True	True	False	False	0.0	40.1
snap167	F	snap167__F	C01	90.944	SNP	4366	0	0	0	True	False	False	False	False	False		42.1
snap167	R	snap167__R	C01	90.944	SNP	1934	4	1	2	True	True	True	True	False	True	0.0	54.0
snap1795	F	snap1795__F	C01	91.902	SNP	2020	1	0	0	True	True	False	False	False	False	3.0	54.0
snap1795	R	snap1795__R	C01	91.902	SNP	4875	1	1	1	True	True	True	True	False	False	0.0	54.0
