Locus	Coordinate	Bin	B73 RefGen_v3_gene_model	B73 RefGen_v3_chr	B73 RefGen_v3_start	B73 RefGen_v3_end	Zm-B104-DRAFT-ISU_USDA-0.1_gene_model	Zm-B104-DRAFT-ISU_USDA-0.1_chr	Zm-B104-DRAFT-ISU_USDA-0.1_start	Zm-B104-DRAFT-ISU_USDA-0.1_end	Zm-B73-REFERENCE-GRAMENE-4.0_gene_model	Zm-B73-REFERENCE-GRAMENE-4.0_chr	Zm-B73-REFERENCE-GRAMENE-4.0_start	Zm-B73-REFERENCE-GRAMENE-4.0_end	Zm-B73-REFERENCE-NAM-5.0_gene_model	Zm-B73-REFERENCE-NAM-5.0_chr	Zm-B73-REFERENCE-NAM-5.0_start	Zm-B73-REFERENCE-NAM-5.0_end	Zm-Ky21-REFERENCE-NAM-1.0_gene_model	Zm-Ky21-REFERENCE-NAM-1.0_chr	Zm-Ky21-REFERENCE-NAM-1.0_start	Zm-Ky21-REFERENCE-NAM-1.0_end	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_gene_model	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_chr	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_start	Zm-PH207-REFERENCE_NS-UIUC_UMN-1.0_end	Zm-Tzi8-REFERENCE-NAM-1.0_gene_model	Zm-Tzi8-REFERENCE-NAM-1.0_chr	Zm-Tzi8-REFERENCE-NAM-1.0_start	Zm-Tzi8-REFERENCE-NAM-1.0_end	Zm-W22-REFERENCE-NRGENE-2.0_gene_model	Zm-W22-REFERENCE-NRGENE-2.0_chr	Zm-W22-REFERENCE-NRGENE-2.0_start	Zm-W22-REFERENCE-NRGENE-2.0_end	Sequence	source_file	map_id	linkage_group	Zm-B97-REFERENCE-NAM-1.0_gene_model	Zm-B97-REFERENCE-NAM-1.0_chr	Zm-B97-REFERENCE-NAM-1.0_start	Zm-B97-REFERENCE-NAM-1.0_end	Zm-CML103-REFERENCE-NAM-1.0_gene_model	Zm-CML103-REFERENCE-NAM-1.0_chr	Zm-CML103-REFERENCE-NAM-1.0_start	Zm-CML103-REFERENCE-NAM-1.0_end	Zm-CML333-REFERENCE-NAM-1.0_gene_model	Zm-CML333-REFERENCE-NAM-1.0_chr	Zm-CML333-REFERENCE-NAM-1.0_start	Zm-CML333-REFERENCE-NAM-1.0_end	Zm-Oh7B-REFERENCE-NAM-1.0_gene_model	Zm-Oh7B-REFERENCE-NAM-1.0_chr	Zm-Oh7B-REFERENCE-NAM-1.0_start	Zm-Oh7B-REFERENCE-NAM-1.0_end	Zm-Tx303-REFERENCE-NAM-1.0_gene_model	Zm-Tx303-REFERENCE-NAM-1.0_chr	Zm-Tx303-REFERENCE-NAM-1.0_start	Zm-Tx303-REFERENCE-NAM-1.0_end	Zm-Mo17-REFERENCE-CAU-1.0_gene_model	Zm-Mo17-REFERENCE-CAU-1.0_chr	Zm-Mo17-REFERENCE-CAU-1.0_start	Zm-Mo17-REFERENCE-CAU-1.0_end	Zm-CML277-REFERENCE-NAM-1.0_gene_model	Zm-CML277-REFERENCE-NAM-1.0_chr	Zm-CML277-REFERENCE-NAM-1.0_start	Zm-CML277-REFERENCE-NAM-1.0_end	Zm-CML322-REFERENCE-NAM-1.0_gene_model	Zm-CML322-REFERENCE-NAM-1.0_chr	Zm-CML322-REFERENCE-NAM-1.0_start	Zm-CML322-REFERENCE-NAM-1.0_end	Zm-CML52-REFERENCE-NAM-1.0_gene_model	Zm-CML52-REFERENCE-NAM-1.0_chr	Zm-CML52-REFERENCE-NAM-1.0_start	Zm-CML52-REFERENCE-NAM-1.0_end	Zm-Il14H-REFERENCE-NAM-1.0_gene_model	Zm-Il14H-REFERENCE-NAM-1.0_chr	Zm-Il14H-REFERENCE-NAM-1.0_start	Zm-Il14H-REFERENCE-NAM-1.0_end	Zm-M162W-REFERENCE-NAM-1.0_gene_model	Zm-M162W-REFERENCE-NAM-1.0_chr	Zm-M162W-REFERENCE-NAM-1.0_start	Zm-M162W-REFERENCE-NAM-1.0_end	Zm-M37W-REFERENCE-NAM-1.0_gene_model	Zm-M37W-REFERENCE-NAM-1.0_chr	Zm-M37W-REFERENCE-NAM-1.0_start	Zm-M37W-REFERENCE-NAM-1.0_end	Zm-Mo18W-REFERENCE-NAM-1.0_gene_model	Zm-Mo18W-REFERENCE-NAM-1.0_chr	Zm-Mo18W-REFERENCE-NAM-1.0_start	Zm-Mo18W-REFERENCE-NAM-1.0_end	Zm-Ms71-REFERENCE-NAM-1.0_gene_model	Zm-Ms71-REFERENCE-NAM-1.0_chr	Zm-Ms71-REFERENCE-NAM-1.0_start	Zm-Ms71-REFERENCE-NAM-1.0_end	Zm-NC350-REFERENCE-NAM-1.0_gene_model	Zm-NC350-REFERENCE-NAM-1.0_chr	Zm-NC350-REFERENCE-NAM-1.0_start	Zm-NC350-REFERENCE-NAM-1.0_end	Zm-Oh43-REFERENCE-NAM-1.0_gene_model	Zm-Oh43-REFERENCE-NAM-1.0_chr	Zm-Oh43-REFERENCE-NAM-1.0_start	Zm-Oh43-REFERENCE-NAM-1.0_end	Zm-P39-REFERENCE-NAM-1.0_gene_model	Zm-P39-REFERENCE-NAM-1.0_chr	Zm-P39-REFERENCE-NAM-1.0_start	Zm-P39-REFERENCE-NAM-1.0_end	Zm-HP301-REFERENCE-NAM-1.0_gene_model	Zm-HP301-REFERENCE-NAM-1.0_chr	Zm-HP301-REFERENCE-NAM-1.0_start	Zm-HP301-REFERENCE-NAM-1.0_end	Zm-Ki11-REFERENCE-NAM-1.0_gene_model	Zm-Ki11-REFERENCE-NAM-1.0_chr	Zm-Ki11-REFERENCE-NAM-1.0_start	Zm-Ki11-REFERENCE-NAM-1.0_end	Zm-NC358-REFERENCE-NAM-1.0_gene_model	Zm-NC358-REFERENCE-NAM-1.0_chr	Zm-NC358-REFERENCE-NAM-1.0_start	Zm-NC358-REFERENCE-NAM-1.0_end
umc1613	0.59		GRMZM2G161560	Chr1	1785557	1787537					Zm00001d027288	Chr1	1841722	1843589	Zm00001eb000420	chr1	1832425	1834566																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
umc1353a	0.60		GRMZM2G379898	Chr1	1874719	1876326					Zm00001d027290	Chr1	1938725	1939294	Zm00001eb000440	chr1	1929358	1930319																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
umc1354	0.60		GRMZM5G826836	Chr1	1875250	1875885									Zm00001eb000430	chr1	1929337	1930143																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
gras53	0.60		GRMZM2G060265	Chr1	1953455	1955531					Zm00001d027292	Chr1	2019934	2021379	Zm00001eb000470	chr1	2010318	2012354																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
umc1353b	0.60										Zm00001d027291	Chr1	1942161	1942595	Zm00001eb000450	chr1	1932708	1933552																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027289	0.60		GRMZM2G079872	Chr1	1862986	1867384					Zm00001d027289	Chr1	1921679	1936497																						maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
spr1	0.61		GRMZM2G060296	Chr1	1960833	1968021					Zm00001d027293	Chr1	2026825	2034154	Zm00001eb000480	chr1	2017706	2024879																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
tub1	0.63		GRMZM2G164696	Chr1	2035661	2037950					Zm00001d027295	Chr1	2104761	2106624	Zm00001eb000490	chr1	2095539	2097445																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
zb3	1.00																																			maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
polm1	1.00		GRMZM2G114459	Chr1	2088572	2102312					Zm00001d027299	Chr1	2157230	2170332	Zm00001eb000520	chr1	2147897	2161903																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
prd4	1.38		GRMZM2G458423	Chr1	2159241	2166541					Zm00001d027300	Chr1	2233954	2241438	Zm00001eb000540	chr1	2224430	2232174																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
csu738	1.40		GRMZM2G109725	Chr1	2205748	2210356					Zm00001d027302	Chr1	2284852	2289401	Zm00001eb000550	chr1	2275575	2280181																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027304	1.41		GRMZM2G410990	Chr1	2219065	2223784					Zm00001d027304	Chr1	2298093	2302943	Zm00001eb000570	chr1	2288852	2293806																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
lsi2	1.42		GRMZM2G158378	Chr1	2304389	2306012					Zm00001d027305	Chr1	2386120	2388018	Zm00001eb000580	chr1	2376907	2378815																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
si605011d06a	1.44		GRMZM2G329177	Chr1	2426203	2433529					Zm00001d027307	Chr1	2523140	2531089	Zm00001eb000590	chr1	2514265	2522242																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
ring1	1.46		GRMZM2G028870	Chr1	2464882	2467458					Zm00001d027308	Chr1	2562283	2565147	Zm00001eb000600	chr1	2553424	2556496																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
ptp1	1.65		GRMZM2G052546	Chr1	2535973	2542554					Zm00001d027309	Chr1	2629289	2635834	Zm00001eb000620	chr1	2620295	2626950																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027311	1.68		GRMZM2G035377	Chr1	2655521	2658069					Zm00001d027311	Chr1	2746424	2749031	Zm00001eb000640	chr1	2737442	2740118																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
rfwd3	1.70		GRMZM2G085691	Chr1	2683790	2690223					Zm00001d027312	Chr1	2774054	2780630	Zm00001eb000650	chr1	2765072	2771704																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
xth31	1.73		GRMZM2G388684	Chr1	2690772	2692141					Zm00001d027313	Chr1	2781142	2782403	Zm00001eb000660	chr1	2772158	2773573																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
umc2748	1.76		GRMZM2G042552	Chr1	2781765	2783974					Zm00001d027314	Chr1	2809751	2811917	Zm00001eb000670	chr1	2800774	2803236																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
rld2	1.80		GRMZM2G042250	Chr1	2791599	2798512					Zm00001d027317	Chr1	2818955	2826611	Zm00001eb000690	chr1	2810082	2817677																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
btf3	1.95		GRMZM2G041881	Chr1	2798951	2801848					Zm00001d027318	Chr1	2827035	2829836	Zm00001eb000700	chr1	2817998	2820996																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC103630668	2.12		GRMZM2G085872	Chr1	2734521	2739053					Zm00001d027320	Chr1	2878535	2889452	Zm00001eb000720	chr1	2869576	2874482																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cl5994_1	2.14		GRMZM2G085885	Chr1	2739479	2748501					Zm00001d027321	Chr1	2883539	2892612	Zm00001eb000740	chr1	2874505	2883698																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC100501456	2.18		GRMZM2G086269	Chr1	2751021	2753499					Zm00001d027322	Chr1	2894775	2897548	Zm00001eb000760	chr1	2885880	2888772																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
pco121752	2.20		GRMZM5G802392	Chr1	2839338	2840257					Zm00001d027323	Chr1	2934269	2934775	Zm00001eb000770	chr1	2925178	2926144																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001eb000780	2.22		GRMZM2G006673	Chr1	2856655	2869296					Zm00001d027324	Chr1	2959502	2972168	Zm00001eb000780	chr1	2950594	2963259																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
arp4	2.40		GRMZM2G015384	Chr1	2874117	2894252					Zm00001d027326	Chr1	2977014	2997162	Zm00001eb000800	chr1	2967642	2988230																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
met7	2.50		GRMZM2G137366	Chr1	2930055	2935014					Zm00001d027329	Chr1	3031993	3036913	Zm00001eb000820	chr1	3022946	3028004																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
remo2	2.60		GRMZM2G137352	Chr1	2949522	2951161					Zm00001d027330	Chr1	3051538	3052986	Zm00001eb000840	chr1	3042596	3044181																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
plt12	2.63		GRMZM2G137329	Chr1	2993011	2993734					Zm00001d027332	Chr1	3095308	3095604	Zm00001eb000850	chr1	3086161	3086776																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
cl584_1(3)	2.70		GRMZM2G137236	Chr1	3002518	3020918					Zm00001d027333	Chr1	3104159	3122867	Zm00001eb000860	chr1	3095249	3113958																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
GRMZM2G436226	2.72		GRMZM2G436226	Chr1	3022700	3026815					Zm00001d027334	Chr1	3124648	3135817	Zm00001eb000870	chr1	3115493	3126872																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
thx18	3.00		GRMZM2G314660	Chr1	3070619	3075128					Zm00001d027335	Chr1	3172313	3176736	Zm00001eb000880	chr1	3163359	3167829																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
krp17	4.00		GRMZM2G092232	Chr1	3123304	3129299					Zm00001d027337	Chr1	3224423	3230647	Zm00001eb000890	chr1	3215293	3221599																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
umc2183	4.08		GRMZM2G124550	Chr1	3171356	3177215					Zm00001d027340	Chr1	3272230	3288228	Zm00001eb000920	chr1	3263012	3279756																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
gpm319	4.20		GRMZM2G144101	Chr1	3192128	3193970					Zm00001d027342	Chr1	3292884	3294726	Zm00001eb000950	chr1	3283381	3285618																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC100272424	4.24		GRMZM2G077669	Chr1	3265279	3269181					Zm00001d027344	Chr1	3371324	3374866	Zm00001eb000970	chr1	3362236	3365818																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
LOC103630760	4.26		GRMZM2G077760	Chr1	3271375	3272626					Zm00001d027345	Chr1	3377702	3378405	Zm00001eb000980	chr1	3368388	3369418																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
bhlh194	4.35		GRMZM2G077780	Chr1	3274619	3279551					Zm00001d027347	Chr1	3380644	3385523	Zm00001eb001000	chr1	3371279	3376586																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
GRMZM2G426802	5.50		GRMZM2G426802	Chr1	3357174	3361893					Zm00001d027351	Chr1	3482848	3487232	Zm00001eb001040	chr1	3473728	3478290																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027352	5.51		GRMZM2G126218	Chr1	3353056	3356773					Zm00001d027352	Chr1	3489406	3491807	Zm00001eb001050	chr1	3480374	3483331																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
Zm00001d027353	5.52		GRMZM2G126199	Chr1	3347715	3349742					Zm00001d027353	Chr1	3495121	3497148	Zm00001eb001060	chr1	3486091	3488116																		maizegdb_genetic1_1203637_map_text_BROWSER.txt	1203637	1																																																																																
