chr	pos	cM	bin	source
1	5840215	34.610274	Bin42	Yu2011_TIGR6.1_midpoint_not_lifted
1	5979565	34.850083	Bin43	Yu2011_TIGR6.1_midpoint_not_lifted
1	6127659	35.089891	Bin44	Yu2011_TIGR6.1_midpoint_not_lifted
1	6223468	35.329700	Bin45	Yu2011_TIGR6.1_midpoint_not_lifted
1	6251884	36.059640	Bin46	Yu2011_TIGR6.1_midpoint_not_lifted
1	6401703	36.299448	Bin47	Yu2011_TIGR6.1_midpoint_not_lifted
1	6564164	36.782544	Bin48	Yu2011_TIGR6.1_midpoint_not_lifted
1	6694014	37.265639	Bin49	Yu2011_TIGR6.1_midpoint_not_lifted
1	7091541	38.246063	Bin50	Yu2011_TIGR6.1_midpoint_not_lifted
1	7886440	49.836144	Bin51	Yu2011_TIGR6.1_midpoint_not_lifted
1	8534983	52.962162	Bin52	Yu2011_TIGR6.1_midpoint_not_lifted
1	8743130	53.692102	Bin53	Yu2011_TIGR6.1_midpoint_not_lifted
1	8991355	53.931910	Bin54	Yu2011_TIGR6.1_midpoint_not_lifted
1	9203455	54.415006	Bin55	Yu2011_TIGR6.1_midpoint_not_lifted
1	9304043	54.654814	Bin56	Yu2011_TIGR6.1_midpoint_not_lifted
1	9549232	61.216924	Bin57	Yu2011_TIGR6.1_midpoint_not_lifted
1	9795362	61.456732	Bin58	Yu2011_TIGR6.1_midpoint_not_lifted
1	10179760	62.949381	Bin59	Yu2011_TIGR6.1_midpoint_not_lifted
1	10534394	63.929804	Bin60	Yu2011_TIGR6.1_midpoint_not_lifted
1	10602390	64.412900	Bin61	Yu2011_TIGR6.1_midpoint_not_lifted
1	10668785	64.652708	Bin62	Yu2011_TIGR6.1_midpoint_not_lifted
1	10822434	65.135804	Bin63	Yu2011_TIGR6.1_midpoint_not_lifted
1	10943658	65.375612	Bin64	Yu2011_TIGR6.1_midpoint_not_lifted
1	11261341	66.356036	Bin65	Yu2011_TIGR6.1_midpoint_not_lifted
1	11823246	70.966346	Bin66	Yu2011_TIGR6.1_midpoint_not_lifted
1	12138116	71.946769	Bin67	Yu2011_TIGR6.1_midpoint_not_lifted
1	12277468	72.186578	Bin68	Yu2011_TIGR6.1_midpoint_not_lifted
1	12512537	74.477055	Bin69	Yu2011_TIGR6.1_midpoint_not_lifted
1	12671892	74.716863	Bin70	Yu2011_TIGR6.1_midpoint_not_lifted
1	12728137	75.199959	Bin71	Yu2011_TIGR6.1_midpoint_not_lifted
1	13024834	76.180382	Bin72	Yu2011_TIGR6.1_midpoint_not_lifted
1	13404833	76.420191	Bin73	Yu2011_TIGR6.1_midpoint_not_lifted
1	13739612	76.660000	Bin74	Yu2011_TIGR6.1_midpoint_not_lifted
1	13993932	76.899808	Bin75	Yu2011_TIGR6.1_midpoint_not_lifted
1	14078676	77.139617	Bin76	Yu2011_TIGR6.1_midpoint_not_lifted
1	14184781	77.379425	Bin77	Yu2011_TIGR6.1_midpoint_not_lifted
1	14307350	77.619234	Bin78	Yu2011_TIGR6.1_midpoint_not_lifted
1	14423625	78.349174	Bin79	Yu2011_TIGR6.1_midpoint_not_lifted
1	14506898	78.588983	Bin80	Yu2011_TIGR6.1_midpoint_not_lifted
1	14576207	79.569406	Bin81	Yu2011_TIGR6.1_midpoint_not_lifted
1	14959032	79.809215	Bin82	Yu2011_TIGR6.1_midpoint_not_lifted
1	15393072	80.539155	Bin83	Yu2011_TIGR6.1_midpoint_not_lifted
1	16549809	80.778963	Bin84	Yu2011_TIGR6.1_midpoint_not_lifted
1	17969531	81.018772	Bin85	Yu2011_TIGR6.1_midpoint_not_lifted
1	18355088	81.748712	Bin86	Yu2011_TIGR6.1_midpoint_not_lifted
1	18393679	81.988521	Bin87	Yu2011_TIGR6.1_midpoint_not_lifted
1	18468446	82.228329	Bin88	Yu2011_TIGR6.1_midpoint_not_lifted
1	18653160	82.711425	Bin89	Yu2011_TIGR6.1_midpoint_not_lifted
1	18988426	83.691848	Bin90	Yu2011_TIGR6.1_midpoint_not_lifted
1	19249529	83.931657	Bin91	Yu2011_TIGR6.1_midpoint_not_lifted
1	19407879	84.414753	Bin92	Yu2011_TIGR6.1_midpoint_not_lifted
1	19533048	84.654561	Bin93	Yu2011_TIGR6.1_midpoint_not_lifted
1	19760188	84.894370	Bin94	Yu2011_TIGR6.1_midpoint_not_lifted
1	20156868	85.134178	Bin95	Yu2011_TIGR6.1_midpoint_not_lifted
1	20389404	85.373987	Bin96	Yu2011_TIGR6.1_midpoint_not_lifted
1	20449162	85.857083	Bin97	Yu2011_TIGR6.1_midpoint_not_lifted
1	20470818	86.340178	Bin98	Yu2011_TIGR6.1_midpoint_not_lifted
1	20517525	87.070118	Bin99	Yu2011_TIGR6.1_midpoint_not_lifted
1	20739593	87.800058	Bin100	Yu2011_TIGR6.1_midpoint_not_lifted
1	20931940	88.283154	Bin101	Yu2011_TIGR6.1_midpoint_not_lifted
1	21063312	88.522962	Bin102	Yu2011_TIGR6.1_midpoint_not_lifted
1	21603920	90.277528	Bin103	Yu2011_TIGR6.1_midpoint_not_lifted
1	22279089	98.630232	Bin104	Yu2011_TIGR6.1_midpoint_not_lifted
1	22555935	98.870041	Bin105	Yu2011_TIGR6.1_midpoint_not_lifted
1	22613546	99.109850	Bin106	Yu2011_TIGR6.1_midpoint_not_lifted
1	22686762	99.349658	Bin107	Yu2011_TIGR6.1_midpoint_not_lifted
1	22750983	99.832754	Bin108	Yu2011_TIGR6.1_midpoint_not_lifted
1	22807786	100.072562	Bin109	Yu2011_TIGR6.1_midpoint_not_lifted
1	22863686	100.555658	Bin110	Yu2011_TIGR6.1_midpoint_not_lifted
1	22939521	100.795467	Bin111	Yu2011_TIGR6.1_midpoint_not_lifted
1	23034576	101.278562	Bin112	Yu2011_TIGR6.1_midpoint_not_lifted
1	23156308	102.008502	Bin113	Yu2011_TIGR6.1_midpoint_not_lifted
1	23235600	102.491598	Bin114	Yu2011_TIGR6.1_midpoint_not_lifted
1	23347296	102.731406	Bin115	Yu2011_TIGR6.1_midpoint_not_lifted
1	23539159	103.461346	Bin116	Yu2011_TIGR6.1_midpoint_not_lifted
1	23650054	103.701155	Bin117	Yu2011_TIGR6.1_midpoint_not_lifted
1	23798457	104.184250	Bin118	Yu2011_TIGR6.1_midpoint_not_lifted
1	23946521	105.676899	Bin119	Yu2011_TIGR6.1_midpoint_not_lifted
1	24023372	106.657322	Bin120	Yu2011_TIGR6.1_midpoint_not_lifted
1	24129287	106.897131	Bin121	Yu2011_TIGR6.1_midpoint_not_lifted
1	24294010	107.136939	Bin122	Yu2011_TIGR6.1_midpoint_not_lifted
1	24482642	113.026091	Bin123	Yu2011_TIGR6.1_midpoint_not_lifted
1	24664611	113.265900	Bin124	Yu2011_TIGR6.1_midpoint_not_lifted
1	24794244	113.995840	Bin125	Yu2011_TIGR6.1_midpoint_not_lifted
1	24844084	114.235648	Bin126	Yu2011_TIGR6.1_midpoint_not_lifted
1	24995472	114.475457	Bin127	Yu2011_TIGR6.1_midpoint_not_lifted
1	25287448	115.205397	Bin128	Yu2011_TIGR6.1_midpoint_not_lifted
1	25846804	115.445205	Bin129	Yu2011_TIGR6.1_midpoint_not_lifted
1	26537120	118.571223	Bin130	Yu2011_TIGR6.1_midpoint_not_lifted
1	27077903	118.811032	Bin131	Yu2011_TIGR6.1_midpoint_not_lifted
1	27660418	126.792539	Bin132	Yu2011_TIGR6.1_midpoint_not_lifted
1	28053522	128.027170	Bin133	Yu2011_TIGR6.1_midpoint_not_lifted
1	28253664	128.266978	Bin134	Yu2011_TIGR6.1_midpoint_not_lifted
1	28419682	128.750074	Bin135	Yu2011_TIGR6.1_midpoint_not_lifted
1	28528460	129.480014	Bin136	Yu2011_TIGR6.1_midpoint_not_lifted
1	28640344	129.719823	Bin137	Yu2011_TIGR6.1_midpoint_not_lifted
1	28745904	129.959631	Bin138	Yu2011_TIGR6.1_midpoint_not_lifted
1	28890903	130.199440	Bin139	Yu2011_TIGR6.1_midpoint_not_lifted
1	29470353	130.929380	Bin140	Yu2011_TIGR6.1_midpoint_not_lifted
1	30030744	134.634778	Bin141	Yu2011_TIGR6.1_midpoint_not_lifted
1	30115600	135.117874	Bin142	Yu2011_TIGR6.1_midpoint_not_lifted
1	30173424	135.357683	Bin143	Yu2011_TIGR6.1_midpoint_not_lifted
1	30330788	136.087623	Bin144	Yu2011_TIGR6.1_midpoint_not_lifted
1	30484851	136.327431	Bin145	Yu2011_TIGR6.1_midpoint_not_lifted
1	30523234	136.567240	Bin146	Yu2011_TIGR6.1_midpoint_not_lifted
1	30554058	136.807048	Bin147	Yu2011_TIGR6.1_midpoint_not_lifted
1	30726130	137.046857	Bin148	Yu2011_TIGR6.1_midpoint_not_lifted
1	30931126	137.286666	Bin149	Yu2011_TIGR6.1_midpoint_not_lifted
1	31003161	137.526474	Bin150	Yu2011_TIGR6.1_midpoint_not_lifted
1	31043030	137.766283	Bin151	Yu2011_TIGR6.1_midpoint_not_lifted
1	31352310	138.006091	Bin152	Yu2011_TIGR6.1_midpoint_not_lifted
1	31677091	138.245900	Bin153	Yu2011_TIGR6.1_midpoint_not_lifted
1	31726018	138.485709	Bin154	Yu2011_TIGR6.1_midpoint_not_lifted
1	31801986	138.725517	Bin155	Yu2011_TIGR6.1_midpoint_not_lifted
1	31904547	138.965326	Bin156	Yu2011_TIGR6.1_midpoint_not_lifted
1	32030613	139.205135	Bin157	Yu2011_TIGR6.1_midpoint_not_lifted
1	32141342	139.688230	Bin158	Yu2011_TIGR6.1_midpoint_not_lifted
1	32209834	140.171326	Bin159	Yu2011_TIGR6.1_midpoint_not_lifted
1	32283303	140.654421	Bin160	Yu2011_TIGR6.1_midpoint_not_lifted
1	32521107	140.894230	Bin161	Yu2011_TIGR6.1_midpoint_not_lifted
1	32807308	144.020248	Bin162	Yu2011_TIGR6.1_midpoint_not_lifted
1	33090579	145.254878	Bin163	Yu2011_TIGR6.1_midpoint_not_lifted
1	33450852	145.494687	Bin164	Yu2011_TIGR6.1_midpoint_not_lifted
1	33729414	145.734495	Bin165	Yu2011_TIGR6.1_midpoint_not_lifted
1	34262148	145.974304	Bin166	Yu2011_TIGR6.1_midpoint_not_lifted
1	34713220	146.214113	Bin167	Yu2011_TIGR6.1_midpoint_not_lifted
1	34801912	146.453921	Bin168	Yu2011_TIGR6.1_midpoint_not_lifted
1	34967234	146.937017	Bin169	Yu2011_TIGR6.1_midpoint_not_lifted
1	35104178	147.176825	Bin170	Yu2011_TIGR6.1_midpoint_not_lifted
1	35337609	147.659921	Bin171	Yu2011_TIGR6.1_midpoint_not_lifted
1	35593304	148.143017	Bin172	Yu2011_TIGR6.1_midpoint_not_lifted
1	35709283	148.382825	Bin173	Yu2011_TIGR6.1_midpoint_not_lifted
1	35869193	148.622634	Bin174	Yu2011_TIGR6.1_midpoint_not_lifted
1	36117556	149.857264	Bin175	Yu2011_TIGR6.1_midpoint_not_lifted
1	36404266	150.097073	Bin176	Yu2011_TIGR6.1_midpoint_not_lifted
1	36934908	150.336882	Bin177	Yu2011_TIGR6.1_midpoint_not_lifted
1	37477283	152.357359	Bin178	Yu2011_TIGR6.1_midpoint_not_lifted
1	37729182	152.597167	Bin179	Yu2011_TIGR6.1_midpoint_not_lifted
1	37847554	152.836976	Bin180	Yu2011_TIGR6.1_midpoint_not_lifted
1	37909868	153.076784	Bin181	Yu2011_TIGR6.1_midpoint_not_lifted
1	38017731	153.806724	Bin182	Yu2011_TIGR6.1_midpoint_not_lifted
1	38138058	154.046533	Bin183	Yu2011_TIGR6.1_midpoint_not_lifted
1	38271885	154.776473	Bin184	Yu2011_TIGR6.1_midpoint_not_lifted
1	38355017	155.016282	Bin185	Yu2011_TIGR6.1_midpoint_not_lifted
1	38392298	155.256090	Bin186	Yu2011_TIGR6.1_midpoint_not_lifted
1	38524462	157.010656	Bin187	Yu2011_TIGR6.1_midpoint_not_lifted
1	38826350	158.245287	Bin188	Yu2011_TIGR6.1_midpoint_not_lifted
1	39065053	160.535764	Bin189	Yu2011_TIGR6.1_midpoint_not_lifted
1	39229606	161.018859	Bin190	Yu2011_TIGR6.1_midpoint_not_lifted
1	39566180	161.501955	Bin191	Yu2011_TIGR6.1_midpoint_not_lifted
1	39800796	163.522432	Bin192	Yu2011_TIGR6.1_midpoint_not_lifted
1	39969210	163.762240	Bin193	Yu2011_TIGR6.1_midpoint_not_lifted
1	40294189	174.495087	Bin194	Yu2011_TIGR6.1_midpoint_not_lifted
1	40554772	178.200486	Bin195	Yu2011_TIGR6.1_midpoint_not_lifted
1	40766772	178.440294	Bin196	Yu2011_TIGR6.1_midpoint_not_lifted
1	40927542	182.744025	Bin197	Yu2011_TIGR6.1_midpoint_not_lifted
1	41025134	183.227120	Bin198	Yu2011_TIGR6.1_midpoint_not_lifted
1	41391793	188.149124	Bin199	Yu2011_TIGR6.1_midpoint_not_lifted
1	41729110	188.632219	Bin200	Yu2011_TIGR6.1_midpoint_not_lifted
1	41792096	189.362159	Bin201	Yu2011_TIGR6.1_midpoint_not_lifted
1	41895430	190.342583	Bin202	Yu2011_TIGR6.1_midpoint_not_lifted
1	42010603	190.825679	Bin203	Yu2011_TIGR6.1_midpoint_not_lifted
1	42060136	191.555619	Bin204	Yu2011_TIGR6.1_midpoint_not_lifted
1	42079079	192.038714	Bin205	Yu2011_TIGR6.1_midpoint_not_lifted
1	42135116	192.278523	Bin206	Yu2011_TIGR6.1_midpoint_not_lifted
1	42196840	192.761618	Bin207	Yu2011_TIGR6.1_midpoint_not_lifted
1	42230693	193.742042	Bin208	Yu2011_TIGR6.1_midpoint_not_lifted
1	42281969	194.225137	Bin209	Yu2011_TIGR6.1_midpoint_not_lifted
1	42344297	194.955077	Bin210	Yu2011_TIGR6.1_midpoint_not_lifted
1	42398084	195.438173	Bin211	Yu2011_TIGR6.1_midpoint_not_lifted
1	42602085	196.168113	Bin212	Yu2011_TIGR6.1_midpoint_not_lifted
1	42832147	197.660761	Bin213	Yu2011_TIGR6.1_midpoint_not_lifted
1	42905546	198.143857	Bin214	Yu2011_TIGR6.1_midpoint_not_lifted
1	42942818	199.636505	Bin215	Yu2011_TIGR6.1_midpoint_not_lifted
1	43010956	199.876313	Bin216	Yu2011_TIGR6.1_midpoint_not_lifted
1	43166855	200.606253	Bin217	Yu2011_TIGR6.1_midpoint_not_lifted
2	52754	0.000000	Bin218	Yu2011_TIGR6.1_midpoint_not_lifted
2	159160	0.239809	Bin219	Yu2011_TIGR6.1_midpoint_not_lifted
2	333654	3.945207	Bin220	Yu2011_TIGR6.1_midpoint_not_lifted
2	474644	4.675147	Bin221	Yu2011_TIGR6.1_midpoint_not_lifted
2	531576	5.158243	Bin222	Yu2011_TIGR6.1_midpoint_not_lifted
2	635938	5.398051	Bin223	Yu2011_TIGR6.1_midpoint_not_lifted
2	737394	5.881147	Bin224	Yu2011_TIGR6.1_midpoint_not_lifted
2	801232	6.364242	Bin225	Yu2011_TIGR6.1_midpoint_not_lifted
2	836328	6.604051	Bin226	Yu2011_TIGR6.1_midpoint_not_lifted
2	911411	7.584475	Bin227	Yu2011_TIGR6.1_midpoint_not_lifted
2	1064168	8.564898	Bin228	Yu2011_TIGR6.1_midpoint_not_lifted
2	1172232	8.804707	Bin229	Yu2011_TIGR6.1_midpoint_not_lifted
2	1216636	9.044515	Bin230	Yu2011_TIGR6.1_midpoint_not_lifted
2	1273457	9.284324	Bin231	Yu2011_TIGR6.1_midpoint_not_lifted
2	1399091	10.014264	Bin232	Yu2011_TIGR6.1_midpoint_not_lifted
2	1566659	10.744204	Bin233	Yu2011_TIGR6.1_midpoint_not_lifted
2	1747231	13.870222	Bin234	Yu2011_TIGR6.1_midpoint_not_lifted
2	1971397	14.353317	Bin235	Yu2011_TIGR6.1_midpoint_not_lifted
2	2099700	14.593126	Bin236	Yu2011_TIGR6.1_midpoint_not_lifted
2	2338032	15.323066	Bin237	Yu2011_TIGR6.1_midpoint_not_lifted
2	2609185	15.562875	Bin238	Yu2011_TIGR6.1_midpoint_not_lifted
2	2717896	16.045970	Bin239	Yu2011_TIGR6.1_midpoint_not_lifted
2	2808158	17.026394	Bin240	Yu2011_TIGR6.1_midpoint_not_lifted
2	2989001	17.509489	Bin241	Yu2011_TIGR6.1_midpoint_not_lifted
2	3188672	17.749298	Bin242	Yu2011_TIGR6.1_midpoint_not_lifted
2	3359946	17.989106	Bin243	Yu2011_TIGR6.1_midpoint_not_lifted
2	3757001	32.373210	Bin244	Yu2011_TIGR6.1_midpoint_not_lifted
2	4100589	33.353634	Bin245	Yu2011_TIGR6.1_midpoint_not_lifted
2	4221682	33.593442	Bin246	Yu2011_TIGR6.1_midpoint_not_lifted
2	4315202	33.833251	Bin247	Yu2011_TIGR6.1_midpoint_not_lifted
2	4485766	34.813674	Bin248	Yu2011_TIGR6.1_midpoint_not_lifted
2	4676616	36.306323	Bin249	Yu2011_TIGR6.1_midpoint_not_lifted
2	4814571	36.546131	Bin250	Yu2011_TIGR6.1_midpoint_not_lifted
2	4936533	38.566608	Bin251	Yu2011_TIGR6.1_midpoint_not_lifted
2	5029004	38.806417	Bin252	Yu2011_TIGR6.1_midpoint_not_lifted
2	5231936	39.536357	Bin253	Yu2011_TIGR6.1_midpoint_not_lifted
2	5647744	47.153393	Bin254	Yu2011_TIGR6.1_midpoint_not_lifted
2	5991758	48.646041	Bin255	Yu2011_TIGR6.1_midpoint_not_lifted
2	6161152	48.885850	Bin256	Yu2011_TIGR6.1_midpoint_not_lifted
2	6311514	49.125658	Bin257	Yu2011_TIGR6.1_midpoint_not_lifted
2	6605221	50.106082	Bin258	Yu2011_TIGR6.1_midpoint_not_lifted
2	6926176	54.108217	Bin259	Yu2011_TIGR6.1_midpoint_not_lifted
2	7048434	54.838157	Bin260	Yu2011_TIGR6.1_midpoint_not_lifted
2	7167164	55.077966	Bin261	Yu2011_TIGR6.1_midpoint_not_lifted
2	7315134	55.807906	Bin262	Yu2011_TIGR6.1_midpoint_not_lifted
2	7476820	61.046853	Bin263	Yu2011_TIGR6.1_midpoint_not_lifted
2	7714092	61.529949	Bin264	Yu2011_TIGR6.1_midpoint_not_lifted
2	7926544	61.769758	Bin265	Yu2011_TIGR6.1_midpoint_not_lifted
2	8367594	62.009566	Bin266	Yu2011_TIGR6.1_midpoint_not_lifted
2	8765068	62.492662	Bin267	Yu2011_TIGR6.1_midpoint_not_lifted
2	8853616	62.732470	Bin268	Yu2011_TIGR6.1_midpoint_not_lifted
2	8948093	63.462410	Bin269	Yu2011_TIGR6.1_midpoint_not_lifted
2	9069774	63.702219	Bin270	Yu2011_TIGR6.1_midpoint_not_lifted
2	9298932	64.185314	Bin271	Yu2011_TIGR6.1_midpoint_not_lifted
2	9527600	64.668410	Bin272	Yu2011_TIGR6.1_midpoint_not_lifted
2	9760948	64.908219	Bin273	Yu2011_TIGR6.1_midpoint_not_lifted
2	10056706	65.148027	Bin274	Yu2011_TIGR6.1_midpoint_not_lifted
2	10468518	66.128451	Bin275	Yu2011_TIGR6.1_midpoint_not_lifted
2	10921777	67.621099	Bin276	Yu2011_TIGR6.1_midpoint_not_lifted
2	11565912	67.860908	Bin277	Yu2011_TIGR6.1_midpoint_not_lifted
2	12068180	68.100716	Bin278	Yu2011_TIGR6.1_midpoint_not_lifted
2	13979276	70.665381	Bin279	Yu2011_TIGR6.1_midpoint_not_lifted
2	15869012	71.148476	Bin280	Yu2011_TIGR6.1_midpoint_not_lifted
2	15983528	71.388285	Bin281	Yu2011_TIGR6.1_midpoint_not_lifted
2	16116908	71.628094	Bin282	Yu2011_TIGR6.1_midpoint_not_lifted
2	16174285	71.867902	Bin283	Yu2011_TIGR6.1_midpoint_not_lifted
2	16327773	72.107711	Bin284	Yu2011_TIGR6.1_midpoint_not_lifted
2	16501599	72.347520	Bin285	Yu2011_TIGR6.1_midpoint_not_lifted
2	17307016	72.587328	Bin286	Yu2011_TIGR6.1_midpoint_not_lifted
2	18095469	73.070424	Bin287	Yu2011_TIGR6.1_midpoint_not_lifted
2	18293922	73.310232	Bin288	Yu2011_TIGR6.1_midpoint_not_lifted
2	18493158	73.550041	Bin289	Yu2011_TIGR6.1_midpoint_not_lifted
2	18581350	73.789850	Bin290	Yu2011_TIGR6.1_midpoint_not_lifted
2	18664287	74.029658	Bin291	Yu2011_TIGR6.1_midpoint_not_lifted
2	18717283	74.759598	Bin292	Yu2011_TIGR6.1_midpoint_not_lifted
2	18773426	74.999407	Bin293	Yu2011_TIGR6.1_midpoint_not_lifted
2	18935420	75.729347	Bin294	Yu2011_TIGR6.1_midpoint_not_lifted
2	19129924	77.221995	Bin295	Yu2011_TIGR6.1_midpoint_not_lifted
2	19212316	77.461803	Bin296	Yu2011_TIGR6.1_midpoint_not_lifted
2	19266026	77.701612	Bin297	Yu2011_TIGR6.1_midpoint_not_lifted
2	19398150	77.941421	Bin298	Yu2011_TIGR6.1_midpoint_not_lifted
2	19532573	78.181229	Bin299	Yu2011_TIGR6.1_midpoint_not_lifted
2	19606450	78.911169	Bin300	Yu2011_TIGR6.1_midpoint_not_lifted
2	19657775	79.150978	Bin301	Yu2011_TIGR6.1_midpoint_not_lifted
2	19710068	79.634073	Bin302	Yu2011_TIGR6.1_midpoint_not_lifted
2	19803092	79.873882	Bin303	Yu2011_TIGR6.1_midpoint_not_lifted
2	19914189	80.356978	Bin304	Yu2011_TIGR6.1_midpoint_not_lifted
2	19989785	81.086918	Bin305	Yu2011_TIGR6.1_midpoint_not_lifted
2	20032584	81.570013	Bin306	Yu2011_TIGR6.1_midpoint_not_lifted
2	20079654	81.809822	Bin307	Yu2011_TIGR6.1_midpoint_not_lifted
2	20190280	82.292917	Bin308	Yu2011_TIGR6.1_midpoint_not_lifted
2	20399155	82.776013	Bin309	Yu2011_TIGR6.1_midpoint_not_lifted
2	20594442	83.015821	Bin310	Yu2011_TIGR6.1_midpoint_not_lifted
2	24642392	136.015694	Bin311	Yu2011_TIGR6.1_midpoint_not_lifted
2	28670623	136.745634	Bin312	Yu2011_TIGR6.1_midpoint_not_lifted
2	28957112	137.228730	Bin313	Yu2011_TIGR6.1_midpoint_not_lifted
2	29292931	138.721378	Bin314	Yu2011_TIGR6.1_midpoint_not_lifted
2	29419902	138.961186	Bin315	Yu2011_TIGR6.1_midpoint_not_lifted
2	29515129	139.444282	Bin316	Yu2011_TIGR6.1_midpoint_not_lifted
2	29793153	139.684090	Bin317	Yu2011_TIGR6.1_midpoint_not_lifted
2	30282077	140.664514	Bin318	Yu2011_TIGR6.1_midpoint_not_lifted
2	30589637	140.904323	Bin319	Yu2011_TIGR6.1_midpoint_not_lifted
2	30686816	141.884746	Bin320	Yu2011_TIGR6.1_midpoint_not_lifted
2	30772740	142.124555	Bin321	Yu2011_TIGR6.1_midpoint_not_lifted
2	30922676	143.617203	Bin322	Yu2011_TIGR6.1_midpoint_not_lifted
2	31134424	145.109851	Bin323	Yu2011_TIGR6.1_midpoint_not_lifted
2	31230266	145.592947	Bin324	Yu2011_TIGR6.1_midpoint_not_lifted
2	31320321	145.832755	Bin325	Yu2011_TIGR6.1_midpoint_not_lifted
2	31461411	146.315851	Bin326	Yu2011_TIGR6.1_midpoint_not_lifted
2	31538252	146.555659	Bin327	Yu2011_TIGR6.1_midpoint_not_lifted
2	31569525	146.795468	Bin328	Yu2011_TIGR6.1_midpoint_not_lifted
2	31621014	147.525408	Bin329	Yu2011_TIGR6.1_midpoint_not_lifted
2	31814997	147.765217	Bin330	Yu2011_TIGR6.1_midpoint_not_lifted
2	32123308	148.005025	Bin331	Yu2011_TIGR6.1_midpoint_not_lifted
2	32854560	149.239656	Bin332	Yu2011_TIGR6.1_midpoint_not_lifted
2	33595857	156.147173	Bin333	Yu2011_TIGR6.1_midpoint_not_lifted
2	33751828	156.386981	Bin334	Yu2011_TIGR6.1_midpoint_not_lifted
2	33874807	157.879630	Bin335	Yu2011_TIGR6.1_midpoint_not_lifted
2	34079060	161.005647	Bin336	Yu2011_TIGR6.1_midpoint_not_lifted
2	34229824	161.986071	Bin337	Yu2011_TIGR6.1_midpoint_not_lifted
2	34316624	162.469167	Bin338	Yu2011_TIGR6.1_midpoint_not_lifted
2	34363496	162.708975	Bin339	Yu2011_TIGR6.1_midpoint_not_lifted
2	34429070	163.192071	Bin340	Yu2011_TIGR6.1_midpoint_not_lifted
2	34487363	163.675166	Bin341	Yu2011_TIGR6.1_midpoint_not_lifted
