marker_id	marker_join_id	chr	cM	marker_class	is_dart
XbrPb-670963	brpb-670963	A1	86.26458	DArT	1
XbrPb-839763	brpb-839763	A1	87.924	DArT	1
XbrPb-808108	brpb-808108	A1	87.975934	DArT	1
XbrPb-663244	brpb-663244	A1	92.65593	DArT	1
XbrPb-839516	brpb-839516	A1	93.769407	DArT	1
XbrPb-841624	brpb-841624	A1	95.97133	DArT	1
XbrPb-670633	brpb-670633	A1	96.899137	DArT	1
XbrPb-659231	brpb-659231	A1	97.808713	DArT	1
XbrPb-842239	brpb-842239	A1	109.115793	DArT	1
XbrPb-839883	brpb-839883	A1	109.969565	DArT	1
XbrPb-842221	brpb-842221	A1	109.969565	DArT	1
XbrPb-658604	brpb-658604	A1	123.62984	DArT	1
XbrPb-658798	brpb-658798	A1	123.62984	DArT	1
XbrPb-659719	brpb-659719	A1	123.62984	DArT	1
XbrPb-661339	brpb-661339	A1	123.62984	DArT	1
XbrPb-671396	brpb-671396	A1	123.62984	DArT	1
XbrPb-807992	brpb-807992	A1	123.62984	DArT	1
XbrPb-809192	brpb-809192	A1	123.62984	DArT	1
XbrPb-839776	brpb-839776	A1	123.62984	DArT	1
XbrPb-840278	brpb-840278	A1	123.62984	DArT	1
XbrPb-840473	brpb-840473	A1	123.62984	DArT	1
XbrPb-841120	brpb-841120	A1	123.62984	DArT	1
XbrPb-671344	brpb-671344	A10	0	DArT	1
XpW117	pw117	A10	7.317015	Non-DArT	0
Xniab034	niab034	A10	8.365015	Non-DArT	0
XbrPb-661606	brpb-661606	A10	9.821015	DArT	1
XbrPb-659419	brpb-659419	A10	9.905515	DArT	1
XbrPb-840385	brpb-840385	A10	9.905515	DArT	1
XbrPb-658597	brpb-658597	A10	9.990015	DArT	1
XbrPb-840375	brpb-840375	A10	10.625668	DArT	1
XbrPb-657934	brpb-657934	A10	11.117015	DArT	1
XbrPb-661526	brpb-661526	A10	11.45563	DArT	1
XbrPb-659204	brpb-659204	A10	12.048606	DArT	1
XbrPb-663425	brpb-663425	A10	12.048606	DArT	1
Xniab015	niab015	A10	13.945015	Non-DArT	0
XHR-C003-A10	hr-c003-a10	A10	15.964015	Non-DArT	0
XNa12D11	na12d11	A10	16.299015	Non-DArT	0
XIGF1073a	igf1073a	A10	16.739015	Non-DArT	0
XbrPb-663073	brpb-663073	A10	17.350015	DArT	1
XCB10122	cb10122	A10	17.909015	Non-DArT	0
XpW240	pw240	A10	18.758015	Non-DArT	0
XbrPb-659743	brpb-659743	A10	19.155091	DArT	1
XbrPb-663458	brpb-663458	A10	19.155091	DArT	1
XbrPb-660669	brpb-660669	A10	19.660015	DArT	1
XbrPb-661082	brpb-661082	A10	19.720015	DArT	1
XbrPb-658735	brpb-658735	A10	19.766015	DArT	1
XbrPb-838923	brpb-838923	A10	19.926015	DArT	1
XbrPb-658333	brpb-658333	A10	19.966015	DArT	1
XbrPb-660661	brpb-660661	A10	20.010587	DArT	1
XbrPb-659113	brpb-659113	A10	20.416015	DArT	1
XbrPb-658290	brpb-658290	A10	20.543015	DArT	1
XRA2E03	ra2e03	A10	23.751015	Non-DArT	0
XNa10D07a	na10d07a	A10	25.107015	Non-DArT	0
XHS-b14-1	hs-b14-1	A10	26.190015	Non-DArT	0
XHS-j90	hs-j90	A10	26.977015	Non-DArT	0
XSs2066	ss2066	A10	28.216015	Non-DArT	0
XbrPb-660213	brpb-660213	A10	31.353389	DArT	1
XbrPb-660251	brpb-660251	A10	31.353389	DArT	1
XbrPb-663056	brpb-663056	A10	31.353389	DArT	1
XbrPb-661264	brpb-661264	A10	32.53523	DArT	1
Xniab123	niab123	A10	32.747015	Non-DArT	0
XbrPb-809526	brpb-809526	A10	32.892015	DArT	1
XbrPb-660630	brpb-660630	A10	33.141015	DArT	1
XbrPb-658429	brpb-658429	A10	33.638015	DArT	1
XHG4-BSR5	hg4-bsr5	A10	37.490015	Non-DArT	0
XHG4-BSR4	hg4-bsr4	A10	37.920015	Non-DArT	0
XHG4-BSR7	hg4-bsr7	A10	38.602015	Non-DArT	0
XbrPb-658163	brpb-658163	A10	41.374357	DArT	1
XbrPb-660401	brpb-660401	A10	41.374357	DArT	1
XbrPb-662735	brpb-662735	A10	41.374357	DArT	1
Xpw155b	pw155b	A10	41.592015	Non-DArT	0
XbrPb-658199	brpb-658199	A10	42.315015	DArT	1
XbrPb-658656	brpb-658656	A10	42.681222	DArT	1
XHG-CO-A10	hg-co-a10	A10	43.505015	Non-DArT	0
XbrPb-660352	brpb-660352	A10	43.536718	DArT	1
XbrPb-661838	brpb-661838	A10	45.617624	DArT	1
XbrPb-840529	brpb-840529	A10	46.103205	DArT	1
XsN8502	sn8502	A10	46.396015	Non-DArT	0
XsN8474	sn8474	A10	51.459015	Non-DArT	0
XHG-FLC-A10	hg-flc-a10	A10	52.095015	Non-DArT	0
Xniab009	niab009	A10	52.795015	Non-DArT	0
XbrPb-657896	brpb-657896	A10	53.355489	DArT	1
XbrPb-663307	brpb-663307	A10	53.727015	DArT	1
XbrPb-809027	brpb-809027	A10	56.539015	DArT	1
XbrPb-670588	brpb-670588	A10	60.254286	DArT	1
XJICB0272	jicb0272	A10	60.816015	Non-DArT	0
XbrPb-663265	brpb-663265	A10	62.100015	DArT	1
XBRMS-244	brms-244	A10	63.892015	Non-DArT	0
XBRMS-062	brms-062	A10	66.206015	Non-DArT	0
XJICB0551	jicb0551	A10	69.459015	Non-DArT	0
XbrPb-659745	brpb-659745	A10	74.035015	DArT	1
XbrPb-809539	brpb-809539	A10	75.854916	DArT	1
XbrPb-660910	brpb-660910	A10	77.629015	DArT	1
XbrPb-660070	brpb-660070	A10	77.630015	DArT	1
XbrPb-809307	brpb-809307	A10	78.046015	DArT	1
XbrPb-659925	brpb-659925	A10	78.890767	DArT	1
XbrPb-658793	brpb-658793	A10	79.123015	DArT	1
XbrPb-809839	brpb-809839	A10	80.497015	DArT	1
XBRMS-019	brms-019	A10	81.909015	Non-DArT	0
XbrPb-658018	brpb-658018	A10	82.593024	DArT	1
XbrPb-659122	brpb-659122	A10	82.593024	DArT	1
XbrPb-662201	brpb-662201	A10	82.593024	DArT	1
XbrPb-808864	brpb-808864	A10	82.593024	DArT	1
XbrPb-658921	brpb-658921	A10	101.09118	DArT	1
XHBr024	hbr024	A2	0	Non-DArT	0
XHBr028	hbr028	A2	5.659	Non-DArT	0
Xbac-49	bac-49	A2	7.448	Non-DArT	0
Xbac-48	bac-48	A2	8.516	Non-DArT	0
XbrPb-658589	brpb-658589	A2	8.516	DArT	1
XbrPb-670904	brpb-670904	A2	11.11	DArT	1
XbrPb-840784	brpb-840784	A2	11.399	DArT	1
XbrPb-842220	brpb-842220	A2	11.457	DArT	1
XbrPb-808338	brpb-808338	A2	11.954	DArT	1
XbrPb-671322	brpb-671322	A2	12.708	DArT	1
XbrPb-840731	brpb-840731	A2	12.845	DArT	1
XbrPb-840545	brpb-840545	A2	15.205	DArT	1
XsN3761a	sn3761a	A2	15.847	Non-DArT	0
XsR6293a	sr6293a	A2	16.424	Non-DArT	0
XpW252	pw252	A2	18.062	Non-DArT	0
XpW144	pw144	A2	18.833	Non-DArT	0
XbrPb-661469	brpb-661469	A2	20.869	DArT	1
XbrPb-658386	brpb-658386	A2	23.061	DArT	1
XbrPb-662312	brpb-662312	A2	24.948	DArT	1
XbrPb-670471	brpb-670471	A2	24.952	DArT	1
XbrPb-659016	brpb-659016	A2	24.955	DArT	1
XbrPb-657868	brpb-657868	A2	24.957	DArT	1
XbrPb-661407	brpb-661407	A2	24.957	DArT	1
XbrPb-662239	brpb-662239	A2	24.957	DArT	1
XbrPb-659053	brpb-659053	A2	24.959	DArT	1
XbrPb-657614	brpb-657614	A2	28.625	DArT	1
XbrPb-658617	brpb-658617	A2	29.474977	DArT	1
XbrPb-661820	brpb-661820	A2	29.474977	DArT	1
XbrPb-838654	brpb-838654	A2	29.474977	DArT	1
XbrPb-670834	brpb-670834	A2	29.505488	DArT	1
XbrPb-657847	brpb-657847	A2	29.575	DArT	1
XbrPb-660007	brpb-660007	A2	29.805	DArT	1
XbrPb-808526	brpb-808526	A2	30.121	DArT	1
XbrPb-658213	brpb-658213	A2	30.229	DArT	1
XbrPb-661689	brpb-661689	A2	30.23	DArT	1
XbrPb-839167	brpb-839167	A2	30.232	DArT	1
XbrPb-658011	brpb-658011	A2	30.244	DArT	1
XbrPb-658552	brpb-658552	A2	30.268	DArT	1
XbrPb-662121	brpb-662121	A2	30.28	DArT	1
Xp154	p154	A2	31.961	Non-DArT	0
Xp155	p155	A2	32.149	Non-DArT	0
XbrPb-657785	brpb-657785	A2	32.629	DArT	1
XbrPb-658413	brpb-658413	A2	32.779	DArT	1
XbrPb-658122	brpb-658122	A2	32.92	DArT	1
XbrPb-840563	brpb-840563	A2	32.939	DArT	1
XbrPb-809263	brpb-809263	A2	33.122999	DArT	1
XbrPb-660621	brpb-660621	A2	34.931754	DArT	1
XbrPb-839048	brpb-839048	A2	34.931754	DArT	1
XBRMS-332	brms-332	A2	37.382	Non-DArT	0
XH129I15-4-2	h129i15-4-2	A2	38.569	Non-DArT	0
XbrPb-657915	brpb-657915	A2	40.082172	DArT	1
XZAAS113	zaas113	A2	41.018	Non-DArT	0
XbrPb-658083	brpb-658083	A2	52.175604	DArT	1
XHBr027	hbr027	A2	53.348	Non-DArT	0
XOl13E08	ol13e08	A2	56.398	Non-DArT	0
XCB10416	cb10416	A2	58.461	Non-DArT	0
XIGF5222g	igf5222g	A2	63.565	Non-DArT	0
XIGF5224g	igf5224g	A2	64.119	Non-DArT	0
XbrPb-661681	brpb-661681	A2	65.79	DArT	1
XBRMS-026	brms-026	A2	67.362	Non-DArT	0
XbrPb-657949	brpb-657949	A2	73.962	DArT	1
XbrPb-660196	brpb-660196	A2	73.974	DArT	1
XbrPb-840401	brpb-840401	A2	74.002	DArT	1
XbrPb-808759	brpb-808759	A2	74.009	DArT	1
XbrPb-809267	brpb-809267	A2	74.024	DArT	1
XOl10F04	ol10f04	A2	78.804	Non-DArT	0
XBRMS-228	brms-228	A2	80.212	Non-DArT	0
XbrPb-660108	brpb-660108	A2	82.73	DArT	1
XbrPb-658860	brpb-658860	A2	84.164	DArT	1
XCB10355	cb10355	A2	90.47	Non-DArT	0
XbrPb-809152	brpb-809152	A3	0	DArT	1
XbrPb-658157	brpb-658157	A3	4.768941	DArT	1
XbrPb-660869	brpb-660869	A3	4.768941	DArT	1
XbrPb-661972	brpb-661972	A3	8.393737	DArT	1
XbrPb-660648	brpb-660648	A3	9.847163	DArT	1
XbrPb-659233	brpb-659233	A3	10.779997	DArT	1
XbrPb-809756	brpb-809756	A3	14.894713	DArT	1
XbrPb-661557	brpb-661557	A3	21.024787	DArT	1
Xniab115	niab115	A3	23.013193	Non-DArT	0
Xniab116	niab116	A3	26.746193	Non-DArT	0
XbrPb-658285	brpb-658285	A3	26.785331	DArT	1
XbrPb-658945	brpb-658945	A3	26.785331	DArT	1
XbrPb-659037	brpb-659037	A3	26.785331	DArT	1
XbrPb-661767	brpb-661767	A3	26.785331	DArT	1
XbrPb-662944	brpb-662944	A3	26.785331	DArT	1
XbrPb-808545	brpb-808545	A3	26.785331	DArT	1
XB080H21-1	b080h21-1	A3	28.882193	Non-DArT	0
XbrPb-657679	brpb-657679	A3	29.216801	DArT	1
XH013I08-3	h013i08-3	A3	32.333193	Non-DArT	0
XbrPb-659852	brpb-659852	A3	32.402588	DArT	1
XB008I08-4	b008i08-4	A3	33.493193	Non-DArT	0
Xniab102	niab102	A3	34.668193	Non-DArT	0
XbrPb-839781	brpb-839781	A3	35.253176	DArT	1
XIGF5154c	igf5154c	A3	35.415193	Non-DArT	0
XbrPb-658433	brpb-658433	A3	36.401645	DArT	1
XH003M07-4	h003m07-4	A3	37.837193	Non-DArT	0
XbrPb-662170	brpb-662170	A3	46.684517	DArT	1
XbrPb-662443	brpb-662443	A3	46.684517	DArT	1
XbrPb-671217	brpb-671217	A3	48.251839	DArT	1
XH048M02-5	h048m02-5	A3	48.254193	Non-DArT	0
XB054N05-2	b054n05-2	A3	49.281193	Non-DArT	0
XB071P24-1	b071p24-1	A3	50.196193	Non-DArT	0
XbrPb-840137	brpb-840137	A3	50.716181	DArT	1
XRA2E11	ra2e11	A3	51.377193	Non-DArT	0
XBRAS029	bras029	A3	51.690193	Non-DArT	0
XHG-FLC-A3	hg-flc-a3	A3	52.153193	Non-DArT	0
XKR20530-3	kr20530-3	A3	53.017193	Non-DArT	0
XbrPb-658100	brpb-658100	A3	53.321193	DArT	1
XCB10271	cb10271	A3	53.588193	Non-DArT	0
XBRMS-303	brms-303	A3	53.782193	Non-DArT	0
XMR123	mr123	A3	54.275193	Non-DArT	0
XIGF2134f2	igf2134f2	A3	55.125193	Non-DArT	0
XIGF2544b	igf2544b	A3	55.450193	Non-DArT	0
XbrPb-663683	brpb-663683	A3	55.656193	DArT	1
XbrPb-840813	brpb-840813	A3	55.969193	DArT	1
XbrPb-838688	brpb-838688	A3	56.448193	DArT	1
XbrPb-658934	brpb-658934	A3	56.614494	DArT	1
XCNU250	cnu250	A3	57.974193	Non-DArT	0
XbrPb-659102	brpb-659102	A3	58.254764	DArT	1
XIGF5385a	igf5385a	A3	58.500193	Non-DArT	0
XCNU253	cnu253	A3	59.060193	Non-DArT	0
XBRMS-043	brms-043	A3	59.711193	Non-DArT	0
XB092O02-4	b092o02-4	A3	60.085193	Non-DArT	0
XHS-Au14	hs-au14	A3	60.540193	Non-DArT	0
XbrPb-840898	brpb-840898	A3	60.877593	DArT	1
XbrPb-663121	brpb-663121	A3	60.931193	DArT	1
XCB10427	cb10427	A3	61.386193	Non-DArT	0
XbrPb-658241	brpb-658241	A3	62.381193	DArT	1
XCNU384	cnu384	A3	62.892193	Non-DArT	0
XCNU288	cnu288	A3	63.305193	Non-DArT	0
XbrPb-839525	brpb-839525	A3	65.176007	DArT	1
XbrPb-658244	brpb-658244	A3	66.116961	DArT	1
XB068E07-2	b068e07-2	A3	66.133193	Non-DArT	0
XH010E23-2	h010e23-2	A3	66.684193	Non-DArT	0
XbrPb-660993	brpb-660993	A3	66.808239	DArT	1
XbrPb-658802	brpb-658802	A3	72.406193	DArT	1
XbrPb-662347	brpb-662347	A3	72.990193	DArT	1
XbrPb-808274	brpb-808274	A3	73.075193	DArT	1
XbrPb-660030	brpb-660030	A3	73.311193	DArT	1
XbrPb-662736	brpb-662736	A3	73.359193	DArT	1
XbrPb-809175	brpb-809175	A3	73.423193	DArT	1
XbrPb-657750	brpb-657750	A3	73.469511	DArT	1
XbrPb-838708	brpb-838708	A3	73.571193	DArT	1
XbrPb-658601	brpb-658601	A3	73.578193	DArT	1
XbrPb-658844	brpb-658844	A3	73.599193	DArT	1
XbrPb-809214	brpb-809214	A3	73.615193	DArT	1
XbrPb-657695	brpb-657695	A3	73.620193	DArT	1
XbrPb-658800	brpb-658800	A3	73.684193	DArT	1
XbrPb-658436	brpb-658436	A3	73.691193	DArT	1
XbrPb-660346	brpb-660346	A3	73.776193	DArT	1
XbrPb-809854	brpb-809854	A3	73.779093	DArT	1
XbrPb-809205	brpb-809205	A3	73.843193	DArT	1
XbrPb-658949	brpb-658949	A3	75.372732	DArT	1
XH129I15-4-1	h129i15-4-1	A3	75.557193	Non-DArT	0
XH085M22-4	h085m22-4	A3	75.745193	Non-DArT	0
XH007D13-3-2	h007d13-3-2	A3	76.147193	Non-DArT	0
XKBrB001H24-13	kbrb001h24-13	A3	76.683193	Non-DArT	0
XCNU098	cnu098	A3	76.817193	Non-DArT	0
XbrPb-662935	brpb-662935	A3	77.275952	DArT	1
XB049D17-4	b049d17-4	A3	78.249193	Non-DArT	0
XIGF3125a	igf3125a	A3	80.663193	Non-DArT	0
XbrPb-657925	brpb-657925	A3	81.938193	DArT	1
XbrPb-657981	brpb-657981	A3	82.054193	DArT	1
XbrPb-657945	brpb-657945	A3	82.100193	DArT	1
XB044E18-1-2	b044e18-1-2	A3	82.946193	Non-DArT	0
XOl11G11a	ol11g11a	A3	83.586193	Non-DArT	0
XH034E17-1	h034e17-1	A3	84.592193	Non-DArT	0
XbrPb-659638	brpb-659638	A3	85.434193	DArT	1
XbrPb-671327	brpb-671327	A3	85.491193	DArT	1
XbrPb-663225	brpb-663225	A3	85.674193	DArT	1
XbrPb-659257	brpb-659257	A3	85.751332	DArT	1
XbrPb-670322	brpb-670322	A3	85.751332	DArT	1
XbrPb-671284	brpb-671284	A3	88.132193	DArT	1
XbrPb-839683	brpb-839683	A3	88.566193	DArT	1
XCNU270	cnu270	A3	92.237193	Non-DArT	0
XIGF3165c	igf3165c	A3	92.859193	Non-DArT	0
XCNU321	cnu321	A3	93.994193	Non-DArT	0
XZAAS98a	zaas98a	A3	94.530193	Non-DArT	0
XHBr001	hbr001	A3	94.768193	Non-DArT	0
XCNU002	cnu002	A3	95.335193	Non-DArT	0
XB042O05	b042o05	A3	95.568193	Non-DArT	0
XbrPb-662565	brpb-662565	A3	99.461074	DArT	1
XB069K06-3	b069k06-3	A3	101.240193	Non-DArT	0
XCNU215	cnu215	A3	101.869193	Non-DArT	0
XbrPb-662033	brpb-662033	A3	103.495707	DArT	1
XbrPb-662488	brpb-662488	A3	103.495707	DArT	1
XbrPb-662586	brpb-662586	A3	103.495707	DArT	1
XbrPb-838880	brpb-838880	A3	103.495707	DArT	1
XKR20070-2	kr20070-2	A3	104.286193	Non-DArT	0
XCB10415	cb10415	A3	105.165193	Non-DArT	0
XpW188b	pw188b	A3	106.073193	Non-DArT	0
XB072K21-4	b072k21-4	A3	107.419193	Non-DArT	0
XCNU370	cnu370	A3	110.328193	Non-DArT	0
XbrPb-660733	brpb-660733	A3	110.432181	DArT	1
XbrPb-661458	brpb-661458	A3	110.432181	DArT	1
XbrPb-661655	brpb-661655	A3	110.432181	DArT	1
XCNU371	cnu371	A3	113.529193	Non-DArT	0
XCNU435	cnu435	A3	116.286193	Non-DArT	0
XCNU316	cnu316	A3	116.672193	Non-DArT	0
XCNU306	cnu306	A3	116.833193	Non-DArT	0
XHS-Au39b	hs-au39b	A3	118.151193	Non-DArT	0
XS003O10	s003o10	A3	120.342193	Non-DArT	0
XB085J21-2	b085j21-2	A3	122.111193	Non-DArT	0
XH069E01-1	h069e01-1	A3	124.129193	Non-DArT	0
XB080F13-2	b080f13-2	A3	125.331193	Non-DArT	0
XH129J18-3	h129j18-3	A3	125.875193	Non-DArT	0
XbrPb-659276	brpb-659276	A3	126.651193	DArT	1
XB032G23-3	b032g23-3	A3	128.241193	Non-DArT	0
XbrPb-838604	brpb-838604	A3	128.524072	DArT	1
XH005A08-1-2	h005a08-1-2	A3	128.829193	Non-DArT	0
XbrPb-838788	brpb-838788	A3	129.000816	DArT	1
XH035D15-1	h035d15-1	A3	130.562193	Non-DArT	0
XNa12A08	na12a08	A3	132.029193	Non-DArT	0
XbrPb-658578	brpb-658578	A3	132.641613	DArT	1
XbrPb-658349	brpb-658349	A3	134.17519	DArT	1
XbrPb-663150	brpb-663150	A3	134.17519	DArT	1
XbrPb-661250	brpb-661250	A3	135.932659	DArT	1
XbrPb-839485	brpb-839485	A3	135.932659	DArT	1
XbrPb-839588	brpb-839588	A3	135.932659	DArT	1
XbrPb-839640	brpb-839640	A3	135.932659	DArT	1
XbrPb-658266	brpb-658266	A3	136.192506	DArT	1
XbrPb-670937	brpb-670937	A3	136.192506	DArT	1
XIGF0570a2	igf0570a2	A3	139.135193	Non-DArT	0
XHR-C009-A3	hr-c009-a3	A3	142.812193	Non-DArT	0
XbrPb-840964	brpb-840964	A3	144.362193	DArT	1
XbrPb-659729	brpb-659729	A3	144.902193	DArT	1
XbrPb-658190	brpb-658190	A4	0	DArT	1
XbrPb-840348	brpb-840348	A4	4.332888	DArT	1
XIGF3391a	igf3391a	A4	7.340964	Non-DArT	0
XIGF3395d	igf3395d	A4	8.086964	Non-DArT	0
XbrPb-662842	brpb-662842	A4	9.298706	DArT	1
XbrPb-663305	brpb-663305	A4	10.875964	DArT	1
XbrPb-660316	brpb-660316	A4	11.687964	DArT	1
XbrPb-663259	brpb-663259	A4	11.883964	DArT	1
XbrPb-661628	brpb-661628	A4	14.884	DArT	1
XbrPb-841242	brpb-841242	A4	14.884	DArT	1
XbrPb-660939	brpb-660939	A4	16.926964	DArT	1
XbrPb-657687	brpb-657687	A4	19.730964	DArT	1
XbrPb-657786	brpb-657786	A4	19.768964	DArT	1
XbrPb-658988	brpb-658988	A4	21.239277	DArT	1
XbrPb-842021	brpb-842021	A4	22.767964	DArT	1
XbrPb-657641	brpb-657641	A4	22.839964	DArT	1
XbrPb-658486	brpb-658486	A4	22.864214	DArT	1
XbrPb-670055	brpb-670055	A4	22.864214	DArT	1
XbrPb-658153	brpb-658153	A4	22.922964	DArT	1
XbrPb-809236	brpb-809236	A4	22.958964	DArT	1
XbrPb-659798	brpb-659798	A4	23.277964	DArT	1
XbrPb-657736	brpb-657736	A4	24.966321	DArT	1
XbrPb-840517	brpb-840517	A4	26.156964	DArT	1
XbrPb-658097	brpb-658097	A4	26.167964	DArT	1
XbrPb-659960	brpb-659960	A4	26.424964	DArT	1
XbrPb-808599	brpb-808599	A4	27.359964	DArT	1
XbrPb-841303	brpb-841303	A4	27.891964	DArT	1
XbrPb-809825	brpb-809825	A4	27.994357	DArT	1
XbrPb-839631	brpb-839631	A4	27.994357	DArT	1
XbrPb-842153	brpb-842153	A4	27.994357	DArT	1
XbrPb-809631	brpb-809631	A4	29.080964	DArT	1
XbrPb-808642	brpb-808642	A4	29.463964	DArT	1
XbrPb-658265	brpb-658265	A4	29.641964	DArT	1
XbrPb-841973	brpb-841973	A4	29.642964	DArT	1
XbrPb-808142	brpb-808142	A4	29.645964	DArT	1
XbrPb-809583	brpb-809583	A4	29.809125	DArT	1
XbrPb-842031	brpb-842031	A4	30.493964	DArT	1
XbrPb-838993	brpb-838993	A4	30.727964	DArT	1
XbrPb-839587	brpb-839587	A4	30.734964	DArT	1
XbrPb-841534	brpb-841534	A4	32.400964	DArT	1
XbrPb-657581	brpb-657581	A4	32.407964	DArT	1
XbrPb-657692	brpb-657692	A4	32.635367	DArT	1
XbrPb-659874	brpb-659874	A4	32.635367	DArT	1
XbrPb-661134	brpb-661134	A4	32.748964	DArT	1
XbrPb-660920	brpb-660920	A4	32.810964	DArT	1
XbrPb-839577	brpb-839577	A4	32.893964	DArT	1
XbrPb-671364	brpb-671364	A4	35.106812	DArT	1
XbrPb-808993	brpb-808993	A4	37.387983	DArT	1
XbrPb-659705	brpb-659705	A4	37.558964	DArT	1
XbrPb-841683	brpb-841683	A4	37.662964	DArT	1
